,0
0,Tuva Novotny
1,Laura Durant
2,Haruhiko Katô
3,Ilia Volok
4,Marie-Paule von Roesgen
5,Borja Navas
6,Hiroyuki Yoshida
7,Payi
8,Dougray Scott
9,Rohini Hattangadi
10,Brian Steele
11,Bjorn Jiskoot Jr.
12,Adam Rifkin
13,Beena Banerjee
14,Charlie Mago
15,Adrian Foiadelli
16,Csaba Debreczeny
17,Muhammad Sadeq Abdulaziz
18,Joe Morton
19,Thitima Maliwan
20,Elvis Naumovski
21,Harish Khanna
22,Yu Fang
23,Jourdan Lee
24,Brian Stepanek
25,Lemmy
26,Rozza Catalona
27,Kevin Corrigan
28,Gilles Cohen
29,Ricky Lam
30,Shin'yû Fujiwara
31,Vincent Kok
32,Erik Denton
33,Josh Berry
34,Carlos Cobos
35,Nick Ernst
36,Lucci Ferreira
37,Drew Taylor
38,André Babikian
39,Devon Aoki
40,Kô Shibasaki
41,Kazuya Nakayama
42,Vikas Anand
43,Melany Denise
44,Iván Arana
45,Marija Karan
46,Nathanael Baring
47,Paul Ritter
48,Indrasena
49,Donnelly Rhodes
50,Diana Lee Inosanto
51,Vladimir Gostyukhin
52,Malin Akerman
53,Li-Wu Tai
54,Caryn Peterson
55,P.N. Satya
56,Madeleine West
57,Terry Jernigan
58,Rener Gracie
59,Katy Barker
60,Kim Byeong-chun
61,Phyllida Law
62,Will Murray
63,Rajiv Shah
64,Colin Walsh
65,Oliver Kieran-Jones
66,Narendra Jha
67,Amy Adams
68,Kristen Quintrall
69,Peter Dinklage
70,Sean Young
71,Pao-Ming Ku
72,Megha Chatterji
73,David Minetti
74,Billy Wirth
75,Keith Jardine
76,Tyshawn Bryant
77,Maximilian Schell
78,Aleksey Zharkov
79,Richard Ng
80,Barret Walz
81,Anupam Kher
82,Kelly Rice
83,Leslie Bibb
84,Omar Irigoyen
85,François-René Dupont
86,Hayley DuMond
87,DeRay Davis
88,Allena Bilodeau
89,Stefano Santospago
90,Kelsang Chukie Tethtong
91,Amber Stevens West
92,Drew Torres
93,Miles Anderson
94,Nick Cook
95,Kôki Okada
96,Kelly Noonan
97,Hua Yueh
98,Jakob Eklund
99,Ruta Gedmintas
100,Hal Linden
101,Joe Costa
102,Kyle Clements
103,Margo Swisher
104,James Deano
105,Joseph Cross
106,Mithun Chakraborty
107,Ioan Gruffudd
108,Kevin McNulty
109,Masatô Ibu
110,Dan Reeve
111,Dennis Keiffer
112,Lil J.J.
113,Gary Halsten
114,Brooke Newton
115,Katy Karrenbauer
116,Giri Babu
117,David Stanbra
118,Kari-Pekka Toivonen
119,David Herbst
120,Predrag 'Miki' Manojlovic
121,Krista Kosonen
122,Jérémy Prévost
123,Zhenhai Kou
124,Jackson Antunes
125,Luder i bil(voz)
126,Vicious(as James A. Lee)
127,Ron Eldard
128,Gilbert Chayrez-Chavarria
129,Aashish Chaudhary
130,Zak Lee
131,Jeremy Payne
132,Chaylon Blancett
133,Dino Morea
134,Manami Enosawa
135,Sandra Campbell
136,Madam
137,Shareef McIntosh
138,Denyce Lawton
139,Veronica Berry
140,Jeff Bridges
141,Calbo
142,Bronwen Mantel
143,Gary Dikeos
144,Daniel Amalm
145,Jonas Hämmerle
146,Sonia Alfonso
147,Ray Park
148,Thierry Frémont
149,D'Andre Anthony
150,Beanie Sigel
151,Lee Horsley
152,Jeffrey Dean Morgan
153,Scott Chorny
154,Julie Armenta
155,Trishla Baid
156,Nick Boraine
157,Yan Tang
158,Kelly Reilly
159,Karl Herlinger
160,Girts Krumins
161,Rainn Wilson
162,Micheal Mi Lemus-Fletchall
163,Jake La Botz
164,Andrew Keegan
165,Kelly Hu
166,Dominic Purcell
167,Waldemar Kobus
168,Rob Anthony Gray
169,Ron Matz
170,Matthew Deslippe
171,Temuera Morrison
172,Shannon Alexander
173,Dean Edwards
174,Olivier Gourmet
175,Celso Bugallo
176,Matthew Wood
177,Joris Jarsky
178,Scott D. Evans
179,Bernie Kopell
180,Rajendra Prasad
181,Scout Alter
182,Shirô Namiki
183,Lisa-Marie Schneider
184,Tyler Wolfe
185,Jean-Rachid Kallouche
186,Roopa Ganguly
187,Chris Clark
188,Stan Jakubowski
189,Hiro Yûki
190,On-On Yu
191,Bobby Miller
192,Avnit Arora
193,Lauren Leech
194,Mimi Branescu
195,Ricky Davao
196,Travis Thurman
197,Igor Petrenko
198,Daisuke Kishio
199,Michel Duchaussoy
200,Eric Chisholm
201,Meital Dohan
202,Luce Rains
203,Jackie Tohn
204,Peter Mullan
205,Corey Burton
206,Adam Ropp
207,Roman Radov
208,Liron Levo
209,Nancy Young
210,Ivan Petrushinov
211,Dilip Prabhavalkar
212,Jordi Mollà
213,Ayuur
214,Cate Blanchett
215,Bharat Kumar
216,Sean Christopher
217,Kestutis Stasys Jakstas
218,David Alayeto
219,Amr Abdulgalil
220,Kappei Yamaguchi
221,Miguel Ángel Rodríguez 'El Sevilla'
222,Sam Brooks
223,Deuntem Salitul
224,Antonio Banderas
225,Luke Goss
226,Kippei Shîna
227,James E. Moriarty
228,Macy Gray
229,Nicolau Breyner
230,Paul DeSimone
231,Lisa Oberg
232,Lahmard J. Tate
233,Fanny Risberg
234,Fellow Detective(as Hyuk-kwon Park)
235,Akemi Okamura
236,David Thewlis
237,Jeff Imada
238,Frederick Koehler
239,Jennifer O'Neill
240,Sarah Buxton
241,Karolina Kurkova
242,Brandon Stewart
243,Nathan Jones
244,Jacky Woo
245,Nate Witty
246,Dan Nichols
247,Philip Glenister
248,Jason Michael Fong
249,Jason Jessee
250,Hitomi
251,Luke Hawx
252,Roy Stanton
253,Brian DeCato
254,Horst Krause
255,Michael Wong
256,Natalie LaTurno
257,Sara Brooks
258,Sinan Çaliskanoglu
259,Vitali Baganov
260,Helena Bonham Carter
261,Mel Raido
262,Halle Berry
263,Lance Reddick
264,Curtis Eames
265,Laura Vandervoort
266,Laa
267,Richard Grove
268,Manny Pacquiao
269,Marie Delleskog
270,Agent
271,Dallen Gettling
272,Shaun Lawton
273,Nick Cannon
274,Sherilyn Fenn
275,Phil Brough
276,Chris Kendrick
277,Mark Boone Junior
278,Bum Phillips
279,Sumanth
280,Santiago Arce
281,Joseph T. Campos
282,James Stover
283,Clive Owen
284,Takaya Hashi
285,Priyanka Chopra Jonas
286,Biljana Misic
287,Rene Escapite
288,Tirso Cruz III
289,Delhi Ganesh
290,Péter Scherer
291,Kaniha
292,Amthida Ngoencharoen
293,Ryu Seung-beom
294,Kiai Kim
295,Fardeen Khan
296,Juan Carlos Hernández
297,Lauren Shein
298,Brendan Coyle
299,Simran
300,Yoshikazu Ebisu
301,Margrethe Koytu
302,Adam Pengsawang
303,Fernando Colunga
304,Tine Reymer
305,Michel Beaudry
306,Anthony Duran
307,Lauren Mary Kim
308,Garrison Koch
309,J. Todd Adams
310,Pierre Shrady
311,Roland Manookian
312,David Blanc
313,Charles Venn
314,Trish Gates
315,Gavin Rossdale
316,Jaime Pressly
317,Murugadass
318,Jay Baruchel
319,Semka Sokolovic-Bertok
320,David Atrakchi
321,Fahim Fazli
322,Chris McDermott
323,Bob Arinyanontakoon
324,Bahare Afshari
325,Blane Wheatley
326,Kirron Kher
327,Banerjee
328,Sandra Badenhorst
329,Selma Blair
330,Jimmy Jean-Louis
331,James Eason
332,Janet House
333,Fast Ali
334,Joakim Nätterqvist
335,Rosanna Arquette
336,Shintaro Masaki
337,Gina Torres
338,Salma Hayek
339,Anu Anand
340,Hallie Beaune
341,Belinda Fernández
342,Howard Gibson
343,Bikshu Yadav - Satti Pahalwan…
344,Barry Shabaka Henley
345,Brent Spiner
346,Patrick Stewart
347,Ameer Baraka
348,Jun Gyu Park
349,Adam Brody
350,Radhika Kumaraswamy
351,Anthony
352,Justin Matthews
353,Pokwang
354,Kyle Hebert
355,Martin Brambach
356,Russell Wong
357,Marton Csokas
358,Taranya Sattabusya
359,Károly Gesztesi
360,Lisa Ann Walter
361,Sunil Bob
362,Khadizhat Nurbagandova
363,Zvezda Angelovska
364,Liron Gerty
365,Pepa Castro
366,Sara Rabey
367,Felipe Polanco
368,Maurice Roëves
369,Ann Bizik
370,Ed Molina
371,Yuika Motokariya
372,Felix Pring
373,Anthony Arguirov
374,Jaimyse Haft
375,Tommy Kenter
376,Michelle Wright
377,Chad Stalcup
378,Jim Clossick
379,Akatora
380,Ryo Ueno
381,Sherry Lupo
382,Ben Barnes
383,Josh Brolin
384,Patrick Hare
385,T.H. Withrow
386,Kai Oliver
387,Tetta Sugimoto
388,Amanda Brooks
389,Brianna Herrera
390,Jim Beaver
391,Ebon Moss-Bachrach
392,Dunya Abdulaziz
393,Kwasi Songui
394,Léa Drucker
395,Paul D. Hunt
396,Anthony Ray Parker
397,Karl Davies
398,Franklin Dominguez
399,Jake Muxworthy
400,Beau Starr
401,Svetlana Antonova
402,Melissa George
403,Mark Romero Wilson
404,Roberto Cuenca
405,Cristian Sofron
406,Darnell Bell
407,Christophe Aquillon
408,Mac Tyrrell
409,Kader Khan
410,Michael Howe
411,Don Turner
412,Brawler
413,Ian McPhail
414,Bindu Desai
415,Patrick Drolet
416,Seo Yeong-hie
417,Alberto Reyes
418,Al Santos
419,Kristina Lilley
420,David Darby
421,Kiefer Sutherland
422,Deepak Shirke
423,Mickey Hardt
424,Leon May
425,Kyôko Fukada
426,Marlon Hassell
427,Hassam Ghancy
428,J. Brandon Hill
429,Haji Abdullah
430,Fabio
431,Telangana Sakuntala
432,Miguel Angel De Luca
433,Susumu Terajima
434,Grégoire Leprince-Ringuet
435,Louie Cowan
436,Coral Beed
437,Claude Perron
438,Yi-jae Heo
439,Stephen Graham
440,William Moseley
441,Sang-hwan's coach(as Hie-bong Byeon)
442,Müjdat Gezen
443,Virginia Madsen
444,Sudesh Berry
445,Hiroyuki Sanada
446,Ennio Fantastichini
447,Jenifer Hart
448,Robert John Burke
449,Alvin Anson
450,Cody Patrick Davis
451,Peter Stickles
452,Dale Midkiff
453,Winthai Suvaree
454,Erica Del Sordo
455,Nicole Sherwin
456,Youssef Hamid
457,Todd Riffel
458,Maimie McCoy
459,Yanbin Liu
460,Paul Dion Monte
461,Rose Byrne
462,Manfred Liechti
463,Elimu Nelson
464,Kevin J. O'Connor
465,Traci Lords
466,David Asavanond
467,Salim Bawa
468,Lee Ann Shepherd
469,Süleyman Turan
470,Friday
471,Tatyana Kanavka
472,Lee Bo-young
473,Jackamo Harvey
474,Wakana Yamazaki
475,Natalie Franze
476,Junko Takeuchi
477,Jie Yan
478,Lukas Haas
479,Alex Jewson
480,Ege Güner
481,Hrishitaa Bhatt
482,André Di Mauro
483,Gerard McSorley
484,Ariel Mateluna
485,Lee Barron
486,Peter Byrne
487,Advocate Nathani
488,David Purdham
489,Salah El Koussa
490,Zarina Wahab
491,Dan Dodgson
492,Tinnu Anand
493,Steve Schmidt
494,Randy Hall
495,Paul Jarrett
496,Josh Hartnett
497,Talia Shire
498,Sorapong Chatree
499,Antonio Sabato Jr.
500,Justin Chatwin
501,Devadarshini Chetan
502,Bryan Session
503,Joan Allen
504,Suet-sum Tse
505,Pietro Mário
506,Aniyappan
507,Tim Blake Nelson
508,Alina Bolshakova
509,Rafe Spall
510,Puli
511,Sean Robinson
512,Tom Sullivan
513,Jayaram
514,Shalom Michaelshwilli
515,Jimmy Yun
516,Park Yong-woo
517,Christian Kmiotek
518,Josh Schultz
519,Elizabeth Rodriguez
520,Gila Almagor
521,Sagar's father
522,Yukana
523,Jean-Christophe Bouvet
524,Zuki Lee
525,Stephany Jacobsen
526,Lee Do-kyung
527,Martin Henderson
528,Chris Weitz
529,Tanya Garcia
530,Henrik Ipsen
531,Faizon Love
532,Steven Berkoff
533,Nina Bühlmann
534,Jimmy Kent
535,Daniel Patrick
536,George Boyd
537,Lucie Laurier
538,Andie Somers
539,Jed Rowen
540,Maria Luísa Mendonça
541,Konstantin Semergiev-Koko Taison
542,Morgan Benoit
543,Ninad Kamat
544,Roland Selmeczi
545,Perry Long
546,Dexter Brown
547,Tito Leon
548,Piggy Chan
549,Cay Izumi
550,Ganesh Babu
551,Michael Mouyal
552,Paul Morgan Stetler
553,Peter Navy Tuiasosopo
554,Peyton List
555,Richard T. Pratt
556,Holly Lucille
557,Claudia Coulter
558,James McMartin
559,Zhi Ma Gui
560,Mia Terez Deuschle
561,Kôhei Takeda
562,Karen Mok
563,Taylor Chia
564,Tony Burton
565,Simon Dovey
566,Paul Rudd
567,Caterina Murino
568,Suja Karthika
569,Christopher Jones
570,Jane Longenecker
571,Anna Casas
572,Juliana Francis
573,Anouk Beyer
574,Nataliya Dogadina
575,Catherine Marchal
576,Mary L. Carter
577,Inuko Inuyama
578,Steve Ewanvick
579,Julia Self
580,Hayley Marie Norman
581,Gina Gershon
582,Ralf Koch
583,Melanie Kastner
584,Michelle Brew
585,Tarika
586,Colm Meaney
587,Jack Taylor
588,Samantha Womack
589,Nicholas Houltham
590,Suresh Krishna
591,Bin Shimada
592,Simon Newby
593,Sheila Cutchlow
594,Dale Girard
595,Argo Aadli
596,Jack Scalia
597,Daisuke Namikawa
598,Crystal Cotton
599,Christa Sauls
600,Elizadeth Hetherington
601,Fouad Ghazali
602,Jessica Alba
603,Ann Robinson
604,Komgrit Intrasawan
605,Sompob Benjathikul
606,Mark Hamill
607,Maxie Santillan Jr.
608,Thomas Otterpole
609,Graham McTavish
610,Hiroshi Watanabe
611,Ed Walker Jr.
612,Chapman To
613,Cathy Rankin
614,Wayne Baxter
615,Taishen Cheng
616,Rintarô Haryû
617,Vijay Raaz
618,Barbora Lukesová
619,Louis Dempsey
620,Jason Foster
621,Cynthia Coray
622,Vishnu Manchu
623,Ian
624,Alexander Nevsky
625,Michael Douglas
626,Luciana Salazar
627,Elika Crespo
628,Rachael Huntley
629,Emil-Joosep Virkus
630,Kenyae Cagle
631,Will Patton
632,Peter Weller
633,Antje Traue
634,Amr Adam
635,Zita Görög
636,John Hayden
637,Natalia Avelon
638,Patrick Dela Rosa
639,Paul Sorvino
640,Brian Patrick Clarke
641,Sarawut Phumthong
642,Jayma Mays
643,Dmitriy Nosov
644,Khaled Saleh
645,Elena Morozova
646,Alexander George
647,Aycka Lima
648,Urmila Matondkar
649,Yûji Kishi
650,Xiaoran Li
651,Laura Malmivaara
652,Conery Hoffman
653,Stefan Ivanov
654,Ariadna Cabrol
655,Winson '2Pac' Jean
656,Jay Manalo
657,Satoshi Hino
658,Brendan Clearkin
659,Ryan Watson
660,Sean Stewart
661,Andrey Ilin
662,Sangki Lee
