,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
0,7.0,Rolf Gibbs,-,"This short but lyrical piece of cinema can be described as a thriller, a horror film, a comedy, a religious epic, a tragedy, an action flick, or as a Motion Poem about 30,000 feet.",5,g.,2000
1,-,Andy Mackenzie,Andy Mackenzie,-,-,last mistake,2000
2,6.7,James Cunningham,James Cunningham,"A mutant hero, a virtual bank heist. A digital action thriller. A three fingered virus is let loose on a computer system with the express purpose of erasing a student loan.",8,infection,2000
3,8.5,"['Doug Ten', 'Napel']","['Doug Ten', 'Napel']",This short clay-animated film follows the two titular characters on their mission to intercept a giant robot bent on destroying their town. It doesn't go according to plan.,9,kog-head and meatus,2000
4,6.4,La Monte Edwards,La Monte Edwards,"After Lee Fuller's sister dies from a drug overdose, he decides that is is time for vengeance. Lee begins to ""take out"" the dealers on route to the top dog, Donovan, and is placed on watch by two detectives. As things get out of hand we begin to learn more and more about this Vigilante.",-,vigilante,2000
5,8.4,Jamie Mosberg,-,-,41,the end,2000
6,7.1,"['Bruce Branit', 'Jeremy Hunt']","['Bruce Branit', 'Jeremy Hunt']","A section of a highway is blocked off so that a plane can make an emergency landing on it. However, there are two people still driving on the highway: a man in an SUV and an old lady in a Lincoln.",3,405,2000
7,7.6,Guy Maddin,Guy Maddin,A scientist chooses a wealthy man over her two lovers but must heal the earth's core to save humanity.,6,the heart of the world,2000
8,3.0,Andrew Lowes,Tina Walker,"An elderly couple are conned out of eight and a half thousand pounds by an antiques dealer. When he refuses to give them their money back they extract their revenge by kidnapping his dog, King and holding him to ransom.",20,king's ransom,2000
9,7.3,Luke Greenfield,"['Luke Greenfield', 'David Scotti']","You all know Bruno...Bruno is a born loser with the ladies. Scoffed and scorned, the only thing Bruno could pick up in a singles' bar is the check! Until now. Now Bruno sees the girl of his dreams and he'll fight all odds to win her - even her lesbian girlfriend. In a 10-minute brawl of hilarity, Bruno finds ""The Right Hook,"" a short film that asks the age-old questio... Leer todo",10,the right hook,2000
10,5.9,Felix van Groeningen,"['Felix van Groeningen', 'Seppe van Groeningen']",-,41,50cc,2000
11,6.2,Stuart T. Maschwitz,Stuart T. Maschwitz,"Scott is a painter, a very bad painter whose stuff is worse than what's on the walls at your local coffee-house. To make ends meet he's got a side job - he's a professional killer. Now that he's good at. When Scott finds himself competing for a job with San Francisco's most notorious hitman, the inimitable Nak, he realizes he must decide between a dangerous but lucrat... Leer todo",20,the last birthday card,2000
12,8.1,Philippe Dussol,"['Philippe Dussol', 'Mathias Pothier']",-,18,argent content,2000
13,6.8,Alex Orrelle,Alex Orrelle,-,7,freeware,2000
14,-,Edoardo Amati,Edoardo Amati,"This story of personal redemption, examines the extreme sacrifices people will enact to protect their most precious essence of life, their existence.",21,master shot,2000
15,7.4,Keeley Gould,-,-,4,heads,2000
16,7.1,Mark Morgenstern,"['Denis Mc', 'Grath']","They watch. They wait. And they work for four seconds. Three rough and ready paparazzi are joined on a stakeout by a young, ambitious intern. Alliances and friendship develop, shift and ultimately dissolve in the harsh glare of the only thing that really matters: getting the shot.",14,shooter,2000
17,-,Frederik Bois,Frederik Bois,-,24,anywhere out of the world,2000
18,-,Scott Billups,"['Scott Billups', 'Larry Wilson']",-,-,software,2000
19,8.0,Julien Magnat,"['Julien Magnat', 'Kelly Smith']","Bored by her settled life with her aloof husband, a quirky American housewife finds that a bullet accidentally lodged in her forehead allows her to leap into the fictive Paris of her favorite pulp novel heroine, Chastity Blade...",29,les nouvelles aventures de chastity blade,2000
20,7.2,Jeff Lew,Jeff Lew,"During a loud party, a bean called Killer Bean breaks in, and begins to attack all the beans in the building.",7,killer bean 2: the party,2000
21,6.8,Aaron Saidman,Aaron Saidman,-,25,believe,2000
22,5.4,Aristomenis Tsirbas,Aristomenis Tsirbas,"Ray Tracey, a sassy speed demon, has just two minutes to race and catch a screening of the Electronic Theater. Unfortunately for our heroine, she must evade the pursuit of the dangerous 'Cop-Cycles' and 'Heli-Cop-Ters', who will spare no fire-power to stop her journey.",2,ray tracey in full tilt,2000
23,6.4,Augusto Canani,"['Augusto Canani', 'Lucas Gonzaga']",-,14,intestino grosso,2000
24,7.7,Mamoru Hosoda,"['Akiyoshi Hongo', 'Reiko Yoshida']","A year after the events of the first season, a virus Digimon called Diaboromon appears and starts attacking the Internet. The DigiDestined unites once more in order to prevent him from destroying every communications network on the planet.",41,dejimon adobenchâ: bokura no wô gêmu!,2000
25,7.9,Miguel Coyula,Miguel Coyula,Parody of Hollywood's action blockbusters using the typical trailer of a B-movie.,6,clase z tropical,2000
26,-,Roland Collin,Roland Collin,-,11,cramps,2000
