,0,1,2,3,4,5,6
0,7.0,Bálint Kenyeres,"['B Kenyeres', 'Gy R']","Before dawn, people will rise and other people will take away their hope.",-,before dawn,2005
1,7.0,Tom Putnam,"['Michael S', 'Harbour Jeff', 'Malmberg Tom Putnam']","""Broadcast 23"" is a comedy disguised as a horror film. Professor Russell Morgan thinks he's on to the scientific break-through of the century. He couldn't be more right... or more wrong. ""May God have mercy on our souls, Broadcast 23 wasn't a greeting at all...""",-,broadcast 23,2005
2,8.1,Keith Jodoin,"['Keith Jodoin', 'Robert Alan Anderson']",An action serial about a highly trained young woman who's embarking on her career as an international spy and discovering it takes more than good looks to keep things from falling into the wrong hands.,-,evenfall,2005
3,6.4,Didier Bénureau,"['Didier B', 'Anne Gavard']","Hesitant to have his cat neutered, Rémi inquires about the possibility of a sex life without testicles. A man in search of his sexual identity.",-,les couilles de mon chat,2005
4,4.1,Alex Ferrari,"['Alex Ferrari', 'Jorge F Rodriguez']","A gun blast, a flash of light, and a young woman awakens to the comfort of her own bed. Bonnie Clayton has it all, a great relationship, a challenging career, and the burden of a dream that grows more vivid and disturbing with each passing night. But when Bonnie is abducted by a sadistic stranger and his colorful entourage, she discovers that the key to her survival l... Leer todo",-,broken,2005
5,7.4,Ford Austin,Ford Austin,"When an E.T. attempts to return to his home planet, he is cornered by a sexy bounty hunter from space and her sidekick who try to bring him in and collect the bounty on his head. The alien is forced to fight for his life in a battle that kicks off an intergalactic war.",-,cerebral print: end game,2005
6,-,['Todd G Bieber'],['Todd G Bieber'],"Harold, an upper class fly fisherman, forces Jimmy, a beer drinking good ole boy, out of a prime fishing hole. When the waters turn rough, Harold's only hope for survival is calling for help from the man he just tried to have arrested.",-,neck deep,2005
7,7.9,Chris Hall,Chris Hall,-,-,nun fu,2005
8,-,Hakan Haslaman,Hakan Haslaman,-,-,way of khan,2005
9,8.6,Ian Truitner,Ian Truitner,A day of wrath leaves only one man standing.,-,dies irae,2005
10,8.0,Alex Ranarivelo,"['Eric Anderson', 'Alex Ranarivelo']","A man wakes up in a hospital after a car accident. As he goes in and out of consciousness, he thinks he sees a nurse euthanize the patient next to him. When he tells the doctors what happened, no one believes him.",-,morphin(e),2005
11,-,Fareed Abdelhak,"['Fareed Abdelhak', 'Keith Terrillon']","Los Angeles, California... 75,000 dead. Houston, Texas... 100,000 dead. Time period... two weeks. Cause... Diabolus... a lethal biological agent. FBI Counterterrorist Agent Kam Saab has been on the hunt for the sadistic group of domestic terrorists responsible since these deadly acts arose. His mission leads him to a new metropolitan centre where he is liaising with S... Leer todo",-,diabolus,2005
12,9.3,Ryan Carr,Ryan Carr,-,-,cop vs. cop,2005
13,-,['Mark Edward Lewis'],['Nick D Diaz'],A Young Business man discovers that he can be a true conqueror with peace.,-,the crusader,2005
14,6.3,Michael Berry,"['A K', 'Murray M', 'B Murray']","A man's world is invaded by a ferocious bird, thrusting him into an escalating, action-filled battle that transforms his life into something far beyond his dreams.",-,the day of the grackle,2005
15,7.5,Gabriel Dowrick,David Ratner,In a post apocalyptic Australia a homeless man without a past discovers a baby without a future... But both are more than they appear as destiny collides with kung-fu.,-,the razor's edge,2005
16,2.6,Ethan Tran,Ethan Tran,"""Color Blind"" explores the possibilities of reality with its brandish action sequences and thought-provoking concepts. The two main characters of ""Color Blind"" long for pain simultaneously within their own worlds. By provoking others, They are briefly able to restore what was tragically stolen from them as children.",-,color blind,2005
17,6.5,Nash Edgerton,Nash Edgerton,Lucky finds himself in a bind - and it's going to take more than a Houdini act to get out of this situation.,-,lucky,2005
18,7.4,Richard Tucci,Richard Tucci,-,-,blink,2005
19,5.6,Umberto González,Umberto González,A real estate agent gets what is coming to him.,-,hustler's instinct,2005
20,7.3,Albert Pedraza,Albert Pedraza,-,-,derailed,2005
21,6.6,Itsurô Kawasaki,"['Clamp Midori', 'Goto Jun Fujisaku']","The Gang arrives at the Country of Birdcages, a place where everyone has a bird as a pet and a friend. The gang gets separated. Syaoran, Sakura and Mokona meet a princess who warns them of her uncle, the king. Appearances may be deceiving.",-,gekijouban tsubasa kuronikuru: torikago no kuni no himegumi,2005
22,6.5,['Kasper Vejl Kristensen'],"['Jonas Borgen', 'Kasper Vejl Kristensen']",-,-,jackpot,2005
23,6.0,Junya Okabe,Junya Okabe,-,-,specter,2005
24,7.9,Geva Patz,Geva Patz,A woman is chased by a menacing man. Will anyone save her?,-,thug,2005
25,6.4,Pascale Marcotte,Pascale Marcotte,Two supermarket shoppers reach for the last tube of a rare toothpaste breaking into hand-to-hand battle.,-,shopping extreme,2005
26,9.1,"['Thomas Mahoney', 'Michael Reilly']","['Thomas Mahoney', 'Michael Reilly']","Scott McTiernan, an out of work musician is taken by his would-be fiancé to meet her father. On a simple mission for milk with Bill Ventura, her father, Scott makes an earth-shattering discovery.",-,alienation,2005
27,-,Ford Austin,Ford Austin,-,-,ninja vs. cerebral print,2005
28,5.7,['Anthony L Fletcher'],['Anthony L Fletcher'],"The Gotham mob wants control of the east end, but only one person stands in there way. . . . Catwoman.",-,catwoman: nine lives,2005
29,7.5,['Eric Bomba Ire'],"['Matt Ruggles', 'Nathan Flood', 'Matt Hirsch']",The kidnapping of a little girl forces an over-the-hill action hero to dust off his clothes and come out of retirement.,-,concrete brown,2005
30,7.0,Rocky Jo,"['Damon Chang', 'Rocky Jo']","Bunny & Clydo is non-stop Asian-stylized adrenaline with a heart. An utterly wild and distinctly Asian couple find themselves in the greatest fight of their lives when a jealous rookie Detective is bent on destroying their love. Can Bunny & Clydo find a way to overcome the one man who stands in the way of their happiness, or is it the end of the line for one of our mo... Leer todo",-,bunny & clydo,2005
31,7.4,Mathieu Young,"['Mathieu Young', 'D J Gugenheim']","While roommates Don (Kenan Thompson) and Ross (Josh Cooke) meet at a café to argue about cleaning up after Tuesday Night Poker, losing limbs in broccoli picking accidents, and the artistic merit of clay ashtrays shaped like mutilated ponies, an apocalyptic battle is waged right outside their window. Will they ever notice? Will we?",-,myopia,2005
32,7.9,Angelo Bell,Angelo Bell,"Serious is a complex, multi-dimensional character; on one side she is a Special Forces-trained killer working for a nefarious organization called The Committee, which hopes to own the Presidency. On the other side, she is an emotionally torn introvert, the product of an abusive childhood, who must deal with feelings of guilt over her sister's mysterious death. Unlike ... Leer todo",-,nanny and the professional,2005
33,-,Paul Bunch,Paul Bunch,Two burglars make the worst decision of their lives when they choose to rob the home of WENDY WELLS.,-,wendy wells,2005
34,-,Greg van Borssum,Greg van Borssum,"In a surreal world of chaos only one man can stand alone.Two opponents battle it out in a race against time desperate not to find out ""What is the price of a life""",-,method of entry,2005
35,-,Tony Laudati,Tony Laudati,Trekkies and Wookies run for cover when our girls raise intergalactic hell at the 2005 Grand Slam Sci-Fi Summit.,-,chicks with sticks: live at the grand slam,2005
36,-,['Damian Mc Lindon'],['Damian Mc Lindon'],"Mr Sturge has the perfect plan- get the girl, get drunk and get away with his life.",-,the drop,2005
