puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
-,Stanislav Shelestov,Stanislav Shelestov,Two guys decide to become bloggers. In order to get views and likes they take some experimental military pills which deprive them of any sense of pain. But it goes too far.,8,Accion,like.share.repost.,2020;
,,,,,Accion,,
,,,,,Accion,,
-,André Mileti,André Mileti,The hero of a terrible action film realizes he's fictional and tries to escape with the help of a mysterious filmmaker.,12,Accion,vanity project,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Tony Cruz Serrano,Tony Cruz Serrano,-,6,Accion,ricky rodrigo,2020;
-,Kris Atkins,Kris Atkins,A young couple search for a reasonably sized flat at an affordable price. within a difficult Auckland renting market.,-,Accion,renters,2020;
7.8,Michael Risley,Michael Risley,An Albanian boy accidentally releases a turkey and must get it back in time for New Year's Eve dinner.,10,Accion,the last supper,2020;
,,,,,Accion,,
-,Ian Altenbaugh,Ian Altenbaugh,-,-,Accion,pit viper,2020;
-,Albert Poquet,Isaac Israel,-,-,Accion,no hay precio,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Peter Jang,Peter Jang,Two crime syndicate leaders manipulate their best men to fight to the death as a means to avoid all out war.,10,Accion,pawns,2020;
,,,,,Accion,,
-,Paul Daisuke Goodman,Paul Daisuke Goodman,A retired pilot tries to ignore the monstrous space station that has fixed itself in orbit 300 miles above his homestead only to be stirred to action when a piece of it leaves a crater in his yard.,12,Accion,leafer,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Dani Medina,-,-,-,Accion,el borracho: el vino viejo es el más peleón,2020;
5.1,George Tounas,George Tounas,Special agents undercover Ace and Sandy face an unexpected situation in Maximum City as they try to get a job done against a crime organization.,10,Accion,city rush,2020;
,,,,,Accion,,
2020,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
