,0,1,2,3,4,5,6
0,4.8,Dwight H. Little,"['Alan B. Mc', 'Elroy']",-,91,tekken,2010
1,4.0,Demian Lichtenstein,Eddie Guerra,"When three Vegas buddies attempt the score of a lifetime, they have to walk a fine line between their girlfriends who want their heads, and the mobsters who want them dead.",95,venus & vegas,2010
2,6.7,Joe Carnahan,"['Joe Carnahan', 'Brian Bloom', 'Skip Woods']",-,117,the a-team,2010
3,3.5,Roberto Carminati,"['Roberto Carminati', 'Bruno Fantini', 'Daniel Ortiz']",The Brazilian Government leads Latin American countries in the fight against drug cartels. In response drug cartels start a series of attacks against Brazil's cities and natural resources. Their first target is the Amazon Forest.,86,segurança nacional,2010
4,7.6,Edgar Wright,"['Michael Bacall', 'Edgar Wright', ""Bryan Lee O'Malley""]",-,112,scott pilgrim vs. the world,2010
5,7.8,Ron Althoff,"['Ron Althoff', 'Michael Su']","When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Leer todo",90,taken by force,2010
6,8.0,John Anton,"['John Anton', 'Jason Waugh']","As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.",123,"guns, drugs and dirty money",2010
7,3.3,S.J. Suryah,S.J. Suryah,"Puli, a brave police officer, is appointed as the special police officer in PM's security. Soon, he gets into a brawl with Al Saleem, only to realise that Saleem is responsible for his father's death.",163,komaram puli,2010
8,6.6,Mike Newell,"['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']",-,116,prince of persia: the sands of time,2010
9,6.8,Tony Scott,Mark Bomback,-,98,unstoppable,2010
10,6.2,Sylvain White,"['Peter Berg', 'James Vanderbilt', 'Andy Diggle']",-,97,the losers,2010
11,5.8,Louis Leterrier,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']",-,106,clash of the titans,2010
12,3.9,"['Albert J. Allie', 'Michael J. Arbouet']",Albert J. Allie,Cross the Line is an action/drama about two police detectives Angela who is a top rate narcotics detective and Joe who is a hard nose homicide detective. Both detectives are going through a bad divorce. It sounds like a coincidence but it's not because they are the ones getting divorced from each other. One case forces them back together. A power drug lord seeks to ge... Leer todo,87,cross the line,2010
13,4.3,Dean Bajramovic,Dean Bajramovic,A Tokyo cyber-punk Yakuza and a Bosnian mob enforcer team up to smuggle a toilet made of pure heroin to New York City. It's worth millions - if they can find somebody who can decipher the Japanese chemistry formula.,95,gangster exchange,2010
14,4.0,Luis Barone,"['Luis Barone', 'Juan Sasturain', 'Jesús de la Vega']","Set in a decaying Buenos Aires, a poor Argentine (Minujin) wrestles with his newly discovered superpowers.",103,zenitram,2010
15,8.1,"['Dean De', 'Blois', 'Chris Sanders']","['William Davies', 'Dean De', 'Blois', 'Chris Sanders']",-,98,how to train your dragon,2010
16,2.5,Shaun Rana,Shaun Rana,"The town of Westbrick is a rough place to live in. It is here that the young rookie cop Matthew lives with his wife. Meanwhile, notorious serial killers Billy and Barbara embark on a killing spree in order to get notoriety. Matthew gets his first assignment with his much older partner William when he unfortunately crosses paths with Billy and Barbara. William gets kil... Leer todo",90,westbrick murders,2010
17,4.0,Mark Hazen Kelly,Mark Hazen Kelly,Two young boys and a girl commit a diamond robbery on Halloween. During escape the girl is fatally shot. One of the boys knows a doctor (Jeremy London) who has a private clinic in his house. They decide to go to his house instead of the hospital where they will expect the police. They enter the house quietly with no drama. But when the doctor tells them she needs an a... Leer todo,78,house under siege,2010
18,3.0,"['Matthew R. Anderson', 'Edward Conna']",Edward Conna,Good Vampires battle Zombie Vampires while trying to hide their own identity and prevent the infection from spreading.,89,the dead undead,2010
19,4.3,Jason Konopisos-Alvarez,Jason Konopisos-Alvarez,A man travels through corporate corruption and his own sin to find his soul.,92,the waiter,2010
20,4.0,M. Night Shyamalan,M. Night Shyamalan,-,103,the last airbender,2010
21,6.4,Phillip Noyce,Kurt Wimmer,-,100,salt,2010
22,6.8,Paul Greengrass,"['Brian Helgeland', 'Rajiv Chandrasekaran']",-,115,green zone,2010
23,6.6,Ridley Scott,"['Brian Helgeland', 'Ethan Reiff', 'Cyrus Voris']",-,140,robin hood,2010
24,6.8,Scott Buchanan,"['Dale Buchanan', 'Scott Buchanan']","As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",84,private security officer: los angeles,2010
25,6.1,Jon Turteltaub,"['Lawrence Konner', 'Mark Rosenthal', 'Matt Lopez']",-,109,the sorcerer's apprentice,2010
26,7.8,David O. Russell,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']",-,116,the fighter,2010
27,3.1,James Boss,Vivian Kyinn,"Set in a wasteland enclosed by a large white wall, the last survivor from a brutal child internment camp reluctantly takes on one final bounty hunting job to protect the idyllic life he has rebuilt.",95,white wall,2010
28,3.3,Sebastian Panneck,Christoph Willumeit,"A motley group of business students in Berlin, Germany sign up for Takahashi Corp.'s assessment weekend, hoping to land one of the coveted spots with the consulting company. Under the watchful eye of a company psychologist, the team-working and improvisational skills of the aspirants will be put to the test in a survival-type situation. But nothing goes according to p... Leer todo",93,headhunter: the assessment weekend,2010
29,4.7,James Quattrochi,Salvatore Polisi,"NYC, 1972: After a bloody mob war all summer, the 5 mob families keep the peace at Sinatra Club with Gotti's upcoming silver heist as a joint venture.",88,sinatra club,2010
30,5.0,Francisco Aragon,Francisco Aragon,-,101,boyle heights,2010
31,6.6,"['Ethan Maniquis', 'Robert Rodriguez']",Robert RodriguezÁlvaro Rodríguez,-,105,machete,2010
32,5.5,Jim Fitzpatrick,Jim Fitzpatrick,A group of kids take down a motorcycle gang.,83,adventure scouts,2010
33,7.3,"['Tom Mc', 'Grath']","['Alan Schoolcraft', 'Brent Simons']",-,95,megamind,2010
34,7.4,Tejas Dhhanraj,Tejas Dhhanraj,A carefree guy who lands himself and family in trouble when he comes across a goon Lallan Pandey.,-,he - the only one,2010
35,6.3,James Mangold,Patrick O'Neill,-,109,knight and day,2010
36,5.1,Kevin Munroe,"['Thomas Dean Donnelly', 'Joshua Oppenheimer', 'Tiziano Sclavi']",-,108,dylan dog: dead of night,2010
37,-,Isaac Combs,Isaac Combs,A Los Angeles crime saga focuses on a detective who turns his back on his drug lord younger brother.,101,deal,2010
38,6.3,Neil Marshall,Neil Marshall,-,97,centurion,2010
39,3.8,Kim Bass,Kim Bass,-,113,kill speed,2010
40,6.2,Sngmoo Lee,"['Sngmoo Lee', 'Scott Reynolds']",-,100,the warrior's way,2010
41,6.8,"['Albert Hughes', 'Allen Hughes']",Gary Whitta,-,118,the book of eli,2010
42,5.3,Scott Stewart,"['Peter Schink', 'Scott Stewart']",-,100,legion,2010
43,3.1,Gordon Chan,"['Rita Augustine', 'Chris Chow', 'Matthew Ryan Fischer']","Live-action feature based on the video game ""King of Fighters"".",93,the king of fighters,2010
44,5.5,Andy Tennant,Sarah Thorp,-,110,the bounty hunter,2010
45,4.1,Andrey Konchalovskiy,"['Andrey Konchalovskiy', 'Chris Solimine']",-,110,the nutcracker in 3d,2010
46,6.3,Miguel Sapochnik,"['Eric Garcia', 'Garrett Lerner']",-,111,repo men,2010
47,-,-,-,Reparto principal,-,bhairava ips,2010
48,3.9,Eric Etebari,Robert Redlin,Can a determined single mom go the distance and win the tournament that could ultimately lead to a better life for her and her daughter?,90,bare knuckles,2010
49,-,Anand Kumar,Aryan Saha,-,107,private number,2010
50,4.1,Davi de Oliveira Pinheiro,Davi de Oliveira Pinheiro,"In a devastated post-apocalyptic world where the rules of reality are transformed by magic and madness, a vengeful police officer searches for a possessed serial killer in a battle of the not-so-good versus absolute evil.",89,beyond the grave,2010
51,4.7,Jimmy Hayward,"['Mark Neveldine', 'Brian Taylor', 'William Farmer']",-,81,jonah hex,2010
52,3.3,Juan Carlos Vargas,"['Juan Carlos Vargas', 'John Azpilicueta']","Ten actors audition on a reality show for a million dollars. All they have to do is survive three killers, and each other - streaming live over the Internet.",87,elimination,2010
53,5.7,Hilbert Hakim,"['Joshua Leibner', 'Hilbert Hakim']","A botched car-jacking forces two white-collar criminals to take refuge in the home of the thugs that accosted them. Over the course of one explosive, unpredictable night, worlds collide, fortunes shift, lives are cast aside and the most unsuspecting of heroes walks away with a multimillion dollar score.",105,krews,2010
54,5.2,"['Cyrill Boss', 'Philipp Stennert']","['Cyrill Boss', 'Philipp Stennert', 'Andreas Gaw']",Jerry Cotton is the best agent of the FBI and suspected of murder. So he has to find the real killers of gangster boss Serrano.,90,jerry cotton,2010
55,6.2,Assad Raja,"['Jens Dahl', 'Assad Raja', 'Nicolas Winding Refn']",-,107,pusher,2010
56,5.2,Robert Kurtzman,Alexander Vesha,A police officer with a painful past returns home to help the FBI track down a mastermind assassin.,96,deadly impact,2010
57,4.0,Robert Arevalo,Robert Arevalo,"Saltillo, a small dusty town south of the Mexican border, caught in a war of greed and corruption. A man named Bishop returns home after his parents are executed at the hands of a ruthless drug lord El Chilango. He swears to avenge the deaths of his loved ones and take down every person involved at the cost of losing himself and his new love Lucia, the wife of his new... Leer todo",100,mexican bloodbath,2010
58,-,Florin Calin,-,-,115,orsova noua 5: epilog,2010
59,3.2,Peter Atencio,"['Scott Martin', 'C.W. Fallin', 'Lori j Falzone chavez']",-,94,the rig,2010
60,7.4,Jean-Claude Van Damme,Jean-Claude Van Damme,"A military veteran and former mercenary named Frenchy is haunted by his childhood, as well as his past in the military.",108,frenchy,2010
61,5.4,Robert Luketic,"['Bob De', 'Rosa', 'Ted Griffin']",-,100,killers,2010
62,6.8,Joseph Kosinski,"['Edward Kitsis', 'Adam Horowitz', 'Brian Klugman']",-,125,tron: legacy,2010
63,7.9,Roberto Monticello,"['Doug Klozzner', 'Ted Campbell', 'Joel A. Greenberg']",Kids are forced to participate in a secret fight club run by town officials.,88,you have the right to remain violent,2010
64,3.8,Angel M. Huerta,"['Armando Guajardo', 'Angel M. Huerta']",Owal Tec investigates the paranormal activities that are taking place around the country.,110,seres: genesis,2010
65,7.0,Jeff Tremaine,"['Jeff Tremaine', 'Johnny Knoxville', 'Bam Margera']",-,94,jackass 3d,2010
