,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
0,6.9,Colin Trevorrow,"['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow']",-,124,jurassic world,2015
1,7.2,Peyton Reed,"['Edgar Wright', 'Joe Cornish', 'Adam Mc', 'Kay']",-,117,ant-man,2015
2,-,Billy Butler,Billy Butler,A post-apocalyptic anthology web-series following the story of two best friends on their daring survival journey in a wasteland littered with the undead.,58,left for dead- the infection (the series),2015
3,5.4,Ly Hai,-,"When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.",98,lat mat,2015
4,-,Samit L. Baadkar,-,-,-,dushman,2015
5,-,Juanjo Martínez,Juanjo Martínez,A Team of former mercenaries now in charge of national security faces a band involved in organ traffic.,92,corazones en llamas 2,2015
6,-,J.V. Noriega,"['Richard Reynante', 'Lester Chavez', 'Ferdinand Enriquez']",A young detective finds himself caught in a moral dilemma as he tries to solve a series of killings against children of corrupt government officials. He soon falls deeper into the case when the killer abducts his fiancée.,81,modus,2015
7,-,Anish Saripalli,Anish Saripalli,-,49,sleeper cell,2015
8,-,Oscar Lopez,"['Luis Alvarez', 'Oscar Lopez']",-,90,sicario de dios,2015
9,4.8,Kwok-Man Keung,-,The Milan Thieves is a group of seven young people who have different talents and schemes. The story is based on a financial group with a proposed acquisition of the Pavia Street in Milan and their unexpected obstacles.,90,magic card,2015
10,-,"['Gul Zaib Shakeel', 'Abis Zaidi']","['Nuzaira Imam', 'Gul Zaib Shakeel']","Nazar ke Samnay is the story of Saleem, a young mechanic living in the neighborhood of Burns Road. He has had a massive crush on Hanna since forever - forever being when she moved to the neighborhood four years ago. Hanna is an orphan living with her aged spinster Khala and hands down, the prettiest girl on the block. Saleem enjoys admiring Hanna from afar. He feels l... Leer todo",78,nazar kay samnay,2015
11,6.2,Faisal Ishak,Alfie Palermo,"Directed by Faisal Ishak, the film is the sequel to the first ""Juvana"", it focuses more outside of school ground as Daim and the gang have graduated from Wira Bakti High School.",98,juvana 2,2015
12,2.5,A. Razak Mohaideen,-,"Hamid has live in poverty since young and is often ridiculed due to his poor condition. Nevertheless, his will to live grows stronger as he fights for his family's survival at Hutton Road, Penang. Hamid is then put under the care of a Tomoi master and his Uncle Don. He trains to become the best. His heroic virtues gain him respect among his friends and cause terror am... Leer todo",117,chowrasta,2015
13,-,-,-,Ver la información de la producción en IMDbPro,90,tottenham hotspur football club vs liverpool football club,2015
14,-,-,-,Ver la información de la producción en IMDbPro,90,liverpool football club vs tottenham hotspur football club,2015
15,5.0,Kamil Brade,Kamil Brade,-,75,super story,2015
16,3.7,Byeong-Ha No,Byeong-Ha No,-,85,misyeon: tobseutaleul humchyeola,2015
17,7.2,Raymond Handaya,"['Raymond Handaya', 'Away Martianto', 'Hilman Mutasi']","After rescuing a nursing home from bomb threats, Gito (Deddy Mahendra Desta) and Rojak (Judika Sihotang) became acquainted with Abdur (Abdur Arsyad). They met again when they were given the task of fostering prospective firefighters, under the leadership of Commander Dicky (Bucek Depp).",99,si jago merah 2: air & api,2015
18,8.0,Suraj Sunuwar,Suraj Sunuwar,Kalu Yadav is gangster who works under Criminal Businesses man Raja . Kalu bails out his friend Vicky from prison and they both decide to work together. Raja works with Indian gangster Malik Bhai in illegal smuggling of drugs . Raja is about to receive to consignment of drugs through Malik's Henchman Rafik but Rafik is raided by the police which is led by the new DSP.... Leer todo,-,sadanga,2015
19,-,Malik Imdad Hussain,Malik Imdad Hussain,-,-,gujjar pooray dina da,2015
20,-,Dan Constantinou,-,-,-,db10: built for bond,2015
21,4.4,Shiva,Shiva,-,-,charlie,2015
22,5.5,Annaiah,"['Rajendrakumar Arya', 'K. Lakshman']",A scientist finds a medicine for heart issues at a cheaper cost but he gets chased by the medical mafia and runs away.,137,octopus,2015
23,-,Curtis Everitt,"['Curtis Everitt', 'Jeremy Hammack']",Dameon Fox goes on a mission to infiltrate social media company MoreTalk and stop founder David Moore from wreaking havoc on the world.,71,razor sharp,2015
24,-,Liza Rachenko,-,A young girl accidentally hears a conversation between two FBI agents and discovers that she might be the only one who holds the key to saving the United States from an atomic bomb.,-,the eavesdropper,2015
25,5.5,"['K.C. Amos', 'Dale Stelly']","['K.C. Amos', 'Alonzo Douglas']","Runaway Tracy is snatched from a dangerous L.A. neighborhood by sadistic thugs while searching for her homeless boyfriend. Her police detective mom races against time to rescue Tracy from the big money, high crime world of sex trafficking.",91,mercy for angels,2015
26,3.5,Russell Friedenberg,Russell Friedenberg,"With one of their own missing, a group of friends travel to the remote Florida everglades where they discover that an ancient, malevolent curse is tracking them.",93,wind walkers,2015
27,-,-,-,Ver la información de la producción en IMDbPro,-,cd leganés vs albacete balompié,2015
28,-,-,-,Ver la información de la producción en IMDbPro,-,copa del rey third round replay cd leganés vs deportivo alavés,2015
29,-,-,-,Ver la información de la producción en IMDbPro,-,cd leganés vs rcd mallorca,2015
30,4.8,Ghouse Peer,Ghouse Peer,"JK, an unemployed man, falls in love with Nandini, a lawyer. Everything in his life changes after he is mistaken for a serial killer.",135,sharp shooter,2015
31,-,-,-,Ver la información de la producción en IMDbPro,-,shin nihon no shuryo,2015
32,-,-,-,Ver la información de la producción en IMDbPro,-,shin nihon no shuryo 3,2015
33,-,Alonso O. Lara,-,-,-,el amigo de pueblo,2015
34,7.8,Marcus Warren,Marcus Warren,A dangerous game of cat and mouse begins when aspiring young soccer players Dan and Steve bribe their way into a premier league football stadium to play in an illicit underground match one fateful night. Sudden Death has a new meaning!,74,kick-sudden death,2015
35,-,Alonso O. Lara,-,-,-,el señor de la tahoe,2015
36,-,Alonso O. Lara,"['Noel Flores', 'Rosa Flores']",-,-,the shadow of the chief-la sombra del jefe,2015
