,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Cortometraje,Red Princess Blues,2010,,tt0903012
1,Cortometraje,Desprotegido,2010,2,tt10010312
2,Cortometraje,Tough,2010,12,tt10028634
3,Cortometraje,Immortality League,2010,10,tt10061904
4,Cortometraje,Gone Shootin',2010,5,tt10394606
5,Cortometraje,Rivals,2010,9,tt10392698
6,Cortometraje,The Self-chase,2010,8,tt10588452
7,Cortometraje,Last Blood,2010,1,tt10761796
8,Cortometraje,Max Neptune and the Menacing Squid,2010,6,tt1090753
9,Cortometraje,Jonah Hex: Behind the Scenes ~ B-Roll 2,2010,6,tt10919396
10,Cortometraje,Jonah Hex: Behind the Scenes ~ B-Roll 1,2010,6,tt10926954
11,Cortometraje,Easy Go,2010,11,tt11261778
12,Cortometraje,Le Stade,2010,10,tt11754144
13,Cortometraje,Bad Society,2010,10,tt11758794
14,Cortometraje,Al-Qantara,2010,10,tt11791860
15,Cortometraje,Hybrid Fighting Method,2010,9,tt12048150
16,Cortometraje,Hybrid Fighting Method (HFM) Promo,2010,8,tt12078328
17,Cortometraje,Amazonica,2010,1,tt12177426
18,Cortometraje,How to Own a Corner,2010,11,tt12356974
19,Cortometraje,"The Samurai of Strongsville, Ohio",2010,1,tt1258783
20,Cortometraje,C.T.F.,2010,4,tt12717330
21,Cortometraje,Toshiba - Parkour Messenger,2010,8,tt12798398
22,Cortometraje,Double Negative,2010,8,tt1284025
23,Cortometraje,Traffic Jam,2010,7,tt12937564
24,Cortometraje,El Aeropuerto,2010,10,tt13190330
25,Cortometraje,War Torn,2010,,tt13281410
26,Cortometraje,El Banco,2010,12,tt13514526
27,Cortometraje,Ultra,2010,9,tt1357213
28,Cortometraje,Revenge of the Phoenix,2010,,tt13581526
29,Cortometraje,DJ Eurobass feat. Ralf Kemper - Toxic Lullaby,2010,9,tt13667590
30,Cortometraje,Devil's Salvation,2010,6,tt14123732
31,Cortometraje,Out of the Darkness,2010,3,tt1427694
32,Cortometraje,Zombies & Cornbread,2010,,tt14391600
33,Cortometraje,Take Us On,2010,3,tt1454674
34,Cortometraje,Hunter's Moon,2010,7,tt1458462
35,Cortometraje,Cinco minutos para medianoche,2010,2,tt1466449
36,Cortometraje,The Grove,2010,4,tt1466513
37,Cortometraje,Hedge-Hands,2010,2,tt14702776
38,Cortometraje,"Good Guys, Inc.",2010,4,tt1474200
39,Cortometraje,Get Some,2010,4,tt1486696
40,Cortometraje,Officer Lenot in: Showtime,2010,11,tt1493046
41,Cortometraje,Respiración,2010,2,tt1493123
42,Cortometraje,In the Name of Freedom,2010,,tt1499462
43,Cortometraje,Phoenix Down,2010,3,tt1500858
44,Cortometraje,VideoDome Rent-O-Rama,2010,,tt1506988
45,Cortometraje,Burning Stage,2010,5,tt1506946
46,Cortometraje,YardByrds,2010,3,tt1507393
47,Cortometraje,Headwound,2010,2,tt1507934
48,Cortometraje,Gamma Girls Alpha Force & The Vapor Ray of Mayhem,2010,11,tt15084868
49,Cortometraje,Tex: Vampire Hunter,2010,2,tt1510867
50,Cortometraje,No More Heroes 1.5,2010,10,tt15128832
51,Cortometraje,Wild Horses,2010,-,tt1514082
52,Cortometraje,TypeA,2010,2,tt1515184
53,Cortometraje,The Sierra,2010,3,tt1515173
54,Cortometraje,Hellboy Animated: The Dark Below,2010,,tt15157986
55,Cortometraje,Allen Mack,2010,11,tt1517587
56,Cortometraje,Black Ops Arabesque,2010,1,tt1517628
57,Cortometraje,A Way Back In,2010,1,tt1517575
58,Cortometraje,Couch,2010,8,tt1517659
59,Cortometraje,9 AM,2010,,tt1520256
60,Cortometraje,Kilo,2010,4,tt1520978
61,Cortometraje,Händelse vid bank,2010,2,tt1521791
62,Cortometraje,Shop Secret,2010,4,tt1522282
63,Cortometraje,Night Shift,2010,,tt1522200
64,Cortometraje,Pedaço de Papel,2010,8,tt1522238
65,Cortometraje,Carpe Millennium,2010,4,tt1524108
