,0,1,2
0,Tekken,2010,0
1,Venus & Vegas,2010,
2,The A-Team,2010,49
3,Segurança Nacional,2010,
4,Scott Pilgrim vs. the World,2010,82
5,Taken by Force,2010,
6,"Guns, Drugs and Dirty Money",2010,100
7,Komaram Puli,2010,
8,Prince of Persia: The Sands of Time,2010,36
9,Unstoppable,2010,87
10,The Losers,2010,48
11,Clash of the Titans,2010,27
12,Cross the Line,2010,100
13,Gangster Exchange,2010,40
14,Zenitram,2010,
15,How to Train Your Dragon,2010,99
16,Westbrick Murders,2010,18
17,House Under Siege,2010,
18,The Dead Undead,2010,13
19,The Waiter,2010,71
20,The Last Airbender,2010,5
21,Salt,2010,62
22,Green Zone,2010,53
23,Robin Hood,2010,44
24,Private Security Officer: Los Angeles,2010,
25,The Sorcerer's Apprentice,2010,40
26,The Fighter,2010,91
27,White Wall,2010,63
28,Headhunter: The Assessment Weekend,2010,-
29,Sinatra Club,2010,11
30,Boyle Heights,2010,
31,Machete,2010,70
32,Adventure Scouts,2010,
33,Megamind,2010,73
34,He - The Only One,2010,
35,Knight and Day,2010,52
36,Dylan Dog: Dead of Night,2010,4
37,Deal,2010,3
38,Centurion,2010,60
39,Kill Speed,2010,21
40,The Warrior's Way,2010,33
41,The Book of Eli,2010,47
42,Legion,2010,20
43,The King of Fighters,2010,11
44,The Bounty Hunter,2010,12
45,The Nutcracker in 3D,2010,
46,Repo Men,2010,21
47,Bhairava IPS,2010,-
48,Bare Knuckles,2010,22
49,Private Number,2010,16
50,Beyond the Grave,2010,55
51,Jonah Hex,2010,12
52,Elimination,2010,
53,Krews,2010,
54,Jerry Cotton,2010,43
55,Pusher,2010,83
56,Deadly Impact,2010,24
57,Mexican Bloodbath,2010,-
58,Orsova Noua 5: Epilog,2010,
59,The Rig,2010,4
60,Frenchy,2010,
61,Killers,2010,10
62,TRON: Legacy,2010,51
63,You Have the Right to Remain Violent,2010,
64,Seres: Genesis,2010,
65,Jackass 3D,2010,
66,Di renjie: Tong tian di guo,2010,
67,The Beautiful Outsiders,2010,
68,Sisanje,2010,
69,Sinners and Saints,2010,49
70,Takers,2010,28
71,Krach,2010,
72,Undercover Rascals,2010,
73,Tales of an Ancient Empire,2010,4
74,Moo-jeok-ja,2010,
75,The Karate Kid,2010,66
76,L'immortel,2010,
77,Jabroo Te Nizam,2010,
78,From Paris with Love,2010,37
79,Les aventures extraordinaires d'Adèle Blanc-Sec,2010,
80,Black Death,2010,72
81,Bunraku,2010,18
82,Barcelona vs Real Madrid,2010,
83,Stag Night of the Dead,2010,43
84,Veer,2010,40
85,Kung Fu Magoo,2010,38
86,Dogs of Chinatown,2010,50
