,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Cortometraje,Before Dawn,2005,5,tt0434067
1,Cortometraje,Broadcast 23,2005,1,tt0437887
2,Cortometraje,Evenfall,2005,3,tt0444625
3,Cortometraje,Les couilles de mon chat,2005,1,tt0446975
4,Cortometraje,Broken,2005,2,tt0446663
5,Cortometraje,Cerebral Print: End Game,2005,4,tt0447889
6,Cortometraje,Neck Deep,2005,-,tt0449076
7,Cortometraje,Nun Fu,2005,3,tt0451146
8,Cortometraje,Way of Khan,2005,2,tt0452704
9,Cortometraje,Dies Irae,2005,4,tt0453357
10,Cortometraje,Morphin(e),2005,4,tt0455640
11,Cortometraje,Diabolus,2005,4,tt0457653
12,Cortometraje,Cop vs. Cop,2005,,tt0457311
13,Cortometraje,The Crusader,2005,5,tt0458346
14,Cortometraje,The Day of the Grackle,2005,4,tt0458350
15,Cortometraje,The Razor's Edge,2005,2,tt0459523
16,Cortometraje,Color Blind,2005,4,tt0458343
17,Cortometraje,Lucky,2005,2,tt0460496
18,Cortometraje,Blink,2005,6,tt0463917
19,Cortometraje,Hustler's Instinct,2005,7,tt0464058
20,Cortometraje,Derailed,2005,5,tt0463956
21,Cortometraje,Gekijouban Tsubasa kuronikuru: Torikago no kuni no himegumi,2005,8,tt0466551
22,Cortometraje,Jackpot,2005,6,tt0468497
23,Cortometraje,Specter,2005,7,tt0466136
24,Cortometraje,Thug,2005,6,tt0466588
25,Cortometraje,Shopping Extreme,2005,6,tt0468866
26,Cortometraje,Alienation,2005,6,tt0469022
27,Cortometraje,Ninja vs. Cerebral Print,2005,4,tt0468817
28,Cortometraje,Catwoman: Nine Lives,2005,5,tt0470709
29,Cortometraje,Concrete Brown,2005,7,tt0470992
30,Cortometraje,Bunny & Clydo,2005,9,tt0470706
31,Cortometraje,Myopia,2005,4,tt0469145
32,Cortometraje,Nanny and the Professional,2005,8,tt0472275
33,Cortometraje,Wendy Wells,2005,5,tt0472279
34,Cortometraje,Method of Entry,2005,3,tt0475335
35,Cortometraje,Chicks with Sticks: Live at the Grand Slam,2005,6,tt0476447
36,Cortometraje,The Drop,2005,2,tt0476538
37,Cortometraje,Lock and Load: Making '24: Season 4',2005,8,tt0477765
38,Cortometraje,Beat,2005,7,tt0478098
39,Cortometraje,Blood on the Tracks: Making '24: Season 4',2005,8,tt0477577
40,Cortometraje,Kiss Chase,2005,4,tt0478189
41,Cortometraje,The Housewife,2005,8,tt0479066
42,Cortometraje,Days End,2005,8,tt0479891
43,Cortometraje,Consumed,2005,5,tt0479003
44,Cortometraje,Inevitable,2005,4,tt0479072
45,Cortometraje,The Paperboy,2005,5,tt0479118
46,Cortometraje,Visions,2005,8,tt0480272
47,Cortometraje,401-K.O.,2005,8,tt0480503
48,Cortometraje,Got Milk? The Movie,2005,9,tt0481739
49,Cortometraje,Punisher: First Round,2005,7,tt0481028
50,Cortometraje,Gratuitous,2005,9,tt0481530
51,Cortometraje,Bon Appetit,2005,9,tt0481482
52,Cortometraje,Duel at Red Table,2005,9,tt0481697
53,Cortometraje,Intrusion Confusion,2005,9,tt0481744
54,Cortometraje,Battaglia,2005,9,tt0481670
55,Cortometraje,Fate,2005,11,tt0484351
56,Cortometraje,Boom Boom in Paradise City,2005,9,tt0484478
57,Cortometraje,Hard Boiled Haggerty,2005,6,tt0484844
58,Cortometraje,Action Anton,2005,5,tt0485849
59,Cortometraje,Kill Johnny,2005,10,tt0486760
60,Cortometraje,Hiro,2005,9,tt0486595
61,Cortometraje,Choque,2005,9,tt0485877
62,Cortometraje,Chicks with Sticks: Kicking Xena's Ass,2005,9,tt0487251
63,Cortometraje,Mirage,2005,11,tt0488845
64,Cortometraje,Night & Daze,2005,11,tt0489243
65,Cortometraje,Hallowed Be Thy Name,2005,9,tt0490960
66,Cortometraje,Mystery Project,2005,11,tt0493150
67,Cortometraje,Purpose,2005,12,tt0493291
68,Cortometraje,No. 0014,2005,6,tt0493364
69,Cortometraje,Café Annoyé,2005,11,tt0495300
70,Cortometraje,Faustrecht,2005,11,tt0493126
71,Cortometraje,Return: A Warcraft Motion Picture,2005,11,tt0495238
72,Cortometraje,Trivial Things That People Say in Normal Letters,2005,6,tt0496417
73,Cortometraje,Lil Jon: Crunkwar Part 1,2005,9,tt0497036
74,Cortometraje,Should Heaven Fall,2005,5,tt0497973
75,Cortometraje,Once Upon a Time in the Desert,2005,12,tt0758770
76,Cortometraje,Patient J (Joker),2005,10,tt0759932
77,Cortometraje,Çarpisma,2005,9,tt0759905
78,Cortometraje,Un monde meilleur,2005,5,tt0765264
