,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Pelicula,Tekken,2010,3,tt0411951
1,Pelicula,Venus & Vegas,2010,11,tt0423474
2,Pelicula,The A-Team,2010,6,tt0429493
3,Pelicula,Segurança Nacional,2010,5,tt0439801
4,Pelicula,Scott Pilgrim vs. the World,2010,11,tt0446029
5,Pelicula,Taken by Force,2010,,tt0465637
6,Pelicula,"Guns, Drugs and Dirty Money",2010,,tt0464032
7,Pelicula,Komaram Puli,2010,9,tt0464162
8,Pelicula,Prince of Persia: The Sands of Time,2010,5,tt0473075
9,Pelicula,Unstoppable,2010,12,tt0477080
10,Pelicula,The Losers,2010,4,tt0480255
11,Pelicula,Clash of the Titans,2010,4,tt0800320
12,Pelicula,Cross the Line,2010,11,tt0810815
13,Pelicula,Gangster Exchange,2010,2,tt0846004
14,Pelicula,Zenitram,2010,5,tt0861747
15,Pelicula,How to Train Your Dragon,2010,3,tt0892769
16,Pelicula,Westbrick Murders,2010,5,tt0903036
17,Pelicula,House Under Siege,2010,3,tt0914823
18,Pelicula,The Dead Undead,2010,5,tt0923653
19,Pelicula,The Waiter,2010,3,tt0934981
20,Pelicula,The Last Airbender,2010,8,tt0938283
21,Pelicula,Salt,2010,8,tt0944835
22,Pelicula,Green Zone,2010,4,tt0947810
23,Pelicula,Robin Hood,2010,5,tt0955308
24,Pelicula,Private Security Officer: Los Angeles,2010,12,tt0960827
25,Pelicula,The Sorcerer's Apprentice,2010,7,tt0963966
26,Pelicula,The Fighter,2010,3,tt0964517
27,Pelicula,White Wall,2010,5,tt0969653
28,Pelicula,Headhunter: The Assessment Weekend,2010,8,tt0973809
29,Pelicula,Sinatra Club,2010,9,tt0975738
30,Pelicula,Boyle Heights,2010,,tt0977639
31,Pelicula,Machete,2010,9,tt0985694
32,Pelicula,Adventure Scouts,2010,10,tt0994917
33,Pelicula,Megamind,2010,12,tt1001526
34,Pelicula,He - The Only One,2010,,tt10087304
35,Pelicula,Knight and Day,2010,7,tt1013743
36,Pelicula,Dylan Dog: Dead of Night,2010,4,tt1013860
37,Pelicula,Deal,2010,,tt1020011
38,Pelicula,Centurion,2010,5,tt1020558
39,Pelicula,Kill Speed,2010,6,tt1027683
40,Pelicula,The Warrior's Way,2010,12,tt1032751
41,Pelicula,The Book of Eli,2010,3,tt1037705
42,Pelicula,Legion,2010,1,tt1038686
43,Pelicula,The King of Fighters,2010,8,tt1038685
44,Pelicula,The Bounty Hunter,2010,4,tt1038919
45,Pelicula,The Nutcracker in 3D,2010,12,tt1041804
46,Pelicula,Repo Men,2010,6,tt1053424
47,Pelicula,Bhairava IPS,2010,9,tt10622122
48,Pelicula,Bare Knuckles,2010,,tt1063327
49,Pelicula,Private Number,2010,7,tt10751652
50,Pelicula,Beyond the Grave,2010,2,tt1075642
