,0,1,2
0,For the Cause,2000,
1,Gang,2000,
2,The Incorporated,2000,
3,Heavy Metal 2000,2000,8
4,Mission: Impossible II,2000,56
5,Titan A.E.,2000,50
6,Foiled,2000,
7,X-Men,2000,82
8,The Crow: Salvation,2000,18
9,The Chronicles of Riddick: Pitch Black,2000,
10,U-571,2000,68
11,Knockout,2000,28
12,Highlander: Endgame,2000,11
13,Sinbad: Beyond the Veil of Mists,2000,40
14,Shafted!,2000,50
15,Josh,2000,51
16,Yup Yup Man,2000,
17,The Art of War,2000,16
18,Charlie's Angels,2000,68
19,Shaft,2000,67
20,Hollow Man,2000,26
21,Black Sea 213,2000,
22,Nautilus,2000,38
23,Romeo Must Die,2000,32
24,Red Team,2000,
25,Dream Witch,2000,
26,A Better Way to Die,2000,37
27,Prince of Central Park,2000,20
28,Gladiator,2000,79
29,The Thundering 8th,2000,
30,Alex l'ariete,2000,
31,The Million Dollar Kid,2000,
32,Delta Force One: The Lost Patrol,2000,20
33,Bullfighter,2000,0
34,The Perfect Storm,2000,46
35,Fortress 2,2000,
36,Mondialito,2000,
37,Icebreaker,2000,20
38,The Grizzly Six,2000,
39,Intrepid,2000,
40,The Specials,2000,47
41,Taxi 2,2000,70
42,Reindeer Games,2000,25
43,Shanghai Noon,2000,80
44,"Farewell, My Love",2000,50
45,Space Cowboys,2000,78
46,The Patriot,2000,62
47,Primary Suspect,2000,
48,Battlefield Earth,2000,3
49,Brooklyn Sonnet,2000,
50,Gone in Sixty Seconds,2000,25
51,Point Doom,2000,0
52,Dungeons & Dragons,2000,9
53,Left Behind,2000,75
54,Wo hu cang long,2000,
55,The Skulls,2000,9
56,Vertical Limit,2000,49
57,Lek,2000,
58,Accelerator,2000,
59,Newsbreak,2000,
60,Starforce,2000,
61,Hjärta av sten,2000,
62,The Wrecking Crew,2000,95
63,Under Pressure,2000,0
64,Tiger Claws III,2000,
65,Black Sea Raid,2000,
66,Wings of the Crow,2000,
67,Recipe for Disaster,2000,61
68,Red Planet,2000,14
69,Manhattan Chase,2000,
70,The Cheapest Movie Ever Made,2000,
71,Deep Core,2000,5
72,The Alternate,2000,75
73,Pilgrim,2000,
74,The Way of the Gun,2000,46
75,Ninja Mission 2000,2000,
76,Airboss III: The Payback,2000,
77,Hassel/Förgörarna,2000,
78,Airboss IV: The X Factor,2000,
79,Chain of Command,2000,30
80,Get Carter,2000,11
81,Nostradamus,2000,47
82,The Chaos Factor,2000,
83,The Guardian,2000,25
84,Big Momma's House,2000,30
85,Aquarius,2000,97
86,Obstacles,2000,84
87,Miss Congeniality,2000,41
88,Bait,2000,26
89,Citizen Toxie: The Toxic Avenger IV,2000,60
90,Ground Zero,2000,50
91,Last Stand,2000,
92,Doomsdayer,2000,
93,Gong yuan 2000 AD,2000,
94,Faith and the Water Dog,2000,
95,The Last Patrol,2000,89
96,O Dia da Caça,2000,
97,The 6th Day,2000,40
98,Total western,2000,
99,Vampire Hunter D: Bloodlust,2000,
100,Turn It Up,2000,10
101,Militia,2000,8
102,Mrs. Death 2: Hells Fury,2000,
103,Agent Red,2000,26
104,Dracula 2002,2000,
105,Submerged,2000,-
106,La máscara de Zorro,2000,
107,Pukar,2000,56
108,Blue Shirts,2000,
109,Daybreak,2000,12
110,G-Men from Hell,2000,
111,Khauff,2000,38
112,Mach 2,2000,0
113,Operation Delta Force 5: Random Fire,2000,25
114,Ojos que no ven,2000,
115,Proof of Life,2000,39
116,Ultraman Tiga: The Final Odyssey,2000,
117,Tha Eastsidaz,2000,59
118,Blue Belgium,2000,
119,Bulandi,2000,11
120,The Last Man,2000,33
121,Mela,2000,13
122,Future Murder,2000,
123,Epicenter,2000,23
124,Command Approved,2000,
125,Kaho Naa... Pyaar Hai,2000,
