actor,año_nacimiento,que_hace,conocido_por,lista premios
Verona Blue,,"['Reparto', 'Equipos adicional s', 'Guion']","['Bosch (2014)', 'Shameless (2011)']",
Jonathan Jorgensen,,"['Reparto', 'Equipos adicionales', 'Dirección de producción']",[],
Parth Siddhpura,2005.0,"['Reparto', 'Música', 'Dirección']","['Raazi (2018)', 'Big Hero 6 (2014)']",[]
Kudzai Nigel Chitewe,,"['Reparto', 'Producción', 'Especialistas']",[],
Ian Harbage,,['Reparto'],[],
Dalian Bledea,,['Reparto'],[],
Michaela Mann,,['Reparto'],[],
Dennis Wilson Jr.,,['Reparto'],[],
Philip Marshall,,"['Edición', 'Producción', 'Dirección']",[],['Park City Film Music Festival']
Ryôtarô,1969.0,"['Reparto', 'Banda sonora']","['Mega Man X4 (1997)', 'Mega Man X5 (2000)', 'Shinpi no sekai Eru Hazâdo (1995)']",[]
Yordan Karadzhov,,['Reparto'],[],
Jonathan Bromell,,['Reparto'],[],
Darin Foltz,,"['Producción', 'Reparto', 'Dirección de la segunda unidad o asistencia a dirección']",[],"['FANtastic Horror Film Festival, San Diego']"
Lien Mya Nguyen Oost,1982.0,"['Reparto', 'Producción', 'Dirección']",['Zombie Day Apocalypse (2017)'],
Mario Beteta,,['Reparto'],[],
Reuben-Henry Biggs,,['Reparto'],[],
Picardy Jean-Pierre,,"['Reparto', 'Equipos adicionales', 'Cámara y electricidad']","['Reincarnation (2018)', 'Future Man (2017)']",
Michael Elian,1976.0,['Reparto'],"['Ramy (2019)', 'Homeland (2011)', 'All the Little Things We Kill (2019)']",[]
Yahshua Ball,,['Reparto'],[],
Yuka Itaya,1975.0,['Reparto'],"['Unmei janai hito (2005)', 'Avec mon mari (1999)', 'Sky High (2002)']","['Mainichi Film Concours', 'Yokohama Film Festival']"
Ken Samuels,,"['Reparto', 'Producción']",[],
John Flano,,['Reparto'],[],
Johan Schyberg,,"['Producción', 'Reparto']",[],
Jaime Castro,,['Arte'],[],
Stefon Braxton,,['Reparto'],[],
Dan van Husen,1945.0,['Reparto'],['Enemigo a las puertas (2001)'],[]
Hannah Skaar,,['Reparto'],[],
Jussi Lankoski,,"['Reparto', 'Dirección de fotografía y cámara']",[],
Kim Richards,1964.0,"['Reparto', 'Producción']","['Asalto a la comisaría del distrito 13 (1976)', 'Black Snake Moan (2006)', 'La montaña embrujada (2009)']",[]
Sondre Halstensgård,,['Reparto'],[],
Dina B.,,"['Reparto', 'Equipos adicionales', 'Producción']","['Education in Love (2018)', 'Remnants (2013)']",
Casey Myers,,['Reparto'],[],
Paul Adams,,"['Reparto', 'Guion', 'Producción']",[],
Ileana Huxley,,"['Reparto', 'Sonido', 'Guion']",[],
Shalandis Wheeler Smith,,['Reparto'],[],['OTB - Only The Best International Film Awards']
Henry Douthwaite,1980.0,"['Reparto', 'Equipos adicionales']","['Laal Kaptaan (2019)', 'Cruel Peter (2019)']",
Anthony Greene,,"['Guion', 'Equipos adicionales', 'Producción']",[],
Mike Noble,,['Reparto'],[],"['Best Shorts Competition', 'Best Shorts Award']"
Daniel Hernandez II,,"['Reparto', 'Arte', 'Especialistas']",[],
Magi Avila,,"['Reparto', 'Producción', 'Dirección']",['Untie Me (2020)'],"['Best Shorts Competition', 'Universe Multicultural Film Festival', 'Virgin Spring Cinefest', 'Spotlight Film Awards', 'Best Actor & Director Awards']"
Ceren Mertadam,,['Reparto'],[],
Elain R. Graham,1949.0,['Reparto'],"['Across the Universe (2007)', 'Messengers (2004)', '666 Park Avenue (2012)']",[]
Shilpa Reddy,,['Reparto'],[],
Ryan Sparks,,"['Cámara y electricidad', 'Dirección de fotografía y cámara', 'Dirección de la segunda unidad o asistencia a dirección']",[],
Michael Chan,1950.0,"['Reparto', 'Producción']","['Un día de furia (1993)', 'Los Goonies (1985)']",[]
Shahbaaz Khan,1966.0,['Reparto'],['Agent Vinod (2012)'],['Annual Kalakar Awards']
RajeshB.,,"['Reparto', 'Equipos adicionales', 'Dirección de la segunda unidad o asistencia a dirección']",[],[]
Annadurai Kannadasan,,['Reparto'],"['Sindhanai Sei (2009)', 'Nanda Nanditha (2012)', 'Paravaigal Palavitham (1988)']",
T-Bone,1948.0,"['Música', 'Composición', 'Producción']","['Los juegos del hambre (2012)', 'Corazón rebelde (2009)']","['Academy Awards, USA', 'BMI Film & TV Awards', 'BAFTA Awards', 'Critics Choice Awards', 'Florida Film Critics Circle Awards', 'Golden Globes, USA', 'Satellite Awards', 'Grammy Awards', 'Film Independent Spirit Awards', 'Las Vegas Film Critics Society Awards', 'Los Angeles Film Critics Association Awards', 'Palm Springs International Film Festival', 'World Soundtrack Awards', 'Telluride Film Festival, US', 'St. Louis Film Critics Association, US', 'Alliance of Women Film Journalists', 'New York Film Critics, Online', 'Denver Film Critics Society', 'CinEuphoria Awards', 'Georgia Film Critics Association (GAFCA)', 'Houston Film Critics Society Awards', 'Online Film & Television Association', 'International Online Cinema Awards (INOCA)', ""Indiewire Critics' Poll"", 'Gold Derby Awards', 'Academy of Country Music Awards', 'CMA Awards - Country Music Association', 'Guild of Music Supervisors Awards', 'St. Louis Walk of Fame']"
Rosa Higgs,,"['Reparto', 'Cámara y electricidad', 'Maquillaje']",[],"['AltFF Alternative Film Festival', 'Hollywood Blood Horror Festival', 'Thrills And Chills Film Awards']"
Alexandra Adomaitis,1987.0,"['Dirección', 'Guion', 'Reparto']","['Snowden (2016)', 'Diamond Dayze (2017)']","['Valley Film Festival', 'LA Shorts Awards']"
Shawn Washington,,['Reparto'],[],
Luigi Maria Burruano,1945.0,"['Reparto', 'Guion']","['Los cien pasos (2000)', 'Il ritorno di Cagliostro (2003)', 'Liberi (2003)']","['Venice Film Festival', 'Golden Ciak Awards', 'Golden Goblets, Italy', 'Bellaria Film Festival (BFF)']"
John Yancey,,"['Reparto', 'Composición']",[],
Arden John,1930.0,"['Guion', 'Reparto']","['Love and War (1967)', 'Festival (1960)']",[]
Dilip Rayamajhi,,['Reparto'],"['Badal Paree (2001)', 'Darpan Chhaya (2001)', 'Super Star (2001)']",
John L. Curtis,,['Reparto'],[],['Indie Short Fest']
Luke Treadaway,1984.0,"['Reparto', 'Producción', 'Banda sonora']","['Attack the Block (2011)', 'Un gato callejero llamado Bob (2016)', 'Furia de titanes (2010)']",[]
Minoru Aoki,,"['Animación', 'Arte', 'Dirección de arte']",[],
Andrea Jeremiah,1985.0,"['Música', 'Reparto', 'Banda sonora']","['Thuppakki (2012)', 'Aayirathil Oruvan (2010)']",['Vijay Awards']
