tipo,titulo,anio,mes_estreno,id_pelicula
Cortometraje,G.,2000,1,tt0240524
Cortometraje,Last Mistake,2000,-,tt0240671
Cortometraje,Infection,2000,5,tt0245967
Cortometraje,Kog-Head and Meatus,2000,-,tt0251778
Cortometraje,Vigilante,2000,9,tt0253897
Cortometraje,The End,2000,8,tt0258550
Cortometraje,405,2000,6,tt0259165
Cortometraje,The Heart of the World,2000,9,tt0260948
Cortometraje,King's Ransom,2000,-,tt0262544
Cortometraje,The Right Hook,2000,2,tt0265647
Cortometraje,50CC,2000,-,tt0267242
Cortometraje,The Last Birthday Card,2000,-,tt0274625
Cortometraje,Argent content,2000,-,tt0275932
Cortometraje,Freeware,2000,-,tt0282501
Cortometraje,Master Shot,2000,2,tt0283471
Cortometraje,Heads,2000,-,tt0281904
Cortometraje,Shooter,2000,3,tt0286093
Cortometraje,Anywhere Out of the World,2000,12,tt0287918
Cortometraje,Software,2000,-,tt0299148
Cortometraje,Les nouvelles aventures de Chastity Blade,2000,-,tt0302071
Cortometraje,Killer Bean 2: The Party,2000,8,tt0307057
Cortometraje,Believe,2000,4,tt0308019
Cortometraje,Ray Tracey in Full Tilt,2000,7,tt0310045
Cortometraje,Intestino Grosso,2000,-,tt0314206
Cortometraje,Dejimon adobenchâ: Bokura no wô gêmu!,2000,3,tt0313441
Cortometraje,Clase z tropical,2000,10,tt0313905
Cortometraje,Cramps,2000,-,tt0336212
Cortometraje,Girl Meets Boy,2000,5,tt0342476
Cortometraje,Bancos,2000,5,tt0344888
Cortometraje,Reign of the Dead,2000,3,tt0358668
Cortometraje,Dreamer,2000,1,tt0358453
Cortometraje,Havoc,2000,9,tt0358507
Cortometraje,The Outlet,2000,-,tt0361996
Cortometraje,Widowmaker,2000,5,tt0362311
Cortometraje,The Horrible Livingroom Robot,2000,-,tt0373909
Cortometraje,France Five,2000,,tt0388954
Cortometraje,Down That Road and Back,2000,5,tt0388902
Cortometraje,The Pure,2000,12,tt0400754
Cortometraje,Biohazard 4D: Executer,2000,,tt0460411
Cortometraje,Dongsters,2000,11,tt0470041
Cortometraje,An Italian Take-out,2000,,tt0759921
Cortometraje,Lucha Libre Life,2000,6,tt10855508
Cortometraje,Hidden Tiger,2000,6,tt10942172
Cortometraje,Blown Again,2000,8,tt11996952
