tipo,titulo,año estreno,mes estreno,id_pelicula
Cortometraje,Like.Share.Repost.,2020,4,tt10011184
Cortometraje,War Gene,2020,,tt10054454
Cortometraje,Evade short film,2020,8,tt10096204
Cortometraje,Vanity Project,2020,5,tt10101588
Cortometraje,Gambler,2020,5,tt10130926
Cortometraje,Repentance,2020,11,tt10145036
Cortometraje,Ready.Fire.Aim,2020,11,tt10151796
Cortometraje,The Legend of Stella,2020,2,tt10155378
Cortometraje,Satan's Seven,2020,1,tt10156658
Cortometraje,Ricky Rodrigo,2020,-,tt10308910
Cortometraje,Renters,2020,9,tt10309086
Cortometraje,The Last Supper,2020,11,tt10313256
Cortometraje,Memorial Shattered Dreams,2020,,tt10322276
Cortometraje,Pit viper,2020,1,tt10346388
Cortometraje,No Hay Precio,2020,,tt10359014
Cortometraje,A King's Life,2020,3,tt10367202
Cortometraje,The Rage,2020,7,tt10387682
Cortometraje,Crystal Peak,2020,3,tt10398746
Cortometraje,Downward Facing Dogs,2020,1,tt10417488
Cortometraje,Pawns,2020,2,tt10432094
Cortometraje,The Death Rally,2020,6,tt10436902
Cortometraje,Leafer,2020,7,tt10452082
Cortometraje,When Fire Flies,2020,5,tt10461130
Cortometraje,Last 24 hours,2020,12,tt10467642
Cortometraje,Last Trial: A Star Wars Collateral Story,2020,,tt10477482
Cortometraje,"Greetings, From The Planet Krog!",2020,1,tt10487352
Cortometraje,Lil' Balzac 2,2020,,tt10520114
Cortometraje,El Borracho: El vino viejo es el más peleón,2020,1,tt10533822
Cortometraje,City Rush,2020,1,tt10535026
Cortometraje,Virtue,2020,9,tt10551180
Cortometraje,Buddy Cops; The Stakeout,2020,1,tt10553722
Cortometraje,The Elder Guardians,2020,1,tt10619672
Cortometraje,Roll Initiative,2020,10,tt10626796
Cortometraje,Dinner With Grandma,2020,3,tt10643474
Cortometraje,Night of The Living Dead Girl,2020,10,tt10680106
Cortometraje,Green Lantern's Light,2020,1,tt10687646
Cortometraje,Batman vs Captain America,2020,3,tt10726286
Cortometraje,Here to Collect,2020,,tt10728896
Cortometraje,The Cure,2020,5,tt10763494
Cortometraje,Taipei Jesus,2020,9,tt10766442
Cortometraje,Welkin,2020,1,tt10778264
Cortometraje,Eighth Wonder,2020,,tt10804094
Cortometraje,Five Minutes,2020,,tt10810408
Cortometraje,Nemesis,2020,3,tt10826534
Cortometraje,Don't F**k with the Musketeers,2020,8,tt10857420
Cortometraje,Danime,2020,6,tt10874822
Cortometraje,Mnemonix: The Hive,2020,12,tt10908210
