tipo,nombre,año estreno,mes estreno,id_pelicula
Pelicula,Tekken,2010,3,tt0411951
Pelicula,Venus & Vegas,2010,11,tt0423474
Pelicula,The A-Team,2010,6,tt0429493
Pelicula,Segurança Nacional,2010,5,tt0439801
Pelicula,Scott Pilgrim vs. the World,2010,11,tt0446029
Pelicula,Taken by Force,2010,,tt0465637
Pelicula,"Guns, Drugs and Dirty Money",2010,,tt0464032
Pelicula,Komaram Puli,2010,9,tt0464162
Pelicula,Prince of Persia: The Sands of Time,2010,5,tt0473075
Pelicula,Unstoppable,2010,12,tt0477080
Pelicula,The Losers,2010,4,tt0480255
Pelicula,Clash of the Titans,2010,4,tt0800320
Pelicula,Cross the Line,2010,11,tt0810815
Pelicula,Gangster Exchange,2010,2,tt0846004
Pelicula,Zenitram,2010,5,tt0861747
Pelicula,How to Train Your Dragon,2010,3,tt0892769
Pelicula,Westbrick Murders,2010,5,tt0903036
Pelicula,House Under Siege,2010,3,tt0914823
Pelicula,The Dead Undead,2010,5,tt0923653
Pelicula,The Waiter,2010,3,tt0934981
Pelicula,The Last Airbender,2010,8,tt0938283
Pelicula,Salt,2010,8,tt0944835
Pelicula,Green Zone,2010,4,tt0947810
Pelicula,Robin Hood,2010,5,tt0955308
Pelicula,Private Security Officer: Los Angeles,2010,12,tt0960827
Pelicula,The Sorcerer's Apprentice,2010,7,tt0963966
Pelicula,The Fighter,2010,3,tt0964517
Pelicula,White Wall,2010,5,tt0969653
Pelicula,Headhunter: The Assessment Weekend,2010,8,tt0973809
Pelicula,Sinatra Club,2010,9,tt0975738
Pelicula,Boyle Heights,2010,,tt0977639
Pelicula,Machete,2010,9,tt0985694
Pelicula,Adventure Scouts,2010,10,tt0994917
Pelicula,Megamind,2010,12,tt1001526
Pelicula,He - The Only One,2010,,tt10087304
Pelicula,Knight and Day,2010,7,tt1013743
Pelicula,Dylan Dog: Dead of Night,2010,4,tt1013860
Pelicula,Deal,2010,,tt1020011
Pelicula,Centurion,2010,5,tt1020558
Pelicula,Kill Speed,2010,6,tt1027683
Pelicula,The Warrior's Way,2010,12,tt1032751
Pelicula,The Book of Eli,2010,3,tt1037705
Pelicula,Legion,2010,1,tt1038686
Pelicula,The King of Fighters,2010,8,tt1038685
Pelicula,The Bounty Hunter,2010,4,tt1038919
Pelicula,The Nutcracker in 3D,2010,12,tt1041804
Pelicula,Repo Men,2010,6,tt1053424
Pelicula,Bhairava IPS,2010,9,tt10622122
Pelicula,Bare Knuckles,2010,,tt1063327
Pelicula,Private Number,2010,7,tt10751652
Pelicula,Beyond the Grave,2010,2,tt1075642
Pelicula,Jonah Hex,2010,9,tt1075747
Pelicula,Elimination,2010,6,tt1078597
Pelicula,Krews,2010,3,tt1078583
Pelicula,Jerry Cotton,2010,3,tt1080019
Pelicula,Pusher,2010,10,tt1082075
Pelicula,Deadly Impact,2010,7,tt1082577
Pelicula,Mexican Bloodbath,2010,2,tt1084717
Pelicula,Orsova Noua 5: Epilog,2010,,tt10931336
Pelicula,The Rig,2010,10,tt1093906
Pelicula,Frenchy,2010,1,tt1286146
Pelicula,Killers,2010,6,tt1103153
Pelicula,TRON: Legacy,2010,1,tt1104001
Pelicula,You Have the Right to Remain Violent,2010,5,tt1107855
Pelicula,Seres: Genesis,2010,9,tt1114731
Pelicula,Jackass 3D,2010,10,tt1116184
Pelicula,Di renjie: Tong tian di guo,2010,9,tt1123373
Pelicula,The Beautiful Outsiders,2010,,tt11274532
Pelicula,Sisanje,2010,10,tt1129437
Pelicula,Sinners and Saints,2010,8,tt1130969
Pelicula,Takers,2010,11,tt1135084
Pelicula,Krach,2010,9,tt1135083
Pelicula,Undercover Rascals,2010,10,tt11361770
Pelicula,Tales of an Ancient Empire,2010,7,tt1136688
Pelicula,Moo-jeok-ja,2010,9,tt1138442
Pelicula,The Karate Kid,2010,7,tt1155076
Pelicula,L'immortel,2010,5,tt1167638
Pelicula,Jabroo Te Nizam,2010,10,tt11755644
Pelicula,From Paris with Love,2010,3,tt1179034
Pelicula,Les aventures extraordinaires d'Adèle Blanc-Sec,2010,4,tt1179025
Pelicula,Black Death,2010,6,tt1181791
Pelicula,Bunraku,2010,11,tt1181795
Pelicula,Barcelona vs Real Madrid,2010,11,tt11823092
Pelicula,Stag Night of the Dead,2010,10,tt1183489
Pelicula,Veer,2010,1,tt1185412
Pelicula,Kung Fu Magoo,2010,5,tt1186365
Pelicula,Dogs of Chinatown,2010,,tt1188482
Pelicula,Toonpur Ka Superrhero,2010,12,tt1189006
Pelicula,Corrado,2010,6,tt1193473
Pelicula,Denizen,2010,4,tt1194424
Pelicula,FC Barcelona vs Hércules CF,2010,9,tt11947600
Pelicula,Kites,2010,5,tt1198101
Pelicula,Birmingham City vs Tottenham Hotspur,2010,1,tt11992716
Pelicula,Id,2010,5,tt1201661
Pelicula,Innocent,2010,1,tt1202232
Pelicula,Shadows in Paradise,2010,2,tt1212442
Pelicula,Mercy,2010,6,tt1213590
Pelicula,Tic,2010,,tt1217301
Pelicula,Legend of the Guardians: The Owls of Ga'Hoole,2010,9,tt1219342
Pelicula,Resident Evil: Afterlife,2010,9,tt1220634
Pelicula,Urgency,2010,1,tt1221867
Pelicula,The Big I Am,2010,4,tt1225302
Pelicula,Edge of Darkness,2010,1,tt1226273
Pelicula,Around Hell,2010,10,tt12282568
Pelicula,Iron Man 2,2010,4,tt1228705
Pelicula,Downstream,2010,2,tt1229236
Pelicula,Collide,2010,12,tt1230120
Pelicula,Hwanghae,2010,12,tt1230385
Pelicula,Wild Target,2010,6,tt1235189
Pelicula,Disarmed,2010,11,tt1237373
Pelicula,Tour de Force,2010,1,tt1242787
Pelicula,The Tourist,2010,1,tt1243957
Pelicula,RED,2010,10,tt1245526
Pelicula,Magic Journey to Africa,2010,5,tt1247681
Pelicula,The Lazarus Papers,2010,7,tt1247400
Pelicula,Rollers,2010,,tt1248300
Pelicula,Kick-Ass,2010,4,tt1250777
Pelicula,The Tenant,2010,,tt1258998
Pelicula,Icarus,2010,7,tt1261862
Pelicula,Dead in the Head,2010,,tt1262983
Pelicula,The Last Rites of Ransom Pride,2010,6,tt1268970
Pelicula,Rogues Gallery,2010,5,tt1268987
Pelicula,Hatchet II,2010,7,tt1270835
Pelicula,Kandagar,2010,2,tt1272018
Pelicula,Ascension,2010,3,tt12730876
Pelicula,The Spy Next Door,2010,2,tt1273678
Pelicula,An Immortal Tale,2010,4,tt1274272
Pelicula,Liverpool vs Blackpool,2010,10,tt12775128
Pelicula,2010 Championship Playoff Final,2010,-,tt12787882
Pelicula,Mard No.1,2010,,tt12788652
Pelicula,Ramaa: The Saviour,2010,11,tt1279105
Pelicula,Banglar King Kong,2010,6,tt12798342
Pelicula,Genghis Khan: The Story of a Lifetime,2010,,tt1280009
Pelicula,Supreme Champion,2010,7,tt1283546
Pelicula,One Long Day,2010,8,tt1283930
Pelicula,Jitsuroku wakagashira,2010,,tt12845920
Pelicula,Lahore,2010,3,tt1285245
