tipo,titulo,año estreno,mes estreno,id_pelicula
Pelicula,Duel of Legends,2020,8,tt0849437
Pelicula,Road to Red,2020,1,tt0926132
Pelicula,Fantasy Island,2020,2,tt0983946
Pelicula,Hunted,2020,9,tt10011228
Pelicula,Seeru,2020,2,tt10022990
Pelicula,Block Z,2020,1,tt10044182
Pelicula,Unhinged,2020,7,tt10059518
Pelicula,Range of Sniper,2020,6,tt10082520
Pelicula,La terre et le sang,2020,4,tt10092752
Pelicula,The Glint of Darkness: Revolution,2020,12,tt10096114
Pelicula,Guai wu xian sheng,2020,8,tt10097484
Pelicula,Gripped: Climbing the Killer Pillar,2020,8,tt10097958
Pelicula,Tribal Get Out Alive,2020,8,tt10126136
Pelicula,Bronx,2020,10,tt10127684
Pelicula,Malnazidos,2020,3,tt10127708
Pelicula,Behind the Line: Escape to Dunkirk,2020,8,tt10148118
Pelicula,Zuìran de quantou,2020,6,tt10147568
Pelicula,La Liga de los 5,2020,1,tt10149080
Pelicula,Justice League: Invasion,2020,9,tt10152746
Pelicula,Force to Fear,2020,7,tt10176540
Pelicula,Once Upon a Time in Indonesia,2020,11,tt10200522
Pelicula,Unidad 23,2020,8,tt10225726
Pelicula,Class of 83,2020,8,tt10230422
Pelicula,Star Wars: Battle for the Holocrons,2020,7,tt10239898
Pelicula,Agent Jade Black,2020,1,tt10275080
Pelicula,Coolie No. 1,2020,12,tt10280276
Pelicula,Walter,2020,3,tt10300704
Pelicula,Wu jian xing zhe zhi Sheng si qian xong,2020,11,tt10300286
Pelicula,Survive the Night,2020,5,tt10303324
Pelicula,Butai Yu Yu Hakusho,2020,2,tt10308500
Pelicula,Jusqu'au déclin,2020,3,tt10307440
Pelicula,Force of Nature,2020,7,tt10308928
Pelicula,Fatman,2020,11,tt10310140
Pelicula,Becky,2020,6,tt10314450
Pelicula,Pesti balhé,2020,7,tt10319486
Pelicula,Leo,2020,12,tt10324274
Pelicula,Secret Society of Second-Born Royals,2020,9,tt10324122
Pelicula,Comment je suis devenu super-héros,2020,11,tt10345590
Pelicula,Laxmii,2020,11,tt10350922
Pelicula,Gunjan Saxena: The Kargil Girl,2020,8,tt10350626
Pelicula,Trail to the Reservoir,2020,12,tt10370456
Pelicula,One Way Out,2020,-,tt10374742
Pelicula,Danny,2020,8,tt10381134
Pelicula,Gunfight at Silver Creek,2020,3,tt10398376
Pelicula,Two Paths One Road,2020,12,tt10402532
Pelicula,BAC Nord,2020,9,tt10404944
Pelicula,Taana,2020,1,tt10415510
Pelicula,Superagente Makey,2020,7,tt10419566
Pelicula,111 the Force,2020,5,tt10426006
Pelicula,No Man's Land,2020,11,tt10449052
Pelicula,Bound,2020,7,tt10457702
Pelicula,Balle perdue,2020,6,tt10456740
Pelicula,Catch of the Day 2: You Die at Dawn!,2020,6,tt10463692
Pelicula,Code of Thieves,2020,5,tt10466348
Pelicula,Scream Birds - Attack of Nuclear Pigeons,2020,3,tt10489608
Pelicula,Zheng tu,2020,7,tt10508838
Pelicula,Steel Rain 2,2020,7,tt10516176
Pelicula,Queen of the Trap House,2020,12,tt10530090
Pelicula,Agnee 3,2020,2,tt10538822
Pelicula,The Main Event,2020,4,tt10540242
Pelicula,Bou - The Wife,2020,12,tt10540386
Pelicula,Genadeloos 2: Amber,2020,10,tt10542186
Pelicula,Commandos: The Mission,2020,4,tt10558706
Pelicula,My Name Is Raja,2020,3,tt10580094
Pelicula,Nowhere to Hide,2020,2,tt10589360
Pelicula,Bf 109,2020,-,tt10591240
Pelicula,Psy 3: W imie zasad,2020,1,tt10590530
Pelicula,Mafia,2020,2,tt10594792
Pelicula,Robotboy the movie,2020,3,tt10597554
Pelicula,La Sucre,2020,7,tt10598380
Pelicula,We Can Be Heroes,2020,12,tt10600398
Pelicula,Hunting Horse,2020,-,tt10601298
Pelicula,Ashen,2020,12,tt10607806
Pelicula,#Saraitda,2020,9,tt10620868
Pelicula,Cybrid Wasteland,2020,3,tt10628134
Pelicula,The Marinelli Family,2020,10,tt10640792
Pelicula,Shylock,2020,1,tt10644282
Pelicula,A Divisão,2020,1,tt10648192
Pelicula,Khalifornia,2020,11,tt10660768
Pelicula,Detective MJ: Shadow of a Hero,2020,12,tt10663470
Pelicula,Devastation: End of Life,2020,12,tt10681516
Pelicula,Scorpion Girl: The Awakening,2020,1,tt10681856
Pelicula,Palasa 1978,2020,3,tt10682062
Pelicula,The Store Front,2020,3,tt10697462
Pelicula,L.O.R.D: Legend of Ravaging Dynasties 2,2020,12,tt10701926
Pelicula,Danger Zone: Against all Odds,2020,6,tt10708124
Pelicula,Duncan,2020,11,tt10725448
Pelicula,Hayalet: 3 Yasam,2020,,tt10731100
Pelicula,The Key,2020,3,tt10743282
Pelicula,Pattas,2020,1,tt10750020
Pelicula,Vigilante,2020,12,tt10751528
Pelicula,Wyzwanie,2020,7,tt10758146
Pelicula,Sarileru Neekevvaru,2020,1,tt10773090
Pelicula,Headcheese: The Movie,2020,4,tt10772334
Pelicula,The Spider-Man (Fan Film),2020,1,tt10778364
Pelicula,Magendra,2020,1,tt10804214
Pelicula,Ethalaya,2020,3,tt10810522
Pelicula,Catwalk warrior,2020,8,tt10810810
Pelicula,Seda Mawathe,2020,2,tt10833594
Pelicula,Taish,2020,10,tt10840884
Pelicula,The Forevers,2020,2,tt10841384
Pelicula,Cabal,2020,3,tt10850450
Pelicula,Balakot: the true story,2020,,tt10852008
Pelicula,"Kamen Raidâ Jiô Next Time: Geitsu, majesutî",2020,2,tt10863950
Pelicula,Khaali Peeli,2020,10,tt10885444
Pelicula,The Sleepover,2020,8,tt10888708
Pelicula,Bond and Holmes: Antiheroines,2020,,tt10905460
Pelicula,Icon - A Fan Film,2020,2,tt10908226
Pelicula,Mugabe,2020,6,tt10908892
Pelicula,Ik Sandhu Hunda Si,2020,2,tt10916120
Pelicula,Mendilim Kekik Kokuyor,2020,3,tt10923534
Pelicula,It's About Choices,2020,2,tt10919858
Pelicula,The Coming,2020,9,tt10926356
Pelicula,Angel of The North,2020,12,tt10931146
Pelicula,The Debt Collector 2,2020,5,tt10933680
Pelicula,Justice League Extinction,2020,12,tt10937188
Pelicula,Naruto Evolution Episode One: Bonds,2020,1,tt10936240
Pelicula,Chick Fight,2020,11,tt10944486
Pelicula,El robo del siglo,2020,1,tt10948718
Pelicula,Taanashah,2020,2,tt10968008
Pelicula,Dagaalty,2020,1,tt10966832
Pelicula,Brew,2020,,tt10978650
Pelicula,Ka bor jong ka kyiad,2020,-,tt10981056
Pelicula,Jinde Meriye,2020,1,tt10984686
Pelicula,Beckman,2020,9,tt10989808
Pelicula,Entha Manchivaadavuraa,2020,1,tt10995146
Pelicula,Dispatched,2020,4,tt11011508
Pelicula,For the Sake of Vicious,2020,4,tt11014390
Pelicula,Yakusoku no Neverland,2020,12,tt11027510
Pelicula,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,6,tt11032374
Pelicula,Malibu Rescue: The Next Wave,2020,8,tt11032990
Pelicula,Action,2020,1,tt11041352
Pelicula,Rev,2020,8,tt11056594
Pelicula,Shorta,2020,10,tt11081050
Pelicula,The Yami's First Emperor Movie,2020,9,tt11110770
Pelicula,16 Bars,2020,5,tt11131480
Pelicula,Lady Detective Shadow II,2020,3,tt11137992
Pelicula,Madre anoche en las trincheras,2020,1,tt11148078
Pelicula,Goblin Slayer: Goblin's Crown,2020,2,tt11151982
Pelicula,G the Film,2020,1,tt11162502
Pelicula,Jiang Ziya,2020,10,tt11177804
Pelicula,Baghdad Thief,2020,1,tt11187484
Pelicula,Bheeshma,2020,2,tt11199356
Pelicula,30 jours max,2020,10,tt11206302
Pelicula,Remington,2020,9,tt11210084
Pelicula,One Night in China Town,2020,11,tt11210068
Pelicula,Ahilya: Zunj Ekaki,2020,1,tt11210110
Pelicula,Six: One by One,2020,9,tt11212666
Pelicula,Woman in the Woods,2020,1,tt11224748
Pelicula,Namaste Nestama,2020,1,tt11262002
Pelicula,Thor: End of Days,2020,3,tt11268228
Pelicula,Archenemy,2020,12,tt11274100
Pelicula,Deep Logic,2020,1,tt11291484
Pelicula,Adhiktam,2020,11,tt11292062
Pelicula,De Peperbollen en het geheim van de diepzee,2020,9,tt11300452
Pelicula,Bumper,2020,3,tt11306994
Pelicula,Punching and Stealing,2020,6,tt11305898
Pelicula,Rocket Hunter,2020,9,tt11316764
Pelicula,Bad Boy,2020,2,tt11319074
Pelicula,Ayyappanum Koshiyum,2020,2,tt11322920
Pelicula,Run Zindagi Run,2020,1,tt11331320
Pelicula,Pocket Full of Game,2020,8,tt11343368
Pelicula,Sankarapuram,2020,4,tt11343628
Pelicula,Navarathna,2020,2,tt11355020
Pelicula,Brother's Revenge,2020,11,tt11362678
Pelicula,Bulan dan Pria Terhebat,2020,3,tt11364248
Pelicula,Dark Intentions 3: The Rescue,2020,3,tt11373836
Pelicula,Año Cero El Exilio,2020,11,tt11372764
Pelicula,Homicidal Vengeance,2020,1,tt11377822
Pelicula,Face Off 2,2020,7,tt11378200
Pelicula,V,2020,9,tt11385128
Pelicula,Calibro 9,2020,2,tt11390878
Pelicula,The Imperfects,2020,1,tt11422364
Pelicula,6 Hours,2020,12,tt11422472
Pelicula,Kyo kara ore wa!,2020,7,tt11427318
Pelicula,Aswathama,2020,1,tt11430262
Pelicula,Gekijoban G No Reconguista II: Bellri Gekishin,2020,2,tt11433900
Pelicula,Papers 15: Dark Chapters Pt 1,2020,2,tt11432980
Pelicula,Main Hoon Khalnayak,2020,3,tt11433838
Pelicula,Psycho-Pass 3: First Inspector,2020,3,tt11433874
Pelicula,The Eigenmatrix,2020,2,tt11446512
Pelicula,Shaheed Bhai Kotwal,2020,1,tt11449104
Pelicula,Jaan to Pyara,2020,1,tt11454430
Pelicula,Yin-Yang Master I,2020,12,tt11454718
Pelicula,Love Is Blind,2020,11,tt11453400
Pelicula,Gentleman,2020,2,tt11470290
Pelicula,Jones and the Mystery of Nazca,2020,9,tt11477506
Pelicula,Kishiryû Sentai Ryuusoujâ Bui Esu Rupanrenjâ Bui Esu Patorenjâ,2020,2,tt11478014
Pelicula,Hit,2020,2,tt11490170
Pelicula,Sifir Bir,2020,1,tt11493232
Pelicula,The Kung Fu Master,2020,1,tt11497232
Pelicula,La belva,2020,11,tt11499506
Pelicula,3rd Class,2020,2,tt11515380
Pelicula,Siruthai Siva,2020,,tt11519854
Pelicula,Phoenix,2020,12,tt11523610
Pelicula,Lipstick Dojo,2020,2,tt11525438
Pelicula,God Father,2020,2,tt11531324
Pelicula,Ek Sainik: The Tale of a Warrior,2020,1,tt11536684
Pelicula,The Grand Grandmaster,2020,1,tt11536476
Pelicula,Gekijôban Urutoraman Taiga: Nyû jene kuraimakkusu,2020,8,tt11540212
Pelicula,Miseuteo Ju: Sarajin VIP,2020,1,tt11566166
Pelicula,Guns of Banaras,2020,2,tt11573410
Pelicula,Rogue,2020,9,tt11576124
Pelicula,Brute,2020,12,tt11582522
Pelicula,Aalkoottathil Oruvan,2020,1,tt11580792
Pelicula,Draupathi,2020,2,tt11581264
Pelicula,War of ShanHai: The Revenge of Titan Monsters,2020,1,tt11581038
Pelicula,Hydra: Resurgence,2020,1,tt11585356
Pelicula,Quiet Murders,2020,2,tt11589646
Pelicula,Fox Hunting,2020,1,tt11599326
Pelicula,Veeram,2020,5,tt11603780
Pelicula,Thackeray,2020,12,tt11603750
Pelicula,Conservators IV: Fracture,2020,3,tt11609616
Pelicula,Di Ren Jie Tan An,2020,1,tt11621896
Pelicula,Battle of Little Bighorn,2020,1,tt11634288
Pelicula,Thirty Pieces of Silver,2020,3,tt11635262
Pelicula,Virataparva,2020,9,tt11639390
Pelicula,High School Fleet the Movie,2020,1,tt11639420
Pelicula,Butter,2020,2,tt11651248
