actor,año_nacimiento,que_hace,conocido_por,lista premios
Maria DeCotis,,"['Reparto', 'Dirección', 'Guion']",[],
Carlo Marcoccia,,['Reparto'],[],
Tjebbo Gerritsma,,"['Reparto', 'Banda sonora']",[],
Enrico Macias,1938.0,"['Reparto', 'Música', 'Banda sonora']","['Mina Tannenbaum (1994)', 'La hija de un soldado nunca llora (1998)']",['New York Sephardi Jewish Film Festival']
Monica Dottor,,"['Reparto', 'Equipos adicionales']",[],[]
Jessica Weiß,,"['Música', 'Composición', 'Reparto']",[],[]
George Russing,,['Reparto'],[],
Evencio Bahena,,['Reparto'],[],
Armando Merlo,,['Reparto'],[],"['New York City International Film Festival, US']"
Michelle Brookhurst,,"['Vestuario', 'Diseño de vestuario', 'Producción']",[],
Amin Hajee,,"['Reparto', 'Guion', 'Dirección']",['Koi Jaane Na (2021)'],[]
Jelisaveta 'Seka' Sablic,1942.0,['Reparto'],"['Maratonci trce pocasni krug (1982)', 'Srecni ljudi (1993)', 'Vikend na mrtovci (1988)']",['Pula Film Festival']
Lawrence Bullock,,['Reparto'],[],
Jean-Paul Lucasson,,['Reparto'],[],
Scott Thomson,1957.0,"['Reparto', 'Banda sonora']","['Twister (1996)', 'Loca academia de policía (1984)', 'Aquel excitante curso (1982)']",
Gianni Zammit,,['Reparto'],[],
Ron Howard,1954.0,"['Producción', 'Reparto', 'Guion']","['Arrested Development (2003)', 'Una mente maravillosa (2001)', 'El último pistolero (1976)']","['Academy Awards, USA', 'Academy of Science Fiction, Fantasy & Horror Films, USA', 'American Cinema Editors, USA', 'American Society of Cinematographers, USA', 'Austin Film Festival', 'Critics Choice Awards', 'Christopher Awards', 'CINE Competition', 'Dallas-Fort Worth Film Critics Association Awards', 'Daytime Emmy Awards', 'Directors Guild of America, USA', 'Golden Globes, USA', 'Grammy Awards', 'Hochi Film Awards', 'Hollywood Film Awards', 'Kansas City Film Critics Circle Awards', 'Las Vegas Film Critics Society Awards', 'Monte-Carlo TV Festival', 'Motion Picture Sound Editors, USA', 'Palm Springs International Film Festival', 'PGA Awards', 'ShoWest Convention, USA', 'Southeastern Film Critics Association Awards', 'Venice Film Festival', 'Walk of Fame', 'Accolade Competition', 'Society of Camera Operators', 'Central Florida Film Festival', 'Sun Valley Film Festival, US', 'Jupiter Award', 'Heartland Film', 'Yoga Awards', 'Two Riversides Film and Art Festival', 'Critics Association of Central Florida Awards', ""Children's & Family Emmy Awards""]"
Hugo Villalvazo,,['Reparto'],[],
Nathan Sutton,1983.0,"['Reparto', 'Producción', 'Guion']","['Autumn Wanderer (2013)', 'New Year (2021)']",['Hollywood Film Awards']
Chae In-Woo,,['Reparto'],[],
Cristopher Porcia,,['Reparto'],[],
Midoriko Kimura,1961.0,['Reparto'],"['Kansen rettô (2009)', 'Ore ore (2013)']",
Mary McDonnell,1952.0,"['Reparto', 'Banda sonora']","['Donnie Darko (2001)', 'Bailando con lobos (1990)']","['Academy of Science Fiction, Fantasy & Horror Films, USA', 'Film Independent Spirit Awards', 'Jules Verne Awards', ""Women's Image Network Awards""]"
Badasar Colbiyik,,['Reparto'],"['Die rote Zora (2008)', 'Der Dicke (2005)', 'Die Kanzlei (2015)']",
Colin Albanese,,['Reparto'],[],
