actor,año_nacimiento,que_hace,conocido_por,lista premios
Courtney S. Bunbury,1979.0,"['Reparto', 'Producción', 'Dirección']","['The Instant Messenger (2011)', 'Unsolved (2015)']",[]
Aditi Agarwal,1987.0,['Reparto'],"['Gangotri (2003)', 'Vidyardhi (2004)', 'Koduku (2004)']",
Kathy Reyes,,"['Reparto', 'Localización']",[],
Travis Tritt,1963.0,"['Music Artist', 'Reparto', 'Banda sonora']","['Blues Brothers 2000 (1998)', 'Mi primo Vinny (1992)', 'Mula (2018)']","['Grammy Awards', 'CMA Awards - Country Music Association']"
Ahmed Helmy,1969.0,"['Reparto', 'Producción', 'Guion']",['Sahar el layaly (2003)'],"['Cairo International Film Festival', 'Paris Biennal of Arab Cinema', 'Damascus Film Festival', 'Cairo National Festival for Egyptian Cinema']"
Towenkal Bose,,['Reparto'],[],
Lauren Meley,,"['Reparto', 'Producción']",['Cancellation (2020)'],['Columbia Film Festival']
Darren Kelfkens,,"['Reparto', 'Dirección']",[],
Monica Trombetta,,"['Reparto', 'Equipos adicionales']","['Turno de guardia (1999)', 'Homicidio (1993)', 'Late Show with David Letterman (1993)']",[]
Tony Cicchetti,,['Reparto'],[],
Gabriel Marantz,,"['Reparto', 'Equipos adicionales']",[],['Solstice Film Festival']
Stephen Kilcullen,,"['Reparto', 'Guion', 'Producción']","['Sexual Tyrannosaurus (2006)', 'The Time Traveller (2008)', 'PupParazzi (2019)']",[]
Suga-T,,"['Reparto', 'Banda sonora']","['Persiguiendo a Betty (2000)', 'Pootie Tang (2001)', 'Hot City (1996)']",[]
Diego Shea,,['Reparto'],[],
Kylo Freeman,,"['Reparto', 'Producción']",[],
Anshuman Joshi,,"['Reparto', 'Dirección', 'Guion']",[],
Patrice Chéreau,1944.0,"['Equipos adicionales', 'Dirección', 'Reparto']","['Intimidad (2001)', 'El último mohicano (1992)', 'La reina Margot (1994)']","['Berlin International Film Festival', 'Cannes Film Festival', 'César Awards, France', 'Chicago International Film Festival', 'Prix Louis Delluc', 'SACD Awards', 'Lumiere Awards, France', ""Étoiles d'Or, France"", 'Rio de Janeiro International Film Festival', 'Autores Awards, Portugal', 'Seville European Film Festival']"
Sebastian Feldman,,"['Reparto', 'Equipos adicionales']",['Look (2007)'],
Wallace Demarria,,"['Reparto', 'Producción', 'Guion']","['A Simple Promise (2008)', 'What If a Woman (2016)']",[]
Brishel Prichard,,['Reparto'],[],
Oubri G. Gbati,,['Reparto'],[],
