puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,Patrick Willems,Patrick Willems,A Moviegoer kills an annoying moviegoer.,-,Accion,oscar buzz,2015
-,Yunhao Zhang,Yunhao Zhang,-,2,Accion,the hungry buddhists,2015
-,Matthew Silva,"['Aniel Rios', 'Matthew Silva']",-,-,Accion,final descent,2015
-,Matthew Silva,"['Aniel Rios', 'Matthew Silva']",-,-,Accion,operation pursuit,2015
-,Maria Robles,Maria Robles,-,-,Accion,flamenco dancer's revenge,2015
-,"['Aline Guimarães', 'Dandara Guerra']","['Thalita Carauta', 'Aline Guimarães', 'Anna Righi']",-,-,Accion,pele 1 real,2015
-,Denise Sganzerla,Denise Sganzerla,-,-,Accion,politicamente - canal mosaico,2015
5.2,Mario Xavier,-,"Dr. Beck Jenkins, a Sharkologist, notices sharks acting strangely. He decides to investigate their behaviour, but something seems to suggest a World War Two science experiment may be involved.",6,Accion,nazi sharks,2015
-,Xlson137,"['Vitaly Grinevich', 'Xlson137']",-,-,Accion,beach tusa - saltushki!,2015
-,Xlson137,Xlson137,-,-,Accion,beach tusa - zakaznoy,2015
-,Aris Koulaidis,Aris Koulaidis,-,-,Accion,pirates airsoft team,2015
-,Matthew Silva,"['Aniel Rios', 'Matthew Silva']",-,-,Accion,fight for redemption,2015
-,Rodrigo Reinhardt,"['Fernanda Denuzzo', 'Rodrigo Reinhardt']",-,-,Accion,o curto adeus,2015
-,Tadgh Quill-Manley,Tadgh Quill-Manley,-,10,Accion,y.o.l.o (you only live once),2015
-,Roberto Cuba,Roberto Cuba,-,-,Accion,tiger sci-fi kung-fu,2015
-,Drew Bromley,Drew Bromley,-,-,Accion,evil hand wants revenge on me,2015
-,Gabrielle Gozo,Gabrielle Gozo,"Two young siblings play with toy swords, imagining themselves as adults in a duel.",3,Accion,offence/defence,2015
-,Peter Boiadzhieff,-,-,-,Accion,the chase with lauren gibson,2015
-,Radomir Jordanovic,Radomir Jordanovic,-,5,Accion,steaks on a flame,2015
-,Drew Bromley,Drew Bromley,"Enderman re-spawns and decides to get revenge on the human for killing him, although this ultimately fails, resulting Enderman to run away crying.",-,Accion,enderman's revenge,2015
-,"['Drew Bromley', 'Greysen Davis']","['Drew Bromley', 'Greysen Davis']","Two Hunters try to kill a victim when they encounter one, which they both succeeded in.",-,Accion,the killer drown,2015
-,Drew Bromley,Drew Bromley,Enderman gets killed by a human.,-,Accion,enderman dies,2015
-,Andrei Stan,Andrei Stan,The Guardian tells the story of redemption of a young gang member.,7,Accion,the guardian,2015
-,Richard Greenwood Jr.,Richard Greenwood Jr.Collin Watts,Milo is forced to discover the truth of his betrayal in this twisted Groundhog Day scenario.,8,Accion,engrossed,2015
-,Dominic Goodie,Dominic Goodie,-,14,Accion,corner boyz,2015
-,Janos Menberg,"['Janos Menberg', 'Philippe Weibel']",-,2,Accion,1476 - murtenschlacht,2015
-,Nasos Gatzoulis,"['Nasos Gatzoulis', 'Myles Pollin']",A couple plans a heist that will end up going totally out of control.,14,Accion,dummy,2015
-,"['Benjamin Mc', 'Clain']","['Benjamin Mc', 'Clain']",-,7,Accion,the avatar: next wave,2015
6.6,Cody Larson,Cody Larson,A rogue scientist awaits his last resort to take over the world as an inferior soldier defies orders when he discovers an unmarked package.,6,Accion,zombie hazard part 1,2015
