puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id
,-,Patrick Willems,Patrick Willems,A Moviegoer kills an annoying moviegoer.,-,Accion,oscar buzz,tt10004934
,-,Yunhao Zhang,Yunhao Zhang,-,2,Accion,the hungry buddhists,tt10054954
75,-,Matthew Silva,"['Aniel Rios', 'Matthew Silva']",-,-,Accion,final descent,tt10080132
,-,Matthew Silva,"['Aniel Rios', 'Matthew Silva']",-,-,Accion,operation pursuit,tt10080156
,-,Maria Robles,Maria Robles,-,-,Accion,flamenco dancer's revenge,tt10080114
,-,"['Aline Guimarães', 'Dandara Guerra']","['Thalita Carauta', 'Aline Guimarães', 'Anna Righi']",-,-,Accion,pele 1 real,tt10188570
,-,Denise Sganzerla,Denise Sganzerla,-,-,Accion,politicamente - canal mosaico,tt10212800
,5.2,Mario Xavier,-,"Dr. Beck Jenkins, a Sharkologist, notices sharks acting strangely. He decides to investigate their behaviour, but something seems to suggest a World War Two science experiment may be involved.",6,Accion,nazi sharks,tt10234208
,-,Xlson137,"['Vitaly Grinevich', 'Xlson137']",-,-,Accion,beach tusa - saltushki!,tt10270254
,-,Xlson137,Xlson137,-,-,Accion,beach tusa - zakaznoy,tt10270232
,-,Aris Koulaidis,Aris Koulaidis,-,-,Accion,pirates airsoft team,tt10284978
-,-,Matthew Silva,"['Aniel Rios', 'Matthew Silva']",-,-,Accion,fight for redemption,tt10305172
,-,Rodrigo Reinhardt,"['Fernanda Denuzzo', 'Rodrigo Reinhardt']",-,-,Accion,o curto adeus,tt10430116
,-,Tadgh Quill-Manley,Tadgh Quill-Manley,-,10,Accion,y.o.l.o (you only live once),tt10459884
,-,Roberto Cuba,Roberto Cuba,-,-,Accion,tiger sci-fi kung-fu,tt10499004
,-,Drew Bromley,Drew Bromley,-,-,Accion,evil hand wants revenge on me,tt10518382
,-,Gabrielle Gozo,Gabrielle Gozo,"Two young siblings play with toy swords, imagining themselves as adults in a duel.",3,Accion,offence/defence,tt10543766
,-,Peter Boiadzhieff,-,-,-,Accion,the chase with lauren gibson,tt10558406
,-,Radomir Jordanovic,Radomir Jordanovic,-,5,Accion,steaks on a flame,tt10613292
,-,Drew Bromley,Drew Bromley,"Enderman re-spawns and decides to get revenge on the human for killing him, although this ultimately fails, resulting Enderman to run away crying.",-,Accion,enderman's revenge,tt10626664
,-,"['Drew Bromley', 'Greysen Davis']","['Drew Bromley', 'Greysen Davis']","Two Hunters try to kill a victim when they encounter one, which they both succeeded in.",-,Accion,the killer drown,tt10626634
,-,Drew Bromley,Drew Bromley,Enderman gets killed by a human.,-,Accion,enderman dies,tt10626654
-,-,Andrei Stan,Andrei Stan,The Guardian tells the story of redemption of a young gang member.,7,Accion,the guardian,tt10265024
,-,Richard Greenwood Jr.,Richard Greenwood Jr.Collin Watts,Milo is forced to discover the truth of his betrayal in this twisted Groundhog Day scenario.,8,Accion,engrossed,tt10918192
,-,Dominic Goodie,Dominic Goodie,-,14,Accion,corner boyz,tt11062692
,-,Janos Menberg,"['Janos Menberg', 'Philippe Weibel']",-,2,Accion,1476 - murtenschlacht,tt11097496
70,-,Nasos Gatzoulis,"['Nasos Gatzoulis', 'Myles Pollin']",A couple plans a heist that will end up going totally out of control.,14,Accion,dummy,tt10755332
,-,"['Benjamin Mc', 'Clain']","['Benjamin Mc', 'Clain']",-,7,Accion,the avatar: next wave,tt11270660
,6.6,Cody Larson,Cody Larson,A rogue scientist awaits his last resort to take over the world as an inferior soldier defies orders when he discovers an unmarked package.,6,Accion,zombie hazard part 1,tt11311964
,6.1,Cody Larson,Cody Larson,A few unexpected survivors team up to escape the rogue scientist's main headquarters.,7,Accion,zombie hazard part 2,tt11311988
,-,"['Wes Scarpias Gonzales', 'Tim Newhouse']",Wes Scarpias Gonzales,-,-,Accion,jedi fight,tt11454780
,-,Lauko Samuel,Lauko Samuel,-,-,Accion,nirria,tt11586414
,-,Alex Drumheller,Alex Drumheller,-,2,Accion,alex drumheller: a day in the life,tt11633496
83,-,Christopher Jayawardena,Christopher Jayawardena,A soul collector for the underworld finds signs of changes in her management after her latest job.,13,Accion,repossession,tt11791800
,-,James Bacskay,James Bacskay,"An unfortunate tale of two old friends, who meet together for the first time after years apart. Though cut from the same cloth, they've since walked different paths, resulting in a final confrontation where only one can walk away.",6,Accion,a sorry business,tt11809340
23,-,Casey Nicholas Price,-,A team of Navy SEALS return from a successful mission via plane but engines fail and futuristic technology is their only option for survival.,-,Accion,devil's den,tt11847546
,-,Marc Mandeville,Marc Mandeville,-,4,Accion,the creeper,tt11910498
-,-,Shanna May,Shanna May,"We all know New York can be dangerous and you have to have your wits about you, especially at night. Late in the evening Dexter runs into something a little unexpected whilst exploring an alley in downtown Manhattan, I don't think anything or anyone could have prepared him for what was about to happen.",3,Accion,the alley,tt11910330
,6.6,Daniel Kleinman,Ian Fleming,"Packing a powerful punch, the short film follows a tense chase across London's South Bank as Moneypenny fights off mysterious villains to deliver Bond's Xperia Z5 phone.",1,Accion,made for bond,tt11912194
,-,Shanna May,Shanna May,"Samus ran into a little trouble in Brooklyn, luckily her trusty gunship arrived in time for her to suit up.",2,Accion,metroid mission,tt11910260
,9.3,Price James,Darren Cullen,-,-,Accion,action man: battlefield casualties,tt11967906
42,-,Marco von Moos,Philip Reich,-,2,Accion,first shot,tt12171304
,-,Özgün Mansur,Özgün Mansur,-,8,Accion,soluk,tt12504492
,-,Tyler Gregory,"['Caleb Burnham', 'Tyler Gregory', 'Ris Harp']",A retired detective chooses to come back to the force to investigate a series of homicides linked to a dating app.,-,Accion,#fuckediiideath,tt12579294
,-,-,"['Kevin Croxton', 'Mark Varnadore']",-,-,Accion,star wars: christmas awakens,tt12671424
,-,Perry Vangoethem,Perry Vangoethem,-,-,Accion,entre deux feux,tt12691794
,-,"['Kristell Chenut', 'Vincent Lacrocq']","['Kristell Chenut', 'Vincent Lacrocq']",-,-,Accion,double extraction,tt12805350
,-,A.J. Bleyer,"['A.J. Bleyer', 'Nate Hartley']",-,-,Accion,aston martin: legacy,tt12861154
,-,Theodor Manolache,Alexandru Angel,-,-,Accion,versuri criminale,tt12879098
,-,Ryan Sim,"['Stanley Ryan Chau', 'Ryan Sim']",During a case Detective Leo encounters a culprit who happens to be his mentor. The aftermath of the case leads Leo to an odyssey of discovery.,-,Accion,metaphor,tt13028224
,-,"['Dan Dow', 'Nicholas Edmunds']",Nicholas Edmunds,Two former government agents are tracked down by contract killers after disappearing several years back.,8,Accion,awol 1988,tt13055426
33,-,Angela Wold,"['Rebekah Cook', 'Timothy Jones', 'Mark Kozelek']","Telfer thought he had everything he wanted as a contract hit man. When a routine job lands him face-to-face with a figure of his past, he is forced to make a choice. Deception, truth, motives, and choices race against time as the lives of characters collide. It's a story of the redemption God gives to those looking for Him.",26,Accion,refuge,tt13123240
,-,Evan Combs,Evan Combs,-,10,Accion,get ready to die,tt13277146
,-,Evan Combs,Evan Combs,-,9,Accion,time to kill some fools: hitman,tt13276876
,-,Evan Combs,Evan Combs,-,10,Accion,i hate my birthday!!!!,tt13277220
,-,Luke Van Mol,-,"After finding a hidden dojo in the forest, Jori is caught by ninja guards and taken to their sensei to ultimately be trained as a ninja.",9,Accion,the training of a ninja,tt13332542
-,-,"['Tyler Hickman', 'Brennan Scott']","['Tyler Hickman', 'Brennan Scott']","A lone sniper takes pleasure in picking off escaping refugees from war torn Slovenia in the 90's. That is, until, a lone gunman decides to stand up to him.",6,Accion,fight of phantoms,tt13404926
,-,Kevin K. Watts,Kevin K. Watts,An unstable detective seeks revenge after the murder of his wife.,2,Accion,after she's gone,tt13450720
,-,Nicholas Acosta,-,"CHOOSE YOUR OWN ADVENTURE: Are you ready for a Theme Video unlike any other? Well get ready to think like a spy, because it's your job to pick the story. How will the Agent complete his mission?",-,Accion,covert,tt13609526
,8.8,Forrest Whaley,-,"Captain America battles against Nazi Zombies from Hell, summoned by the Red Skull. He also has to fight The Winter Soldier. Things start going bad for Cap until The Avengers arrive to help in the fight against the undead Nazi menace.",6,Accion,lego captain america 3: nazi zombies,tt13640654
,4.2,"['Jo', 'Juan Johnson']","['Brendan Barney', 'Jo', 'Juan Johnson', 'Jonarazzii']","Dylan hopes to enjoy his summer vacation with his best friends, but his friends have all gone to summer camp or with their family, when suddenly a mysterious purple circle appears in the sky of GoAnimate City.",40,Accion,dylan 3: school's out,tt13644222
,-,Daniele Spadoni,"['Eric Chahi', 'Daniele Spadoni']",-,11,Accion,another world/out of this world - fan movie,tt13690442
,-,Nick Song,Nick Song,-,-,Accion,assassin game,tt13705336
,-,Jacob Shrimpton,Jacob Shrimpton,-,2,Accion,cars stop-motion,tt13707042
,6.9,-,-,"820 years ago, Mujaka, the lord of werewolves finally visits Raizel after a long journey. But the werewolf Maduk interferes in a war of human plotting some scheme.",37,Accion,noblesse: the beginning of destruction,tt13711458
