puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,-,Stanislav Shelestov,Stanislav Shelestov,Two guys decide to become bloggers. In order to get views and likes they take some experimental military pills which deprive them of any sense of pain. But it goes too far.,8,Accion,like.share.repost.,tt10011184
,9.2,Stefan Chapovskiy,Stefan Chapovskiy,"1984, a team of rangers on a punitive expedition in Colombia jungle gets abducted by aliens. During the experiment, conducted on the space station, humans are forced to pass deadly tests, competing with warriors from other worlds.",-,Accion,war gene,tt10054454
,-,Donny Callahan,"['Donny Callahan', 'James R Compton Jr.Kevin Eaton']",-,-,Accion,evade short film,tt10096204
,-,André Mileti,André Mileti,The hero of a terrible action film realizes he's fictional and tries to escape with the help of a mysterious filmmaker.,12,Accion,vanity project,tt10101588
,-,Danny Zanelotti,Danny Zanelotti,"He's a guy in a bad situation, and he's just trying to get out alive.",17,Accion,gambler,tt10130926
71,6.4,Chela Drake,Chela Drake,"When a dangerous assassin decides he wants out of his guild after discovering the identity of a former target, things get ugly and his only purpose becomes living long enough to bring one last piece of the life he stole home.",-,Accion,repentance,tt10145036
,-,Daniel Norris Webb,"['Kevin Fernandez', 'Daniel Norris Webb']","When James brings his fathers pistol to the gang's after school hideout, a typical day turns into something much darker.",7,Accion,ready.fire.aim,tt10151796
,-,Aileen Sheedy,"['Maren Curtis', 'Kevin Swanson']","After a failed attempt to reconnect, a gamer's frustrated wife decides to build him a game of her own with real-life stakes.",-,Accion,the legend of stella,tt10155378
,-,Ryan Rosenblum,Ryan Rosenblum,"Pursued by the FBI, a team of the world's most dangerous women model their vigilante crimes on the seven deadly sins.",-,Accion,satan's seven,tt10156658
,-,Tony Cruz Serrano,Tony Cruz Serrano,-,6,Accion,ricky rodrigo,tt10308910
,-,Kris Atkins,Kris Atkins,A young couple search for a reasonably sized flat at an affordable price. within a difficult Auckland renting market.,-,Accion,renters,tt10309086
61,7.8,Michael Risley,Michael Risley,An Albanian boy accidentally releases a turkey and must get it back in time for New Year's Eve dinner.,10,Accion,the last supper,tt10313256
,-,"['Kaylyn Love Wilson', 'Zachary Wilkerson']",Kaylyn Love Wilson,"Four starry eyed high school seniors make a fatal decision when they choose to drink at a roaring house party. Little do they know, the implications of that night would mean the sacrifice of college dreams and tragedy for an innocent mother and her son.",-,Accion,memorial shattered dreams,tt10322276
,-,Ian Altenbaugh,Ian Altenbaugh,-,-,Accion,pit viper,tt10346388
,-,Albert Poquet,Isaac Israel,-,-,Accion,no hay precio,tt10359014
,-,Rodrigo Dimaté,Rodrigo Dimaté,"AKA 'Loogie', a former paramilitary combatant in the Colombian armed conflict, reinserted into society, arrives in Bogota to start a new life, but he falls into the streets and smoking cocaine paste. While running away from Nando, another former paramilitary who wants him to join... Leer todo",26,Accion,a king's life,tt10367202
20,6.6,Johannes Stenberg,-,"A man, driving his kids in his car falls asleep during a red light stop and real bad things start to happen.",13,Accion,the rage,tt10387682
,-,Matthew Lee Blackburn,Matthew Lee Blackburn,"When an aerial patrol machine begins making drops near an important base, it is up to a unit of hardened soldiers to clear the area of deadly machines before they can infiltrate Crystal Peak and bring down the human resistance.",-,Accion,crystal peak,tt10398746
,7.8,Karsten de Vreugd,Karsten de Vreugd,"When Mara hastily enters her yoga class she desperately tries to find her zen, only to find out her zen is at the end of letting out all her frustrations first.",12,Accion,downward facing dogs,tt10417488
,-,Peter Jang,Peter Jang,Two crime syndicate leaders manipulate their best men to fight to the death as a means to avoid all out war.,10,Accion,pawns,tt10432094
,-,Travis Mills,"['R.K. Anderson', 'Travis Mills']","In the next installment of our wasteland series which began with The Mad Man of Miami and continued with The Seven Blood, the Guardian is captured by a tribe who plays deathly games in the wasteland and is forced to compete by the sadistic Game King leader.",-,Accion,the death rally,tt10436902
,-,Paul Daisuke Goodman,Paul Daisuke Goodman,A retired pilot tries to ignore the monstrous space station that has fixed itself in orbit 300 miles above his homestead only to be stirred to action when a piece of it leaves a crater in his yard.,12,Accion,leafer,tt10452082
,-,Das Fuerst,Das Fuerst,"Renowned scientist Dr Eric Reinfeld goes public with our planet's imminent extinction. After sending a distress call into space, he hides in an undisclosed location from the US Gov't trying to save the world. Is something out there?",-,Accion,when fire flies,tt10461130
,-,Jeremy Lusambya,Patrick Lualua Jr.,"He changed his name and life, but can't escape the past that's turned him into a killer",-,Accion,last 24 hours,tt10467642
,-,Marino Darés,Marino Darés,"18 years after the great Jedi purge, a lost padawan acting as a rebel spy and a rookie soldier face the hardest and most important trial of their lives whilst surrounded by a storm of smoke, fire and thousands of blaster bolts.",12,Accion,last trial: a star wars collateral story,tt10477482
,-,Yani Gellman,Yani Gellman,"A young mother is stolen away to the furthest corners of the galaxy and must escape an alien prison to return home and free her own child. ""Greetings, From the Planet Krog!"" is a visual poem that suggests our greatest exploration of the universe takes place within the human heart... Leer todo",6,Accion,"greetings, from the planet krog!",tt10487352
,8.5,"['Angus Kittler Reid', 'Austin Rice']","['Austin Rice', 'Alex Passino']",Lil' Balzac unwittingly agrees to be the getaway driver for a rugged bank heist crew.,42,Accion,lil' balzac 2,tt10520114
,-,Dani Medina,-,-,-,Accion,el borracho: el vino viejo es el más peleón,tt10533822
,5.1,George Tounas,George Tounas,Special agents undercover Ace and Sandy face an unexpected situation in Maximum City as they try to get a job done against a crime organization.,10,Accion,city rush,tt10535026
44,-,Josh Gardiner,Conrad Welch,"After the extinction of superhumans, the peacekeeping group Virtue wants to reform society without them, while Vice desire to revive and control superpowers.",19,Accion,virtue,tt10551180
,-,Madison Strain,"['Raymond Roberson', 'Mike Strain Jr.Madison Strain']","Detectives, John Barrow and Jackson Slate, are two new partners working a case. While on a stakeout, their case takes a turn that sends them spiraling through a series of events straight out of their favorite action movies.",-,Accion,buddy cops; the stakeout,tt10553722
