puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
79,7.6,George Lucas,"['George Lucas', 'John Ostrander', 'Jan Duursema']",-,140,Accion,star wars: episode iii - revenge of the sith,tt0121766
28,5.7,Tim Story,"['Mark Frost', 'Michael France', 'Stan Lee']",-,106,Accion,fantastic four,tt0120667
,5.8,"['Raymond L. Gunn', 'Robert Swanson']","['Raymond L. Gunn', 'Robert Swanson']","Watching this crazy gangland send-up with the ""outlandish"" commercial interuptions, makes you feel as if you are viewing a late night movie on local television, but, a t.v. station could ""never"" air anything like ""Striptease Baby Dolls From Cleveland Meet The Unkillables"", and the commercial spoofs are done the way we'd ""like"" to see them . It's zany comedy and action... Leer todo",80,Accion,striptease baby dolls from cleveland meet the unkillables,tt0228906
,8.1,-,Jeffrey Bunzendahl,"In the high stakes world of espionage, sometimes you've got one chance... WILSON CHANCE, secret agent for the Canadian government. He lives for the moment. He lives for excitement. He lives for danger. Actually, he just hopes he lives! What starts off as a routine surveillance assignment, turns into a deadly game of spy versus spy, as Wilson Chance becomes unwittingly... Leer todo",-,Accion,wilson chance,tt0244306
14,4.1,Brett Leonard,"['Steve Gerber', 'Hans Rodionoff']",-,106,Accion,man-thing,tt0290747
100,3.4,Mark Roper,Harry Alan Towers,"Jeffery Thorpe roams the Caribbean in his boat, 'The Sea Wolf'. He will take any job, no matter how suspicious the circumstances. When a mysterious woman gives him an antique gold coin, the real adventure is about to begin!",94,Accion,the sea wolf,tt0295590
,3.4,Jason Yee,Jason Yee,"Derek Woo is back in town to clean up the streets once and for all. But when a group of gangsters are brutally murdered by a mysterious assassin, the police target Derek as the prime suspect.",82,Accion,dark assassin,tt0301265
28,5.1,Lorena David,Jeff Schectman,"In this action-comedy, four twenty-something friends are looking for love and having no luck. While on a ski trip, one of them finds passion with a beautiful girl after a random accident on the icy slopes. The others quickly conclude that the extreme circumstances of the accident were what caused love to bloom. They decide that the path to true love is to purposely se... Leer todo",96,Accion,extreme dating,tt0309578
38,6.0,Breck Eisner,"['Clive Cussler', 'Thomas Dean Donnelly', 'Joshua Oppenheimer']",-,124,Accion,sahara,tt0318649
6,4.2,Peter Hyams,"['Ray Bradbury', 'Thomas Dean Donnelly', 'Joshua Oppenheimer']",-,110,Accion,a sound of thunder,tt0318081
40,7.3,Ridley Scott,William Monahan,-,144,Accion,kingdom of heaven,tt0320661
,6.5,Gordon Chan,-,-,200,Accion,kung fu master,tt0323001
