puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
0,4.8,Dwight H. Little,"['Alan B. Mc', 'Elroy']",-,91,Accion,tekken,tt0411951
,4.0,Demian Lichtenstein,Eddie Guerra,"When three Vegas buddies attempt the score of a lifetime, they have to walk a fine line between their girlfriends who want their heads, and the mobsters who want them dead.",95,Accion,venus & vegas,tt0423474
49,6.7,Joe Carnahan,"['Joe Carnahan', 'Brian Bloom', 'Skip Woods']",-,117,Accion,the a-team,tt0429493
,3.5,Roberto Carminati,"['Roberto Carminati', 'Bruno Fantini', 'Daniel Ortiz']",The Brazilian Government leads Latin American countries in the fight against drug cartels. In response drug cartels start a series of attacks against Brazil's cities and natural resources. Their first target is the Amazon Forest.,86,Accion,segurança nacional,tt0439801
82,7.6,Edgar Wright,"['Michael Bacall', 'Edgar Wright', ""Bryan Lee O'Malley""]",-,112,Accion,scott pilgrim vs. the world,tt0446029
,7.8,Ron Althoff,"['Ron Althoff', 'Michael Su']","When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Leer todo",90,Accion,taken by force,tt0465637
100,8.0,John Anton,"['John Anton', 'Jason Waugh']","As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.",123,Accion,"guns, drugs and dirty money",tt0464032
,3.3,S.J. Suryah,S.J. Suryah,"Puli, a brave police officer, is appointed as the special police officer in PM's security. Soon, he gets into a brawl with Al Saleem, only to realise that Saleem is responsible for his father's death.",163,Accion,komaram puli,tt0464162
36,6.6,Mike Newell,"['Boaz Yakin', 'Doug Miro', 'Carlo Bernard']",-,116,Accion,prince of persia: the sands of time,tt0473075
87,6.8,Tony Scott,Mark Bomback,-,98,Accion,unstoppable,tt0477080
48,6.2,Sylvain White,"['Peter Berg', 'James Vanderbilt', 'Andy Diggle']",-,97,Accion,the losers,tt0480255
27,5.8,Louis Leterrier,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']",-,106,Accion,clash of the titans,tt0800320
100,3.9,"['Albert J. Allie', 'Michael J. Arbouet']",Albert J. Allie,Cross the Line is an action/drama about two police detectives Angela who is a top rate narcotics detective and Joe who is a hard nose homicide detective. Both detectives are going through a bad divorce. It sounds like a coincidence but it's not because they are the ones getting divorced from each other. One case forces them back together. A power drug lord seeks to ge... Leer todo,87,Accion,cross the line,tt0810815
40,4.3,Dean Bajramovic,Dean Bajramovic,A Tokyo cyber-punk Yakuza and a Bosnian mob enforcer team up to smuggle a toilet made of pure heroin to New York City. It's worth millions - if they can find somebody who can decipher the Japanese chemistry formula.,95,Accion,gangster exchange,tt0846004
,4.0,Luis Barone,"['Luis Barone', 'Juan Sasturain', 'Jesús de la Vega']","Set in a decaying Buenos Aires, a poor Argentine (Minujin) wrestles with his newly discovered superpowers.",103,Accion,zenitram,tt0861747
99,8.1,"['Dean De', 'Blois', 'Chris Sanders']","['William Davies', 'Dean De', 'Blois', 'Chris Sanders']",-,98,Accion,how to train your dragon,tt0892769
18,2.5,Shaun Rana,Shaun Rana,"The town of Westbrick is a rough place to live in. It is here that the young rookie cop Matthew lives with his wife. Meanwhile, notorious serial killers Billy and Barbara embark on a killing spree in order to get notoriety. Matthew gets his first assignment with his much older partner William when he unfortunately crosses paths with Billy and Barbara. William gets kil... Leer todo",90,Accion,westbrick murders,tt0903036
,4.0,Mark Hazen Kelly,Mark Hazen Kelly,Two young boys and a girl commit a diamond robbery on Halloween. During escape the girl is fatally shot. One of the boys knows a doctor (Jeremy London) who has a private clinic in his house. They decide to go to his house instead of the hospital where they will expect the police. They enter the house quietly with no drama. But when the doctor tells them she needs an a... Leer todo,78,Accion,house under siege,tt0914823
13,3.0,"['Matthew R. Anderson', 'Edward Conna']",Edward Conna,Good Vampires battle Zombie Vampires while trying to hide their own identity and prevent the infection from spreading.,89,Accion,the dead undead,tt0923653
71,4.3,Jason Konopisos-Alvarez,Jason Konopisos-Alvarez,A man travels through corporate corruption and his own sin to find his soul.,92,Accion,the waiter,tt0934981
5,4.0,M. Night Shyamalan,M. Night Shyamalan,-,103,Accion,the last airbender,tt0938283
62,6.4,Phillip Noyce,Kurt Wimmer,-,100,Accion,salt,tt0944835
53,6.8,Paul Greengrass,"['Brian Helgeland', 'Rajiv Chandrasekaran']",-,115,Accion,green zone,tt0947810
44,6.6,Ridley Scott,"['Brian Helgeland', 'Ethan Reiff', 'Cyrus Voris']",-,140,Accion,robin hood,tt0955308
44,6.6,Ridley Scott,"['Brian Helgeland', 'Ethan Reiff', 'Cyrus Voris']",-,140,Accion,robin hood,tt2363363
,6.8,Scott Buchanan,"['Dale Buchanan', 'Scott Buchanan']","As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",84,Accion,private security officer: los angeles,tt0960827
40,6.1,Jon Turteltaub,"['Lawrence Konner', 'Mark Rosenthal', 'Matt Lopez']",-,109,Accion,the sorcerer's apprentice,tt0963966
91,7.8,David O. Russell,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']",-,116,Accion,the fighter,tt0964517
63,3.1,James Boss,Vivian Kyinn,"Set in a wasteland enclosed by a large white wall, the last survivor from a brutal child internment camp reluctantly takes on one final bounty hunting job to protect the idyllic life he has rebuilt.",95,Accion,white wall,tt0969653
-,3.3,Sebastian Panneck,Christoph Willumeit,"A motley group of business students in Berlin, Germany sign up for Takahashi Corp.'s assessment weekend, hoping to land one of the coveted spots with the consulting company. Under the watchful eye of a company psychologist, the team-working and improvisational skills of the aspirants will be put to the test in a survival-type situation. But nothing goes according to p... Leer todo",93,Accion,headhunter: the assessment weekend,tt0973809
11,4.7,James Quattrochi,Salvatore Polisi,"NYC, 1972: After a bloody mob war all summer, the 5 mob families keep the peace at Sinatra Club with Gotti's upcoming silver heist as a joint venture.",88,Accion,sinatra club,tt0975738
,5.0,Francisco Aragon,Francisco Aragon,-,101,Accion,boyle heights,tt0977639
70,6.6,"['Ethan Maniquis', 'Robert Rodriguez']",Robert RodriguezÁlvaro Rodríguez,-,105,Accion,machete,tt0985694
