tipo,nombre,año estreno,mes estreno,id_pelicula
Cortometraje,Before Dawn,2005,5,tt0434067
Cortometraje,Broadcast 23,2005,1,tt0437887
Cortometraje,Evenfall,2005,3,tt0444625
Cortometraje,Les couilles de mon chat,2005,1,tt0446975
Cortometraje,Broken,2005,2,tt0446663
Cortometraje,Cerebral Print: End Game,2005,4,tt0447889
Cortometraje,Neck Deep,2005,-,tt0449076
Cortometraje,Nun Fu,2005,3,tt0451146
Cortometraje,Way of Khan,2005,2,tt0452704
Cortometraje,Dies Irae,2005,4,tt0453357
Cortometraje,Morphin(e),2005,4,tt0455640
Cortometraje,Diabolus,2005,4,tt0457653
Cortometraje,Cop vs. Cop,2005,,tt0457311
Cortometraje,The Crusader,2005,5,tt0458346
Cortometraje,The Day of the Grackle,2005,4,tt0458350
Cortometraje,The Razor's Edge,2005,2,tt0459523
Cortometraje,Color Blind,2005,4,tt0458343
Cortometraje,Lucky,2005,2,tt0460496
Cortometraje,Blink,2005,6,tt0463917
Cortometraje,Hustler's Instinct,2005,7,tt0464058
Cortometraje,Derailed,2005,5,tt0463956
Cortometraje,Gekijouban Tsubasa kuronikuru: Torikago no kuni no himegumi,2005,8,tt0466551
Cortometraje,Jackpot,2005,6,tt0468497
Cortometraje,Specter,2005,7,tt0466136
Cortometraje,Thug,2005,6,tt0466588
Cortometraje,Shopping Extreme,2005,6,tt0468866
Cortometraje,Alienation,2005,6,tt0469022
Cortometraje,Ninja vs. Cerebral Print,2005,4,tt0468817
Cortometraje,Catwoman: Nine Lives,2005,5,tt0470709
Cortometraje,Concrete Brown,2005,7,tt0470992
Cortometraje,Bunny & Clydo,2005,9,tt0470706
Cortometraje,Myopia,2005,4,tt0469145
Cortometraje,Nanny and the Professional,2005,8,tt0472275
Cortometraje,Wendy Wells,2005,5,tt0472279
Cortometraje,Method of Entry,2005,3,tt0475335
Cortometraje,Chicks with Sticks: Live at the Grand Slam,2005,6,tt0476447
Cortometraje,The Drop,2005,2,tt0476538
Cortometraje,Lock and Load: Making '24: Season 4',2005,8,tt0477765
Cortometraje,Beat,2005,7,tt0478098
Cortometraje,Blood on the Tracks: Making '24: Season 4',2005,8,tt0477577
Cortometraje,Kiss Chase,2005,4,tt0478189
Cortometraje,The Housewife,2005,8,tt0479066
Cortometraje,Days End,2005,8,tt0479891
Cortometraje,Consumed,2005,5,tt0479003
Cortometraje,Inevitable,2005,4,tt0479072
Cortometraje,The Paperboy,2005,5,tt0479118
Cortometraje,Visions,2005,8,tt0480272
Cortometraje,401-K.O.,2005,8,tt0480503
Cortometraje,Got Milk? The Movie,2005,9,tt0481739
Cortometraje,Punisher: First Round,2005,7,tt0481028
Cortometraje,Gratuitous,2005,9,tt0481530
Cortometraje,Bon Appetit,2005,9,tt0481482
Cortometraje,Duel at Red Table,2005,9,tt0481697
Cortometraje,Intrusion Confusion,2005,9,tt0481744
Cortometraje,Battaglia,2005,9,tt0481670
Cortometraje,Fate,2005,11,tt0484351
Cortometraje,Boom Boom in Paradise City,2005,9,tt0484478
Cortometraje,Hard Boiled Haggerty,2005,6,tt0484844
Cortometraje,Action Anton,2005,5,tt0485849
Cortometraje,Kill Johnny,2005,10,tt0486760
Cortometraje,Hiro,2005,9,tt0486595
Cortometraje,Choque,2005,9,tt0485877
Cortometraje,Chicks with Sticks: Kicking Xena's Ass,2005,9,tt0487251
Cortometraje,Mirage,2005,11,tt0488845
Cortometraje,Night & Daze,2005,11,tt0489243
Cortometraje,Hallowed Be Thy Name,2005,9,tt0490960
Cortometraje,Mystery Project,2005,11,tt0493150
Cortometraje,Purpose,2005,12,tt0493291
Cortometraje,No. 0014,2005,6,tt0493364
Cortometraje,Café Annoyé,2005,11,tt0495300
Cortometraje,Faustrecht,2005,11,tt0493126
Cortometraje,Return: A Warcraft Motion Picture,2005,11,tt0495238
Cortometraje,Trivial Things That People Say in Normal Letters,2005,6,tt0496417
Cortometraje,Lil Jon: Crunkwar Part 1,2005,9,tt0497036
Cortometraje,Should Heaven Fall,2005,5,tt0497973
Cortometraje,Once Upon a Time in the Desert,2005,12,tt0758770
Cortometraje,Patient J (Joker),2005,10,tt0759932
Cortometraje,Çarpisma,2005,9,tt0759905
Cortometraje,Un monde meilleur,2005,5,tt0765264
Cortometraje,The Official Rare Exports Inc. Safety Instructions 2005,2005,4,tt0769542
Cortometraje,The Darkside of Happiness,2005,11,tt0769761
Cortometraje,Ordinary Day,2005,9,tt0772248
Cortometraje,The 5th Rangers,2005,12,tt0776709
Cortometraje,Mission insulaire,2005,10,tt0800134
Cortometraje,Dragonrage,2005,3,tt0804468
Cortometraje,The Next Day,2005,-,tt0803045
Cortometraje,Endgame,2005,4,tt0810030
Cortometraje,Due West,2005,6,tt0819095
Cortometraje,Apneia,2005,,tt0820028
Cortometraje,Triggerfinger,2005,7,tt0822040
Cortometraje,Victim 2 Supervixen,2005,,tt0823554
Cortometraje,Running Towards Tomorrow,2005,,tt0831334
Cortometraje,The Young Master,2005,10,tt0832469
Cortometraje,The Run,2005,5,tt0832457
Cortometraje,Screwball!,2005,3,tt0836696
Cortometraje,Syndicate: Zeed,2005,5,tt0840002
Cortometraje,Blockbusters,2005,8,tt0863006
Cortometraje,Troll Concerto,2005,9,tt0872342
Cortometraje,Shower of Bullets,2005,8,tt0886533
Cortometraje,Netherworld,2005,9,tt0907861
Cortometraje,Drunken Sword,2005,5,tt0945337
Cortometraje,The Crow Purgatory,2005,9,tt0946992
Cortometraje,Toxin,2005,7,tt0950773
Cortometraje,A.1.1.4.H,2005,5,tt0961126
Cortometraje,Away from the Line,2005,10,tt0981261
Cortometraje,The Golden Tiki of Djbuti Buti,2005,5,tt0992970
Cortometraje,The Broken Sword,2005,5,tt0997211
Cortometraje,Imagine,2005,8,tt0997245
Cortometraje,Epopeja o bureku,2005,5,tt1050243
Cortometraje,Hell in a Head Casket,2005,,tt10578068
Cortometraje,Botched,2005,-,tt10946932
Cortometraje,Road Rash,2005,7,tt1095026
Cortometraje,One Roll of Film,2005,8,tt1139121
Cortometraje,Guns for Christmas 2,2005,12,tt1145440
Cortometraje,Shipwrecked,2005,,tt1159699
Cortometraje,Black/Blue,2005,6,tt1220705
Cortometraje,The Incident at Telegraph Hill,2005,10,tt12298668
Cortometraje,Düsmemek,2005,1,tt12365272
Cortometraje,26,2005,5,tt1243920
Cortometraje,El Último Asalto,2005,8,tt12671816
Cortometraje,All in A Day's Work,2005,5,tt12752126
Cortometraje,Full Metal Panic! The Second Raid - 000,2005,7,tt13190414
Cortometraje,Lizardmen & Dragons Part I,2005,,tt13508994
Cortometraje,Kidnapped,2005,6,tt1366402
Cortometraje,Rad Racers,2005,7,tt1412504
Cortometraje,Tag,2005,-,tt1414080
Cortometraje,Countdown,2005,-,tt1414171
Cortometraje,Camouflage,2005,12,tt1419300
Cortometraje,Angrier Neighbors: Open House,2005,11,tt1419438
Cortometraje,Angry Neighbors,2005,11,tt1419439
Cortometraje,The Master Plan,2005,10,tt1424412
Cortometraje,Late,2005,1,tt1427900
Cortometraje,The Adventures of Ass Bandit,2005,4,tt1432263
Cortometraje,Asian Girl + X = Assassin,2005,,tt1432898
Cortometraje,Exit/Strategy,2005,3,tt1432924
Cortometraje,Bloody Hell,2005,1,tt1433086
Cortometraje,Manosidad,2005,-,tt1433150
Cortometraje,The Justice Illegals of America,2005,8,tt1448596
Cortometraje,Kill Dill,2005,6,tt1455128
Cortometraje,Tercih,2005,6,tt1461693
Cortometraje,Midnight Ransom,2005,5,tt1472545
Cortometraje,Unta Tupaan,2005,-,tt1474931
Cortometraje,Censored,2005,-,tt1475221
Cortometraje,The Boxer - The Journey of Felix Gruber,2005,8,tt14840232
Cortometraje,Amaze Labyrinth,2005,-,tt1517590
Cortometraje,Small Circle of Friends,2005,10,tt1534913
Cortometraje,Likely Hero,2005,4,tt1536434
Cortometraje,Coucou Clock,2005,6,tt1541678
Cortometraje,Zombiedämmerung,2005,1,tt1543065
Cortometraje,Et Effi Dofkim Rak Pa'am Ahat,2005,10,tt1555436
Cortometraje,Men's League,2005,-,tt1557607
Cortometraje,Okemah's Creek,2005,11,tt1564575
Cortometraje,Finn Mac Cool,2005,5,tt1574347
Cortometraje,Sweet Sorrow,2005,12,tt1580406
Cortometraje,"The Good, the Bad and the Dead",2005,,tt1606828
Cortometraje,The Man's Wife,2005,8,tt1621007
Cortometraje,The Final Lesson,2005,-,tt1634069
Cortometraje,Cognac 1967,2005,10,tt1639371
Cortometraje,Sound of the Wind,2005,10,tt1645904
Cortometraje,O-Negative,2005,-,tt1683465
Cortometraje,Noise,2005,11,tt1725052
Cortometraje,The Last Bang,2005,-,tt1758796
Cortometraje,20 Minutes,2005,5,tt1764134
Cortometraje,Dark Destinies,2005,6,tt1809258
Cortometraje,The Last Job,2005,6,tt1821651
Cortometraje,The Circle,2005,10,tt1830838
Cortometraje,The 4th Man,2005,5,tt1854346
Cortometraje,Cool Earl,2005,9,tt1857657
Cortometraje,El Theatro,2005,4,tt1880186
Cortometraje,Field of Fire,2005,12,tt1906371
Cortometraje,Joe's Job,2005,6,tt1904935
Cortometraje,Ronin Guys,2005,2,tt1913120
Cortometraje,Last Day of the World,2005,7,tt1935162
Cortometraje,I nyhta tou ptomatos,2005,9,tt1939695
Cortometraje,Midday Ransom,2005,12,tt1990287
Cortometraje,Run,2005,4,tt2023665
Cortometraje,"Amen, Little Man",2005,-,tt2058571
Cortometraje,The Soldier,2005,,tt2107837
Cortometraje,Eastworld,2005,8,tt2113655
Cortometraje,Schwarzer Peter,2005,5,tt2113759
Cortometraje,The Playtrix,2005,6,tt2118743
Cortometraje,Wrong Guy,2005,7,tt2198283
Cortometraje,The Lost Connection,2005,8,tt2209796
Cortometraje,Lord Falcon,2005,6,tt2235856
Cortometraje,Kali Anjilum,2005,2,tt2257460
Cortometraje,Club Insomnia,2005,10,tt2271267
Cortometraje,Peach & Buns,2005,-,tt2361389
Cortometraje,Urban Bankruptcy,2005,6,tt2369517
Cortometraje,Eat,2005,2,tt2379817
Cortometraje,Kino,2005,2,tt2381738
Cortometraje,Blind Therapy,2005,11,tt2400532
Cortometraje,Winter's Day,2005,5,tt2636828
Cortometraje,Hommes de Main,2005,7,tt2772886
Cortometraje,Fifteen Seconds,2005,,tt2792442
Cortometraje,The Director's Cut,2005,,tt2830172
Cortometraje,Fantastic Four,2005,2,tt2931932
Cortometraje,The One Regret,2005,-,tt3208122
Cortometraje,Adjudicator,2005,9,tt3211548
Cortometraje,Death Wish,2005,-,tt3338476
Cortometraje,Skateman vs Sportzman,2005,5,tt3352298
Cortometraje,Rumble in Torbay,2005,3,tt3443568
Cortometraje,Cop Story,2005,7,tt3483676
Cortometraje,Friday the 31st: Michael vs. Jason,2005,2,tt3500714
Cortometraje,Stomper,2005,-,tt3555670
Cortometraje,Shakeup,2005,7,tt3554388
Cortometraje,Om två timmar,2005,1,tt3812380
Cortometraje,Pulp Action,2005,,tt3917076
Cortometraje,Akimbo,2005,-,tt4285042
Cortometraje,Observador,2005,,tt4414090
Cortometraje,DareDevil Returns,2005,9,tt4427958
Cortometraje,VS,2005,12,tt4625214
Cortometraje,Convergence,2005,5,tt4726560
Cortometraje,Rockman X: The Day of Sigma,2005,,tt4774186
Cortometraje,Forget About It,2005,11,tt4781942
Cortometraje,The Soma the Psyche the Spirit the Self,2005,,tt4842466
Cortometraje,Some Kind of Space,2005,1,tt4935506
Cortometraje,Southern Hospitality,2005,3,tt4945808
Cortometraje,The Man with the Metal Chest,2005,10,tt4956072
Cortometraje,Lai Da Jia: Fight a Little,2005,7,tt5225266
Cortometraje,The New Adventures of Blonde Man: The Fashion Menace,2005,8,tt5374748
Cortometraje,Digital Town,2005,9,tt5473008
Cortometraje,Brother,2005,,tt5722308
Cortometraje,Delirium,2005,-,tt6074974
Cortometraje,Pumpkin Punishing,2005,12,tt6120448
Cortometraje,29: Day One,2005,,tt6263912
Cortometraje,Le Dernier Pari,2005,8,tt16384236
Cortometraje,Louzy Meets Webby,2005,3,tt6990646
Cortometraje,Twilight Delight 3,2005,11,tt8341638
Cortometraje,Matvaju,2005,9,tt16118830
Cortometraje,Twilight Delight 2,2005,8,tt8341262
Cortometraje,Sofia,2005,-,tt7940646
Cortometraje,Erg Dorstig,2005,12,tt8342502
Cortometraje,APE-pocalypse Now,2005,6,tt8344880
Cortometraje,Dragon Master,2005,11,tt7529576
Cortometraje,Unexpected Race 2,2005,7,tt8599494
Cortometraje,Tales of the Past,2005,11,tt16059608
Cortometraje,"Culebra, misión en Ninja Island",2005,8,tt8999556
Cortometraje,Twilight Delight,2005,5,tt8340358
Cortometraje,The Submariner,2005,6,tt8070464
Cortometraje,Vägen till framgång,2005,8,tt27827392
Cortometraje,Wiener Squad,2005,1,tt28518857
Cortometraje,Acting Heroes,2005,11,tt28647253
Cortometraje,A.W.O.L,2006,11,tt0138992
Cortometraje,Space Chase,2006,2,tt0756715
Cortometraje,Girl with Gun,2006,5,tt0764642
Cortometraje,Afterlife,2006,1,tt0768823
Cortometraje,Racing Beats,2006,1,tt0769541
Cortometraje,Safe,2006,1,tt0769772
Cortometraje,Backyard Suicide,2006,2,tt0772106
Cortometraje,Perfect Day,2006,-,tt0790732
Cortometraje,Entity: Nine,2006,3,tt0790655
Cortometraje,No Menus Please,2006,4,tt0796225
Cortometraje,War Prayer,2006,4,tt0800261
Cortometraje,Purse Snatcher,2006,2,tt0800169
Cortometraje,Apocalypse Oz,2006,,tt0801820
Cortometraje,Guns to Gogo,2006,1,tt0806081
Cortometraje,Supermiehen poika,2006,1,tt0804352
Cortometraje,Initiation,2006,8,tt0808319
Cortometraje,Leverage,2006,4,tt0808346
Cortometraje,Mop That!,2006,4,tt0807848
Cortometraje,The Chase,2006,3,tt0807838
Cortometraje,The Showdown,2006,3,tt0811067
Cortometraje,Ponkutsu Park,2006,5,tt0814270
Cortometraje,A Cold Blood,2006,2,tt0814056
Cortometraje,No Reply,2006,3,tt0815895
Cortometraje,The Lord Is My Shotgun,2006,5,tt0816567
Cortometraje,Army Men,2006,-,tt0818929
Cortometraje,Lovers,2006,2,tt0819376
Cortometraje,Road of the World,2006,2,tt0819119
Cortometraje,The Liberator,2006,7,tt0824359
Cortometraje,Overblown,2006,5,tt0823183
