tipo,nombre,año estreno,mes estreno,id_pelicula
Pelicula,Star Wars: Episode III - Revenge of the Sith,2005,5,tt0121766
Pelicula,Fantastic Four,2005,7,tt0120667
Pelicula,Striptease Baby Dolls from Cleveland Meet the Unkillables,2005,12,tt0228906
Pelicula,Wilson Chance,2005,12,tt0244306
Pelicula,Man-Thing,2005,4,tt0290747
Pelicula,The Sea Wolf,2005,3,tt0295590
Pelicula,Dark Assassin,2005,11,tt0301265
Pelicula,Extreme Dating,2005,6,tt0309578
Pelicula,Sahara,2005,7,tt0318649
Pelicula,A Sound of Thunder,2005,9,tt0318081
Pelicula,Kingdom of Heaven,2005,5,tt0320661
Pelicula,Kung Fu Master,2005,-,tt0323001
Pelicula,The Great Raid,2005,5,tt0326905
Pelicula,Lung do kei yuen,2005,1,tt0327660
Pelicula,xXx: The Next Level,2005,4,tt0329774
Pelicula,Mirror Wars: Reflection One,2005,9,tt0337678
Pelicula,Diamond Zero,2005,5,tt0338443
Pelicula,Nowhere Man,2005,3,tt0338294
Pelicula,Beauty and the Beast,2005,7,tt0338769
Pelicula,Sledge: The Untold Story,2005,1,tt0337887
Pelicula,Strike the Tent,2005,9,tt0339743
Pelicula,Hostage,2005,5,tt0340163
Pelicula,Unleashed,2005,6,tt0342258
Pelicula,The Brothers Grimm,2005,10,tt0355295
Pelicula,The Crow: Wicked Prayer,2005,9,tt0353324
Pelicula,Mr. & Mrs. Smith,2005,7,tt0356910
Pelicula,Elektra,2005,4,tt0357277
Pelicula,Into the Sun,2005,11,tt0358294
Pelicula,Constantine,2005,2,tt0360486
Pelicula,King Kong,2005,12,tt0360717
Pelicula,The Unknown,2005,4,tt0364616
Pelicula,The Myth,2005,9,tt0365847
Pelicula,Revolver,2005,9,tt0365686
Pelicula,Lethal,2005,1,tt0366711
Pelicula,Bal-Kan-Kan,2005,10,tt0369258
Pelicula,Dinner with an Assassin,2005,-,tt0369366
Pelicula,Alone in the Dark,2005,1,tt0369226
Pelicula,Tetsujin niju-hachigo,2005,3,tt0371310
Pelicula,Forbidden Warrior,2005,8,tt0371675
Pelicula,Batman Begins,2005,6,tt0372784
Pelicula,Der Clown,2005,3,tt0373762
Pelicula,Underclassman,2005,9,tt0373416
Pelicula,Turetskiy gambit,2005,2,tt0374298
Pelicula,Little Chicago,2005,,tt0374826
Pelicula,Anniyan,2005,6,tt0376127
Pelicula,Into the Blue,2005,9,tt0378109
Pelicula,Left for Dead,2005,9,tt0378238
Pelicula,Caught in the Headlights,2005,1,tt0377607
Pelicula,Target of Opportunity,2005,7,tt0378854
Pelicula,Serenity,2005,11,tt0379786
Pelicula,Back in the Day,2005,11,tt0380201
Pelicula,Dead Fish,2005,2,tt0379240
Pelicula,Slipstream,2005,4,tt0381601
Pelicula,Vet hard,2005,2,tt0382365
Pelicula,Die Bluthochzeit,2005,4,tt0382572
Pelicula,Planetfall,2005,2,tt0382910
Pelicula,BloodRayne,2005,1,tt0383222
Pelicula,Stealth,2005,7,tt0382992
Pelicula,Miss Congeniality 2: Armed & Fabulous,2005,3,tt0385307
Pelicula,Crash Landing,2005,7,tt0385622
Pelicula,Fainaru fantajî sebun adobento chirudoren,2005,9,tt0385700
Pelicula,Dust to Glory,2005,4,tt0386423
Pelicula,The Vault,2005,2,tt0386846
Pelicula,The Legend of Zorro,2005,10,tt0386140
Pelicula,River Queen,2005,1,tt0388377
Pelicula,Transporter 2,2005,10,tt0388482
Pelicula,Killing Cupid,2005,7,tt0389073
Pelicula,The Girl from Monday,2005,7,tt0388973
Pelicula,Deck Dogz,2005,1,tt0389911
Pelicula,Edison,2005,3,tt0389957
Pelicula,The Last Eve,2005,9,tt0391282
Pelicula,Brick,2005,9,tt0393109
Pelicula,The Pacifier,2005,4,tt0395699
Pelicula,Pit Fighter,2005,5,tt0396096
Pelicula,Shadowboxer,2005,7,tt0396857
Pelicula,Game Over,2005,4,tt0397436
Pelicula,Throttle,2005,8,tt0398033
Pelicula,Assault on Precinct 13,2005,3,tt0398712
Pelicula,The Island,2005,8,tt0399201
Pelicula,The Indie Pendant,2005,6,tt0399186
Pelicula,Ambulancen,2005,7,tt0400156
Pelicula,Lord of War,2005,11,tt0399295
Pelicula,The Man,2005,4,tt0399327
Pelicula,A History of Violence,2005,11,tt0399146
Pelicula,Beowulf & Grendel,2005,3,tt0402057
Pelicula,Æon Flux,2005,2,tt0402022
Pelicula,Chok-Dee,2005,2,tt0402102
Pelicula,L'empire des loups,2005,4,tt0402158
Pelicula,The Helix... Loaded,2005,3,tt0401462
Pelicula,The Cave,2005,8,tt0402901
Pelicula,Supercross,2005,8,tt0403016
Pelicula,Chaos,2005,2,tt0402910
Pelicula,State Property 2,2005,4,tt0403537
Pelicula,Zathura: A Space Adventure,2005,11,tt0406375
Pelicula,Lorelei,2005,3,tt0406941
Pelicula,La sombra del sahuaro,2005,10,tt0407214
Pelicula,War of the Worlds,2005,6,tt0407304
Pelicula,The Second Front,2005,4,tt0407297
Pelicula,Fugitive Hunter,2005,9,tt0407761
Pelicula,Munich,2005,1,tt0408306
Pelicula,Wrong Turn,2005,,tt0408852
Pelicula,Soul Searcher,2005,5,tt0410648
Pelicula,Return of the Living Dead: Necropolis,2005,3,tt0411805
Pelicula,Black Days,2005,,tt0411168
Pelicula,Brutal Incasso,2005,12,tt0412498
Pelicula,I Know What You Did Last Winter,2005,,tt0415864
Pelicula,Dus,2005,7,tt0415768
Pelicula,Boy s tenyu,2005,3,tt0415678
Pelicula,Dishdogz,2005,,tt0416688
Pelicula,Elaan,2005,1,tt0416712
Pelicula,Glass Trap,2005,5,tt0416775
Pelicula,9th Company,2005,9,tt0417397
Pelicula,Internetrix,2005,-,tt0417795
Pelicula,The Promise,2005,6,tt0417976
Pelicula,Kampfansage - Der letzte Schüler,2005,6,tt0417844
Pelicula,Doom,2005,11,tt0419706
Pelicula,Ahlam omrena,2005,6,tt0418458
Pelicula,Jarhead,2005,1,tt0418763
Pelicula,Max und Moritz Reloaded,2005,4,tt0418873
Pelicula,Les chevaliers du ciel,2005,11,tt0421974
Pelicula,Domino,2005,11,tt0421054
Pelicula,Choker,2005,10,tt0421983
Pelicula,Keson,2005,1,tt0425166
Pelicula,Way of the Vampire,2005,2,tt0423515
Pelicula,The Adventures of Sharkboy and Lavagirl 3-D,2005,10,tt0424774
Pelicula,American Soldiers,2005,8,tt0425743
Pelicula,Feast,2005,1,tt0426459
Pelicula,Kész cirkusz,2005,9,tt0426073
Pelicula,Honour of the Dragon,2005,9,tt0427954
Pelicula,The Nowhere Man,2005,,tt0428897
Pelicula,Qi jian,2005,11,tt0429078
Pelicula,Pervyy posle Boga,2005,11,tt0430264
Pelicula,Four Brothers,2005,10,tt0430105
Pelicula,The Adventures of Buster Smith,2005,-,tt0429537
Pelicula,Bunny,2005,4,tt0432090
Pelicula,The Cutter,2005,3,tt0432267
Pelicula,Sarkar,2005,7,tt0432047
Pelicula,Andarivaadu,2005,1,tt0431776
Pelicula,Azumi 2: Death or Love,2005,3,tt0431641
Pelicula,Stinger,2005,5,tt0431418
Pelicula,Harsh Times,2005,11,tt0433387
Pelicula,Gonggongui jeog 2,2005,1,tt0433328
Pelicula,The Mechanik,2005,11,tt0435696
Pelicula,Jing mo gaa ting,2005,3,tt0435026
Pelicula,V for Vendetta,2005,3,tt0434409
Pelicula,The Rain Makers,2005,1,tt0435721
Pelicula,Jo Bole So Nihaal,2005,5,tt0436451
Pelicula,Balu,2005,1,tt0437084
Pelicula,Insan,2005,1,tt0438875
Pelicula,Tau man ji D,2005,6,tt0439630
Pelicula,Mumbai Express,2005,4,tt0439714
Pelicula,Made in YU,2005,11,tt0440601
Pelicula,Ronin Boys,2005,3,tt0439789
Pelicula,Monarch of the Moon,2005,,tt0439709
Pelicula,Harvest of Redemption,2005,1,tt0441764
Pelicula,Cerebral Print: The Secret Files,2005,5,tt0441742
Pelicula,Thommanum Makkalum,2005,3,tt0441902
Pelicula,Eliana em O Segredo dos Golfinhos,2005,1,tt0442194
Pelicula,Cerro do Jarau,2005,4,tt0442753
Pelicula,Uno,2005,1,tt0442539
Pelicula,Pinoy/Blonde,2005,7,tt0442412
Pelicula,A Home for the Bullets,2005,1,tt0443535
Pelicula,Karam,2005,3,tt0444849
Pelicula,No Rules,2005,-,tt0446010
Pelicula,Torrente 3: El protector,2005,9,tt0444505
Pelicula,Harb Atalia,2005,7,tt0446559
Pelicula,Standalone,2005,4,tt0446789
Pelicula,Rh+,2005,1,tt0446774
Pelicula,Left Behind III: World at War,2005,10,tt0443567
Pelicula,Blackmail,2005,1,tt0444769
Pelicula,Miracle at Sage Creek,2005,11,tt0444669
Pelicula,Desu toransu,2005,5,tt0443737
Pelicula,Tango Charlie,2005,3,tt0444913
Pelicula,Deewane Huye Paagal,2005,11,tt0444781
Pelicula,Goodnite Charlie,2005,3,tt0447988
Pelicula,Fink!,2005,9,tt0447635
Pelicula,Chandrolsavam,2005,4,tt0448408
Pelicula,Malev,2005,9,tt0445554
Pelicula,Mang lung,2005,11,tt0446313
Pelicula,Gisaku,2005,3,tt0446701
Pelicula,Mei li jiu ba,2005,-,tt0447853
Pelicula,Dope in Motion,2005,-,tt0447929
Pelicula,Kochi Rajavu,2005,4,tt0448225
Pelicula,Los locos también piensan,2005,1,tt0448020
Pelicula,Chandramukhi,2005,4,tt0449869
Pelicula,Shade of Pale,2005,5,tt0448253
Pelicula,Spotless,2005,3,tt0451208
Pelicula,Purple Heart,2005,-,tt0449488
Pelicula,Tôkyô zonbi,2005,12,tt0451954
Pelicula,Ghajini,2005,9,tt0449951
Pelicula,Lost in Plainview,2005,8,tt0449062
Pelicula,Thaskara Veeran,2005,5,tt0448805
Pelicula,Apaharan,2005,12,tt0451631
Pelicula,The Land of College Prophets,2005,3,tt0451097
Pelicula,Raam,2005,3,tt0453190
Pelicula,Pterodactyl,2005,7,tt0452668
Pelicula,Home Invasion,2005,9,tt0453492
Pelicula,Yûsha no hihô,2005,,tt0455879
Pelicula,Court Jesters,2005,6,tt0455930
Pelicula,Daas,2005,1,tt0455415
Pelicula,Juego de verano,2005,9,tt0452274
Pelicula,Mazhai,2005,-,tt0453150
Pelicula,Sengoku jieitai 1549,2005,6,tt0453396
Pelicula,Tsurugi,2005,2,tt0454298
Pelicula,Sam cha hau,2005,4,tt0455195
Pelicula,Dhamkee,2005,-,tt0454439
Pelicula,Unnoticed,2005,4,tt0455823
Pelicula,Sivakaasi,2005,11,tt0455767
Pelicula,James,2005,9,tt0454481
Pelicula,The Mia,2005,4,tt0454199
Pelicula,Shinkaijû Reigô,2005,11,tt0456627
Pelicula,Nalaik,2005,,tt0454510
Pelicula,Aaru,2005,12,tt0455309
Pelicula,Han cheng gong lüe,2005,2,tt0455116
Pelicula,Jumeogi unda,2005,4,tt0457007
Pelicula,Jambok-geunmu,2005,3,tt0456999
Pelicula,Muzhskoy sezon. Barkhatnaya revolyutsiya,2005,9,tt0457074
Pelicula,Shinobi: Runaway,2005,1,tt0457133
Pelicula,Jai Chiranjeeva,2005,12,tt0457391
Pelicula,Shattered Day,2005,5,tt0457470
Pelicula,Um Tiro no Escuro,2005,3,tt0457182
Pelicula,Dalkomhan insaeng,2005,4,tt0456912
Pelicula,Mumbai Godfather,2005,9,tt0458027
Pelicula,Kon raruek chat,2005,9,tt0457585
Pelicula,Ek Ajnabee,2005,12,tt0457875
Pelicula,Bôkoku no îjisu,2005,7,tt0457643
Pelicula,Ashura-jô no hitomi,2005,4,tt0459744
Pelicula,Silent Partner,2005,5,tt0457475
Pelicula,Thambi,2005,-,tt0458176
Pelicula,Pitbull,2005,4,tt0459505
Pelicula,Subhash Chandra Bose,2005,4,tt0459554
Pelicula,Shabnam Mausi,2005,5,tt0459133
Pelicula,Neupravlyaemyy zanos,2005,1,tt0459478
Pelicula,Sigma,2005,,tt0459543
Pelicula,Ji,2005,2,tt0460836
Pelicula,Athbhutha Dweepu,2005,4,tt0460400
Pelicula,Fix Alert,2005,10,tt0460452
Pelicula,Udayon,2005,7,tt0460592
Pelicula,Madamada abunai deka,2005,10,tt0460857
Pelicula,7 pra-jan barn phaak 2,2005,4,tt0461120
Pelicula,15,2005,10,tt0461892
Pelicula,Dead in Texas,2005,-,tt0462249
Pelicula,Secuestro,2005,4,tt0461576
Pelicula,Tiempo de valientes,2005,9,tt0462570
Pelicula,The Basement,2005,12,tt0462192
Pelicula,Dam el ghazal,2005,9,tt0461927
Pelicula,Bharathchandran I.P.S,2005,8,tt0463429
Pelicula,Naran,2005,9,tt0463622
Pelicula,Jambo Kenya,2005,5,tt0463329
Pelicula,Harder They Fall,2005,5,tt0464039
Pelicula,Kibris: La ley del equilibrio,2005,7,tt0464996
Pelicula,Confessions of a Pit Fighter,2005,4,tt0463947
Pelicula,Hunting Dragonflies,2005,6,tt0466837
Pelicula,Khoht phetchakhaat,2005,6,tt0467598
Pelicula,Kôshônin: Mashita Masayoshi,2005,5,tt0467462
Pelicula,Auto Shankar,2005,9,tt0466361
Pelicula,Arindhum Ariyamalum,2005,5,tt0466679
Pelicula,Chiisaki yûsha-tachi: Gamera,2005,4,tt0467923
Pelicula,Krithyam,2005,5,tt0468785
Pelicula,Kidô senshi Z Gandamu II: Koibito tachi,2005,10,tt0468812
Pelicula,Qing dian da sheng,2005,12,tt0469050
Pelicula,Ride or Die,2005,9,tt0468538
Pelicula,Ben Johnson,2005,6,tt0468665
Pelicula,The Men in White,2005,-,tt0469133
Pelicula,Cheon gun,2005,7,tt0470711
Pelicula,Dumber Heroes,2005,7,tt0470286
Pelicula,Lung gam wai yi dzi wang mo leung leung,2005,6,tt0471243
Pelicula,Perfect Killer,2005,7,tt0471303
Pelicula,Gangster,2005,1,tt0470768
Pelicula,Angli: The Movie,2005,5,tt0470198
Pelicula,Dead Men Walking,2005,10,tt0473348
Pelicula,Ark,2005,6,tt0473435
Pelicula,Athadu,2005,8,tt0471571
Pelicula,Izzat,2005,10,tt0469443
Pelicula,Moses: Fallen. In the City of Angels.,2005,3,tt0472143
Pelicula,Kamen Raidâ: The First,2005,12,tt0471223
Pelicula,Piano 17,2005,3,tt0472484
Pelicula,Hotties,2005,9,tt0475300
Pelicula,Typhoon,2005,12,tt0475750
Pelicula,Hyeongsa,2005,9,tt0475616
Pelicula,Thirupaachi,2005,1,tt0475756
Pelicula,Shinobi,2005,9,tt0475723
Pelicula,Maja,2005,11,tt0476803
Pelicula,Blue Sombrero,2005,-,tt0476962
Pelicula,Choppertown: The Sinners,2005,8,tt0476969
Pelicula,Super,2005,7,tt0475735
Pelicula,A Happy Ending,2005,7,tt0477664
Pelicula,Glitched,2005,4,tt0476462
Pelicula,Sehar,2005,7,tt0477857
Pelicula,Poor Toni,2005,7,tt0477458
Pelicula,Children of Men,2006,10,tt0206634
Pelicula,Mission: Impossible III,2006,5,tt0317919
Pelicula,The Drop,2006,6,tt0340084
Pelicula,Detroit,2006,,tt0337609
Pelicula,Meteoro,2006,11,tt0339382
Pelicula,Superman Returns,2006,8,tt0348150
Pelicula,Day of Wrath,2006,6,tt0353357
Pelicula,Year One,2006,,tt0354131
Pelicula,Stalin,2006,9,tt0366180
Pelicula,Ultraviolet,2006,6,tt0370032
Pelicula,Lirkod,2006,8,tt0370893
Pelicula,Tristan + Isolde,2006,4,tt0375154
Pelicula,X-Men: The Last Stand,2006,5,tt0376994
Pelicula,El Don,2006,2,tt0379264
Pelicula,Casino Royale,2006,11,tt0381061
Pelicula,Zoom,2006,8,tt0383060
Pelicula,Pirates of the Caribbean: Dead Man's Chest,2006,7,tt0383574
Pelicula,Red Riding Hood,2006,2,tt0385988
Pelicula,Renaissance,2006,3,tt0386741
Pelicula,Bekarov Yikre Lekha Mashehu Tov,2006,5,tt0391788
Pelicula,The Other Side,2006,1,tt0393567
Pelicula,The Final Job,2006,10,tt0395539
Pelicula,The Last Drop,2006,5,tt0398029
Pelicula,DOA: Dead or Alive,2006,2,tt0398913
Pelicula,The Witches Hammer,2006,12,tt0400944
Pelicula,Underworld: Evolution,2006,1,tt0401855
Pelicula,Greed,2006,2,tt0401449
Pelicula,Max Havoc: Ring of Fire,2006,7,tt0403279
Pelicula,Cemetery Gates,2006,5,tt0402904
Pelicula,Running Scared,2006,3,tt0404390
Pelicula,Perfect Creature,2006,10,tt0403407
Pelicula,The Absence of Light,2006,8,tt0405632
Pelicula,The Guardian,2006,9,tt0406816
Pelicula,Firewall,2006,4,tt0408345
Pelicula,Day Watch,2006,1,tt0409904
Pelicula,Poseidon,2006,5,tt0409182
Pelicula,Minotaur,2006,5,tt0415160
Pelicula,End Game,2006,7,tt0415778
Pelicula,300,2006,3,tt0416449
Pelicula,Seven Mummies,2006,2,tt0415345
Pelicula,Bandidas,2006,3,tt0416496
Pelicula,Wolfhound,2006,12,tt0416316
Pelicula,Jadesoturi,2006,10,tt0416871
Pelicula,Snakes on a Plane,2006,9,tt0417148
Pelicula,Princess,2006,2,tt0419073
Pelicula,"Find Her, Keep Her",2006,12,tt0420265
Pelicula,Flags of Our Fathers,2006,11,tt0418689
Pelicula,The Marine,2006,10,tt0419946
Pelicula,"Veritas, Prince of Truth",2006,11,tt0421156
Pelicula,A New Wave,2006,4,tt0421143
Pelicula,The Hard Easy,2006,11,tt0425087
Pelicula,Johnny Was,2006,2,tt0426501
Pelicula,Southern Justice,2006,2,tt0427343
Pelicula,Shadow: Dead Riot,2006,4,tt0427848
Pelicula,Miami Vice,2006,8,tt0430357
Pelicula,Krrish,2006,6,tt0432637
Pelicula,Volando voy,2006,1,tt0435517
Pelicula,See No Evil,2006,9,tt0437179
Pelicula,Family: Ties of Blood,2006,1,tt0437182
Pelicula,Rollin' with the Nines,2006,4,tt0437459
Pelicula,A Dragon's Tale,2006,12,tt0437977
Pelicula,Gente comun,2006,2,tt0438053
Pelicula,Horrors of War,2006,3,tt0439615
Pelicula,Fanaa,2006,5,tt0439662
Pelicula,Jopog manura 3,2006,12,tt0439654
Pelicula,Cut Off,2006,-,tt0439311
Pelicula,Soft Target,2006,7,tt0441035
Pelicula,Dhoom:2,2006,11,tt0441048
Pelicula,Fay Grim,2006,9,tt0444628
Pelicula,Robotech: The Shadow Chronicles,2006,1,tt0443771
Pelicula,Varalaaru,2006,10,tt0442781
Pelicula,One Last Dance,2006,1,tt0445609
Pelicula,Indigènes,2006,1,tt0444182
Pelicula,Scorpius Gigantus,2006,7,tt0443629
