puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,-,Hector Echavarria,"['Brad Bode', ""Fuad C'Amanero"", 'Hector Echavarria']","1967 China, A young boy (Dax) is left to survive on his own in the middle of no were, after his missionary parents were murdered by rebels. He is found and Raised by a Shawling Temple Monk and becomes skilled in Martial arts. 25 Years later, in Los Angeles he meets a long time friend, that now works for the FBI, who asks for his help in solving a case revolving the tr... Leer todo",-,Accion,duel of legends,tt0849437
,3.7,Tito da Costa,"['Larry Leahy', 'Tito da Costa']",A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.,-,Accion,road to red,tt0926132
,4.9,Jeff Wadlow,"['Jeff Wadlow', 'Christopher Roach', 'Jillian Jacobs']",-,109,Accion,fantasy island,tt0983946
60,5.3,Vincent Paronnaud,"['Vincent Paronnaud', 'Léa Pernollet', 'Stephen Shields']",-,87,Accion,hunted,tt10011228
60,5.3,Vincent Paronnaud,"['Vincent Paronnaud', 'Léa Pernollet', 'Stephen Shields']",-,87,Accion,hunted,tt10882028
,5.4,"['Rathina Shiva', 'Swami Rajalingam']",Rathina Shiva,A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,123,Accion,seeru,tt10022990
,5.4,Mikhail Red,"['Mixkaela Villalon', 'Mikhail Red']",-,101,Accion,block z,tt10044182
49,6.0,Derrick Borte,Carl Ellsworth,-,90,Accion,unhinged,tt10059518
,-,Achyut Prashast Singh,Achyut Prashast Singh,A young man starts to prank his masked archenemy with a fake sniper gun and runs into trouble when a man believing him to be an actual sniper assigns him a job.,45,Accion,range of sniper,tt10082520
,5.2,Julien Leclercq,"['Julien Leclercq', 'Jérémie Guez', 'Matthieu Serveau']",-,80,Accion,la terre et le sang,tt10092752
-,8.4,Shaarath Vihari,Shaarath Vihari,"After the mysterious death of Heena Siddiqui, an investigative journalist at Global Post News, her colleague Nick decides to take her investigation forward with help from his long-time friend Sasha, where they encounter incredibly powerful Super-Soldiers.",51,Accion,the glint of darkness: revolution,tt10096114
