Año,Película,Director,Actor principal,Actriz principal,id_pelicula
2000,American Beauty,S. Mendes,K. Spacey,H. Swank,tt0313199
2001,Gladiator,S. Soderbergh,R. Crowe,J. Roberts,tt1359002
2002,A Beautiful Mind,R. Howard,D. Washington,H. Berry,nan
2003,Chicago,R. Polanski,A. Brody,N. Kidman,tt0299658
2004,The Lord of the Rings: The Return of the King,P. Jackson,S. Penn,C. Theron,tt0167260
2005,Million Dollar Baby,C. Eastwood,J. Foxx,H. Swank,nan
2006,Crash,A. Lee,P. S. Hoffman,R. Witherspoon,tt0375679
2007,The Departed,M. Scorsese,F. Whitaker,H. Mirren,tt0407887
2008,No Country for Old Men,J. Coen E. Coen,D. Day-Lewis,M. Cotillard,tt0477348
2009,Slumdog Millionaire,D. Boyle,S. Penn,K. Winslet,nan
2010,The Hurt Locker,K. Bigelow,J. Bridges,S. Bullock,tt0887912
2011,The King's Speech,T. Hooper,C. Firth,N. Portman,nan
2012,The Artist,M. Hazanavicius,J. Dujardin,M. Streep,tt1655442
2013,Argo,A. Lee,D. Day-Lewis,J. Lawrence,tt1024648
2014,12 Years a Slave,A. Cuarón,M. McConaughey,C. Blanchett,nan
2015,Birdman or (The Unexpected Virtue of Ignorance),A. G. Iñárritu,E. Redmayne,J.Moore,nan
2016,Spotlight,A. G. Iñárritu,L. DiCaprio,B. Larson,tt1895587
2017,Moonlight,D. Chazelle,C. Affleck,E. Stone,nan
2018,The Shape of Water,G. del Toro,G. Oldman,F. McDormand,nan
2019,Green Book,A. Cuarón,R. Malek,O. Colman,nan
2020,Parasite,Bong J.,J. Phoenix,R. Zellweger,nan
2021,Nomadland,C. Zhao,A. Hopkins,F. McDormand,nan
2022,CODA,J. Campion,W. Smith,J. Chastain,tt10366460
2023,Everything Everywhere All at Once,D. Kwan D. Scheinert,B. Fraser,M. Yeoh,tt6710474
