,0,1,2,3,4,5,6
0,7.6,Judy Chaikin,"['Judy Chaikin', 'Gregory Burns']",-,22,cotillion '65,cotillion '65
1,6.5,Ashley Horner,Gavin Williams,Intense film about a day in the life of the overheated sport teacher Rob Meadows.,11,rob of the rovers,rob of the rovers
2,8.6,Vivieno Caldinelli,"['Josh Gal', 'Mark Montefiore']","Growing up isn't all it's cracked up to be. Just ask third-grader, Ella Johansen (played by Libby Adams), who just wants to be a kid.....forever. When third-grader, Ella Johansen's parents don't show up for Career Day, Ella's teacher pushes her to take the stage and explain how she sees her own career. Career Day is a satiric look at society through the eyes and imagi... Leer todo",8,career day,career day
3,6.6,Antonia San Juan,Luis Miguel Seguí,-,16,v.o.,v.o.
4,7.3,Dan Zeff,Dan Zeff,"Sweetnightgoodheart is a short-film about a man that prepares to make a huge change in his life; but all doesn't exactly turn out as planned and it all turns in the opposite direction from what he originally planned. As the plot continues the issues just get more extreme, Pete ends up with a very, very big problem that can not be... You guessed it, or you didn't; it c... Leer todo",9,sweetnightgoodheart,sweetnightgoodheart
5,-,Gabriel Velázquez,"['Ricardo Luis González', 'Gabriel Velázquez']",-,13,london calling,london calling
6,8.3,David Paymer,Steve Paymer,-,-,candor city hospital,candor city hospital
7,7.9,Tracie Laymon,Tracie Laymon,"17 year-old Gaby George struggles to communicate with her cheapskate father and indifferent boyfriend and, as a result, escapes through fantasy to a life with more intimate connections.",11,up,up
8,7.1,Todd Hughes,"['Todd Hughes', 'Gertrude Stein']","From 1911 to 1946, Gertrude Stein and Alice B. Toklas lived together in Paris as husband and wife. Although they were not ""out"" as lesbians, the inseparable duo forged a prophetic and enduring same-sex union. In HUBBY/WIFEY, a modern lesbian couple shares a fever dream with their foremothers, Gertrude and Alice, of the joys and trials of gay marriage. The film pays ho... Leer todo",7,hubby/wifey,hubby/wifey
9,6.1,Bradley Scott,Michael Lippman,In any relationship there are things we hate about the other person. It's not wise to tell them and it's not wise to keep it bottled up. But then if they are sleeping when we tell them...,12,i hate you,i hate you
10,7.0,"['Charles Guard', 'Thomas Guard']","['Charles Guard', 'Thomas Guard']","Desperate to get across London to meet his girlfriend off the Eurostar, a man persuades a pretty bicycle courier to take him on the back of her bike, creating a dilemma he wasn't expecting.",7,round about five,round about five
11,-,"['Marlon Cantillano', 'David Lengel']",David Lengel,-,-,lily,lily
12,8.0,Helen Grace,"['John Campbell-Mac', 'Helen Grace', 'Chico Slimani']","Winner Takes All is the tale of a cocky Stranger who enters a rowdy bar and accepts a challenge to win a pot of money. He fails to listen to the rules properly, with shocking but hilarious consequences. The tale is based on an old joke, and is all told in rhyme.",6,winner takes all,winner takes all
13,8.4,Eme Guitron,Joey Jameson,-,9,the boss,the boss
14,5.4,Ben Gregor,Tim Plester,"Cult '80s sci-fi gang ""Blake's 7"" make an eventful late night stop at Newport Pagnell Services on the M1.",15,blake's junction 7,blake's junction 7
15,4.6,Kasper Gaardsøe,Mette Heeno,"Holger has been stung by love all his life. When he finally meets the girl of his dreams, he decides to switch identities with his womanizing neighbor so he can win her heart - But can love be true when it's based on a lie?",31,bare holger,bare holger
16,7.3,Darin Beckstead,Darin Beckstead,A young director must find a way to make his movie after he accidentally breaks the main prop.,25,courage & stupidity,courage & stupidity
