puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,-,Laurence E. Gibbs,Two Social Media influencers are dieing to try the new RED NIGHT challenge. Will they be successful or will they end up a victim of social insecurity?,5,Comedia,paranoia tapes: urban legend,2020
8.0,Michael Shumway,Lex Hogan,"A farmer wakes up one morning to an unexpected apocalypse. As the last man alive, he decides to throw caution to the wind and start living his very best life.",-,Comedia,the last queen on earth,2020
-,Stanislav Shelestov,Stanislav Shelestov,Two guys decide to become bloggers. In order to get views and likes they take some experimental military pills which deprive them of any sense of pain. But it goes too far.,8,Comedia,like.share.repost.,2020
-,Horace Chan,Robin Dillon,-,-,Comedia,daily bus,2020
-,Christopher Logan,Christopher Logan,"Moonboy is a catalyst in other people's lives to grab onto joy. Through a series of vignettes, his unabashed joy sparks positive changes in the lives of the people he encounters.",-,Comedia,moonboy,2020
-,Jenna Harder,Jenna Harder,A darkly comedic look at a day in the life of a struggling actor and the unique ways she deals with the pressures of the industry.,-,Comedia,whenever you're ready,2020
-,"['Sara Muñoz Bautista', 'Rebeca Lasheras']","['Sara Muñoz Bautista', 'Rebeca Lasheras']",-,12,Comedia,1 euro/9 minutos,2020
9.7,Patrick Neff,Patrick Neff,Jayne and her team are assigned to rework the all-important Wellington Proposal by 6:00am. Setbacks and complications result in a hilarious race to the finish line.,16,Comedia,pajama party work night,2020
-,Elena Altman,John Romanos,"Money Bags, Guns, Baseball Bats... A Robbery Gone Bad but Who's Fault Is It?",42,Comedia,dropped,2020
8.6,Caitlin Carleton,Caroline Newton,The story of three horse girls as they prepare for the annual Calypso Township Model Horse Competition.,19,Comedia,fantasy pony,2020
-,Marlon Morales,Marlon Morales,-,5,Comedia,días negros,2020
-,Brendan Gallogly,Brendan Gallogly,-,12,Comedia,break and run,2020
-,Malte Wirtz,Malte Wirtz,"By accident Bastian meets Isabell in the elevator, he writes secretly his telephone number on one of her cigarettes. In the morning she smokes the cigarette and accidentally destroys the chance to contact him again. She goes to a radio station of which she knows he is listening to, but in the very second she talks on the radio to him he gets a phone call and doesn't h... Leer todo",11,Comedia,nur ein augenblick,2020
-,"['Ben Mc', 'Cullough']","['Ben Mc', 'Cullough']",Slippy the Soap yearns for a life outside his bathtub. But when his dreams slip down the drain he's forced to journey through a wild and treacherous labyrinth.,7,Comedia,pipe dream,2020
-,Millicent Malcolm,Millicent Malcolm,"In the face of a demeaning request from her misogynistic boss, a hardworking young lawyer must decide whether to stick up for herself or keep living in her imagination.",4,Comedia,bossy,2020
-,André Mileti,André Mileti,The hero of a terrible action film realizes he's fictional and tries to escape with the help of a mysterious filmmaker.,12,Comedia,vanity project,2020
-,Dusty Mitchell,Dusty Mitchell,"In an effort to get a quick fix to low confidence issues, Mr. Adler seeks the help of a counselor with questionable methods. It's all business as usual for Mr. Psychiatrist.",7,Comedia,mr. psychiatrist,2020
-,Abhishek Samariya,Abhishek Samariya,"A surreal dark comedy, set at a funeral, narrated by a cat.",11,Comedia,john mortonson's funeral,2020
-,Calyx Passailaigue,"['Calyx Passailaigue', 'Richard Walters']","Chad is a pretentious white Jamaican film director. With his ragtag Caribbean cast and crew, he aims to shoot a highbrow social drama called ""Brothers in Babylon.""",15,Comedia,zeen?,2020
-,Analisa Robertson,"['Sandra Lucas', 'Sara Vitale']","Two straight-laced female cops, on a stakeout, who get bored and decide to smoke a confiscated joint. They find themselves in an altered state and discover that they have more in common than they thought.",-,Comedia,teech and bron,2020
-,Anastasi Soldatenkova,Anastasi Soldatenkova,Two students rent an apartment in the city. Their meeting was happenstance. Freedom unfolds in a rather different way through the perspective of a roommate.,12,Comedia,on the mind,2020
-,Gia Milani,Gia Milani,"A surrealist, stylized, comedic short film about a disliked dead man as seen through the eyes of his equally disliked daughter-in-law. And shoes. A lot of shoes.",-,Comedia,at the back,2020
-,Harrison Houde,"['Harrison Houde', 'Dakota Daulby', 'Lino Meoli']","An experimental exploration of an artist's innocence, BLUE finds a way to see the outside world for the first time with the help from an eccentric therapist.",10,Comedia,shades of the ranebo,2020
-,Frances Wilkerson,Frances Wilkerson,"Red, a once famous clown, lost his 6-year old son 2 years ago. He continues to blame himself for the loss. He is currently a small-time party clown, but the majority of the time he is too bitter and intoxicated to be effective.",18,Comedia,red,2020
-,Aileen Sheedy,"['Maren Curtis', 'Kevin Swanson']","After a failed attempt to reconnect, a gamer's frustrated wife decides to build him a game of her own with real-life stakes.",-,Comedia,the legend of stella,2020
-,Cole Ryan Brewer,Jacob Douglas Wolfe,Three men stranded in the desert attempt to recreate Burning Man.,6,Comedia,rebirth,2020
-,Kasey Quinn,Kasey Quinn,Shelly's special night goes awry when an unexpected visitor arrives.,-,Comedia,fantasy,2020
6.7,Joel Junior,Joel Junior,"Tyler is a hyper-intelligent 9-year-old boy, who has no shame on being himself. On an ordinary lunch, he talks about his new crush, causing an unexpected reaction on his older brother, Daniel.",15,Comedia,tyler,2020
-,Milda Baginskaite,Milda Baginskaite,"When no one shows up at her birthday party, eighteen-year-old Agnès makes all the wrong choices.",11,Comedia,pink pool,2020
-,Marc Muñoz,"['Marc Muñoz', 'Iván Serra']",-,-,Comedia,huida del nido,2020
9.4,Yan Fisher-Romanovsky,Omri Rose,"Two Jews in the holy land attempting to flee the chaos of the 3rd Crusade come across an unconscious Crusader on a lonely desert road, and a comedic encounter ensues as they debate whether to help him, kill him, or ignore him all together.",-,Comedia,achan and ezra,2020
-,Brandon Colby Cook,"['Ray James', 'Violetta Pioro']","Stuck in the friend zone, a young woman secretly attempts to win her BFF's heart by helping him hatch a scheme that will end his cheating fiancée's steamy affair.",14,Comedia,the love prank,2020
-,Jovan Atanackovic,Jovan Atanackovic,"A 15 year old girl who wants to be a famous instagram model, a 35 year old guy with a fetish and how their worlds collide.",11,Comedia,#shootme,2020
-,Robin Flemgård,Robin Flemgård,A young man discovers that his bathtub can be used as a teleporter.,10,Comedia,dive under,2020
-,Dan Whitehead,Dan Whitehead,"Tom is a 20 something guy who just finds himself lost. He graduated from college where he followed his passion for four years, and now can't seem to convince anyone he's right for them. Through his struggles, Tom learns about the challenges of life, and the uncertainty of what's to come.",13,Comedia,life undefined,2020
