,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"0,5.0,Adrian Fulle,""['Adrian Fulle', 'David J. Miller', 'Daniel Bingley']"",""A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?"",86,love 101,2000";;;;;
"1,6.0,""['David Elliot', 'Mark Huppin']"",""['David Elliot', 'Mark Huppin']"",""Three longtime pals live in San Francisco: Darin is married to Natalie, but their family life is too still and Darin is not happy about it, Matt is ladies' magnet but tired of it, trying to get something stable from his relationships, and goofy Kevin doesn't have any success with women at all. Darin starts an affair with his friend's wife Maxine and Matt falls deeply ... Leer todo"",98,nothing sacred,2000";;;;;
2,6.7,David Mamet,David Mamet,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,105,state and main,2000;;;;;
"3,6.0,""['Shirley Mac', 'Laine']"",David Ciminello,-,108,bruno,2000";;;;;
4,7.5,Roy Andersson,Roy Andersson,-,98,sånger från andra våningen,2000;;;;;
"5,3.8,""['Rodney Mc', 'Donald']"",Karen Kelly,""Young elf Elmer wants to become a real boy. He steals Santa's sleigh and escapes to the real world, where he meets a young girl who needs a heart transplant."",90,the elf who didn't believe,2000";;;;;
"6,7.1,""['Peter Lord', 'Nick Park']"",""['Peter Lord', 'Nick Park', 'Karey Kirkpatrick']"",-,84,chicken run,2000";;;;;
"7,4.4,Keoni Waxman,Richard Beattie,""A dark, comedic thriller about fraud, bank robbers, and a search for love."",94,the highwayman,2000";;;;;
"8,7.4,Mark Dindal,""['Chris Williams', 'Mark Dindal', 'David Reynolds']"",-,78,keizer kuzco,2000";;;;;
"9,6.9,Bonnie Hunt,""['Bonnie Hunt', 'Don Lake', 'Andrew Stern']"",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,115,return to me,2000";;;;;
