puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.2,"['Wayne Berwick', 'Ted Newsom']",Ted Newsom,"A brain-dead sheriff, a stolid secret agent and a sexy scientist team with a grumpy retired monster fighter to battle a 60 foot, three-eyed cross between man and dinosaur.",100,Comedia,the naked monster,2005
4.6,Mikey Jackson,Mikey Jackson,"Neil, a punk rock vegetarian, is being forced to go into the family butcher business. He decides to save the world instead.",76,Comedia,shooting vegetarians,2005
-,Ernie Gehr,-,-,-,Comedia,three,2005
5.0,Scott Edmund Lane,"['Scott Edmund Lane', 'Mark Pietri']","George Burns is no happy angel. Heaven is ""non-smoking"", but most importantly, he can't reunite with his wife Gracie.",87,Comedia,angels with angles,2005
5.5,Gary Sinyor,"['Jane Walker Wood', 'Steven Manners', 'Gary Sinyor']",Tom Green stars as a bumbling buffoon who lands at Butlering after working his way through all other 'A' and 'B' jobs.,90,Comedia,bob the butler,2005
3.7,John T. Kretchmer,"['Paul Fleischman', 'Robert Lo', 'Cash', 'Andrew Lane']","Three snobbish high school girls prematurely age brought on from a curse, a drug (or something) after the arrival of new transfer student whom they believe is connected to a murder they committed a year earlier. A fate worse than death.",84,Comedia,bad girls from valley high,2005
4.5,Chris Hall,"['Eric Swelstad', 'Ira Heffler', 'Ari Schlossberg']",A man revisits the previous significant girlfriends in his life in order to win over the girl of his dreams.,95,Comedia,lucky 13,2005
6.6,Marc Grant,Marc Grant,"In this experimental update of Jack and the Beanstalk (ital), a streetwise pot dealer is catapulted on a mystical adventure when he trades his father's gold watch for a pair of psychotropic seeds.",85,Comedia,slipdream,2005
5.8,"['Raymond L. Gunn', 'Robert Swanson']","['Raymond L. Gunn', 'Robert Swanson']","Watching this crazy gangland send-up with the ""outlandish"" commercial interuptions, makes you feel as if you are viewing a late night movie on local television, but, a t.v. station could ""never"" air anything like ""Striptease Baby Dolls From Cleveland Meet The Unkillables"", and the commercial spoofs are done the way we'd ""like"" to see them . It's zany comedy and action... Leer todo",80,Comedia,striptease baby dolls from cleveland meet the unkillables,2005
4.3,Parker Cross,Matt Salzberg,"After an impulsive visit to a fortuneteller, three friends discover that the power of suggestion has forced them to consider the reality of ""fate.""",91,Comedia,fortunes,2005
