puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
7.7,Abbi Lake O'Neill,Abbi Lake O'Neill,"Kate McCarthy, a former teen sitcom star who trashed her life through drug abuse, is forced to live, fresh out of rehab, on the one remaining piece of property, her business manager, Charlie has kept out of foreclosure - a run-down apartment building in east L.A. With her one remaining trendy friend, Claire, who's still an addict and trapped in a loveless marriage, th... Leer todo",-,Comedia,surviving in l.a.,2020
5.4,Robert Zemeckis,"['Robert Zemeckis', 'Kenya Barris', 'Guillermo del Toro']",-,106,Comedia,the witches,2020
7.0,Piotr Domalewski,Piotr Domalewski,-,98,Comedia,jak najdalej stad,2020
9.2,Tye Banks,"['Bo Alambis', 'Ampston Hews', 'Brian Isley']",Liquor House Comedy presents the Big 3 featuring stand up comedians Brian Isley (New York's Apollo Theater) Bo Alambis and Ampston Hews. None of these three comedians are a like. They all bring a unique style of stand up comedy.,46,Comedia,the big 3,2020
5.3,Jan Kounen,"['Fabrice Roger-Lacan', 'Jan Kounen', 'Vincent Lindon']",-,104,Comedia,mon cousin,2020
5.2,Moa Gammel,"['Henrik Engström', 'Mattias Grosin', 'Martin Widmark']",Lasse and Maja have had their detective agency shut down by the police chief when a customer ask for help to prove her father is innocent of the train robbery he was convicted of. Lasse and Maja now see their great chance to show off.,82,Comedia,lassemajas detektivbyrå - tågrånarens hemlighet,2020
4.7,Theodore Boborol,"['Daisy Cayanan', 'Marionne Dominique Mancol']",It follows Pat Reyes who is a hardworking hostel manager and online vegetable seller who trains her boss' hardheaded and exiled grandson as a hostel employee.,107,Comedia,james & pat & dave,2020
4.4,Sam Macaroni,"['Sam Macaroni', 'Sean Bishop', 'Troy Duffy']",-,84,Comedia,guest house,2020
6.9,Johannes Naber,"['Oliver Keidel', 'Johannes Naber']",-,108,Comedia,curveball,2020
3.5,Robert L. Parker III,"['Crystal Harris', 'Robert L. Parker III']","Four single women reunite together after not seeing each other in so many years. When they meet they discover that they haven't changed much. While together they have wild parties, drinking, dancing and other fun activities. Starring Kaymecia Garvins, Marie Richards, Robin Lee Ni... Leer todo",111,Comedia,girlfriend's reunited,2020
8.7,Andrew Putschoegl,Sam Harris,"A live recording of Sam Harris's award-winning one-man musical performance, tracing his rise to stage stardom.",113,Comedia,ham: a musical memoir,2020
6.4,Icíar Bollaín,"['Icíar Bollaín', 'Alicia Luna', 'Lina Badenes']",-,97,Comedia,la boda de rosa,2020
7.6,Collin Levin,"['Nicolai Dorian', 'Collin Levin', 'Nicholas Tuttle']","A young jazz guitarist, Jazzen Goodman, dreams of becoming a jazz legend. He hires his best friend Dylan to film him on his journey through the jazz world.",93,Comedia,in a silent way,2020
-,Eric Edwards,Eric Edwards,-,45,Comedia,what men don't know about women,2020
6.2,Kelly Oxford,Kelly Oxford,-,94,Comedia,pink skies ahead,2020
5.6,Jun Geng,"['Jun Geng', 'Bing Liu']",-,118,Comedia,manchurian tiger,2020
