,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Pelicula,This Wretched Life,2010,7,tt0331312
1,Pelicula,Blind Sided,2010,-,tt0337882
2,Pelicula,Anderson's Cross,2010,5,tt0393049
3,Pelicula,Rapunzel,2010,12,tt0398286
4,Pelicula,Venus & Vegas,2010,11,tt0423474
5,Pelicula,Dinner for Schmucks,2010,8,tt0427152
6,Pelicula,Toy Story 3,2010,6,tt0435761
7,Pelicula,Diary of a Bad Lad,2010,2,tt0449005
8,Pelicula,Scott Pilgrim vs. the World,2010,11,tt0446029
9,Pelicula,El hada buena - Una fábula peronista,2010,4,tt0454155
10,Pelicula,"Guns, Drugs and Dirty Money",2010,,tt0464032
11,Pelicula,Piranha 3D,2010,9,tt0464154
12,Pelicula,Harlem Hostel,2010,2,tt0469094
13,Pelicula,Stiffs,2010,,tt0476023
14,Pelicula,Barry Munday,2010,3,tt0482461
15,Pelicula,A Woman Is a Woman,2010,,tt0483839
16,Pelicula,PrimeMates,2010,1,tt0490199
17,Pelicula,Ramona and Beezus,2010,7,tt0493949
18,Pelicula,Furry Vengeance,2010,7,tt0492389
19,Pelicula,Love & Other Drugs,2010,1,tt0758752
20,Pelicula,Waste of Space,2010,4,tt0765485
21,Pelicula,The Guardians,2010,,tt0800054
22,Pelicula,It's Kind of a Funny Story,2010,10,tt0804497
23,Pelicula,Tooth Fairy,2010,1,tt0808510
24,Pelicula,Plumíferos - Aventuras voladoras,2010,2,tt0811021
25,Pelicula,She's Out of My League,2010,6,tt0815236
26,Pelicula,Valentine's Day,2010,2,tt0817230
27,Pelicula,Flipped,2010,9,tt0817177
28,Pelicula,Return to Yucca Flats: Desert Man-Beast,2010,1,tt0826532
29,Pelicula,The Kids Are All Right,2010,12,tt0842926
30,Pelicula,Gangster Exchange,2010,2,tt0846004
31,Pelicula,Fauj Mein Mauj,2010,,tt0847735
32,Pelicula,2001 Maniacs: Field of Screams,2010,2,tt0858411
33,Pelicula,Wide Blue Yonder,2010,5,tt0858500
34,Pelicula,Zenitram,2010,5,tt0861747
35,Pelicula,Touch Wood,2010,-,tt0870208
36,Pelicula,Please Give,2010,7,tt0878835
37,Pelicula,AIR: The Musical,2010,4,tt0882741
38,Pelicula,Repo,2010,,tt0887161
39,Pelicula,The Switch,2010,10,tt0889573
40,Pelicula,Letters to Juliet,2010,6,tt0892318
41,Pelicula,Shrek Forever After,2010,7,tt0892791
42,Pelicula,How to Train Your Dragon,2010,3,tt0892769
43,Pelicula,Movin' In,2010,8,tt0910926
44,Pelicula,Jackboots on Whitehall,2010,10,tt0915463
45,Pelicula,De gelukkige huisvrouw,2010,4,tt0920459
46,Pelicula,Pizza with Bullets,2010,,tt0924266
47,Pelicula,The Penthouse,2010,3,tt0929618
48,Pelicula,Private Security Officer: Los Angeles,2010,12,tt0960827
49,Pelicula,Made in Romania,2010,,tt0963177
50,Pelicula,Pushin' Up Daisies,2010,6,tt0964544
51,Pelicula,L'imbroglio nel lenzuolo,2010,6,tt0965429
52,Pelicula,The Chosen One,2010,9,tt0970926
53,Pelicula,Little Fockers,2010,12,tt0970866
54,Pelicula,Lottery Ticket,2010,8,tt0979434
55,Pelicula,Multiple Sarcasms,2010,4,tt0984210
56,Pelicula,Adventure Scouts,2010,10,tt0994917
57,Pelicula,Megamind,2010,12,tt1001526
58,Pelicula,The Steamroom,2010,,tt1008046
59,Pelicula,Knight and Day,2010,7,tt1013743
60,Pelicula,Dylan Dog: Dead of Night,2010,4,tt1013860
61,Pelicula,Prime of Your Life,2010,,tt1016226
62,Pelicula,Jeffie Was Here,2010,,tt1019442
63,Pelicula,Piel de Lija,2010,5,tt10229082
64,Pelicula,RiffTrax: High School Musical,2010,,tt10263222
65,Pelicula,The Bounty Hunter,2010,4,tt1038919
66,Pelicula,Let the Game Begin,2010,1,tt1041778
67,Pelicula,Not Another B Movie,2010,,tt1043757
68,Pelicula,Aaj Kal,2010,2,tt1047439
69,Pelicula,House Broken,2010,7,tt1054631
70,Pelicula,As Melhores Coisas do Mundo,2010,4,tt1054677
71,Pelicula,Life as We Know It,2010,10,tt1055292
72,Pelicula,Spud,2010,12,tt1059969
73,Pelicula,For Christ's Sake,2010,12,tt1067107
74,Pelicula,The Vampires of Zanzibar,2010,1,tt1067090
75,Pelicula,Quincas Berro d'Água,2010,5,tt1068962
76,Pelicula,Habana Eva,2010,5,tt1069246
77,Pelicula,Good Intentions,2010,3,tt1070781
78,Pelicula,Elvis & Madona,2010,9,tt1071211
79,Pelicula,Jelly,2010,,tt1071877
80,Pelicula,See You in September,2010,4,tt1073246
81,Pelicula,Psychosomatika,2010,12,tt1078591
82,Pelicula,10 Years Later,2010,3,tt1079974
83,Pelicula,Jerry Cotton,2010,3,tt1080019
84,Pelicula,The University Days of a Dog,2010,9,tt10912908
85,Pelicula,Oru Avadhikaalam,2010,,tt10940482
86,Pelicula,Amor en tránsito,2010,12,tt1095399
87,Pelicula,Trevor Boris: Over Easy,2010,,tt10966982
88,Pelicula,Les princes de la nuit,2010,-,tt1101041
89,Pelicula,Peep World,2010,3,tt1103273
90,Pelicula,Killers,2010,6,tt1103153
91,Pelicula,Cornhole: The Movie,2010,5,tt1103269
92,Pelicula,Something Like a Business,2010,,tt1103255
93,Pelicula,Dirty Girl,2010,7,tt1107319
94,Pelicula,Mars,2010,12,tt1109488
95,Pelicula,Prigode kmeta Pajota,2010,3,tt11157618
96,Pelicula,Jackass 3D,2010,10,tt1116184
97,Pelicula,A Fork in the Road,2010,4,tt1117386
98,Pelicula,Love Ranch,2010,1,tt1125929
99,Pelicula,Morning Glory,2010,1,tt1126618
100,Pelicula,Mission London,2010,4,tt1127702
101,Pelicula,Miss Nobody,2010,6,tt1129427
102,Pelicula,Swishbucklers,2010,5,tt1130092
103,Pelicula,Maria Costa's Macho Men and the Women Who Love Them,2010,1,tt1131737
104,Pelicula,Donkeys,2010,10,tt1134846
105,Pelicula,Undercover Rascals,2010,10,tt11361770
106,Pelicula,The Story of F***,2010,10,tt1137482
107,Pelicula,Holyman Undercover,2010,4,tt1144546
108,Pelicula,Rudolfa mantojums,2010,1,tt1149607
109,Pelicula,El kaserón,2010,4,tt1149619
110,Pelicula,Heels,2010,2,tt1160371
111,Pelicula,Una hora más en Canarias,2010,7,tt1161411
112,Pelicula,Harvey Putter and the Ridiculous Premise,2010,7,tt1161421
113,Pelicula,Sint,2010,11,tt1167675
114,Pelicula,Boston Girls,2010,,tt1168696
115,Pelicula,"Qué Sera, Sera",2010,9,tt11704124
116,Pelicula,The Myth of the American Sleepover,2010,4,tt1174042
117,Pelicula,The Four-Faced Liar,2010,1,tt1174693
118,Pelicula,Acorazado,2010,6,tt1174933
119,Pelicula,Failing Better Now,2010,5,tt1176728
120,Pelicula,Les aventures extraordinaires d'Adèle Blanc-Sec,2010,4,tt1179025
121,Pelicula,Todas las canciones hablan de mí,2010,12,tt1179927
122,Pelicula,You Will Meet a Tall Dark Stranger,2010,12,tt1182350
123,Pelicula,Dulha Mil Gaya,2010,1,tt1182884
124,Pelicula,Stag Night of the Dead,2010,10,tt1183489
125,Pelicula,Mr. Nice,2010,9,tt1183911
126,Pelicula,At Best Derivative,2010,1,tt1185040
127,Pelicula,When in Rome,2010,6,tt1185416
128,Pelicula,Kung Fu Magoo,2010,5,tt1186365
129,Pelicula,Prince of Swine,2010,9,tt1186665
130,Pelicula,Toonpur Ka Superrhero,2010,12,tt1189006
131,Pelicula,Woodshop,2010,9,tt1189267
132,Pelicula,Hello Darling,2010,8,tt1191118
133,Pelicula,My Own Love Song,2010,4,tt1193507
134,Pelicula,Casino Jack,2010,12,tt1194417
135,Pelicula,Jaane Kahan Se Aayi Hai,2010,4,tt1194232
136,Pelicula,Crazy on the Outside,2010,1,tt1196134
137,Pelicula,Het leven van een loser,2010,3,tt1196141
138,Pelicula,Cemetery Junction,2010,9,tt1196204
139,Pelicula,"You, Only Better...",2010,,tt1197633
140,Pelicula,One Too Many Mornings,2010,1,tt1200274
141,Pelicula,Why Am I in a Box?,2010,12,tt1204984
142,Pelicula,Maverick and Ariel's First Ever Ever Movie Hollywood or Else... (Ang pinakamahabang title ng movie sa balat ng lupa),2010,4,tt1204784
143,Pelicula,Las Angeles,2010,-,tt1206083
144,Pelicula,Next Time Ned,2010,5,tt1207009
145,Pelicula,Van Von Hunter,2010,7,tt1209368
146,Pelicula,Snatched!,2010,7,tt1210047
147,Pelicula,Creative Differences,2010,4,tt1212077
148,Pelicula,One Wish,2010,11,tt1212434
149,Pelicula,The Back-up Plan,2010,6,tt1212436
150,Pelicula,An Invisible Sign,2010,4,tt1212454
151,Pelicula,Alpha en Omega,2010,2,tt1213012
