,0
0,Wallace Shawn
1,Peter Cushing
2,David Prowse
3,Julianne Moore
4,Brad Pitt
5,Noel Appleby
6,Daniel Roebuck
7,Alec Guinness
8,Marcus Chong
9,Dave Goelz
10,Tara Reid
11,George Kennedy
12,Philip Seymour Hoffman
13,Julian Arahanga
14,Elijah Wood
15,Laura Lovelace
16,Christopher Lloyd
17,Angela Paton
18,Sean Bean
19,John Travolta
20,Gwyneth Paltrow
21,J.D. Cannon
22,Bert Lahr
23,Lou Antonio
24,Peter Mayhew
25,Jim Henson
26,Chris Sarandon
27,Charley Grapewin
28,Kevin Spacey
29,Brian Doyle-Murray
30,Michael J. Fox
31,Samuel L. Jackson
32,Clifton James
33,Crispin Glover
34,Daniel Zacapa
35,Rick Overton
36,Burr Steers
37,Rick Ducommun
38,Charles Durning
39,Hugo Weaving
40,Marc McClure
41,Andy Serkis
42,Belinda McClory
43,Alan Howard
44,Jeroen Krabbé
45,George DiCenzo
46,Uma Thurman
47,Keanu Reeves
48,Reg E. Cathey
49,Morgan Woodward
50,Chris Elliott
51,David Huddleston
52,Tommy Lee Jones
53,Frances Lee McCain
54,Robert Drivas
55,Laurence Fishburne
56,Edgar Bergen
57,Paul Newman
58,L. Scott Caldwell
59,Phil LaMarr
60,Mark Pellegrino
61,Robin Wright
62,Sela Ward
63,Wendie Jo Sperber
64,Joe Pantoliano
65,Tom Wood
66,Andrew Kevin Walker
67,Cary Elwes
68,Gloria Foster
69,Jack Haley
70,Philip Moon
71,Mel Brooks
72,Frank Morgan
73,Kenny Baker
74,Sean Astin
75,Andreas Katsulas
76,Sala Baker
77,Carrie Fisher
78,Milton Berle
79,Anthony Daniels
80,Ian McKellen
81,Orlando Bloom
82,Strother Martin
83,Marita Geraghty
84,Peter Crombie
85,Judy Garland
86,Robin Duke
87,Richard Hunt
88,Frank Oz
89,Peter Cook
90,Steve Buscemi
91,Andie MacDowell
92,Luke Askew
93,Bruce Willis
94,Peter Stormare
95,Stephen Tobolowsky
96,Jo Van Fleet
97,John Goodman
98,Morgan Freeman
99,John Cassini
100,Margaret Hamilton
101,Mandy Patinkin
102,Frank Whaley
103,Fred Savage
104,Pat Walshe
105,Jerry Nelson
106,Billie Burke
107,Tom Wilson
108,Matt Doran
109,Jeff Bridges
110,Bill Murray
111,Lea Thompson
112,Clara Blandick
113,Bob Mack
114,Peter Falk
115,Mark Hamill
116,Amanda Plummer
117,Billy Boyd
118,Harrison Ford
119,Ray Bolger
120,Austin Pendleton
121,André René Roussimoff
122,Phil Brown
123,Tim Roth
124,Claudia Wells
125,Carrie-Anne Moss
126,Christopher Guest
