,0,1,2,3,4
0,Pelicula,Love 101,2000,2,tt0119495
1,Pelicula,Nothing Sacred,2000,11,tt0119806
2,Pelicula,State and Main,2000,7,tt0120202
3,Pelicula,Bruno,2000,4,tt0123003
4,Pelicula,Sånger från andra våningen,2000,9,tt0120263
5,Pelicula,The Elf Who Didn't Believe,2000,9,tt0123055
6,Pelicula,Chicken Run,2000,9,tt0120630
7,Pelicula,The Highwayman,2000,4,tt0120698
8,Pelicula,Keizer Kuzco,2000,6,tt0120917
9,Pelicula,Return to Me,2000,6,tt0122459
10,Cortometraje,A Moment of Silence,2000,9,tt0124798
11,Pelicula,The Adventures of Rocky & Bullwinkle,2000,6,tt0131704
12,Pelicula,Duets,2000,9,tt0134630
13,Pelicula,Love... at Your Disposal,2000,4,tt0138583
14,Pelicula,All Saints Day,2000,10,tt0138288
15,Pelicula,Mothman,2000,-,tt0137115
16,Pelicula,The Road to El Dorado,2000,10,tt0138749
17,Pelicula,Muggers,2000,5,tt0138631
18,Pelicula,It Had to Be You,2000,2,tt0139388
19,Pelicula,Isn't She Great,2000,1,tt0141399
20,Pelicula,Committed,2000,4,tt0144142
21,Pelicula,Meeting Daddy,2000,6,tt0142650
22,Cortometraje,The Package,2000,10,tt0145272
23,Pelicula,Nutty Professor II: The Klumps,2000,10,tt0144528
24,Pelicula,Red Lipstick,2000,4,tt0144574
25,Cortometraje,The Extra,2000,2,tt0146682
26,Pelicula,High Fidelity,2000,8,tt0146882
27,Pelicula,Eat Me!,2000,-,tt0148095
28,Pelicula,Shafted!,2000,3,tt0147486
29,Pelicula,Where the Money Is,2000,4,tt0149367
30,Pelicula,Laughing Boy,2000,11,tt0151309
31,Pelicula,Mr. Accident,2000,9,tt0156807
32,Pelicula,The Next Best Thing,2000,6,tt0156841
33,Pelicula,2001: A Space Travesty,2000,9,tt0157262
34,Pelicula,My Dog Skip,2000,8,tt0156812
35,Pelicula,Life/Drawing,2000,,tt0156741
36,Pelicula,Screwed,2000,5,tt0156323
37,Pelicula,Mad About Mambo,2000,7,tt0156757
38,Pelicula,Det blir aldrig som man tänkt sig,2000,2,tt0158581
39,Pelicula,The Flintstones in Viva Rock Vegas,2000,7,tt0158622
40,Pelicula,Coping,2000,3,tt0159371
41,Pelicula,Punks,2000,1,tt0160710
42,Pelicula,More Dogs Than Bones,2000,7,tt0160547
43,Pelicula,The Independent,2000,3,tt0160403
44,Pelicula,Attention Shoppers,2000,9,tt0159291
45,Pelicula,Desperate But Not Serious,2000,10,tt0160182
46,Pelicula,Slice & Dice,2000,-,tt0161509
47,Pelicula,Charlie's Angels,2000,12,tt0160127
48,Pelicula,The Last Great Ride,2000,4,tt0160447
49,Pelicula,Ordinary Decent Criminal,2000,1,tt0160611
50,Pelicula,Killing Cinderella,2000,-,tt0160425
51,Pelicula,Open Return,2000,-,tt0160607
52,Pelicula,La parenthèse enchantée,2000,4,tt0163141
53,Pelicula,Hanging Up,2000,6,tt0162983
54,Pelicula,The Operator,2000,3,tt0163125
55,Pelicula,Trixie,2000,8,tt0162711
56,Pelicula,The Debut,2000,8,tt0163745
57,Pelicula,Big Monster on Campus,2000,2,tt0164192
58,Pelicula,Urban Mythology,2000,-,tt0164953
59,Pelicula,Finding Kelly,2000,1,tt0166192
60,Pelicula,The Girls' Room,2000,3,tt0167183
61,Cortometraje,In Between,2000,-,tt0168002
62,Pelicula,Le birdwatcher,2000,12,tt0168509
63,Pelicula,Screenland Drive,2000,-,tt0166339
64,Pelicula,Holgi,2000,2,tt0166649
65,Pelicula,The Boys Behind the Desk,2000,-,tt0167802
66,Pelicula,Film,2000,9,tt0167936
67,Pelicula,"Chicks, Man",2000,10,tt0168578
68,Pelicula,Hjælp! Jeg er en fisk,2000,10,tt0168856
69,Pelicula,A Better Way to Die,2000,9,tt0168504
70,Pelicula,Ab ins Paradies,2000,3,tt0168847
71,Pelicula,Dr. Seuss' How the Grinch Stole Christmas,2000,11,tt0170016
72,Pelicula,Keeping the Faith,2000,8,tt0171433
73,Pelicula,Sud Side Stori,2000,9,tt0170635
74,Pelicula,Ballen i øyet,2000,2,tt0172160
75,Pelicula,Gun Shy,2000,3,tt0171356
76,Pelicula,Nurse Betty,2000,11,tt0171580
77,Pelicula,Labor Pains,2000,11,tt0172699
78,Pelicula,The Million Dollar Kid,2000,4,tt0172464
79,Pelicula,Naked with Loons,2000,6,tt0172854
80,Pelicula,L.A.,2000,-,tt0172693
81,Pelicula,Cecil B. Demented,2000,8,tt0173716
82,Pelicula,"6,000 Miles from Hollywood",2000,-,tt0174448
83,Pelicula,Whipped,2000,9,tt0174336
84,Pelicula,Retiring Tatiana,2000,2,tt0175114
85,Pelicula,Just for the Time Being,2000,2,tt0174646
86,Pelicula,Scary Movie,2000,8,tt0175142
87,Pelicula,Sample People,2000,5,tt0177195
88,Pelicula,Company Man,2000,7,tt0177650
89,Pelicula,Hotel Splendide,2000,9,tt0177845
90,Pelicula,Stranger Than Fiction,2000,5,tt0178043
91,Pelicula,Im Juli,2000,8,tt0177858
92,Pelicula,All the Wrong Places,2000,9,tt0177513
93,Pelicula,The Rowdy Girls,2000,5,tt0177185
94,Pelicula,Sunset Strip,2000,8,tt0178050
95,Pelicula,Rhythm & Blues,2000,1,tt0178866
96,Pelicula,The Strange Case of Señor Computer,2000,1,tt0177213
97,Pelicula,Just Sue Me,2000,9,tt0179915
98,Pelicula,Rats and Rabbits,2000,4,tt0179677
99,Pelicula,Mondialito,2000,1,tt0179987
100,Pelicula,Rancid Aluminium,2000,1,tt0179443
101,Pelicula,Dean Quixote,2000,,tt0179144
102,Pelicula,What Planet Are You From?,2000,5,tt0181151
103,Pelicula,Bossa Nova,2000,3,tt0180837
104,Cortometraje,Dinner,2000,-,tt0181486
105,Pelicula,Love's Labour's Lost,2000,9,tt0182295
106,Pelicula,Les frères Soeur,2000,7,tt0181548
107,Pelicula,A Piece of Eden,2000,8,tt0181945
108,Pelicula,Everything's Jake,2000,3,tt0180683
109,Pelicula,My Mother Frank,2000,8,tt0183550
110,Pelicula,A Man Is Mostly Water,2000,10,tt0183488
111,Pelicula,"Me, Myself & Irene",2000,7,tt0183505
112,Pelicula,The Specials,2000,9,tt0181836
113,Pelicula,Almost Famous,2000,5,tt0181875
114,Pelicula,Gunblast Vodka,2000,8,tt0183142
115,Pelicula,What I Like About You,2000,1,tt0184009
116,Pelicula,Les yeux brouillés,2000,6,tt0184056
117,Pelicula,Taxi 2,2000,1,tt0183869
118,Pelicula,Undertaker's Paradise,2000,2,tt0183946
119,Pelicula,Shanghai Noon,2000,6,tt0184894
120,Pelicula,"Raluy, una noche en el circo",2000,6,tt0184849
121,Pelicula,Snow Day,2000,2,tt0184907
122,Pelicula,Little Nicky,2000,11,tt0185431
123,Pelicula,Hundhotellet,2000,3,tt0184596
124,Pelicula,Dirk and Betty,2000,,tt0186029
125,Pelicula,Highway Society,2000,3,tt0187880
126,Pelicula,Down to You,2000,7,tt0186975
127,Pelicula,Wonder Boys,2000,11,tt0185014
128,Pelicula,Drowning Mona,2000,1,tt0186045
129,Pelicula,Playing Mona Lisa,2000,4,tt0187559
130,Cortometraje,They Walk Among Us,2000,-,tt0187697
131,Pelicula,Magicians,2000,,tt0188045
