,0,1,2,3,4,5,6
0,,,,,,love 101,2000
1,,,,,,nothing sacred,2000
2,,,,,,state and main,2000
3,,,,,,bruno,2000
4,,,,,,sånger från andra våningen,2000
5,,,,,,the elf who didn't believe,2000
6,,,,,,chicken run,2000
7,,,,,,the highwayman,2000
8,,,,,,keizer kuzco,2000
9,,,,,,return to me,2000
10,,,,,,the adventures of rocky & bullwinkle,2000
11,,,,,,duets,2000
12,,,,,,love... at your disposal,2000
13,,,,,,all saints day,2000
14,,,,,,mothman,2000
15,,,,,,the road to el dorado,2000
16,,,,,,muggers,2000
17,,,,,,it had to be you,2000
18,,,,,,isn't she great,2000
19,,,,,,committed,2000
20,,,,,,meeting daddy,2000
21,,,,,,nutty professor ii: the klumps,2000
22,,,,,,red lipstick,2000
23,,,,,,high fidelity,2000
24,,,,,,eat me!,2000
25,,,,,,shafted!,2000
26,,,,,,where the money is,2000
27,,,,,,laughing boy,2000
28,,,,,,mr. accident,2000
29,,,,,,the next best thing,2000
30,,,,,,2001: a space travesty,2000
31,,,,,,my dog skip,2000
32,,,,,,life/drawing,2000
33,,,,,,screwed,2000
34,,,,,,mad about mambo,2000
35,,,,,,det blir aldrig som man tänkt sig,2000
36,,,,,,the flintstones in viva rock vegas,2000
37,,,,,,coping,2000
38,,,,,,punks,2000
39,,,,,,more dogs than bones,2000
40,,,,,,the independent,2000
41,,,,,,attention shoppers,2000
42,,,,,,desperate but not serious,2000
43,,,,,,slice & dice,2000
44,,,,,,charlie's angels,2000
45,,,,,,the last great ride,2000
46,,,,,,ordinary decent criminal,2000
47,,,,,,killing cinderella,2000
48,,,,,,open return,2000
49,,,,,,la parenthèse enchantée,2000
50,,,,,,hanging up,2000
51,,,,,,the operator,2000
52,,,,,,trixie,2000
53,,,,,,the debut,2000
54,,,,,,big monster on campus,2000
55,,,,,,urban mythology,2000
56,,,,,,finding kelly,2000
57,,,,,,the girls' room,2000
58,,,,,,le birdwatcher,2000
59,,,,,,screenland drive,2000
60,,,,,,holgi,2000
61,,,,,,the boys behind the desk,2000
62,,,,,,film,2000
63,,,,,,"chicks, man",2000
64,,,,,,hjælp! jeg er en fisk,2000
65,,,,,,a better way to die,2000
66,,,,,,ab ins paradies,2000
67,,,,,,dr. seuss' how the grinch stole christmas,2000
68,,,,,,keeping the faith,2000
69,,,,,,sud side stori,2000
70,,,,,,ballen i øyet,2000
71,,,,,,gun shy,2000
72,,,,,,nurse betty,2000
73,,,,,,labor pains,2000
74,,,,,,the million dollar kid,2000
75,,,,,,naked with loons,2000
76,,,,,,l.a.,2000
77,,,,,,cecil b. demented,2000
78,,,,,,"6,000 miles from hollywood",2000
79,,,,,,whipped,2000
80,,,,,,retiring tatiana,2000
81,,,,,,just for the time being,2000
82,,,,,,scary movie,2000
83,,,,,,sample people,2000
84,,,,,,company man,2000
85,,,,,,hotel splendide,2000
86,,,,,,stranger than fiction,2000
87,,,,,,im juli,2000
88,,,,,,all the wrong places,2000
89,,,,,,the rowdy girls,2000
90,,,,,,sunset strip,2000
91,,,,,,rhythm & blues,2000
92,,,,,,the strange case of señor computer,2000
93,,,,,,just sue me,2000
94,,,,,,rats and rabbits,2000
95,,,,,,mondialito,2000
96,,,,,,rancid aluminium,2000
97,,,,,,dean quixote,2000
98,,,,,,what planet are you from?,2000
99,,,,,,bossa nova,2000
100,,,,,,love's labour's lost,2000
101,,,,,,les frères soeur,2000
102,,,,,,a piece of eden,2000
103,,,,,,everything's jake,2000
104,,,,,,my mother frank,2000
105,,,,,,a man is mostly water,2000
106,,,,,,"me, myself & irene",2000
107,,,,,,the specials,2000
108,,,,,,almost famous,2000
109,,,,,,gunblast vodka,2000
110,,,,,,what i like about you,2000
111,,,,,,les yeux brouillés,2000
112,,,,,,taxi 2,2000
113,,,,,,undertaker's paradise,2000
114,,,,,,shanghai noon,2000
115,,,,,,"raluy, una noche en el circo",2000
116,,,,,,snow day,2000
117,,,,,,little nicky,2000
118,,,,,,hundhotellet,2000
119,,,,,,dirk and betty,2000
120,,,,,,highway society,2000
121,,,,,,down to you,2000
122,,,,,,wonder boys,2000
123,,,,,,drowning mona,2000
124,,,,,,playing mona lisa,2000
125,,,,,,magicians,2000
126,,,,,,cut,2000
127,,,,,,heller als der mond,2000
128,,,,,,olé: um movie cabra da peste,2000
129,,,,,,the whole nine yards,2000
130,,,,,,life-in-progress,2000
131,,,,,,28 days,2000
132,,,,,,the little vampire,2000
133,,,,,,"o brother, where art thou?",2000
134,,,,,,honest,2000
135,5.5,Danny Leiner,Philip Stark,-,-,the replacements,2000
136,,,,,,jim's camera,2000
137,,,,,,otto - der katastrofenfilm,2000
138,,,,,,picking up the pieces,2000
139,,,,,,married 2 malcolm,2000
140,,,,,,stardom,2000
141,,,,,,apartment hunting,2000
142,,,,,,enemies of laughter,2000
143,,,,,,badding,2000
144,,,,,,chain of fools,2000
145,,,,,,hurmaava joukkoitsemurha,2000
146,,,,,,accelerator,2000
147,,,,,,panic,2000
148,,,,,,we married margo,2000
149,,,,,,saving grace,2000
150,,,,,,mvp: most valuable primate,2000
151,,,,,,next friday,2000
152,,,,,,small time crooks,2000
153,,,,,,"free delivery, the horror!",2000
154,,,,,,da jeg traff jesus... med sprettert,2000
155,,,,,,detektor,2000
156,,,,,,lush,2000
157,,,,,,schrott - die atzenposse,2000
158,,,,,,what's cooking?,2000
159,,,,,,where the heart is,2000
160,,,,,,after sex,2000
161,,,,,,east of a,2000
162,,,,,,the crew,2000
163,,,,,,recipe for disaster,2000
164,,,,,,perfect fit,2000
165,,,,,,3 strikes,2000
166,,,,,,about adam,2000
167,,,,,,chuck & buck,2000
168,,,,,,el árbol del penitente,2000
169,,,,,,lucy you love it,2000
170,,,,,,"belli, carucci e pettinati",2000
