,0,1,2
0,Love 101,2000,33
1,Nothing Sacred,2000,92
2,State and Main,2000,85
3,Bruno,2000,20
4,Sånger från andra våningen,2000,
5,The Elf Who Didn't Believe,2000,
6,Chicken Run,2000,97
7,The Highwayman,2000,14
8,Keizer Kuzco,2000,
9,Return to Me,2000,62
10,The Adventures of Rocky & Bullwinkle,2000,
11,Duets,2000,21
12,Love... at Your Disposal,2000,
13,All Saints Day,2000,
14,Mothman,2000,22
15,The Road to El Dorado,2000,49
16,Muggers,2000,
17,It Had to Be You,2000,44
18,Isn't She Great,2000,24
19,Committed,2000,43
20,Meeting Daddy,2000,
21,Nutty Professor II: The Klumps,2000,27
22,Red Lipstick,2000,
23,High Fidelity,2000,91
24,Eat Me!,2000,
25,Shafted!,2000,50
26,Where the Money Is,2000,48
27,Laughing Boy,2000,-
28,Mr. Accident,2000,17
29,The Next Best Thing,2000,19
30,2001: A Space Travesty,2000,17
31,My Dog Skip,2000,73
32,Life/Drawing,2000,15
33,Screwed,2000,10
34,Mad About Mambo,2000,57
35,Det blir aldrig som man tänkt sig,2000,
36,The Flintstones in Viva Rock Vegas,2000,25
37,Coping,2000,
38,Punks,2000,56
39,More Dogs Than Bones,2000,57
40,The Independent,2000,60
41,Attention Shoppers,2000,43
42,Desperate But Not Serious,2000,
43,Slice & Dice,2000,
44,Charlie's Angels,2000,68
45,The Last Great Ride,2000,
46,Ordinary Decent Criminal,2000,14
47,Killing Cinderella,2000,
48,Open Return,2000,
49,La parenthèse enchantée,2000,
50,Hanging Up,2000,12
51,The Operator,2000,45
52,Trixie,2000,28
53,The Debut,2000,71
54,Big Monster on Campus,2000,
55,Urban Mythology,2000,
56,Finding Kelly,2000,-
57,The Girls' Room,2000,
58,Le birdwatcher,2000,
59,Screenland Drive,2000,
60,Holgi,2000,
61,The Boys Behind the Desk,2000,
62,Film,2000,
63,"Chicks, Man",2000,
64,Hjælp! Jeg er en fisk,2000,
65,A Better Way to Die,2000,37
66,Ab ins Paradies,2000,
67,Dr. Seuss' How the Grinch Stole Christmas,2000,
68,Keeping the Faith,2000,69
69,Sud Side Stori,2000,
70,Ballen i øyet,2000,
71,Gun Shy,2000,26
72,Nurse Betty,2000,83
73,Labor Pains,2000,0
74,The Million Dollar Kid,2000,
75,Naked with Loons,2000,
76,L.A.,2000,
77,Cecil B. Demented,2000,52
78,"6,000 Miles from Hollywood",2000,
79,Whipped,2000,13
80,Retiring Tatiana,2000,
81,Just for the Time Being,2000,
82,Scary Movie,2000,51
83,Sample People,2000,49
84,Company Man,2000,14
85,Hotel Splendide,2000,82
86,Stranger Than Fiction,2000,38
87,Im Juli,2000,
88,All the Wrong Places,2000,-
89,The Rowdy Girls,2000,64
90,Sunset Strip,2000,49
91,Rhythm & Blues,2000,
