,0
0,Zécarlos Machado
1,Lavínia Panunzio
2,Augusto Pompeo
3,Luiz Ramalho
4,Melvin Abston
5,Chad Lindsey
6,Benjamin Sprunger
7,Paul Stovall
8,Robert Mello
9,Bianca Blair
10,Karen Christopher
11,Pearon Hampton
12,James Janis
13,Nick Lewis
14,Amy Rising
15,Felipe Braun
16,Maggie Parto
17,Morgana Rodríguez
18,Antonia Zegers
19,Dennis Dun
20,Jay Michael Ferguson
21,Peter Holden
22,Brian Hatton
23,Matthew Blaine
24,Leslie Hoffman
25,Michael Strode
26,Skyler Marshall
27,Scott Rinker
28,Trac Vu
29,John Cho
30,Neil Cameron
31,Steve Lanter
32,Alex Bennett
33,Alex Manos
34,Robert Ruegsegger
35,Susan Brink
36,John Cho
37,Neil Cameron
38,Steve Lanter
39,Alex Bennett
40,Alex Manos
41,Robert Ruegsegger
42,Susan Brink
43,John Cho
44,Neil Cameron
45,Steve Lanter
46,Alex Bennett
47,Alex Manos
48,Robert Ruegsegger
49,Susan Brink
50,John Cho
51,Neil Cameron
52,Steve Lanter
53,Alex Bennett
54,Alex Manos
55,Robert Ruegsegger
56,Susan Brink
57,John Cho
58,Neil Cameron
59,Steve Lanter
60,Alex Bennett
61,Alex Manos
62,Robert Ruegsegger
63,Susan Brink
64,John Cho
65,Neil Cameron
66,Steve Lanter
67,Alex Bennett
68,Alex Manos
69,Robert Ruegsegger
70,Susan Brink
71,James Coburn
72,Ione Skye
73,Shirley Anne Field
74,Rick Zieff
75,Tim Ransom
76,James Coburn
77,Ione Skye
78,Shirley Anne Field
79,Rick Zieff
80,Tim Ransom
81,James Coburn
82,Ione Skye
83,Shirley Anne Field
84,Rick Zieff
85,Tim Ransom
86,Byron Andrews
87,Corey Carrier
88,Nikki Crawford
89,William L. Johnson
90,Sheree Zampino
91,Byron Andrews
92,Corey Carrier
93,Nikki Crawford
94,William L. Johnson
95,Sheree Zampino
96,Byron Andrews
97,Corey Carrier
98,Nikki Crawford
99,William L. Johnson
100,Sheree Zampino
101,Byron Andrews
102,Corey Carrier
103,Nikki Crawford
104,William L. Johnson
105,Sheree Zampino
106,Rosalyn Coleman
107,Marcuis Harris
108,Eric R. Moreland
109,Cheryl Monroe
110,Craig T. Williams
111,Virginia McKinzie
112,Robert Hatcher
113,Romi Dias
114,Brian Cahill
115,Jasha Godschilde
116,Scott Kradolfer
117,Robyn Cohen
118,Phil Hawn
119,Vince DiSaia
120,Leo Kee
121,Kendal Rasnake
122,Maud Saint-Germain
123,Maud Saint-Germain
124,Maud Saint-Germain
125,Mark Borchardt
126,Tom Schimmels
127,Miriam Frost
128,Tommy Dallace
129,Robert Richard Jorge
130,Sherrie Beaupre
131,Jack Bennett
132,Mark Nadolski
133,Scott Berendt
134,Barbara Zanger
135,Ben McIvor
136,Jennifer Cloher
137,Luke Quinton
138,Adam Cahill
139,Guy Chapman
140,Peter Baxter
141,Leon Cmielewski
142,Peter MacMullin
143,Serge Golikov
144,Vladimir Divljan
145,António Silva
146,João Meireles
147,Cecília Guimarães
148,Fernando Crespo
149,João Dória
150,Diogo Dória
151,Frank Finlay
152,Alison Reddihough
153,June Watson
154,Jacqueline Phillips
155,Josie Kidd
156,Troy Hill
157,Joanne Newborn
158,Julie Wilcox
159,Philip Willcox
160,Ana Zanatti
161,Luis Rego
162,Fernando de Mascarenhas
163,Fernando Lopes
164,Francisco Nascimento
165,Maria João Seixas
166,Jeremy Crutchley
167,Sylvaine Strike
168,Timothy Mashishi
169,Jon Doe
170,Roberta Gualda
171,Ada Chaseliov
172,Margareth Galvão
173,Geisa Ramos
174,Luiz Tadeu Teixeira
175,Paulo Otávio d'la Guardia Fernandes
176,Marco Rocha
177,Olival Pereira Jr.
178,Roberta Gualda
179,Ada Chaseliov
180,Margareth Galvão
181,Geisa Ramos
182,Luiz Tadeu Teixeira
183,Paulo Otávio d'la Guardia Fernandes
184,Marco Rocha
185,Olival Pereira Jr.
186,Charles Burnett
187,Sungja Moon
188,Ilyon Woo
189,Daphné Lugardon
190,Anne Canovas
191,Ivan Levaï
192,Vernon Dobtcheff
193,Vincent Caire
194,Chantal Vittu
195,Emilien Villeroy
196,Jean-Pierre Le Cloarec
197,Olivier Girard
198,Randy Colborn
199,Michael Kouroubetes
200,Joe Scheibelhut
201,George Schricker
202,Jamie Talboom
203,Randy Colborn
204,Michael Kouroubetes
205,Joe Scheibelhut
206,George Schricker
207,Jamie Talboom
208,Randy Colborn
209,Michael Kouroubetes
210,Joe Scheibelhut
211,George Schricker
212,Jamie Talboom
213,Randy Colborn
214,Michael Kouroubetes
215,Joe Scheibelhut
216,George Schricker
217,Jamie Talboom
218,Randy Colborn
219,Michael Kouroubetes
220,Joe Scheibelhut
221,George Schricker
222,Jamie Talboom
223,Randy Colborn
224,Michael Kouroubetes
225,Joe Scheibelhut
226,George Schricker
227,Jamie Talboom
228,Chandra Galasso
229,Juha Hurme
230,Tarja-Tuulikki Tarsala
231,Saara Kekäläinen
232,Olavi Koivu
233,Aili Koivu
234,Taimi Wollsten
235,Juha Hurme
236,Tarja-Tuulikki Tarsala
237,Saara Kekäläinen
238,Olavi Koivu
239,Aili Koivu
240,Taimi Wollsten
241,Juha Hurme
242,Tarja-Tuulikki Tarsala
243,Saara Kekäläinen
244,Olavi Koivu
245,Aili Koivu
246,Taimi Wollsten
247,Lei Dinety
248,Viviane de Muynck
249,Elsa Bouchain
250,Jean-Louis Coulloc'h
251,Bénédicte Loyen
252,Anne Louise Hassing
253,Lars Brygmann
254,Mads M. Nielsen
255,Søren Lenander
256,Mette Agnete Horn
257,Tina Gylling Mortensen
258,Trine Appel
259,Gyda Hansen
260,Sarah Boberg
261,Søren Thomsen
262,Anne Louise Hassing
263,Lars Brygmann
264,Mads M. Nielsen
265,Søren Lenander
266,Mette Agnete Horn
267,Tina Gylling Mortensen
268,Trine Appel
269,Gyda Hansen
270,Sarah Boberg
271,Søren Thomsen
272,Amy Moon
273,Paul McCrane
274,Jesse Corti
275,Andy Mackenzie
276,Kevin Cooney
277,Amy Moon
278,Paul McCrane
279,Jesse Corti
280,Andy Mackenzie
281,Kevin Cooney
282,Amy Moon
283,Paul McCrane
284,Jesse Corti
285,Andy Mackenzie
286,Kevin Cooney
287,Amy Moon
288,Paul McCrane
289,Jesse Corti
290,Andy Mackenzie
291,Kevin Cooney
292,Montana Tsai
293,Joanne Takahashi
294,Sam Anderson
295,Christopher Chen
296,Albert Chien
297,Cedric Harris
298,Montae Russell
299,Margaret Laurena Kemp
300,Kelli Kirkland
301,Charles 'Brick' Tilley Jr.
302,Joram Schurmans
303,Koen Van Heule
304,Circé Lethem
305,Maarten Verbeuren
306,Joram Schurmans
307,Koen Van Heule
308,Circé Lethem
309,Maarten Verbeuren
310,Joram Schurmans
311,Koen Van Heule
312,Circé Lethem
313,Maarten Verbeuren
314,Sita Verma
315,Olle Agelii
316,Robert Harrington
317,Annica McCrudden
318,Tristan Fitch
319,Takeshi Kitano
320,Claude Maki
321,Omar Epps
322,Masaya Katô
323,Susumu Terajima
324,Royale Watkins
325,Lombardo Boyar
326,Ren Ôsugi
327,Ryo Ishibashi
328,James Shigeta
329,Takeshi Kitano
330,Claude Maki
331,Omar Epps
332,Masaya Katô
333,Susumu Terajima
334,Royale Watkins
335,Lombardo Boyar
336,Ren Ôsugi
337,Ryo Ishibashi
338,James Shigeta
339,Fatih Alas
340,Özgür Özata
341,Özay Fecht
342,Aaron Hildebrand
343,Tugsal Mogul
344,Kevin Crockett
345,Zoi Tatopoulos
346,Mary Anne Powell
347,Michelle Duffy
348,Christopher James Sheets
349,Olivia Groves
350,Guy Himber
351,Tamar Kalfayan
352,Daisy O'Brien
353,Kevin Crockett
354,Zoi Tatopoulos
355,Mary Anne Powell
356,Michelle Duffy
357,Christopher James Sheets
358,Olivia Groves
359,Guy Himber
360,Tamar Kalfayan
361,Daisy O'Brien
362,Natalie Peters
363,Rolf Peter Kahl
364,Sükriye Dönmez
365,Sam Kinuthia
366,Horst Markgraf
367,Irm Hermann
368,Natalie Peters
369,Rolf Peter Kahl
370,Sükriye Dönmez
371,Sam Kinuthia
372,Horst Markgraf
373,Irm Hermann
374,Emily Donahoe
375,Wendy Gardner
376,Eliza Pryor Nagel
377,Jeff Ferris
378,Mitch Comstock
379,Austin Walder
380,Jeff Ferris
381,Mitch Comstock
382,Austin Walder
383,Jim Beaver
384,Arianna Ortiz
385,Jean-Christophe Bouvet
386,Arielle Dombasle
387,Guillaume Dustan
388,Jérémie Elkaïm
389,Yves Lespert
390,Christian Neupont
391,Piéral
392,Djinn Slucki
393,Jean-Christophe Bouvet
394,Arielle Dombasle
395,Guillaume Dustan
396,Jérémie Elkaïm
397,Yves Lespert
398,Christian Neupont
399,Piéral
400,Djinn Slucki
401,Luis Tosar
402,Elisabet Gelabert
403,Félix Cubero
404,Pepo Oliva
405,Amelia Ochandiano
406,Richard Henderson
407,Teresa Ibáñez
408,Antonio Castillo
409,Juan Jesús Cañero
410,Ángel Pascual
411,Hanna Porthén
412,Timo Tuominen
413,Hanna Porthén
414,Timo Tuominen
415,Antonio Chan
416,Fair Shum
417,Fan Hui
418,Veronika Drolc
419,Ludvik Bagari
420,Simon Serbinek
421,Ales Erzen
422,Commander
423,Claudia Molina
424,Héctor Alterio
425,Beatriz Carvajal
426,Christian Berkel
427,Silke Heise
428,Christine Prayon
429,Christian Berkel
430,Silke Heise
431,Christine Prayon
432,Nicholas Treeshin
433,Dan Holbrow
434,Eugene Lipinski
435,Sarah Karst
436,Nicholas Treeshin
437,Dan Holbrow
438,Eugene Lipinski
439,Sarah Karst
440,Marie Payen
441,Jean-Michel Fête
442,Bruno Slagmulder
443,Lucia Sanchez
444,Jean-Michel Portal
445,Regraguia Benhila
446,Zakariya Gouram
447,Fred Cacheux
448,Serge Brincat
449,Pierre Bacholas
450,Marie Payen
451,Jean-Michel Fête
452,Bruno Slagmulder
453,Lucia Sanchez
454,Jean-Michel Portal
455,Regraguia Benhila
456,Zakariya Gouram
457,Fred Cacheux
458,Serge Brincat
459,Pierre Bacholas
460,Marie Payen
461,Jean-Michel Fête
462,Bruno Slagmulder
463,Lucia Sanchez
464,Jean-Michel Portal
465,Regraguia Benhila
466,Zakariya Gouram
467,Fred Cacheux
468,Serge Brincat
469,Pierre Bacholas
470,Marie Payen
471,Jean-Michel Fête
472,Bruno Slagmulder
473,Lucia Sanchez
474,Jean-Michel Portal
475,Regraguia Benhila
476,Zakariya Gouram
477,Fred Cacheux
478,Serge Brincat
479,Pierre Bacholas
480,Juhani Niemelä
481,Laura Jurkka
482,Mikko Hirvonen
483,Sami Åhl
484,Ville Hilkamo
485,Lari Ruohonen
486,Juhani Niemelä
487,Laura Jurkka
488,Mikko Hirvonen
489,Sami Åhl
490,Ville Hilkamo
491,Lari Ruohonen
492,Juhani Niemelä
493,Laura Jurkka
494,Mikko Hirvonen
495,Sami Åhl
496,Ville Hilkamo
497,Lari Ruohonen
498,Ian Hart
499,Barbara Hatwell
500,Simon Lenagan
501,Saira Todd
502,Ian Hart
503,Barbara Hatwell
504,Simon Lenagan
505,Saira Todd
506,Ian Hart
507,Barbara Hatwell
508,Simon Lenagan
509,Saira Todd
510,Emily Bird
511,Nathaniel Bird
512,Paula Pisani Cohen
513,Tony
514,Minda
515,Doctor
516,Riley
517,Diane
518,Stacy(as Sue Turner-Cray)
519,Emily Bird
520,Nathaniel Bird
521,Paula Pisani Cohen
522,Tony
523,Minda
524,Doctor
525,Riley
526,Diane
527,Stacy(as Sue Turner-Cray)
528,Emily Bird
529,Nathaniel Bird
530,Paula Pisani Cohen
531,Tony
532,Minda
533,Doctor
534,Riley
535,Diane
536,Stacy(as Sue Turner-Cray)
537,Thelma Barlow
538,Bryan Pringle
539,Bill Steel
540,Sue Reid
541,Thelma Barlow
542,Bryan Pringle
543,Bill Steel
544,Sue Reid
545,Thelma Barlow
546,Bryan Pringle
547,Bill Steel
548,Sue Reid
549,Craig Burke
550,Patrick Bergeron
551,Scott Burkhardt
552,Kevin Thomas Garcia
553,Brian Meegan
554,Matthew Sandager
555,Donald Tucker
556,Richie Rich
557,Craig Burke
558,Patrick Bergeron
559,Scott Burkhardt
560,Kevin Thomas Garcia
561,Brian Meegan
562,Matthew Sandager
563,Donald Tucker
