puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
6.5,Mike Kuchar,-,"Shy Pop artist Wendel Samson (played by real Pop artist Red Grooms) can't work up the nerve to break up with his boyfriend, so he has anonymous trysts with other men. Meanwhile, when his female friend Margaret pressures him into an intimate relationship, it sends Wendel spiraling into a nightmare world where he's violently punished for his sexuality.",33,Drama,the secret of wendel samson,the secret of wendel samson
-,Christian Pichler,Christian Pichler,"Seth Argento is a well known name in the underground, known as one of the fastest, most merciless assassins. But even though living as a legend in his profession, he wants to quit and decides to do one last job... in Los Angeles. As he returns back home he encounters occurences, far beyond his imagination.",16,Drama,haunted,haunted
-,Markham Cook,Markham Cook,-,29,Drama,the last illusion,the last illusion
7.3,Dan Zeff,Dan Zeff,"Sweetnightgoodheart is a short-film about a man that prepares to make a huge change in his life; but all doesn't exactly turn out as planned and it all turns in the opposite direction from what he originally planned. As the plot continues the issues just get more extreme, Pete ends up with a very, very big problem that can not be... You guessed it, or you didn't; it c... Leer todo",9,Drama,sweetnightgoodheart,sweetnightgoodheart
7.9,"['Keith Adler', 'Sabrina Rubin']","['Keith Adler', 'Sabrina Rubin']","Twenty-year old Trevor has trouble talking about his past: his military father who was never home, the early death of his mother. As he reaches adulthood, he's found a way to be at once a part of the group and distanced from it. His last relationship disintegrated when he wasn't able to communicate and connect. He joins his friends on a trip to the desert to conduct a... Leer todo",22,Drama,television,television
-,Anna Condo,Anna Condo,Life is a game. Katja plays.,4,Drama,candid,candid
-,Laurent Bouhnik,-,-,4,Drama,deux l,deux l
6.2,Barnabás Tóth,"['Szilárd Podmaniczky', 'Barnabás Tóth']",-,29,Drama,szerelem meg hal,szerelem meg hal
7.9,Tracie Laymon,Tracie Laymon,"17 year-old Gaby George struggles to communicate with her cheapskate father and indifferent boyfriend and, as a result, escapes through fantasy to a life with more intimate connections.",11,Drama,up,up
8.7,Liselle Mei,Liselle Mei,An adolescent girl experiences the contrast between the excitement and power of her sexuality as she walks past the neighborhood basketball courts.,38,Drama,lower east side stories,lower east side stories
9.6,Morten Joersum,Morten Joersum,-,-,Drama,i en villa,i en villa
-,Rune Kalle Bjerkø,Rune Kalle Bjerkø,-,17,Drama,stabat mater,stabat mater
7.9,Nicholas Panoutsopoulos,"['Leslie Norris', 'Nicholas Panoutsopoulos']",-,17,Drama,blackberries,blackberries
7.0,Ted Wallach,"['Jesper Laursen', 'Jesper Grubb Laursen']",-,27,Drama,bøje,bøje
6.2,Caroline Sascha Cogez,Caroline Sascha Cogez,-,21,Drama,les amours perdus,les amours perdus
4.9,Scott Slone,Scott Slone,"Living alone and isolated in his own private world, Old Man spends his days immersed in a fantasy of concert halls and music. One fateful afternoon during his standard routine, tragedy strikes and Old Man is forced to go about his daily life without the most important thing in the world to him - His music.",22,Drama,old man music,old man music
8.1,Tracie Laymon,Tracie Laymon,"A teenage girl answers her depression with a suicide attempt, but survives and must face the consequences of shooting herself in the head.",13,Drama,worse,worse
8.1,Alex Sabeti,Alex Sabeti,Rita Felt never thought changing a tire would change her life.,12,Drama,flat tire,flat tire
6.0,"['Ron Braverman', 'Christopher Heltai']","['Ron Braverman', 'Christopher Heltai']","Interviewing various women in and around Los Angeles, Arbie is followed by a documentary film crew that capture his attempts of grasping the female psyche. What unfolds is something beyond anything he ever anticipated.",30,Drama,adjusting arbie,adjusting arbie
5.5,Corinna Faith,Corinna Faith,A boy and his estranged father are thrown together for the day when they have a family duty to perform.,10,Drama,ashes,ashes
8.6,Mads Nygaard Hemmingsen,"['Timothy Ellis', 'Mads Nygaard Hemmingsen']",-,15,Drama,bondefanget,bondefanget
6.1,Bradley Scott,Michael Lippman,In any relationship there are things we hate about the other person. It's not wise to tell them and it's not wise to keep it bottled up. But then if they are sleeping when we tell them...,12,Drama,i hate you,i hate you
-,Rasmus Høgdall Mølgaard,Rasmus Høgdall Mølgaard,-,15,Drama,far-vel,far-vel
7.5,Chris Eyre,"['Scott Garen', 'Joy Harjo']",The lives of four Native Americans take a significant turn as they confront the crises that arise in a single day.,42,Drama,a thousand roads,a thousand roads
-,Kræsten Kusk,Kræsten Kusk,-,16,Drama,glashus,glashus
6.2,Benjamin Holmsteen,Benjamin Holmsteen,"A man carries his dead wife to the trunk of a car in front of their 4-year-old daughter. All together they drive to a lake far into the forest, where the father plans to dump the body and end the lives of himself and his daughter. However, everything is not what it seems...",19,Drama,lille lise,lille lise
7.4,Roberto Minervini,Roberto Minervini,"Voodoo dolls are feared and mysterious. The title character in this film short starts out with the same mystique even if, like a doll, he is strangely docile. The lawless gang he is peripherally part of engages in various acts of crime and self-abasement arranged and instigated by the leader, Pope, who implies that the real rainmaker is Voodoo Doll. Tagging along with... Leer todo",22,Drama,voodoo doll,voodoo doll
8.4,Eme Guitron,Joey Jameson,-,9,Drama,the boss,the boss
6.9,James Burkhammer,James Burkhammer,Two brothers develop a sexual attraction to one another amid the unkind world around them.,15,Drama,starcrossed,starcrossed
4.5,Wade Robson,Wade Robson,"A young dancer, haunted by a tragic car accident, struggles to come to terms with his purpose in life.",17,Drama,i?,i?
7.2,Rene Mohandas,Rene Mohandas,"A true story featuring the boy who lived it. An Indian beggar boy thief with huge, deformed feet tries to escape his harsh city life in Mumbai. Inspired by a photograph of a mountain, he embarks on a spiritual journey of penance and hope.",26,Drama,elephant boy,elephant boy
5.6,Signe Søby Bech,Signe Søby Bech,-,30,Drama,sommerfuglekvinden,sommerfuglekvinden
6.2,Stuart Lessner,Chumahan Bowen,"Jeff Hannon (Wilk) from the forever away world of Cincinnati, Ohio has stumbled upon what he believes to be a 25 year old murder in a small Texas town. His ceaseless nightmares compel him to drive to the middle of nowhere town of Bueford, Texas to enlist the local authorities (Asner, Keenan) to help solve the murder mystery and forever put an end to the voices that ha... Leer todo",25,Drama,sleeping dogs lie,sleeping dogs lie
5.8,Emma Balcázar,"['Emma Balcázar', 'Stine Lauritzen Larsen', 'Elsebeth Nielsen']",-,25,Drama,deadline,deadline
8.0,Ferenc András,Péter Dobai,-,35,Drama,morfium,morfium
7.0,Bálint Kenyeres,"['Bálint Kenyeres', 'György Réder']","Before dawn, people will rise and other people will take away their hope.",13,Drama,before dawn,before dawn
7.4,Warwick Thornton,Warwick Thornton,An Australian Aboriginal DJ realizes that his job at the country radio station is about more than just playing music,27,Drama,green bush,green bush
