,0,1,2,3,4,5,6
0,5.3,Crispin Glover,Crispin Glover,"What Is It? is a bewildering, unnerving, surreal, blackly comic film from the visionary mind of Crispin Glover that tells the inner and outer struggles of a young man facing villains and demons on multiple planes.",72,what is it?,what is it?
1,7.4,"['Tim Burton', 'Mike Johnson']","['Tim Burton', 'Carlos Grangel', 'John August']",-,77,corpse bride,corpse bride
2,4.6,Mikey Jackson,Mikey Jackson,"Neil, a punk rock vegetarian, is being forced to go into the family butcher business. He decides to save the world instead.",76,shooting vegetarians,shooting vegetarians
3,5.3,William Kaufman,"['Holt Boggs', 'William Kaufman', 'Matt Beckham']","""The Prodigy"" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin, who goes by the alias Rains and whose exploits have become the source of legend among Truman's underworld colleagues, drives Truman, through the pressure of constant violence and grief, to... Leer todo",-,the prodigy,the prodigy
4,7.2,Murad Gumen,Murad Gumen,-,-,eve's preyer,eve's preyer
5,6.4,Gabriela Tscherniak,Gabriela Tscherniak,One night in Berlin approaching the year 2000 - a portrayal of the city's youth experiencing the excesses of the Berlin nightlife.,45,berlin nights,berlin nights
6,-,Derek Lebrero,Derek Lebrero,"At the end of his first love, Pace leaves on a road trip with his buddy and discovers that not even Thousands of Miles can clear his conscience.",-,thousands of miles,thousands of miles
7,-,Edward G. Norris,Edward G. Norris,Four narratives all dealing with infidelity. The husband who discovers his late wife had led a double-life; the cheating husband who can't bear the thought of his own wife's affair; an old man who dreams of the married woman who got away.,76,death-defying acts,death-defying acts
8,5.0,Steve Balderson,"['Steve Balderson', 'Clark Balderson']","A young boy who lives in a dysfunctional home went to the carnival and met a singer. Shortly after, a murder took place. The town's sheriff is seeking answers. The singer is trying to escape her environment so is the boy. But both has to face their own horror.",112,firecracker,firecracker
9,6.0,Roger Spottiswoode,"['Patricia Highsmith', 'William Blake Herron', 'Donald E. Westlake']",Professional swindler hides the death of a famous artist in order to earn money by selling pictures on his own behalf.,101,ripley under ground,ripley under ground
10,8.1,Robert Fleet,"['Robert Fleet', 'Stephan Szpak-Fleet']","A homeless dying veteran, trying to find a Unicorn he believes lives in the mountains above Los Angeles, convinces a Latina immigrant to join his quest, provoking a tragic-comic chase as they are followed by the Border Patrol and her Lowrider cousins.",97,last mountain,last mountain
11,7.7,Deepa Mehta,"['Deepa Mehta', 'Anurag Kashyap']","Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents.",117,water,water
12,7.2,Bashar Shbib,Bashar Shbib,"What's a girl to do when her biological clock is ticking, yet marriage and a husband are the furthest thing from her mind? SILENT MEN follows the trials and tribulations of one very modern-minded young woman, Patricia, as she tries to plan out her motherhood. With the enlisted help of her best friend Liam she interviews on video dozens of men to find a suitable potent... Leer todo",87,silent men,silent men
13,5.6,Chris Jaymes,Chris Jaymes,"The youngest son of a legendary Hollywood producer, a Robert Evans type, accepts a bribe from his father to document his death.",96,in memory of my father,in memory of my father
14,4.9,W.W. Vought,W.W. Vought,"In the tradition of V for Vendetta, Underworld and X Men, Johnny Virus takes place in the Chicago Underworld of futuristic 1940's.",100,johnny virus,johnny virus
