,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
0,7.0,-,-,"Revealing the entrepreneurial ingenuity, paranoia and bloodshed behind the cocaine trade, in the true story of smuggler, Zachary Swan, who ran rings around police and customs officials in the early 70s.",-,snowblind,2015
1,5.9,Guilherme Fontes,"['João Emanuel Carneiro', 'Guilherme Fontes', 'Matthew Robbins']","The story of Assis Chateaubriand, the first magnate of communication in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called The Brazilian Citizen Kane.",102,chatô: o rei do brasil,2015
2,6.6,Luis Aller,"['Luis Aller', 'María José Garcia', 'María José García']","Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo",94,transeúntes,2015
3,6.8,Kyle Patrick Alvarez,"['Tim Talbott', 'Philip Zimbardo']",-,122,the stanford prison experiment,2015
4,5.5,Ben Wheatley,"['Amy Jump', 'J.G. Ballard']",-,119,high-rise,2015
5,7.2,Matt Brown,"['Robert Kanigel', 'Matt Brown']",-,108,the man who knew infinity,2015
6,6.4,Don Cheadle,"['Steven Baigelman', 'Don Cheadle', 'Stephen J. Rivele']",-,100,miles ahead,2015
7,7.1,Tom Hooper,"['Lucinda Coxon', 'David Ebershoff']",-,119,the danish girl,2015
8,5.6,Sukhwant Dhadda,"['Sukhwant Dhadda', 'Harinder', 'Vivek Kumar']","Chooriyan is the story of Simran (Gracy Singh), an orphan who has always dreamt of being a part of a family. Her dream finally comes true when Army Office Aman (Sudanshu Pandde) asks her to marry him and she lives happily as part of Aman's family. Aman and Simran cherish every moment before he returns back to his army duty. Before he leaves, Simran makes a vow to him ... Leer todo",-,chooriyan,2015
9,-,Razul Alam,-,-,-,dangebaaz,2015
10,6.4,Felipe Restrepo,Felipe Restrepo,"Lorenzo is a musician who moves to the city to start over. There, he meets Eugenia and falls in love. One day, she is kidnapped by a sinister man who is wants the money he is owed. Lorenzo will try to rescue her no matter how hostile the obstacles. A love story in a concrete context.",90,de hormigón armado,2015
11,-,Huu Muoi Nguyen,Minh Tuan Doan,-,94,trên dinh bình yên,2015
12,8.0,Dinh Thai Thuy,-,-,100,my nhân,2015
13,-,Dang Thai Huyen,"['Nguyen Thu Dung', 'Dang Thai Huyen']",-,110,nguoi tro vê,2015
14,-,Samudra Das Gupta,Samudra Das Gupta,"Social media creates havoc in the lives of 3 high school teenagers. Years later, one of them dies mysteriously at a birthday party.",93,aakhri pal,2015
15,5.5,Halil Özer,Halil Özer,"Orhan ve Ali are siblings who lost their parents in a car accident and living far from the district in a small cabin built at the skirts of a mountain. They are earning their lives by pursuing their late father's job. Their daily routine changes with arrival Bahar, who met Orhan previously but had to marry to the younger brother Ali.",102,firak,2015
16,7.6,Han Dong-ho,-,"Ji-woon has a bad impression of men because of her father, but her mother convinces her to pay tuition to an art student, Jung-woo. He is surprised by her coolness, but at the same time there are tensions between them.",106,bad class,2015
17,-,Yu-Shan Huang,"['Hsiao-Yun Chiang', 'Shing-Ming Ho', 'Yu-Shan Huang']","Different styles of dining can also be portrayed as different types of life. Restaurant hostess, Liu Fen-Fang, prepares a feast for the new opening of her restaurant. Deep in her heart, however, she also experiences her most bitter moment. Her family is shattered when she hears news of her husband's affair. Fen-Fang considers marriage as her forever refuge. She never ... Leer todo",105,taste of life,2015
18,2.0,Arjin Uppal,"['S. Baldev Singh', 'Afiq Zulhelmi']","Syahana is a very religious girl who has a dream of becoming a Muslim model due to the influences of modeling videos on social media. Syahana then seeks for help from Fandi, a guy she met on the Internet who claims that he can help Syahana achieve her dreams. When her father and brother object to her decisions, she runs away to Kuala Lumpur to meet Fandi alone. Upon r... Leer todo",80,darah panas,2015
19,6.4,Daniel Espinosa,"['Richard Price', 'Tom Rob Smith']",-,137,child 44,2015
20,-,Lin Jia,-,-,-,jie di liang,2015
21,-,Lei Su,-,-,-,a place where the dream begins,2015
22,-,Anandram,Anandram,"The film is based on the true story of a brave woman from Dhule in Maharashtra. The incident had taken place 30 years ago. Pashbandh presents the woman's fight against all the trouble she faced in her life, to rise up respectfully in society.",112,pashbandh,2015
23,-,Bambang Drias,Endik Koeswoyo,-,-,erau kota raja,2015
24,6.1,David Gordon Green,"['Rachel Boynton', 'Peter Straughan']",-,107,our brand is crisis,2015
25,-,"['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin']","['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin']","A collected-works compilation featuring three short films, ""Geu-ge a-ni-go/Not That"", ""Hear My Song"", ""Seul-peun ssin/Sad Song"", by contemporary South Korean filmmakers and produced by fashion magazine W Korea on its 10th year anniversary.",-,"yeo-ja, nam-ja",2015
26,-,Hana Matsumoto,Hana Matsumoto,-,75,manatsu no yume,2015
27,-,Shailendra Sen,M. Dahek,-,146,tere ishq mein qurbaan,2015
28,-,Igor Parfenov,-,An epic drama about events on EuroMaidan and the WAR in Ukraine.,98,"of humans, horses and heinous...",2015
29,-,Óscar González,-,-,88,con mis propias manos,2015
30,-,Matt Enos,Matt Enos,An escalation of violence erupts between two small town criminals as a result of stolen money and a broken jaw.,73,trouble down east,2015
31,6.7,Chunze Dong,Chunze Dong,"Li Guofu and his son lean on each other for life support. Li is busy not only on looking for job and wife for the son, but also on leading a square dance team.",95,quan neng jiong ba,2015
32,-,Ying-Ting Tseng,"['Ying-Ting Tseng', 'Che-Kai Yang', 'Chun-Han Shih']","Trying to save his high school love from an unhappy marriage, Weida ask voice actor Wu for help. But their feelings might get in the way of their mission and start a hole new problem.",81,double date,2015
33,-,Kumaar Aadarsh,Kumaar Aadarsh,SOS TALK is a movie from the franchise of Secrets of Sex directed by Kumaar Aadarsh under the banner of U V Talkies. This movie is talking about sexual problems. This is India's first movie having real stories with real people.,132,sos talk,2015
34,-,András Kécza,András Kécza,-,-,magánterület,2015
35,-,Kosuke Fukuyama,Yohei Hoshina,-,-,dab+,2015
36,-,Thomas Keumurian,-,-,52,the maze,2015
37,-,Juan Pablo Milán,-,Shows the working day of a prostitute.,-,el cuarto,2015
38,-,Antonio Canitano,-,-,-,heartbeat,2015
39,-,Bhanu Kiran Challa,-,"Panchamuki is a scientific psychological thriller. It narrates 5 thrilling stories in the life of dr Vikas (Madala Ravi) and how each story is linked to each other. The link to all five thrilling stories is Dr. Vikas a psychiatrist and scientific professor in paranormal activity. Starring Aryan Rajesh Madala Ravi Suman, Krishnudu, Uttej and Chinna. Directed by Challa ... Leer todo",-,panchamukhi,2015
40,5.4,Aparna Sen,-,"A married couple takes refuge in a dilapidated house during a stormy night. An old man, who stays in the house, plays an uncanny host, and draws out their secrets and shares his life theories with them.",83,saari raat,2015
41,-,Avdotya Aleksandrova,Avdotya Aleksandrova,-,-,gryaz,2015
42,-,"['Jonas Julian Köck', 'Paul Rose']",-,-,57,die wilderin,2015
43,-,Satyen Verma,"['Vimal Bharvad', 'Rohit Raj']",-,137,pratishodh,2015
44,7.3,Dexter Fletcher,"['Simon Kelton', 'Sean Macaulay']",-,106,eddie the eagle,2015
45,-,Seezan Ali,"['Mahdi Ahmed', 'Ahmed Zareer']",A police officer looking for a fresh start after the death of his pregnant wife is assigned to a remote island as their police in-charge but soon ended up in the middle of a political clash between two prominent figures of the community.,-,ahsham,2015
46,-,Subba Bishal,Bishal Subba,"It revolves around the story of four friends in their youth. Carefree, nonchalant, confident and a bit arrogant in their attitude, they represent a majority of each and everyone of us; past, present and future. The movie portrays how every youth perceives their life and how they want it to be amidst all the confusion, desperation, pressure and greed that eventually ov... Leer todo",135,youngster: nepali film,2015
47,7.5,Sonia Chamkhi,Sonia Chamkhi,"While Mehdi is torn between his secret gay affair and the perspective of getting married, his sister Hind struggles to face her present and to reveal the secrets of her past kept in the dark.",90,aziz rouhou,2015
48,-,Manab Mukherjee,-,-,-,hridoy haran,2015
49,6.6,Yuriy Popovich,Yuriy Popovich,"At the end of World War II, two boys meet in a dilapidated house - the German Peter, who lost his mother, and the Russian Pasha, who escaped from captivity. Having made friends, they together wait for the onset of peace.",90,pro petra i pavla,2015
50,4.9,Jason P. Schumacher,"['Jason P. Schumacher', 'Wes Tank']","The Telephone Game is an indie drama/comedy about the chaos of trying to put a play together and about a relationship that develops amidst that chaos, between Marco the director, and Zelphia the lead actress.",93,the telephone game,2015
51,2.2,Arash Sanjabi,Arash Sanjabi,"Ayoob is in two relationships out of his marriage. When the two find out about each other, they decide to punish Ayoob.",69,bogzarid mitra bekhabad,2015
52,8.6,"['Valdir Baptista', 'Antonio Ciambra', 'Clery Cunha']","['Valdir Baptista', 'Antonio Ciambra', 'Clery Cunha']",-,84,memórias da boca,2015
53,-,-,-,Reparto principal,-,ablepsia,2015
54,-,Morgan Hamilton-Lee,Morgan Hamilton-Lee,-,-,falling apart,2015
55,-,Sebastian Choe,"['Sebastian Choe', 'Jeff Mclean', 'Erica Rogers']",Follows the real-life couple Jeff and Erica. The two avoid a court date by playing music in basements and exploring violence in the rain forests and ice caves of Washington State.,67,the prince of love,2015
56,-,-,-,"When a corrupt police officer helps a fake godman exploit women in the city, a young and courageous lady sets out to expose him.",152,daroga chale sasural,2015
57,-,Baljeet Singh,-,-,165,saajan ki bahon me,2015
