,tipo,titulo,anio,mes,id
0,Cortometraje,OFUKU: Separation,2020,12,tt10005120
1,Cortometraje,Hear a No,2020,9,tt10006262
2,Cortometraje,Satisfaction,2020,,tt10003588
3,Cortometraje,The Last Queen on Earth,2020,8,tt10005772
4,Cortometraje,They Never Lie,2020,11,tt10008112
5,Cortometraje,For the Best,2020,6,tt10010434
6,Cortometraje,Salvage,2020,3,tt10010422
7,Cortometraje,Anxietus,2020,9,tt10016332
8,Cortometraje,Drop,2020,10,tt10023074
9,Cortometraje,Nairobi,2020,6,tt10028420
10,Cortometraje,The Color of Midnight,2020,9,tt10032670
11,Cortometraje,Whenever You're Ready,2020,4,tt10032352
12,Cortometraje,Aur Kitna Time Lagega,2020,8,tt10031320
13,Cortometraje,Before the Rooster Crows,2020,12,tt10031730
14,Cortometraje,Portrait,2020,12,tt10037824
15,Cortometraje,"Post-You, Me",2020,7,tt10039526
16,Cortometraje,Sylvia,2020,11,tt10038088
17,Cortometraje,Sins Unveiled,2020,,tt10038014
18,Cortometraje,Ein Man Stande,2020,4,tt10037766
19,Cortometraje,The Aboves and the Belows,2020,12,tt10047998
20,Cortometraje,Lavender,2020,8,tt10058872
21,Cortometraje,The Place of the Skull,2020,6,tt10061280
22,Cortometraje,Inner Self,2020,11,tt10058946
23,Cortometraje,O Mundo Aqui Dentro,2020,6,tt10059532
24,Cortometraje,La Lettre,2020,7,tt10059822
25,Cortometraje,Francois,2020,7,tt10065226
26,Cortometraje,32 Goldfish,2020,2,tt10065208
27,Cortometraje,Journey,2020,12,tt10069486
28,Cortometraje,Twins,2020,6,tt10069650
29,Cortometraje,Footsteps,2020,,tt10073626
30,Cortometraje,Días Negros,2020,6,tt10073872
31,Cortometraje,The Exchange,2020,2,tt10074848
32,Cortometraje,Love Lonely,2020,5,tt10078686
33,Cortometraje,Man of the Harvest,2020,11,tt10086654
34,Cortometraje,Nur ein Augenblick,2020,4,tt10092172
35,Cortometraje,Boundaries,2020,10,tt10089810
36,Cortometraje,Recover,2020,1,tt10093672
37,Cortometraje,Cuckoo Roller,2020,6,tt10098068
38,Cortometraje,Skeletons,2020,6,tt10098776
39,Cortometraje,Dependence,2020,2,tt10105488
40,Cortometraje,Jericho,2020,,tt10106540
41,Cortometraje,The Burning of Mary,2020,6,tt10107260
42,Cortometraje,Road Runner,2020,2,tt10109698
43,Cortometraje,Love Sex Soprano,2020,11,tt10111546
44,Cortometraje,Bombs Bursting in Air,2020,,tt10115320
45,Cortometraje,Toxic,2020,11,tt10116384
