titulo,anio,puntuacion,id
Istota,2000,,tt0102362
For the Cause,2000,-,tt0113092
Florentino y el diablo,2000,,tt0113086
Karobaar: The Business of Love,2000,,tt0116748
Gang,2000,-,tt0116391
Consequence,2000,12,tt0115937
Fa yeung nin wah,2000,,tt0118694
Beyond the Pale,2000,-,tt0118710
Chinese Coffee,2000,74,tt0118852
Passionnément,2000,-,tt0119866
Love 101,2000,33,tt0119495
Pushing the Envelope,2000,-,tt0119966
Way Past Cool,2000,,tt0120485
State and Main,2000,85,tt0120202
Vulgar,2000,23,tt0120467
Bruno,2000,20,tt0123003
Lured Innocence,2000,0,tt0122161
Shikari,2000,-,tt0120117
Capitães de Abril,2000,,tt0120626
Sånger från andra våningen,2000,,tt0120263
The Million Dollar Hotel,2000,24,tt0120753
Chicken Run,2000,97,tt0120630
The Highwayman,2000,,tt0120698
Foiled,2000,,tt0120673
Return to Me,2000,62,tt0122459
Waking the Dead,2000,50,tt0127349
Flamingo Dreams,2000,,tt0129095
Dinosaur,2000,65,tt0130623
Duets,2000,21,tt0134630
Fallen Arches,2000,-,tt0133752
Wind River,2000,57,tt0135707
Cement,2000,47,tt0138353
Waterproof,2000,60,tt0138927
Mothman,2000,22,tt0137115
The Yards,2000,64,tt0138946
The Hiding Place,2000,91,tt0138818
No Quarto da Vanda,2000,,tt0139500
Isn't She Great,2000,,tt0141399
Knockout,2000,-,tt0143344
Committed,2000,43,tt0144142
American Psycho,2000,68,tt0144084
Thirteen Days,2000,83,tt0146309
High Fidelity,2000,91,tt0146882
The Legend of Bagger Vance,2000,43,tt0146984
Looking for an Echo,2000,67,tt0148421
All the Pretty Horses,2000,32,tt0149624
Where the Money Is,2000,48,tt0149367
Josh,2000,51,tt0151150
The Thief & the Stripper,2000,,tt0153012
Time of Her Time,2000,,tt0153100
Up at the Villa,2000,45,tt0153464
A Good Baby,2000,65,tt0155723
Ricky 6,2000,62,tt0156020
I'll Remember April,2000,61,tt0155754
Secrets of a Chambermaid,2000,-,tt0155150
Yup Yup Man,2000,,tt0157202
The Next Best Thing,2000,19,tt0156841
Rave,2000,100,tt0156942
Daddy Tell Me a Story...,2000,,tt0157500
My Dog Skip,2000,73,tt0156812
Mad About Mambo,2000,57,tt0156757
Trolösa,2000,,tt0157122
Nora,2000,64,tt0158033
Coping,2000,,tt0159371
Lennon,2000,,tt0158721
På fremmed mark,2000,,tt0158871
Luckytown,2000,21,tt0160495
More Dogs Than Bones,2000,57,tt0160547
Moskva,2000,,tt0160550
Blast,2000,55,tt0160663
Passion of Mind,2000,,tt0160644
Four Dogs Playing Poker,2000,41,tt0160289
Takedown,2000,56,tt0159784
Steal This Movie,2000,51,tt0161216
Respirar (Debaixo D'água),2000,,tt0160759
Lost Souls,2000,8,tt0160484
Rules of Engagement,2000,37,tt0160797
The Redemption,2000,,tt0160751
Red Dirt,2000,62,tt0160749
Train Ride,2000,-,tt0161003
Other Voices,2000,17,tt0160616
Cast Away,2000,89,tt0162222
What Lies Beneath,2000,-,tt0161081
Hanging Up,2000,12,tt0162983
The Operator,2000,45,tt0163125
Kasbah,2000,50,tt0162901
The Stonecutter,2000,-,tt0164182
Under Suspicion,2000,49,tt0164212
