,0,1,2
0,The Secret of Wendel Samson,2005,
1,Haunted,2005,
2,The Last Illusion,2005,
3,Sweetnightgoodheart,2005,
4,Television,2005,
5,Candid,2005,99
6,Deux L,2005,
7,Szerelem meg hal,2005,
8,Up,2005,98
9,Lower East Side Stories,2005,
10,I en villa,2005,
11,Stabat mater,2005,
12,Blackberries,2005,
13,Bøje,2005,
14,Les amours perdus,2005,
15,Old Man Music,2005,
16,Worse,2005,
17,Flat Tire,2005,
18,Adjusting Arbie,2005,
19,Ashes,2005,29
20,Bondefanget,2005,
21,I Hate You,2005,
22,Far-vel,2005,
23,A Thousand Roads,2005,
24,Glashus,2005,
25,Lille Lise,2005,
26,Voodoo Doll,2005,
27,The Boss,2005,22
28,Starcrossed,2005,43
29,I?,2005,
30,Elephant Boy,2005,100
31,Sommerfuglekvinden,2005,
32,Sleeping Dogs Lie,2005,66
33,Deadline,2005,
34,Morfium,2005,
35,Before Dawn,2005,17
36,Green Bush,2005,
37,20 Minutes,2005,79
38,Danmarks sjoveste mand,2005,
39,Encore,2005,
40,Eating,2005,78
41,Flutter Kick,2005,
42,After Twilight,2005,
43,Are You the Favorite Person of Anybody?,2005,
44,The Youth in Us,2005,
45,Phone Call,2005,
46,The Welcome Committee,2005,
47,"Portrait of a Man and a Woman: Los Angeles, c. 2004",2005,
48,Goodnight Irene,2005,100
49,In the Morning,2005,
50,Desert Motel,2005,
51,Cindy: The Doll Is Mine,2005,
52,Staring at the Sun,2005,
53,Tage aus Nacht,2005,
54,Freundinnen,2005,
55,American Fame Pt. 2: Forgetting Jonathan Brandis,2005,
56,Kom som du er,2005,
57,The Meaning of Life,2005,
58,Fade to Black: Emma,2005,
59,Choked,2005,
60,21h11,2005,
61,Hunting Camp,2005,
62,Office,2005,
63,Beyrouth après-rasage,2005,
64,War,2005,13
65,En god dag,2005,
66,A Series of Small Things,2005,
67,Pura Lengua,2005,
68,Plains Empty,2005,
69,We All Fall Down,2005,40
70,Nightwalk,2005,
71,Color of a Doubt: An Urban Fable,2005,
72,Stille Wasser,2005,
73,The Persistence of Dreams,2005,
74,Aisle to Aisle,2005,
75,I'd Rather Be Dancing,2005,
76,Dinner Time,2005,
77,The 73 Virgins,2005,
78,Almost Romeo,2005,
79,Mammoth,2005,45
80,Just Pray,2005,
81,Jag bara undrar,2005,
82,Worms,2005,40
83,Naissance de l'orgueil,2005,
84,All the Reverend's Men,2005,
85,Twenty,2005,67
86,Countdown,2005,26
87,Shades of Crimson,2005,
88,Goodnight Bill,2005,
89,Coney Island 1945,2005,
90,The Silent Question,2005,
91,Track Marks,2005,
92,On tha Wise,2005,
93,Laws of Gambling,2005,
94,"Timene som har gått, deler jeg med deg",2005,
95,Summer Dreams,2005,
96,Antebody,2005,
97,La puta,2005,
98,Attract Opposites,2005,
99,The Vitruvian Man,2005,
100,Manchas,2005,
101,The Reader,2005,63
102,The Big Empty,2005,67
103,Udenfor verden,2005,
104,I Will...,2005,
105,Interrupted Motion,2005,
106,Lifelike,2005,
107,The More Things Change...,2005,
108,Truck Stop Diner,2005,
109,In the Park,2005,
110,Dani and Alice,2005,
111,The Sleepless Night,2005,
112,The Tourist,2005,21
113,The Snow Queen,2005,14
114,Ash Wednesday,2005,25
115,The Dance,2005,48
116,The Oath,2005,75
117,"Ich sehe was, was Du nicht siehst...",2005,
118,Wilfried Neuss - Eine Sinfonie in fünf Sätzen,2005,
119,Hasta que la muerte los separe,2005,
120,Josephine?,2005,
121,The Divine,2005,
122,Amal,2005,100
123,La vida y obra de John H.,2005,
124,Chicle,2005,
125,Killing the Afternoon,2005,
126,The Road That Binds Us,2005,
127,Broken,2005,50
128,A Message from Pops,2005,
129,Empty,2005,
130,Revere,2005,
131,Hijo,2005,
132,Amor fati,2005,
133,Cast in Gray,2005,
134,Se viste con puñales,2005,
135,El otro José,2005,
136,El viejo,2005,
137,Manitas sudadas,2005,
138,Luckey Quarter,2005,
139,Después del invierno,2005,
140,If,2005,
141,Mantra,2005,40
142,Cronologia de una ausencia,2005,
143,Razor Dream,2005,
144,Jayson,2005,
145,The Tulip Grower,2005,
146,In the Middle,2005,83
147,"Too Sunny, Too Cold",2005,
148,Las nuevas chicas superpoderosas,2005,
149,Sugar and Shit,2005,
150,Dare,2005,61
151,Post mortem,2005,89
152,Ayss,2005,
153,Godot,2005,
154,La cola entre las patas,2005,
155,El gran salto,2005,
156,Cymbals,2005,
157,Casi nunca pasa nada,2005,
158,9 y 20,2005,
159,En el sofa,2005,
160,A 2 cuadras y media,2005,
161,Jai,2005,
162,Siempre quise trabajar en una fábrica,2005,
163,Herbstzeitlose,2005,
164,The Djarn Djarns,2005,
165,Don Kishot be'Yerushalaim,2005,
166,Tracks,2005,43
167,Before Dying,2005,
168,Surfacing,2005,-
169,Donna's Room,2005,
170,Sugar Mountain,2005,36
171,Wannabe,2005,
172,El día menos pensado,2005,
173,Aldrig en absolution,2005,
174,Sa Black Thing,2005,
175,Novembre - Le giornate di Trieste,2005,
176,A Woman of Wealth and Taste,2005,
177,Les yeux ouverts,2005,
178,The Blue Aspic,2005,
179,Clarity,2005,
180,Nest,2005,
181,Tag,2005,92
182,Seventh Dog,2005,
183,Live-In,2005,
184,Spark,2005,27
185,Spit,2005,
186,Lonesome Matador,2005,
187,Exit,2005,41
188,The Message,2005,92
189,Barbara Jean,2005,
190,Nuance,2005,
191,Passing Shot,2005,
192,Monstre,2005,
193,Water Over Wine,2005,
194,The Jogger,2005,
195,Majorité,2005,
196,Together Alone,2005,75
197,Longue peine,2005,
198,Settling Up,2005,
199,No Shoulder,2005,
200,The Face of the Earth,2005,
201,Black Forest,2005,29
202,Echostop,2005,
203,Full Circle,2005,80
204,Tears,2005,
205,The Wrong Sea,2005,
206,A Little Movie,2005,
207,La belle dame sans merci,2005,
208,Hverken fugl eller fisk,2005,
209,Laws of Deception,2005,0
210,La casa,2005,
211,Franco,2005,
212,Abuse,2005,
213,Sunday Evening Haircut,2005,
214,The Diversion,2005,
215,Nine to Five,2005,
216,La cerca,2005,
217,Darling Nikki,2005,
218,Laundry Night,2005,
219,Repossessing Kaufman,2005,
220,Quejíos,2005,
221,Gigolo,2005,
222,Gua! Pa!,2005,
223,Léoléa,2005,
224,Parasiten,2005,
225,The Agent,2005,67
226,K.O.,2005,25
227,Flowers of the Madman,2005,
228,Aimée Price,2005,
229,Inheritance,2005,23
230,Crimes Against Charlie,2005,
231,Easter Sunday,2005,40
232,Intersection,2005,9
233,Induction,2005,
234,Rupture,2005,18
235,Morphin(e),2005,
236,La indecisión,2005,
237,Docking Faith,2005,
238,Prescription for Time,2005,
239,Miracle of Silence,2005,
240,Rupert Galloway,2005,
241,Flatbush,2005,
242,Godless.,2005,
243,Cycle of Aggression,2005,
244,The Accident,2005,
245,Step Nine,2005,
246,Textual @traction,2005,
247,Mayka mi,2005,
248,Taped,2005,43
249,A Cold Day to Die,2005,
250,Halley's Comet,2005,
251,Beauty,2005,22
252,Fridgelight,2005,
253,When All Else Fails,2005,
254,The Check Up,2005,
255,Diabolus,2005,
256,"Most látszom, most nem látszom",2005,
257,Aus der Sicht eines Freundes,2005,
258,Eventually Everybody Hits Their Stride,2005,
259,Gotham Cafe,2005,
260,Release Me,2005,
261,Samantha's Art,2005,
262,Mort à l'écran,2005,
263,Suburban Nightmare,2005,30
264,Someone in Particular,2005,
265,Notes,2005,
266,In Limbo,2005,
267,The Doorstep,2005,
268,On the Low,2005,
269,Frijolito Go!,2005,
270,The Day of the Grackle,2005,
271,Lavender: An Adaptation,2005,
272,Stolen Lives,2005,
273,Breakfast at Barbie's,2005,
274,Missing,2005,88
275,Just a Girl,2005,
276,Needle Anus: A Comedy,2005,
277,Pahanmielenrauha,2005,
278,Outremonde,2005,
279,Josefs Brüder,2005,
280,Diving,2005,
281,Dubois,2005,
282,Water Spirit,2005,
283,Vacarme,2005,
284,Tilt-A-Whirl,2005,
285,Kanbrik ou Le proscrit d'Allah,2005,
286,The Tub,2005,
287,You Are Such a Blindfold,2005,
288,Monsieur Étienne,2005,
289,Szerencsés ember,2005,
290,Vanessa,2005,
291,Propriété commune,2005,
292,The Battle for Arthur,2005,
293,The Little Things,2005,45
294,Dear Jimmy,2005,
295,For Want of a Book,2005,
296,Empire,2005,84
297,Lifeforces,2005,
298,Le petit chevalier,2005,
299,Franziska Spiegel - Eine Erinnerung,2005,
300,Razhda,2005,
301,"Skollibat, min elskede",2005,
302,Herr Goldstein,2005,
303,Yellow Bird,2005,
304,Still Time,2005,75
305,Exhibit 42,2005,
306,The Fix,2005,56
307,L'absente,2005,
308,The Moor,2005,
309,Rosas,2005,
310,Das Maß der Dinge,2005,
311,Transit,2005,20
