,titulo,anio,puntuacion_rotten
0,Shulie,2015,
1,Rosie & Me,2015,
2,The Invite,2015,
3,Zöld fény,2015,
4,Memòries,2015,52
5,Christmas for the Rest of Us,2015,
6,Jeremy,2015,86
7,This Other American Life,2015,
8,Austin,2015,
9,The First Act,2015,
10,Islandia,2015,
11,Alchy,2015,
12,Kalós,2015,
13,Interno 8,2015,
14,Diner Noir Istanbul,2015,
15,"Un Film, Réclamé",2015,
16,Greener Grass,2015,82
17,Ruis,2015,
18,1976,2015,
19,The Girl in Pieces,2015,
20,Real Nigga,2015,
21,I Disgraziati,2015,
22,Beurtkrag,2015,
23,After the Birds,2015,
24,Next Victim,2015,
25,D'Bushaischen,2015,
26,Northern Light,2015,83
27,A Long Time Comin',2015,
28,Thicker Than Blood,2015,33
29,Carousel,2015,71
30,Thikana (Refuge),2015,
31,Maria Masle feat. Prince Myles - Dame Dame,2015,
32,Admirável Mundo Velho,2015,
33,Nightcall,2015,
34,Pele 1 Real,2015,
35,Golddiggers,2015,
36,Boedo 2108,2015,
37,I Don't Usually Imbibe on Libations,2015,
38,Down by the Lake,2015,
39,Le maelstrom,2015,
40,A Simple Hi,2015,
41,Memórias - Canal Mosaico,2015,
42,Summertime,2015,92
43,Friends,2015,78
44,Ta Da!,2015,
45,"Samir, Sheikh El Chabeb",2015,
46,La vallée,2015,
47,Élégie Nocturne,2015,
48,Eat the Rich,2015,36
49,Li xiang zhuang tai,2015,
50,The Letter,2015,46
51,"Winter, Fireworks and My Father",2015,
52,Nindu Chandrudu,2015,
53,Leguas,2015,
54,Dil Say,2015,
55,Go LaLa go II Title sequence,2015,
56,Vader,2015,
57,Quelques Gouttes Suffisent,2015,
58,And so do I,2015,
59,The Seventh Soul,2015,
60,Grace,2015,15
61,Grade,2015,
62,Paraluman,2015,-
63,Hotel Esplanad,2015,
64,Affekt,2015,
65,Leaving,2015,-
66,Religame,2015,
67,Ghanta (PSA),2015,
68,Filling in the Blanks,2015,82
69,Whence Cometh Evil?,2015,
70,Glitter and Smoke,2015,
71,The Appointment,2015,76
72,Plyaska smerti,2015,
73,Brick,2015,80
74,Ponty,2015,
75,Dirty Picture,2015,
76,Abduction,2015,5
77,Incapaz,2015,
78,Cariño Mío,2015,
79,23: Sen cavabla,2015,
80,The moment,2015,11
81,"Like Father, Like Son.",2015,
82,Bullshit,2015,
83,O Curto Adeus,2015,
84,Grandma's Stove,2015,
85,The Return of the Pink Triangle,2015,
86,Tag X,2015,
87,I am Rebel,2015,
88,Debut,2015,-
89,Tralala,2015,-
90,Proud,2015,25
91,Steg,2015,
92,Ghost Star,2015,
93,Das Gewitter,2015,
94,Macapá,2015,
95,Angela,2015,-
96,Dragging It Out,2015,
97,Conditioned,2015,
98,And Afterwards,2015,
99,An Indigo,2015,
100,Where's the Head?,2015,
101,Two of Us,2015,98
102,Am Bahnhof Zoo,2015,
103,Om vägar,2015,
104,The Curfew,2015,-
105,Sporazum,2015,
106,Disconnected,2015,21
107,Proxy,2015,65
108,Froggy Night,2015,
109,Cold,2015,-
110,A Rude Awakening,2015,
111,Go Far,2015,
