puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.0,Alex Ferrari,Alex Ferrari,"ZOE, a young teenage girl, is lured into an after hours carnival tent by the sleazy rock n roll carnie RIMO, and gets more then she bargained for. It's up to the mysterious PRINCESS, star of the new knife show, to pull her out of the wolf's den.",11,Accion,red princess blues,2010
-,Daniel Hernández Torrado,Daniel Hernández Torrado,-,-,Accion,desprotegido,2010
-,"['Daris D. Mc', 'Kinney']","['Daris D. Mc', 'Kinney']","A Special Forces Marine's Work life comes home, and it test system he has implemented into his family subconscious.",39,Accion,tough,2010
-,Teresa Phung,-,"There is a battle between good and evil as Azara, the Angel of Death wants to rule and dominate in both realms: the human world and immortal world. If succeed, she will be more powerful than Luicifer. It is up to Nina and all of its members at Immortality League to stop Azara and her Death Angels once and for all. In the meantime, will Nina and Galvin's relationship p... Leer todo",5,Accion,immortality league,2010
-,Michael Peristeris,Michael Peristeris,"What was supposed to be a simple exchange turns into a fight for survival when a ""Bag man"" is double crossed and hunted down to keep him silent.",6,Accion,gone shootin',2010
8.6,Eric Whiteley,Eric Whiteley,An entry into Saber Comp's 8th annual international Lightsaber Choreography Competition. It was rewarded first place in both the popular and judges vote.,11,Accion,rivals,2010
-,"['Igor Barbolin', 'Victor Patyukov']",Igor Barbolin,-,-,Accion,the self-chase,2010
-,Fulvio Pisano,"['Fulvio Pisano', 'Luca Sabbioni']",-,-,Accion,last blood,2010
8.2,"['Colin Fleming', 'John Garside']","['Colin Fleming', 'John Garside', 'Jerry Renek']","Max Neptune and the Atomic Space Patrol face their biggest threat ever. Dr. Agotch and his giant, mechanical, Menacing Squid!",44,Accion,max neptune and the menacing squid,2010
4.6,-,-,Reparto principal,-,Accion,jonah hex: behind the scenes ~ b-roll 2,2010
-,-,-,Reparto principal,6,Accion,jonah hex: behind the scenes ~ b-roll 1,2010
-,Vit Fic,Vit Fic,A thin line between having much and having nothing.,6,Accion,easy go,2010
-,Alaeddine Slim,Alaeddine Slim,"As he is walking back home after his team has lost a game, a football fan meets a stray dog. Ali will spend several hours with the dog wandering through a freezing cold Tunis.",25,Accion,le stade,2010
-,Mohamed Ali Nahdi,Mohamed Ali Nahdi,"The story of a gang of eight teenagers, four girls and four boys, from the wealthiest circles in the Tunisian capital. Nassim, the main character, the son of a wealthy Tunisian family, is having a hard time with the separation from his parents. Alcohol and drugs become a temptation.",24,Accion,bad society,2010
-,Ali Hassouna,-,A meeting at night between an old man and a young man. They will spend a night unlike any other in downtown Tunis.,24,Accion,al-qantara,2010
-,Mark Hemstock,-,"Overview of T.J. Kennedy's reality-based self-defense and combatives system, Hybrid Fighting Method. Includes interview clips from his students.",3,Accion,hybrid fighting method,2010
-,Eleonora Dimakos,-,"Various combat techniques are demonstrated from the Hybrid Fighting Method; an urban defensive tactics system that combines the most useful elements of Krav Maga, Muay Thai, BJJ, Boxing, and Street fighting.",6,Accion,hybrid fighting method (hfm) promo,2010
-,"['Laila Moinuddin', 'Oriana Zängerle']","['Laila Moinuddin', 'Oriana Zängerle']",-,14,Accion,amazonica,2010
-,Jimmy Liao,Jimmy Liao,"A small boy named Xiaomi, who simply wants to find a small corner that can coexist with loneliness and himself.",7,Accion,how to own a corner,2010
6.5,Tara Von Baron,Tara Von Baron,"Suki Hosukawa and her best friend Abigail are average high school sophomores, but in their minds, they are powerful samurai. They keep the ogres and demons at bay, but are powerless against the sneaky ninjas (the popular girls). Suki decides to make a move against the lead Ninja, Melody, only to have Abigail betray her. This leads the two friends to a confrontation ov... Leer todo",-,Accion,"the samurai of strongsville, ohio",2010
-,Joseph Quick,Joseph Quick,-,-,Accion,c.t.f.,2010
-,David Kenneth,-,-,-,Accion,toshiba - parkour messenger,2010
8.0,Jesse Johnson,"['Jesse Johnson', 'Nick Turnbow']","David Reeves (Fred Doss) is no one special. A mundane job as an accountant and an empty house comprise his life. Day in and day out, he goes through the same routine he has for the past five years. He feels hollow and alone. He is... nobody. Until one day a chance encounter changes everything. Now as he evades capture by the powers that be, he must fight to uncover a ... Leer todo",30,Accion,double negative,2010
-,Adrian Cordero,-,"What makes a guy want to base his pro-wrestling persona on one of the most hated professions in Australia's workforce? This character-based documentary delves into the life of an unlikely wrestling hero both in and out of the ring in preparation to compete at a live AWF event. With no real potential to earn a living purely out of pro wrestling in Australia, what drive... Leer todo",7,Accion,traffic jam,2010
-,Ryan Borgerding,-,-,-,Accion,el aeropuerto,2010
-,Landon Kazakoff,Landon Kazakoff,-,3,Accion,war torn,2010
-,James Wooldridge,James Wooldridge,-,-,Accion,el banco,2010
-,John Richter,John Richter,"Two battle-hardened marines and one military bio weapons tech are dropped via helicopter into the middle of nowhere. Their mission - to locate the whereabouts of soldiers gone missing after parachuting into the jungle on a dangerous, top secret military operation. What happened when communication was lost? Soon into their mission, the three encounter something more th... Leer todo",16,Accion,ultra,2010
-,Dana Jordan Rothschild,Dana Jordan Rothschild,A 1970s inspired exploitation-era Kung Fu short following a martial artist's journey across the west.,8,Accion,revenge of the phoenix,2010
-,-,-,Reparto principal,-,Accion,dj eurobass feat. ralf kemper - toxic lullaby,2010
-,Cheng Song,Cheng Song,-,-,Accion,devil's salvation,2010
7.3,Nikki Taylor Roberts,Nikki Taylor Roberts,Tragedy sends a troubled street teen on a dark odyssey when she learns the power of the light of love.,22,Accion,out of the darkness,2010
-,Brandon Phillips,"['Jack Armstrong', 'Brandon Phillips']","""Zombies and Cornbread"" - a tale of some good ol' boys and zombies.",10,Accion,zombies & cornbread,2010
6.5,Dianne Thomas,Dianne Thomas,-,3,Accion,take us on,2010
-,Matthew Page,Matthew Page,A criminal interrogates the woman he loves about her recent disappearance and receives an unexpected answer.,9,Accion,hunter's moon,2010
-,Fernando Guillén Cuervo,Fernando Guillén Cuervo,20 men and women hide trying to protect themselves from a nuclear war. Each one of them have to face the final last five minutes of human being.,6,Accion,cinco minutos para medianoche,2010
-,Emile Edwin Smith,Emile Edwin Smith,"In the world we live in, terrorism is an everyday occurrence... one that is bound to hit the United States again soon. The Grove grabs this notion, with a twist on modern, high-tech military technology.",6,Accion,the grove,2010
-,Hermann Kayode,Hermann Kayode,-,4,Accion,hedge-hands,2010
-,Jessica Dorfman,Jessica Dorfman,"The superhero world has been privatized. Good Guys Inc. and Villains Inc. compete for birthday gigs and product lines. But one Good Guy staff member dreams of being a true superhero. How will she move from staff member to superhero? And more importantly, will she be able to overcome her secret past?",12,Accion,"good guys, inc.",2010
6.8,Christine T. Berg,Chris Mandia,Private Barnes is a young Marine on his first tour in Iraq. His mission: Find the enemy that is implanting Improvised Explosive Devices on donkeys. ALL he wants: a confirmed kill.,13,Accion,get some,2010
-,"['Alon Jex', 'Alex Teller']","['Alon Jex', 'Alex Teller']",Officer Lenot in: Showtime satirizes a side of the film industry not often mentioned: Street-Level Bootleg DVD sellers. For fans of 80s action movies combined with modern day DIY indie filmmaking aesthetics.,19,Accion,officer lenot in: showtime,2010
-,Brandon Roots,Brandon Roots,"For Maria, a migrant farm worker, the greatest struggle may simply be to stay with the one she loves.",13,Accion,respiración,2010
7.9,Isabel Cueva,Isabel Cueva,A female American Soldier is held captive and is surprised by a prisoner that changes her life for ever.,17,Accion,in the name of freedom,2010
-,Ramiro Hernandez,Ramiro Hernandez,Fighter jets play chicken over the South China Sea with unexpected results.,10,Accion,phoenix down,2010
