titulo,anio,puntuacion,id
For the Cause,2000,,tt0113092
Gang,2000,,tt0116391
The Incorporated,2000,,tt0116628
Heavy Metal 2000,2000,8,tt0119273
Mission: Impossible II,2000,56,tt0120755
Titan A.E.,2000,50,tt0120913
Foiled,2000,,tt0120673
X-Men,2000,82,tt0120903
The Crow: Salvation,2000,18,tt0132910
The Chronicles of Riddick: Pitch Black,2000,,tt0134847
U-571,2000,68,tt0141926
Knockout,2000,28,tt0143344
Highlander: Endgame,2000,11,tt0144964
Sinbad: Beyond the Veil of Mists,2000,40,tt0144608
Shafted!,2000,50,tt0147486
Josh,2000,51,tt0151150
Yup Yup Man,2000,,tt0157202
The Art of War,2000,16,tt0160009
Charlie's Angels,2000,68,tt0160127
Shaft,2000,67,tt0162650
Hollow Man,2000,26,tt0164052
Black Sea 213,2000,,tt0165642
Nautilus,2000,38,tt0165400
Romeo Must Die,2000,32,tt0165929
Red Team,2000,,tt0167367
Dream Witch,2000,,tt0168714
A Better Way to Die,2000,37,tt0168504
Prince of Central Park,2000,20,tt0170452
Gladiator,2000,79,tt0172495
The Thundering 8th,2000,,tt0171827
Alex l'ariete,2000,,tt0172109
The Million Dollar Kid,2000,,tt0172464
Delta Force One: The Lost Patrol,2000,20,tt0176650
Bullfighter,2000,0,tt0176579
The Perfect Storm,2000,46,tt0177971
Fortress 2,2000,,tt0179183
Mondialito,2000,,tt0179987
Icebreaker,2000,20,tt0179861
The Grizzly Six,2000,,tt0179204
Intrepid,2000,,tt0183280
The Specials,2000,47,tt0181836
Taxi 2,2000,70,tt0183869
Reindeer Games,2000,25,tt0184858
Shanghai Noon,2000,80,tt0184894
"Farewell, My Love",2000,50,tt0184457
Space Cowboys,2000,78,tt0186566
The Patriot,2000,62,tt0187393
Primary Suspect,2000,,tt0187750
Battlefield Earth,2000,3,tt0185183
Brooklyn Sonnet,2000,,tt0187761
Gone in Sixty Seconds,2000,25,tt0187078
Point Doom,2000,0,tt0186454
Dungeons & Dragons,2000,9,tt0190374
Left Behind,2000,75,tt0190524
Wo hu cang long,2000,,tt0190332
The Skulls,2000,9,tt0192614
Vertical Limit,2000,49,tt0190865
Lek,2000,,tt0194104
Accelerator,2000,,tt0193701
Newsbreak,2000,,tt0195944
Starforce,2000,,tt0195308
Hjärta av sten,2000,,tt0196614
The Wrecking Crew,2000,95,tt0196219
Under Pressure,2000,0,tt0197072
Tiger Claws III,2000,,tt0197951
Black Sea Raid,2000,,tt0197299
Wings of the Crow,2000,,tt0197104
Recipe for Disaster,2000,61,tt0198970
Red Planet,2000,14,tt0199753
Manhattan Chase,2000,,tt0199748
The Cheapest Movie Ever Made,2000,,tt0201519
Deep Core,2000,5,tt0202314
The Alternate,2000,75,tt0203835
Pilgrim,2000,,tt0203053
The Way of the Gun,2000,46,tt0202677
Ninja Mission 2000,2000,,tt0204499
Airboss III: The Payback,2000,,tt0205729
Hassel/Förgörarna,2000,,tt0208198
Airboss IV: The X Factor,2000,,tt0207299
Chain of Command,2000,30,tt0207377
Get Carter,2000,11,tt0208988
Nostradamus,2000,47,tt0207631
The Chaos Factor,2000,,tt0208037
The Guardian,2000,25,tt0207501
Big Momma's House,2000,30,tt0208003
Aquarius,2000,97,tt0212774
Obstacles,2000,84,tt0213127
Miss Congeniality,2000,41,tt0212346
Bait,2000,26,tt0211938
Citizen Toxie: The Toxic Avenger IV,2000,60,tt0212879
Ground Zero,2000,50,tt0213690
Last Stand,2000,,tt0212881
Doomsdayer,2000,,tt0214638
Gong yuan 2000 AD,2000,,tt0214728
Faith and the Water Dog,2000,,tt0214683
The Last Patrol,2000,89,tt0214871
O Dia da Caça,2000,,tt0215715
The 6th Day,2000,40,tt0216216
Total western,2000,,tt0216750
Vampire Hunter D: Bloodlust,2000,,tt0216651
Turn It Up,2000,10,tt0216772
Militia,2000,8,tt0217654
Mrs. Death 2: Hells Fury,2000,,tt0216926
Agent Red,2000,26,tt0218080
Dracula 2002,2000,,tt0219653
Submerged,2000,-,tt0218641
La máscara de Zorro,2000,,tt0219169
Pukar,2000,56,tt0218533
Blue Shirts,2000,,tt0220336
Daybreak,2000,12,tt0219640
G-Men from Hell,2000,,tt0221197
Khauff,2000,38,tt0220596
Mach 2,2000,0,tt0222020
Operation Delta Force 5: Random Fire,2000,25,tt0227200
Ojos que no ven,2000,,tt0226238
Proof of Life,2000,39,tt0228750
Ultraman Tiga: The Final Odyssey,2000,,tt0228982
Tha Eastsidaz,2000,59,tt0229362
Blue Belgium,2000,,tt0230049
Bulandi,2000,11,tt0230055
The Last Man,2000,33,tt0231956
Mela,2000,13,tt0232079
Future Murder,2000,,tt0233764
Epicenter,2000,23,tt0233656
Command Approved,2000,,tt0234321
Kaho Naa... Pyaar Hai,2000,,tt0234000
Inte bara mördare,2000,,tt0235485
Pokémon 3: De Film - In de Greep van het Onbekende,2000,,tt0235679
Isola: Tajuu jinkaku shôjo,2000,,tt0233910
Blinkende lygter,2000,,tt0236027
Dong jing gong lüe,2000,,tt0233600
Dora-heita,2000,,tt0236167
Brat 2,2000,,tt0238883
Monday,2000,86,tt0239655
Castle Rock,2000,20,tt0240400
Hera Pheri,2000,92,tt0242519
Never Look Back,2000,-,tt0244095
Mercy Streets,2000,13,tt0243415
Crackerjack 3,2000,,tt0243196
Supêsutoraberâzu,2000,,tt0243573
Ides of March,2000,,tt0243327
Kuet chin chi gam ji din,2000,,tt0243876
Solid Cover,2000,,tt0246241
Pierwszy milion,2000,,tt0244715
Warpath,2000,62,tt0246323
Wilder,2000,25,tt0246332
Yau ching sui yuet: San Gai goo si,2000,,tt0244884
Bad Guys,2000,,tt0246446
Mission Kashmir,2000,71,tt0248185
Mehanizam,2000,,tt0246776
Split Intent,2000,,tt0247718
Badal,2000,,tt0247944
Je li jasno prijatelju?,2000,,tt0250445
Hum To Mohabbat Karega,2000,,tt0249588
Take It to the Limit,2000,,tt0251422
Shun liu ni liu,2000,,tt0251433
Bichhoo,2000,,tt0252277
Dak ging san yan lui 2,2000,,tt0251094
Jungle,2000,26,tt0251756
Kouravudu,2000,,tt0250476
Kumite,2000,,tt0253193
Game Day,2000,82,tt0255189
Kurukshetra,2000,92,tt0255309
Gojira tai Megagirasu: Jî shômetsu sakusen,2000,,tt0255198
Burisuta,2000,,tt0255019
Hamara Dil Aapke Paas Hai,2000,,tt0255212
El viaje de Arián,2000,,tt0255679
Khiladi 420,2000,47,tt0255305
Aaghaaz,2000,,tt0254927
Deewane,2000,29,tt0255097
Sensitive New Age Killer,2000,,tt0256375
Manoharam,2000,-,tt0258785
Gung Fu: The New Dragon,2000,,tt0258604
Cheung wong,2000,,tt0258489
Enduro Bojz,2000,,tt0258552
The Operative,2000,15,tt0258862
Jong gwai lei: Huet gwong ji zoi,2000,,tt0259023
Digimon: The Movie,2000,24,tt0259974
Gojô reisenki: Gojoe,2000,,tt0260054
The Price of Air,2000,0,tt0261199
