,titulo,anio,puntuacion_rotten
0,Before Dawn,2005,17
1,Broadcast 23,2005,
2,Evenfall,2005,
3,Les couilles de mon chat,2005,
4,Broken,2005,50
5,Cerebral Print: End Game,2005,
6,Neck Deep,2005,
7,Nun Fu,2005,
8,Way of Khan,2005,
9,Dies Irae,2005,
10,Morphin(e),2005,
11,Diabolus,2005,
12,Cop vs. Cop,2005,
13,The Crusader,2005,-
14,The Day of the Grackle,2005,
15,The Razor's Edge,2005,53
16,Color Blind,2005,
17,Lucky,2005,83
18,Blink,2005,64
19,Hustler's Instinct,2005,
20,Derailed,2005,21
21,Gekijouban Tsubasa kuronikuru: Torikago no kuni no himegumi,2005,
22,Jackpot,2005,
23,Specter,2005,33
24,Thug,2005,
25,Shopping Extreme,2005,
26,Alienation,2005,
27,Ninja vs. Cerebral Print,2005,
28,Catwoman: Nine Lives,2005,
29,Concrete Brown,2005,
30,Bunny & Clydo,2005,
31,Myopia,2005,
32,Nanny and the Professional,2005,
33,Wendy Wells,2005,
34,Method of Entry,2005,
35,Chicks with Sticks: Live at the Grand Slam,2005,
36,The Drop,2005,89
37,Lock and Load: Making '24: Season 4',2005,
38,Beat,2005,
39,Blood on the Tracks: Making '24: Season 4',2005,
40,Kiss Chase,2005,
41,The Housewife,2005,
42,Days End,2005,
43,Consumed,2005,40
44,Inevitable,2005,86
45,The Paperboy,2005,45
46,Visions,2005,
47,401-K.O.,2005,
48,Got Milk? The Movie,2005,
49,Punisher: First Round,2005,
50,Gratuitous,2005,
51,Bon Appetit,2005,58
52,Duel at Red Table,2005,
53,Intrusion Confusion,2005,
54,Battaglia,2005,-
55,Fate,2005,
56,Boom Boom in Paradise City,2005,
57,Hard Boiled Haggerty,2005,
58,Action Anton,2005,
59,Kill Johnny,2005,
60,Hiro,2005,
61,Choque,2005,
62,Chicks with Sticks: Kicking Xena's Ass,2005,
63,Mirage,2005,82
64,Night & Daze,2005,
65,Hallowed Be Thy Name,2005,58
66,Mystery Project,2005,
67,Purpose,2005,55
68,No. 0014,2005,
69,Café Annoyé,2005,
70,Faustrecht,2005,
71,Return: A Warcraft Motion Picture,2005,
72,Trivial Things That People Say in Normal Letters,2005,
73,Lil Jon: Crunkwar Part 1,2005,
74,Should Heaven Fall,2005,
75,Once Upon a Time in the Desert,2005,
76,Patient J (Joker),2005,
77,Çarpisma,2005,
78,Un monde meilleur,2005,
79,The Official Rare Exports Inc. Safety Instructions 2005,2005,
80,The Darkside of Happiness,2005,
81,Ordinary Day,2005,
82,The 5th Rangers,2005,
83,Mission insulaire,2005,
84,Dragonrage,2005,
85,The Next Day,2005,
86,Endgame,2005,70
87,Due West,2005,
88,Apneia,2005,
89,Triggerfinger,2005,
90,Victim 2 Supervixen,2005,
91,Running Towards Tomorrow,2005,
92,The Young Master,2005,79
93,The Run,2005,100
94,Screwball!,2005,
95,Syndicate: Zeed,2005,
96,Blockbusters,2005,
97,Troll Concerto,2005,
98,Shower of Bullets,2005,
99,Netherworld,2005,12
100,Drunken Sword,2005,
101,The Crow Purgatory,2005,
102,Toxin,2005,4
103,A.1.1.4.H,2005,
104,Away from the Line,2005,
105,The Golden Tiki of Djbuti Buti,2005,
106,The Broken Sword,2005,
107,Imagine,2005,-
108,Epopeja o bureku,2005,
109,Hell in a Head Casket,2005,
110,Botched,2005,25
111,Road Rash,2005,
112,One Roll of Film,2005,
113,Guns for Christmas 2,2005,
114,Shipwrecked,2005,68
115,Black/Blue,2005,
116,The Incident at Telegraph Hill,2005,
117,Düsmemek,2005,
118,26,2005,
119,El Último Asalto,2005,
120,All in A Day's Work,2005,
121,Full Metal Panic! The Second Raid - 000,2005,
122,Lizardmen & Dragons Part I,2005,
123,Kidnapped,2005,100
124,Rad Racers,2005,
125,Tag,2005,92
126,Countdown,2005,26
127,Camouflage,2005,17
128,Angrier Neighbors: Open House,2005,
129,Angry Neighbors,2005,22
130,The Master Plan,2005,
131,Late,2005,
132,The Adventures of Ass Bandit,2005,
133,Asian Girl + X = Assassin,2005,
134,Exit/Strategy,2005,
135,Bloody Hell,2005,91
136,Manosidad,2005,
137,The Justice Illegals of America,2005,
138,Kill Dill,2005,
139,Tercih,2005,
140,Midnight Ransom,2005,
141,Unta Tupaan,2005,
142,Censored,2005,
143,The Boxer - The Journey of Felix Gruber,2005,
144,Amaze Labyrinth,2005,
145,Small Circle of Friends,2005,
146,Likely Hero,2005,
147,Coucou Clock,2005,
148,Zombiedämmerung,2005,
149,Et Effi Dofkim Rak Pa'am Ahat,2005,
150,Men's League,2005,
151,Okemah's Creek,2005,
152,Finn Mac Cool,2005,
153,Sweet Sorrow,2005,
154,"The Good, the Bad and the Dead",2005,
155,The Man's Wife,2005,
156,The Final Lesson,2005,
157,Cognac 1967,2005,
158,Sound of the Wind,2005,
159,O-Negative,2005,
160,Noise,2005,
161,The Last Bang,2005,
162,20 Minutes,2005,79
163,Dark Destinies,2005,
164,The Last Job,2005,
165,The Circle,2005,62
166,The 4th Man,2005,
167,Cool Earl,2005,
168,El Theatro,2005,
169,Field of Fire,2005,
170,Joe's Job,2005,
171,Ronin Guys,2005,
172,Last Day of the World,2005,
173,I nyhta tou ptomatos,2005,
174,Midday Ransom,2005,
175,Run,2005,89
176,"Amen, Little Man",2005,
177,The Soldier,2005,
178,Eastworld,2005,
179,Schwarzer Peter,2005,
180,The Playtrix,2005,
181,Wrong Guy,2005,
182,The Lost Connection,2005,
183,Lord Falcon,2005,
184,Kali Anjilum,2005,
185,Club Insomnia,2005,
186,Peach & Buns,2005,
187,Urban Bankruptcy,2005,
188,Eat,2005,
189,Kino,2005,
190,Blind Therapy,2005,
191,Winter's Day,2005,
192,Hommes de Main,2005,
193,Fifteen Seconds,2005,
194,The Director's Cut,2005,
195,Fantastic Four,2005,28
196,The One Regret,2005,
197,Adjudicator,2005,
198,Death Wish,2005,66
199,Skateman vs Sportzman,2005,
200,Rumble in Torbay,2005,
201,Cop Story,2005,
202,Friday the 31st: Michael vs. Jason,2005,
203,Stomper,2005,
204,Shakeup,2005,
205,Om två timmar,2005,
206,Pulp Action,2005,
207,Akimbo,2005,
208,Observador,2005,
209,DareDevil Returns,2005,
210,VS,2005,
211,Convergence,2005,41
212,Rockman X: The Day of Sigma,2005,
213,Forget About It,2005,18
214,The Soma the Psyche the Spirit the Self,2005,
215,Some Kind of Space,2005,
216,Southern Hospitality,2005,
217,The Man with the Metal Chest,2005,
218,Lai Da Jia: Fight a Little,2005,
219,The New Adventures of Blonde Man: The Fashion Menace,2005,
220,Digital Town,2005,
221,Brother,2005,87
222,Delirium,2005,0
223,Pumpkin Punishing,2005,
224,29: Day One,2005,
225,Le Dernier Pari,2005,
226,Louzy Meets Webby,2005,
227,Twilight Delight 3,2005,
228,Matvaju,2005,
229,Twilight Delight 2,2005,
230,Sofia,2005,92
231,Erg Dorstig,2005,
232,APE-pocalypse Now,2005,
233,Dragon Master,2005,
234,Unexpected Race 2,2005,
235,Tales of the Past,2005,
236,"Culebra, misión en Ninja Island",2005,
237,Twilight Delight,2005,
238,The Submariner,2005,
239,Vägen till framgång,2005,
240,Wiener Squad,2005,
241,Acting Heroes,2005,
242,A.W.O.L,2006,
243,Space Chase,2006,
244,Girl with Gun,2006,
245,Afterlife,2006,67
246,Racing Beats,2006,
247,Safe,2006,71
248,Backyard Suicide,2006,
249,Perfect Day,2006,
250,Entity: Nine,2006,
251,No Menus Please,2006,
252,War Prayer,2006,
253,Purse Snatcher,2006,
254,Apocalypse Oz,2006,
255,Guns to Gogo,2006,
256,Supermiehen poika,2006,
257,Initiation,2006,59
258,Leverage,2006,92
259,Mop That!,2006,
260,The Chase,2006,80
261,The Showdown,2006,
262,Ponkutsu Park,2006,
263,A Cold Blood,2006,
264,No Reply,2006,
265,The Lord Is My Shotgun,2006,
266,Army Men,2006,
267,Lovers,2006,29
268,Road of the World,2006,
269,The Liberator,2006,69
270,Overblown,2006,
271,GôGô Sentai Bôkenjâ Za Mûvî Saikyô no Pureshasu,2006,
272,Mi terruño,2006,
273,LuvH8,2006,
274,Rush 1,2006,
275,The Norman Rockwell Code,2006,
276,Subversion,2006,
277,Entangled,2006,33
278,Le sixième homme,2006,
279,Loose Ends,2006,
280,The Green Hornet,2006,45
281,Passion to the Max,2006,
282,Lonely Dragon,2006,
283,The Blue Seal,2006,
284,Conflict,2006,
285,Hunted,2006,56
286,Venti Vice,2006,
287,The Future Box,2006,
288,Checkpoint Echo,2006,
289,Six Minutes in a Library,2006,
290,Terminal Man,2006,
291,Revolver,2006,15
292,Enter the Zombie,2006,
293,Ken,2006,
294,Brunch of the Living Dead,2006,
295,Happy Now,2006,79
296,Gamer,2006,29
297,Chi,2006,
298,Second Round,2006,
299,Batman Legends,2006,
300,The Cold Farewell,2006,
301,Mime Massacre,2006,
302,French Bomber Detective,2006,
303,Betrayed,2006,36
304,The Cleaner,2006,-
305,Forged,2006,86
306,Daños del amor,2006,
307,Seconds,2006,79
308,Palooka,2006,33
309,Thefts,2006,
310,Project One,2006,
311,Heaven,2006,73
312,Confession,2006,71
313,The Lady Blades,2006,
314,H.A.U.L.,2006,
315,Into the Darkness,2006,61
316,No Boundaries,2006,
317,No Place to Hide,2006,32
318,Tag,2006,56
319,Metal Storm,2006,
320,Impromptu Clients and Off the Cuff,2006,
321,Tulnukas ehk Valdise pääsemine 11 osas,2006,
322,Four Card Studs,2006,
323,Final Payment,2006,
324,My Ship Is Comin' In,2006,
325,Bullet of Life,2006,
326,Target Interdiction,2006,
327,Sexy Urban Style,2006,
328,Walking Ghost,2006,
329,Bottle Neck,2006,
330,Zappka: The Quest to Rock,2006,
331,Catwoman: The Diamond Exchange,2006,
332,Jef.,2006,
333,Razor Sharp,2006,
334,14 Bis,2006,
335,Margaret's Son,2006,
336,Dead Last,2006,
337,Kritikus!,2006,
338,Owned,2006,
339,Six Perfect Pictures,2006,
340,Logan's Dream,2006,
341,A.T.M.,2006,
342,The Arrangement,2006,15
343,Nice Guys Finish Last,2006,
344,Louder Than Words: A Flipbook Story,2006,
345,It's Extreme!,2006,
346,Return of the Rednecks,2006,
347,The Run,2006,100
348,Mach 1,2006,
349,24 Minutes to Die Hard,2006,
350,Incident kod pisoara,2006,
351,Clock,2006,80
352,Run/Corre,2006,
353,Solidarity,2006,
354,Chair fraîche,2006,
355,Just in Time,2006,-
356,InZer0,2006,
357,Pancho and Lefty,2006,
358,Mergada,2006,
359,Domestic,2006,
360,Bad Hand,2006,
361,Moonlight,2006,60
362,Practice,2006,
363,Resident Mul,2006,
364,Resident Mul 2: The Back of Zenemis,2006,
365,Resident Mul 3: The Eclipse of Zenemis,2006,
366,Resident Mul: Survivor,2006,
367,Rusty Dogs,2006,
368,¡Bang!,2006,
369,High Heels on Wheels,2006,
370,The Stranger,2006,92
371,The Patrol,2006,64
372,Pyrats,2006,
373,Injustice,2006,
374,13.700,2006,
375,Red Seven,2006,
376,Beimo,2006,
377,Allkopi Royale,2006,
378,Shogun Khumalo Is Dying!,2006,
379,Scanner Fake Trix,2006,
380,Amenaza exterior,2006,
381,Opposition,2006,
382,Her,2006,94
383,A Gentlemen's Duel,2006,
384,Road to Ramadi,2006,
385,Give Me Ducky!,2006,
386,Disconnected,2006,
387,Late,2006,
388,Team Orion: The Fight for Freedom,2006,
389,To Turn,2006,
390,Control,2006,48
391,Ante Up,2006,
392,Death and the Maiden,2006,82
393,The 21st Element,2006,
394,Bag of Tricks,2006,
395,Chronicles of a Hitman,2006,
396,Last Blood,2006,
397,Best Protection,2006,
398,Ascend Into Zion,2006,
399,A Beautiful Death,2006,
400,Relentless,2006,50
401,Reboot 57,2006,
402,En Garde,2006,
403,Gray,2006,
404,Carpe Per Diem!,2006,
405,Gizor & Gorm,2006,
406,Life in the Aftermath,2006,
407,Jive,2006,
408,Love on the High Side,2006,
409,Por dinero negro,2006,
410,Cracker Attacker,2006,
411,Duan Quan,2006,
412,Injustice,2006,
413,Cold Day in Hell,2006,
414,The Big Red Hit,2006,
415,Baited,2006,
416,Botched,2006,25
417,Tough Luck,2006,66
418,The Flying Cross,2006,
419,Armistice,2006,27
420,Ransom,2006,74
421,Sign,2006,
422,They Came from Hell,2006,
423,Necessary Measures,2006,
424,Scars of My Days,2006,
425,Like Father Like Edison,2006,
426,Normalcies,2006,
427,An American Revolution,2006,
428,Onami (The Great Wave),2006,
429,Superhero,2006,
430,Between the End,2006,
431,Coke Hungry,2006,
432,The Obligatory Decapitation Finale,2006,
433,Death to the Scorpion,2006,
434,One Night,2006,
435,Little Red Riding Hood,2006,
436,Sara Jane and the Lightning Bugs,2006,
437,A Killer's Path,2006,
438,Yellow,2006,83
439,Shocking Odds,2006,
440,Paint,2006,32
441,Inside the Storm,2006,
442,Mass If You're Critical,2006,
443,Cindy's Nails,2006,
444,Blue Corner,2006,
445,Sexual Tyrannosaurus,2006,
446,Made in Taiwan,2006,64
447,Silver Grin,2006,
448,Luke the Killer,2006,
449,If Only He'd Call,2006,
450,The Castaways,2006,
451,Rabbit & Nimrod: Parkour to the Danger Zone,2006,
452,We Will Be Warm,2006,
