,0,1,2,3,4,5,6
0,7.7,['Frankie J. Mosca'],"['Frankie J. Mosca', 'Sal De', 'Lucia', 'Ande Cira']","Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo",99,this wretched life,2010
1,7.2,['Douglas A. Raine'],"['Jimmy Lifton', 'Paulette Victor Lifton', 'Virginia Perfili']",-,-,blind sided,2010
2,5.8,['Jerome Elston Scott'],['Jerome Elston Scott'],"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo",98,anderson's cross,2010
3,7.7,"['Nathan Greno', 'Byron Howard']","['Dan Fogelman', 'Jacob Grimm', 'Wilhelm Grimm']",-,100,rapunzel,2010
4,4.0,['Demian Lichtenstein'],['Eddie Guerra'],"When three Vegas buddies attempt the score of a lifetime, they have to walk a fine line between their girlfriends who want their heads, and the mobsters who want them dead.",95,venus & vegas,2010
5,5.9,['Jay Roach'],"['David Guion', 'Michael Handelman', 'Francis Veber']",-,114,dinner for schmucks,2010
6,8.3,['Lee Unkrich'],"['John Lasseter', 'Andrew Stanton', 'Lee Unkrich']",-,103,toy story 3,2010
7,4.0,['Michael Booth'],['Jonathan Williams'],"Frustrated filmmaker, Barry Lick, and a crew of film school wannabees, attempt to make a documentary about a local businessman who he believes is involved in property rackets, prostitution, pornography and drugs.",92,diary of a bad lad,2010
8,7.6,['Edgar Wright'],"['Michael Bacall', 'Edgar Wright', ""Bryan Lee O'Malley""]",-,112,scott pilgrim vs. the world,2010
9,6.5,['Laura Casabe'],"['Laura Casabe', 'Tomas Wortley']","In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes.",85,el hada buena - una fábula peronista,2010
10,8.0,['John Anton'],"['John Anton', 'Jason Waugh']","As this caper unfolds you will experience cool riffs, tattoos, excessive drug use, brief nudity, extremely strong language, mayhem, murder and a hail of gunfire.",123,"guns, drugs and dirty money",2010
11,5.5,['Alexandre Aja'],"['Pete Goldfinger', 'Josh Stolberg']",-,88,piranha 3d,2010
12,3.8,['Nestor Miranda'],['Nestor Miranda'],Friends from Queens decide to move into a run down Harlem brownstone ultimately converting it into an illegal youth hostel in order to make ends meet.,81,harlem hostel,2010
13,5.4,['Frank Ciota'],['Joseph A. Ciota'],-,104,stiffs,2010
