,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Cortometraje,Cotillion '65,2005,9,tt0263235
1,Cortometraje,Rob of the Rovers,2005,9,tt0265655
2,Cortometraje,Career Day,2005,9,tt0293008
3,Cortometraje,V.O.,2005,8,tt0311966
4,Cortometraje,Sweetnightgoodheart,2005,9,tt0329650
5,Cortometraje,London Calling,2005,10,tt0336766
6,Cortometraje,Candor City Hospital,2005,3,tt0358412
7,Cortometraje,Up,2005,4,tt0365883
8,Cortometraje,Hubby/Wifey,2005,9,tt0367866
9,Cortometraje,I Hate You,2005,5,tt0395589
10,Cortometraje,Round About Five,2005,8,tt0405282
11,Cortometraje,Lily,2005,4,tt0410231
12,Cortometraje,Winner Takes All,2005,3,tt0412074
13,Cortometraje,The Boss,2005,6,tt0420529
14,Cortometraje,Blake's Junction 7,2005,1,tt0421750
15,Cortometraje,Bare Holger,2005,6,tt0431646
16,Cortometraje,Courage & Stupidity,2005,4,tt0436194
17,Cortometraje,Broadcast 23,2005,1,tt0437887
18,Cortometraje,The Welcome Committee,2005,2,tt0439332
19,Cortometraje,West Bank Story,2005,1,tt0438575
20,Cortometraje,Cry for Help,2005,1,tt0441747
21,Cortometraje,À l'état d'e(m)bauche,2005,3,tt0440990
22,Cortometraje,The Meaning of Life,2005,1,tt0440972
23,Cortometraje,Sex and Coffee,2005,1,tt0441790
24,Cortometraje,Awkward,2005,-,tt0443437
25,Cortometraje,Mary,2005,1,tt0443581
26,Cortometraje,Play Ball,2005,1,tt0446017
27,Cortometraje,Big Fat Greek Fag,2005,2,tt0446542
28,Cortometraje,Beyrouth après-rasage,2005,1,tt0446892
29,Cortometraje,Office Court,2005,3,tt0446011
30,Cortometraje,Für gutes Betragen,2005,-,tt0446698
31,Cortometraje,Everything's Gone Green,2005,1,tt0443500
32,Cortometraje,"Duck, Duck, Goose!",2005,1,tt0443491
33,Cortometraje,Neighbors,2005,1,tt0443597
34,Cortometraje,Color of a Doubt: An Urban Fable,2005,-,tt0443470
35,Cortometraje,Dernier cri,2005,11,tt0446552
36,Cortometraje,Y tu toaster también,2005,1,tt0443703
37,Cortometraje,The Ticket,2005,3,tt0444699
38,Cortometraje,Jew Tales,2005,1,tt0443554
39,Cortometraje,The Big Nothing,2005,2,tt0445933
40,Cortometraje,Stille Wasser,2005,1,tt0444696
