,0,1,2,3,4
0,Pelicula,Love 101,2000,2,tt0119495
1,Pelicula,Nothing Sacred,2000,11,tt0119806
2,Pelicula,State and Main,2000,7,tt0120202
3,Pelicula,Bruno,2000,4,tt0123003
4,Pelicula,Sånger från andra våningen,2000,9,tt0120263
5,Pelicula,The Elf Who Didn't Believe,2000,9,tt0123055
6,Pelicula,Chicken Run,2000,9,tt0120630
7,Pelicula,The Highwayman,2000,4,tt0120698
8,Pelicula,Keizer Kuzco,2000,6,tt0120917
9,Pelicula,Return to Me,2000,6,tt0122459
10,Pelicula,The Adventures of Rocky & Bullwinkle,2000,6,tt0131704
11,Pelicula,Duets,2000,9,tt0134630
12,Pelicula,Love... at Your Disposal,2000,4,tt0138583
13,Pelicula,All Saints Day,2000,10,tt0138288
14,Pelicula,Mothman,2000,-,tt0137115
15,Pelicula,The Road to El Dorado,2000,10,tt0138749
16,Pelicula,Muggers,2000,5,tt0138631
17,Pelicula,It Had to Be You,2000,2,tt0139388
18,Pelicula,Isn't She Great,2000,1,tt0141399
19,Pelicula,Committed,2000,4,tt0144142
20,Pelicula,Meeting Daddy,2000,6,tt0142650
21,Pelicula,Nutty Professor II: The Klumps,2000,10,tt0144528
22,Pelicula,Red Lipstick,2000,4,tt0144574
23,Pelicula,High Fidelity,2000,8,tt0146882
24,Pelicula,Eat Me!,2000,-,tt0148095
25,Pelicula,Shafted!,2000,3,tt0147486
26,Pelicula,Where the Money Is,2000,4,tt0149367
27,Pelicula,Laughing Boy,2000,11,tt0151309
28,Pelicula,Mr. Accident,2000,9,tt0156807
29,Pelicula,The Next Best Thing,2000,6,tt0156841
30,Pelicula,2001: A Space Travesty,2000,9,tt0157262
31,Pelicula,My Dog Skip,2000,8,tt0156812
32,Pelicula,Life/Drawing,2000,,tt0156741
33,Pelicula,Screwed,2000,5,tt0156323
34,Pelicula,Mad About Mambo,2000,7,tt0156757
35,Pelicula,Det blir aldrig som man tänkt sig,2000,2,tt0158581
36,Pelicula,The Flintstones in Viva Rock Vegas,2000,7,tt0158622
37,Pelicula,Coping,2000,3,tt0159371
38,Pelicula,Punks,2000,1,tt0160710
39,Pelicula,More Dogs Than Bones,2000,7,tt0160547
40,Pelicula,The Independent,2000,3,tt0160403
41,Pelicula,Attention Shoppers,2000,9,tt0159291
42,Pelicula,Desperate But Not Serious,2000,10,tt0160182
43,Pelicula,Slice & Dice,2000,-,tt0161509
44,Pelicula,Charlie's Angels,2000,12,tt0160127
45,Pelicula,The Last Great Ride,2000,4,tt0160447
46,Pelicula,Ordinary Decent Criminal,2000,1,tt0160611
47,Pelicula,Killing Cinderella,2000,-,tt0160425
48,Pelicula,Open Return,2000,-,tt0160607
49,Pelicula,La parenthèse enchantée,2000,4,tt0163141
50,Pelicula,Hanging Up,2000,6,tt0162983
51,Pelicula,The Operator,2000,3,tt0163125
52,Pelicula,Trixie,2000,8,tt0162711
53,Pelicula,The Debut,2000,8,tt0163745
54,Pelicula,Big Monster on Campus,2000,2,tt0164192
55,Pelicula,Urban Mythology,2000,-,tt0164953
56,Pelicula,Finding Kelly,2000,1,tt0166192
57,Pelicula,The Girls' Room,2000,3,tt0167183
58,Pelicula,Le birdwatcher,2000,12,tt0168509
59,Pelicula,Screenland Drive,2000,-,tt0166339
60,Pelicula,Holgi,2000,2,tt0166649
61,Pelicula,The Boys Behind the Desk,2000,-,tt0167802
62,Pelicula,Film,2000,9,tt0167936
63,Pelicula,"Chicks, Man",2000,10,tt0168578
64,Pelicula,Hjælp! Jeg er en fisk,2000,10,tt0168856
65,Pelicula,A Better Way to Die,2000,9,tt0168504
66,Pelicula,Ab ins Paradies,2000,3,tt0168847
67,Pelicula,Dr. Seuss' How the Grinch Stole Christmas,2000,11,tt0170016
68,Pelicula,Keeping the Faith,2000,8,tt0171433
69,Pelicula,Sud Side Stori,2000,9,tt0170635
70,Pelicula,Ballen i øyet,2000,2,tt0172160
71,Pelicula,Gun Shy,2000,3,tt0171356
72,Pelicula,Nurse Betty,2000,11,tt0171580
73,Pelicula,Labor Pains,2000,11,tt0172699
74,Pelicula,The Million Dollar Kid,2000,4,tt0172464
75,Pelicula,Naked with Loons,2000,6,tt0172854
76,Pelicula,L.A.,2000,-,tt0172693
77,Pelicula,Cecil B. Demented,2000,8,tt0173716
78,Pelicula,"6,000 Miles from Hollywood",2000,-,tt0174448
79,Pelicula,Whipped,2000,9,tt0174336
80,Pelicula,Retiring Tatiana,2000,2,tt0175114
81,Pelicula,Just for the Time Being,2000,2,tt0174646
82,Pelicula,Scary Movie,2000,8,tt0175142
83,Pelicula,Sample People,2000,5,tt0177195
84,Pelicula,Company Man,2000,7,tt0177650
85,Pelicula,Hotel Splendide,2000,9,tt0177845
86,Pelicula,Stranger Than Fiction,2000,5,tt0178043
87,Pelicula,Im Juli,2000,8,tt0177858
88,Pelicula,All the Wrong Places,2000,9,tt0177513
89,Pelicula,The Rowdy Girls,2000,5,tt0177185
90,Pelicula,Sunset Strip,2000,8,tt0178050
91,Pelicula,Rhythm & Blues,2000,1,tt0178866
92,Pelicula,The Strange Case of Señor Computer,2000,1,tt0177213
93,Pelicula,Just Sue Me,2000,9,tt0179915
94,Pelicula,Rats and Rabbits,2000,4,tt0179677
95,Pelicula,Mondialito,2000,1,tt0179987
96,Pelicula,Rancid Aluminium,2000,1,tt0179443
97,Pelicula,Dean Quixote,2000,,tt0179144
98,Pelicula,What Planet Are You From?,2000,5,tt0181151
99,Pelicula,Bossa Nova,2000,3,tt0180837
100,Pelicula,Love's Labour's Lost,2000,9,tt0182295
101,Pelicula,Les frères Soeur,2000,7,tt0181548
102,Pelicula,A Piece of Eden,2000,8,tt0181945
103,Pelicula,Everything's Jake,2000,3,tt0180683
104,Pelicula,My Mother Frank,2000,8,tt0183550
105,Pelicula,A Man Is Mostly Water,2000,10,tt0183488
106,Pelicula,"Me, Myself & Irene",2000,7,tt0183505
107,Pelicula,The Specials,2000,9,tt0181836
108,Pelicula,Almost Famous,2000,5,tt0181875
109,Pelicula,Gunblast Vodka,2000,8,tt0183142
110,Pelicula,What I Like About You,2000,1,tt0184009
111,Pelicula,Les yeux brouillés,2000,6,tt0184056
112,Pelicula,Taxi 2,2000,1,tt0183869
113,Pelicula,Undertaker's Paradise,2000,2,tt0183946
114,Pelicula,Shanghai Noon,2000,6,tt0184894
115,Pelicula,"Raluy, una noche en el circo",2000,6,tt0184849
116,Pelicula,Snow Day,2000,2,tt0184907
117,Pelicula,Little Nicky,2000,11,tt0185431
118,Pelicula,Hundhotellet,2000,3,tt0184596
119,Pelicula,Dirk and Betty,2000,,tt0186029
120,Pelicula,Highway Society,2000,3,tt0187880
121,Pelicula,Down to You,2000,7,tt0186975
122,Pelicula,Wonder Boys,2000,11,tt0185014
123,Pelicula,Drowning Mona,2000,1,tt0186045
124,Pelicula,Playing Mona Lisa,2000,4,tt0187559
125,Pelicula,Magicians,2000,,tt0188045
126,Pelicula,Cut,2000,3,tt0189456
127,Pelicula,Heller als der Mond,2000,1,tt0190449
128,Pelicula,Olé: Um Movie Cabra da Peste,2000,-,tt0189856
129,Pelicula,The Whole Nine Yards,2000,5,tt0190138
130,Pelicula,Life-In-Progress,2000,-,tt0190530
131,Pelicula,28 Days,2000,6,tt0191754
