,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Pelicula,The Naked Monster,2005,4,tt0088751
1,Pelicula,Shooting Vegetarians,2005,2,tt0146272
2,Pelicula,Three,2005,8,tt0159790
3,Pelicula,Angels with Angles,2005,12,tt0179803
4,Pelicula,Bob the Butler,2005,1,tt0216584
5,Pelicula,Bad Girls from Valley High,2005,3,tt0216746
6,Pelicula,Lucky 13,2005,,tt0222167
7,Pelicula,Slipdream,2005,,tt0226851
8,Pelicula,Striptease Baby Dolls from Cleveland Meet the Unkillables,2005,12,tt0228906
9,Pelicula,Fortunes,2005,12,tt0238992
10,Pelicula,Wilson Chance,2005,12,tt0244306
11,Pelicula,Silent Men,2005,,tt0242882
12,Pelicula,Vultures,2005,1,tt0243246
13,Pelicula,Secret Agent 420,2005,4,tt0244944
14,Pelicula,In Memory of My Father,2005,,tt0251744
15,Pelicula,Cursed,2005,4,tt0257516
16,Pelicula,The Luau,2005,3,tt0258901
17,Pelicula,2001 Maniacs,2005,7,tt0264323
18,Pelicula,The Ringer,2005,3,tt0267891
19,Pelicula,Alchemy,2005,4,tt0285682
20,Pelicula,Lava Lounge,2005,6,tt0289275
21,Pelicula,Wheelmen,2005,6,tt0299215
22,Pelicula,Heidi,2005,12,tt0298903
23,Pelicula,All Babes Want to Kill Me,2005,7,tt0300922
24,Pelicula,Love Thy Neighbor,2005,9,tt0304356
25,Pelicula,Funny Valentine,2005,2,tt0305858
26,Pelicula,Better Days,2005,9,tt0308028
27,Pelicula,Les Boys IV,2005,12,tt0308064
28,Pelicula,Extreme Dating,2005,6,tt0309578
29,Pelicula,The Curse of the Were-Rabbit,2005,10,tt0312004
30,Pelicula,Break a Leg,2005,4,tt0315323
31,Pelicula,Because of Winn-Dixie,2005,2,tt0317132
32,Pelicula,Sahara,2005,7,tt0318649
33,Pelicula,Thumbsucker,2005,10,tt0318761
34,Pelicula,Ze film,2005,2,tt0322999
35,Pelicula,"Jesus, Mary and Joey",2005,9,tt0325651
36,Pelicula,Sabah,2005,8,tt0325191
37,Pelicula,The Bike Squad,2005,9,tt0327498
38,Pelicula,Dirty Love,2005,5,tt0327643
39,Pelicula,Lung do kei yuen,2005,1,tt0327660
40,Pelicula,My Suicidal Sweetheart,2005,3,tt0328121
41,Pelicula,Man of the House,2005,2,tt0331933
42,Pelicula,The Perfect Catch,2005,4,tt0332047
43,Pelicula,Backseat,2005,3,tt0337584
44,Pelicula,Diamond Zero,2005,5,tt0338443
45,Pelicula,Nowhere Man,2005,3,tt0338294
46,Pelicula,Sledge: The Untold Story,2005,1,tt0337887
47,Pelicula,De Magische Draaimolen,2005,2,tt0339334
48,Pelicula,Daltry Calhoun,2005,9,tt0339642
49,Pelicula,Dear Wendy,2005,5,tt0342272
50,Pelicula,Krush,2005,3,tt0342640
51,Pelicula,Room 36,2005,9,tt0340321
52,Pelicula,Fugitives Run,2005,9,tt0343603
53,Pelicula,Halfway Decent,2005,10,tt0345370
54,Pelicula,Les gens honnêtes vivent en France,2005,3,tt0347056
55,Pelicula,Waiting...,2005,10,tt0348333
56,Pelicula,Die You Zombie Bastards!,2005,2,tt0349349
57,Pelicula,Madagascar,2005,6,tt0351283
58,Pelicula,Slaughterhouse of the Rising Sun,2005,3,tt0350128
