titulo,anio,puntuacion,id
Love 101,2000,33,tt0119495
Nothing Sacred,2000,92,tt0119806
State and Main,2000,85,tt0120202
Bruno,2000,20,tt0123003
Sånger från andra våningen,2000,,tt0120263
The Elf Who Didn't Believe,2000,,tt0123055
Chicken Run,2000,97,tt0120630
The Highwayman,2000,14,tt0120698
Keizer Kuzco,2000,,tt0120917
Return to Me,2000,62,tt0122459
The Adventures of Rocky & Bullwinkle,2000,,tt0131704
Duets,2000,21,tt0134630
Love... at Your Disposal,2000,,tt0138583
All Saints Day,2000,,tt0138288
Mothman,2000,22,tt0137115
The Road to El Dorado,2000,49,tt0138749
Muggers,2000,,tt0138631
It Had to Be You,2000,44,tt0139388
Isn't She Great,2000,24,tt0141399
Committed,2000,43,tt0144142
Meeting Daddy,2000,,tt0142650
Nutty Professor II: The Klumps,2000,27,tt0144528
Red Lipstick,2000,,tt0144574
High Fidelity,2000,91,tt0146882
Eat Me!,2000,,tt0148095
Shafted!,2000,50,tt0147486
Where the Money Is,2000,48,tt0149367
Laughing Boy,2000,-,tt0151309
Mr. Accident,2000,17,tt0156807
The Next Best Thing,2000,19,tt0156841
2001: A Space Travesty,2000,17,tt0157262
My Dog Skip,2000,73,tt0156812
Life/Drawing,2000,15,tt0156741
Screwed,2000,10,tt0156323
Mad About Mambo,2000,57,tt0156757
Det blir aldrig som man tänkt sig,2000,,tt0158581
The Flintstones in Viva Rock Vegas,2000,25,tt0158622
Coping,2000,,tt0159371
Punks,2000,56,tt0160710
More Dogs Than Bones,2000,57,tt0160547
The Independent,2000,60,tt0160403
Attention Shoppers,2000,43,tt0159291
Desperate But Not Serious,2000,,tt0160182
Slice & Dice,2000,,tt0161509
Charlie's Angels,2000,68,tt0160127
The Last Great Ride,2000,,tt0160447
Ordinary Decent Criminal,2000,14,tt0160611
Killing Cinderella,2000,,tt0160425
Open Return,2000,,tt0160607
La parenthèse enchantée,2000,,tt0163141
Hanging Up,2000,12,tt0162983
The Operator,2000,45,tt0163125
Trixie,2000,28,tt0162711
The Debut,2000,71,tt0163745
Big Monster on Campus,2000,,tt0164192
Urban Mythology,2000,,tt0164953
Finding Kelly,2000,-,tt0166192
The Girls' Room,2000,,tt0167183
Le birdwatcher,2000,,tt0168509
Screenland Drive,2000,,tt0166339
Holgi,2000,,tt0166649
The Boys Behind the Desk,2000,,tt0167802
Film,2000,,tt0167936
"Chicks, Man",2000,,tt0168578
Hjælp! Jeg er en fisk,2000,,tt0168856
A Better Way to Die,2000,37,tt0168504
Ab ins Paradies,2000,,tt0168847
Dr. Seuss' How the Grinch Stole Christmas,2000,,tt0170016
Keeping the Faith,2000,69,tt0171433
Sud Side Stori,2000,,tt0170635
Ballen i øyet,2000,,tt0172160
Gun Shy,2000,26,tt0171356
Nurse Betty,2000,83,tt0171580
Labor Pains,2000,0,tt0172699
The Million Dollar Kid,2000,,tt0172464
Naked with Loons,2000,,tt0172854
L.A.,2000,,tt0172693
Cecil B. Demented,2000,52,tt0173716
"6,000 Miles from Hollywood",2000,,tt0174448
Whipped,2000,13,tt0174336
Retiring Tatiana,2000,,tt0175114
Just for the Time Being,2000,,tt0174646
Scary Movie,2000,51,tt0175142
Sample People,2000,49,tt0177195
Company Man,2000,14,tt0177650
Hotel Splendide,2000,82,tt0177845
Stranger Than Fiction,2000,38,tt0178043
Im Juli,2000,,tt0177858
All the Wrong Places,2000,-,tt0177513
The Rowdy Girls,2000,64,tt0177185
Sunset Strip,2000,49,tt0178050
Rhythm & Blues,2000,,tt0178866
The Strange Case of Señor Computer,2000,,tt0177213
Just Sue Me,2000,,tt0179915
Rats and Rabbits,2000,,tt0179677
Mondialito,2000,,tt0179987
Rancid Aluminium,2000,8,tt0179443
Dean Quixote,2000,,tt0179144
What Planet Are You From?,2000,42,tt0181151
Bossa Nova,2000,,tt0180837
Love's Labour's Lost,2000,50,tt0182295
Les frères Soeur,2000,,tt0181548
A Piece of Eden,2000,,tt0181945
Everything's Jake,2000,83,tt0180683
My Mother Frank,2000,58,tt0183550
A Man Is Mostly Water,2000,-,tt0183488
"Me, Myself & Irene",2000,48,tt0183505
The Specials,2000,47,tt0181836
Almost Famous,2000,89,tt0181875
Gunblast Vodka,2000,,tt0183142
What I Like About You,2000,,tt0184009
Les yeux brouillés,2000,,tt0184056
Taxi 2,2000,70,tt0183869
Undertaker's Paradise,2000,,tt0183946
Shanghai Noon,2000,80,tt0184894
"Raluy, una noche en el circo",2000,,tt0184849
Snow Day,2000,29,tt0184907
Little Nicky,2000,22,tt0185431
Hundhotellet,2000,,tt0184596
Dirk and Betty,2000,,tt0186029
Highway Society,2000,,tt0187880
Down to You,2000,3,tt0186975
Wonder Boys,2000,81,tt0185014
Drowning Mona,2000,29,tt0186045
Playing Mona Lisa,2000,64,tt0187559
Magicians,2000,47,tt0188045
Cut,2000,11,tt0189456
Heller als der Mond,2000,,tt0190449
Olé: Um Movie Cabra da Peste,2000,,tt0189856
The Whole Nine Yards,2000,43,tt0190138
Life-In-Progress,2000,,tt0190530
28 Days,2000,33,tt0191754
The Little Vampire,2000,55,tt0192255
"O Brother, Where Art Thou?",2000,78,tt0190590
Honest,2000,27,tt0192126
The Replacements,2000,41,tt0191397
Jim's Camera,2000,,tt0192180
Otto - Der Katastrofenfilm,2000,,tt0192407
Picking Up the Pieces,2000,32,tt0192455
Married 2 Malcolm,2000,,tt0192912
Stardom,2000,42,tt0192949
Apartment Hunting,2000,,tt0191787
Enemies of Laughter,2000,57,tt0193135
Badding,2000,49,tt0193741
Chain of Fools,2000,44,tt0194368
Hurmaava joukkoitsemurha,2000,,tt0194026
Accelerator,2000,,tt0193701
Panic,2000,91,tt0194218
We Married Margo,2000,81,tt0194519
Saving Grace,2000,63,tt0195234
MVP: Most Valuable Primate,2000,40,tt0196106
Next Friday,2000,21,tt0195945
Small Time Crooks,2000,66,tt0196216
"Free Delivery, the Horror!",2000,,tt0196573
Da jeg traff Jesus... med sprettert,2000,,tt0197392
Detektor,2000,,tt0197402
Lush,2000,0,tt0197646
Schrott - Die Atzenposse,2000,,tt0197858
What's Cooking?,2000,52,tt0197096
Where the Heart Is,2000,35,tt0198021
After Sex,2000,5,tt0198284
East of A,2000,,tt0198438
The Crew,2000,20,tt0198386
Recipe for Disaster,2000,61,tt0198970
Perfect Fit,2000,,tt0198903
3 Strikes,2000,0,tt0199290
About Adam,2000,68,tt0199314
Chuck & Buck,2000,84,tt0200530
El árbol del penitente,2000,,tt0200316
Lucy You Love It,2000,,tt0199729
"Belli, carucci e pettinati",2000,,tt0199358
"Love, Honour and Obey",2000,33,tt0199727
Tra(sgre)dire,2000,,tt0200192
Mambo Café,2000,65,tt0199744
Kuningas Hidas,2000,,tt0199696
Beautiful Joe,2000,60,tt0200472
Coyote Ugly,2000,23,tt0200550
My Next Funeral,2000,,tt0202487
The Cheapest Movie Ever Made,2000,,tt0201519
The Last Producer,2000,33,tt0201726
Just One Night,2000,38,tt0201901
Lost in the Pershing Point Hotel,2000,20,tt0201737
House!,2000,20,tt0201670
Whatever It Takes,2000,16,tt0202402
La vita è un gioco,2000,,tt0202316
Rent a Friend,2000,,tt0201888
Chasing Indigo,2000,,tt0202829
Overnight Sensation,2000,,tt0203047
DoppelPack,2000,,tt0202256
Double Parked,2000,14,tt0202856
Illicit Lovers,2000,,tt0203580
The Intern,2000,59,tt0202989
Poor White Trash,2000,60,tt0204350
Home Sweet Hoboken,2000,,tt0204382
Io amo Andrea,2000,,tt0202405
Two Family House,2000,89,tt0202641
Greenfingers,2000,46,tt0203540
Boys and Girls,2000,11,tt0204175
Den bästa sommaren,2000,,tt0204932
Being Considered,2000,,tt0204885
The Dish,2000,96,tt0205873
Thomas and the Magic Railroad,2000,21,tt0205461
Flick,2000,,tt0205938
Pocetí mého mladsího bratra,2000,,tt0203056
Tillsammans,2000,,tt0203166
Astronomy of Errors,2000,,tt0204679
Sordid Lives,2000,37,tt0204640
Trifling with Fate,2000,-,tt0204698
Bring It On,2000,65,tt0204946
Ninja Mission 2000,2000,,tt0204499
Kevin & Perry Go Large,2000,14,tt0205177
Dr. T & the Women,2000,57,tt0205271
A Sense of Entitlement,2000,,tt0205391
Teste di cocco,2000,,tt0205718
What's Eating You?,2000,,tt0205521
What Women Want,2000,54,tt0207201
Vinnie and Angela's Beauty Salon and Funeral Parlor,2000,,tt0206395
LiebesLuder,2000,,tt0206088
Massholes,2000,,tt0206382
Woman on Top,2000,35,tt0206420
Abschied - Brechts letzter Sommer,2000,,tt0206608
Psycho Beach Party,2000,54,tt0206226
Family Jewels,2000,,tt0208376
The Big Thing,2000,,tt0207337
Time Share,2000,60,tt0207161
Si fa presto a dire amore...,2000,,tt0206128
Chump Change,2000,45,tt0208050
How to Kill Your Neighbor's Dog,2000,59,tt0207524
La lingua del santo,2000,,tt0206093
Fast Food Fast Women,2000,,tt0206742
Liberate i pesci!,2000,,tt0206087
Sexo por compasión,2000,,tt0208675
Tobia al caffè,2000,,tt0206351
"A Girl, Three Guys, and a Gun",2000,,tt0207745
Happy Accidents,2000,70,tt0208196
Maybe Baby,2000,50,tt0206926
C'era un cinese in coma,2000,,tt0208026
Snatch,2000,74,tt0208092
Downtown 81,2000,79,tt0208993
Big Momma's House,2000,30,tt0208003
Skipped Parts,2000,60,tt0209322
"Jails, Hospitals & Hip-Hop",2000,88,tt0210130
In the Weeds,2000,54,tt0210756
Relative Values,2000,20,tt0210943
Welcome Albania,2000,,tt0210383
Iedereen beroemd!,2000,,tt0209037
Beautiful,2000,17,tt0210567
Bootmen,2000,39,tt0210584
La vie après l'amour,2000,,tt0211103
102 Dalmatians,2000,30,tt0211181
Anna,2000,33,tt0211200
Les acteurs,2000,,tt0211900
Terror Tract,2000,60,tt0211661
Gouttes d'eau sur pierres brûlantes,2000,,tt0211387
Big Eden,2000,64,tt0212815
Byron Bay,2000,,tt0212820
Meet the Parents,2000,85,tt0212338
Obstacles,2000,84,tt0213127
João Mata Sete,2000,,tt0212261
Miss Congeniality,2000,41,tt0212346
Angst,2000,,tt0211919
Bait,2000,26,tt0211938
100 Girls,2000,60,tt0214388
Citizen Toxie: The Toxic Avenger IV,2000,60,tt0212879
Pere,2000,,tt0213996
Very Mean Men,2000,,tt0214277
The Ladies Man,2000,11,tt0213790
Rugrats in Paris: The Movie - Rugrats II,2000,,tt0213203
Bored Silly,2000,,tt0214548
Dropping Out,2000,,tt0214646
L'extraterrestre,2000,,tt0215757
Table One,2000,44,tt0215232
Road Trip,2000,57,tt0215129
Faith and the Water Dog,2000,,tt0214683
Jubilee,2000,100,tt0215880
Le libertin,2000,,tt0214878
Carmelo y yo,2000,,tt0215596
Sur un air d'autoroute,2000,,tt0215223
The Martini Shot,2000,,tt0215972
Mulligan,2000,50,tt0216011
Bamboozled,2000,53,tt0215545
Cowboys and Angels,2000,61,tt0215679
