,titulo,anio,puntuacion_rotten
0,Cotillion '65,2005,
1,Rob of the Rovers,2005,
2,Career Day,2005,
3,V.O.,2005,
4,Sweetnightgoodheart,2005,
5,London Calling,2005,
6,Candor City Hospital,2005,
7,Up,2005,98
8,Hubby/Wifey,2005,
9,I Hate You,2005,
10,Round About Five,2005,-
11,Lily,2005,100
12,Winner Takes All,2005,
13,The Boss,2005,22
14,Blake's Junction 7,2005,
15,Bare Holger,2005,
16,Courage & Stupidity,2005,82
17,Broadcast 23,2005,
18,The Welcome Committee,2005,
19,West Bank Story,2005,89
20,Cry for Help,2005,
21,À l'état d'e(m)bauche,2005,
22,The Meaning of Life,2005,
23,Sex and Coffee,2005,
24,Awkward,2005,
25,Mary,2005,59
26,Play Ball,2005,
27,Big Fat Greek Fag,2005,
28,Beyrouth après-rasage,2005,
29,Office Court,2005,
30,Für gutes Betragen,2005,
31,Everything's Gone Green,2005,68
32,"Duck, Duck, Goose!",2005,
33,Neighbors,2005,73
34,Color of a Doubt: An Urban Fable,2005,
35,Dernier cri,2005,
36,Y tu toaster también,2005,
37,The Ticket,2005,51
38,Jew Tales,2005,
39,The Big Nothing,2005,
40,Stille Wasser,2005,
41,The Raftman's Razor,2005,-
42,On Paper,2005,33
43,Dinner Time,2005,
44,Mammoth,2005,45
45,Princes(s),2005,
46,Les couilles de mon chat,2005,
47,America's Biggest Dick,2005,
48,Lucky,2005,83
49,Two Night Stand,2005,38
50,The Chick Magnet,2005,
51,Life's a Drag,2005,
52,O Retrato do Artista,2005,
53,Coastal,2005,
54,Cerebral Print: End Game,2005,
55,Double-O-Zero,2005,
56,First Date,2005,53
57,Candy Paint,2005,
58,"Timene som har gått, deler jeg med deg",2005,
59,Lame,2005,
60,The Evolution of Face TV!,2005,
61,The Passion of the Couch,2005,
62,Lust and Other Canker Sores,2005,
63,Spandex: A Father's Tale,2005,
64,The Big Empty,2005,67
65,Down Dog,2005,0
66,The Swap,2005,42
67,Chinese Menu,2005,
68,Ash Wednesday,2005,25
69,Excitine Complex,2005,
70,The Upsell,2005,
71,It's a Pleasure,2005,25
72,Sith Apprentice,2005,
73,Inter-Galactic SuperBeings in: Being Super,2005,
74,"Ken Sipillary: Faith, Hope & Love",2005,
75,Viola fondente,2005,
76,Wilfried Neuss - Eine Sinfonie in fünf Sätzen,2005,
77,Thirst,2005,21
78,Such Great Joy,2005,
79,Neck Deep,2005,
80,Prayers from Pelham,2005,
81,Dating,2005,
82,My Feral Lady,2005,
83,Luckey Quarter,2005,
84,Fight Night,2005,
85,Havanna,2005,
86,Ping Pong Love,2005,
87,Nooner,2005,
88,Big Apple Martini,2005,
89,Promtroversy,2005,
90,You Can't See Me When I Hide,2005,
91,Big Bucket Head's: The Warehouse,2005,
92,Can I Get a Pickle?,2005,
93,The Djarn Djarns,2005,
94,Cash Daddy,2005,
95,Charlatan,2005,89
96,The Butcher and the Housewife,2005,
97,Mentos,2005,
98,Lucky Shoes,2005,
99,Light Coming Out of Ear!!!,2005,
100,Cult Life,2005,
101,The Line Starts Here,2005,
102,Climax,2005,69
103,Sitzriesen an Stehimbissen,2005,
104,Audition Interrupted,2005,
105,Patiente 69,2005,
106,Second Term,2005,
107,Tales of the Shit Eater: Beginnings,2005,
108,Seventh Dog,2005,
109,Dog Eat Dog,2005,51
110,Cheap as Hell: A Christmas Story,2005,-
111,The Passion of the Nerds,2005,
112,The Yawn Jar,2005,
113,Who Makes Movies?,2005,
114,Nick and Stacey,2005,
115,Passing Shot,2005,
116,The Librarian Dialogues,2005,
117,Saturdates,2005,
118,Badgered,2005,56
119,Majorité,2005,
120,Choca Cola,2005,
121,Behind the Curtain,2005,
122,Who's the Top?,2005,
123,Little Black Caddy,2005,
124,Deliverance: By the Slice,2005,
125,Dinner at Marvin's,2005,
126,DaveBob and the Carrot of God,2005,
127,Decaf,2005,
128,Darcy's Off-White Wedding,2005,
129,Dentally Does It,2005,
130,Automated Assets,2005,
131,American Dad: The New CIA,2005,
132,Repossessing Kaufman,2005,
133,Bagelized,2005,
134,Art's Point of View,2005,
135,Milk,2005,93
136,Test Day,2005,
137,Call Center,2005,
138,Mozartbrot,2005,
139,The Pigskin,2005,
140,Acting Class,2005,
141,Illegal Aliens Attack!,2005,
142,For Love of the Film,2005,
143,The Inedible Bulk,2005,
144,Flowers of the Madman,2005,
145,The Adventures of Big Handsome Guy and His Little Friend,2005,
146,Cart Attack,2005,
147,Jerry V. Death,2005,
148,Moviemania,2005,
149,Escorched,2005,
150,Induction,2005,
151,A Mario,2005,
152,The Europa Society,2005,
153,Easy Fryer,2005,
154,Rupert Galloway,2005,
155,Cortèges,2005,
156,The Invisible Dog,2005,
157,The Mirakle,2005,
158,Cheap Seats,2005,
159,A Square to Spare,2005,
160,Limb-O Extreme,2005,
161,...It Pours,2005,
162,Never Rob a Bank with Someone You Love!,2005,
163,Spaghetti & Matzo Balls,2005,
164,The Check Up,2005,
165,Loretta,2005,
166,"Manolito Espinberg, une vie de cinéma",2005,
167,"Dreytalk - Drei Gäste, keine Getränke",2005,
168,Life's a Bitch,2005,
169,Hooray for Everything,2005,
170,"Sometimes, Seriously, Never",2005,
171,Shellfishing,2005,
172,Survival of the Fittest,2005,
173,Helium,2005,69
174,Confessions of a Late Bloomer,2005,
175,Palika leviszi a szemetet,2005,
176,Frankly,2005,
177,Jackpot,2005,
178,Picket Guy,2005,
179,Sigmund Freud: Professional Psychoanalyst,2005,
180,The Day of the Grackle,2005,
181,Intervention: The Comedy,2005,
182,Breakfast at Barbie's,2005,
183,Needle Anus: A Comedy,2005,
184,Service for Four,2005,
185,Ugly on the Inside,2005,
186,To Kill a Mole,2005,
187,Jepardee!,2005,
188,The Brink,2005,84
189,Strum,2005,
190,Eccoci qua,2005,
191,Dubois,2005,
192,Bonbon au poivre,2005,
193,Nothing Special,2005,50
194,Forced Entry,2005,21
195,Teddy COPS,2005,
196,Retrato da Velha Enquanto Senhora,2005,
197,Éramos pocos,2005,75
198,Le bon coup,2005,
199,Queen of Beasts,2005,
200,But What About the Revolutionary George Pocket?,2005,
201,Town Planner,2005,
202,Rib Shack,2005,
203,The Medium Is the Message,2005,
204,Propriété commune,2005,
205,Tengo el poder,2005,
206,The Connection,2005,77
207,Desperate Hippies,2005,
208,The Street Sweeper,2005,
209,Le Petomane: Parti avec le vent,2005,
210,Street Therapy,2005,
211,Cleaning Up Matters,2005,
212,Little Victim,2005,
213,Something Else,2005,
214,Guys,2005,
215,The Heterosexual Menace,2005,
216,976-Lars,2005,
217,Life After Leukemia,2005,
218,Ilyuzii,2005,
219,A Wing and a Prayer,2005,100
220,Phonophobia,2005,
221,Test,2005,82
222,Última vontade,2005,
223,Live at Five,2005,
224,Speeder,2005,
225,In a Pickle,2005,
226,Tiny Toys,2005,
227,Pedalfoot,2005,
228,Big Dog,2005,
229,"Snow Day, Bloody Snow Day",2005,
230,Blind Date,2005,24
231,"I'm Sorry, Mr. Reeves",2005,
232,The Fairy Tale,2005,
233,The Big Break,2005,
234,Play Date,2005,
235,Circus of Infinity,2005,
236,WFUX: A Sketch Comedy Revolution,2005,
237,Pinkerton,2005,
238,Raw: Undergrad Classics,2005,
239,Knokke Boulevard,2005,
240,George's Date,2005,
241,Donnie & Clyde,2005,
242,El examinador,2005,
243,Full Circle,2005,100
244,A Temp for All Seasons,2005,
245,La explicación,2005,
246,The Yearbook,2005,
247,Recruiting,2005,
248,Feltch Sanders,2005,
249,All About Tada,2005,
250,Science!,2005,-
251,Mormor's Visit,2005,
252,Lecture in Unity,2005,
253,Chinese Beauty,2005,
254,Latch Key,2005,
255,Facility for the Common Man,2005,
256,Getting Laid Tonight,2005,
257,Cold Feet,2005,82
258,My Short Film,2005,
259,Nachtaktiv,2005,
260,Lezione di stile,2005,
261,Baby Time Share,2005,
262,Jackpot,2005,
263,Beyond Lovely,2005,
264,Duck Hunted,2005,
265,Reject This Film,2005,
266,Bomb,2005,
267,Interview with a Zombie,2005,
268,Bendita caridad,2005,
269,Floyd the Butcher,2005,
270,Alienation,2005,
271,Ninja vs. Cerebral Print,2005,
272,I Rob Banks for the Money,2005,
273,Cavemen with Coffee,2005,
274,Disneyland: The First 50 Magical Years,2005,
275,Just Do It,2005,
276,Day Shift,2005,56
277,Some Real Fangs,2005,
278,Uneven,2005,
279,The Smartest Person Who Ever Lived,2005,
280,Taco Chick and Salsa Girl,2005,
281,Mommy Dick,2005,
282,Wingtips,2005,
283,My Name Is...,2005,
284,A Day in the Life of a Bathroom Key,2005,
285,How to Deal (with a Wedgie),2005,
286,Muscle,2005,100
287,The Unchosen Ones,2005,
288,Baby Boom,2005,67
289,Pria,2005,
290,Sick Day,2006,
291,Tug of War,2006,
292,Succubus,2006,53
293,Call It Fiction,2006,
294,A Killing on the Riviera,2006,
295,Valentine's Day,2006,18
296,Gone to the Dogs,2006,
297,Zombie Prom,2006,60
298,Tidbits of Joy,2006,
299,American Storage,2006,
300,Ha Ha Ha America,2006,
301,DVD,2006,
302,Momma's Boy,2006,
303,The Pity Card,2006,
304,Der die Tollkirsche ausgräbt,2006,
305,Chicken Man,2006,
306,The Last Place You Look,2006,
307,What'll It Be?,2006,
308,What Are the Odds?,2006,-
309,A Deeper Shade of Soul,2006,
310,Song for Robbie Miller,2006,
311,Tolerance,2006,
312,Loved and/or Laid,2006,
313,Concerned Lady for America,2006,
314,Goose Sock Blender Wok,2006,
315,Hitzschlag,2006,
316,Strange Tastes,2006,
317,Hooked,2006,64
318,Wigald,2006,
319,The Return of Laura Peters,2006,
320,The Mathmagicians,2006,
321,Space Chase,2006,
322,K-7,2006,
323,The Pretty Boy Project,2006,
324,Des gens dans mon lit,2006,
325,Jamaica Me Crazy,2006,
326,The One O'Clock,2006,
327,Me or You,2006,
328,Tomoko's Kitchen,2006,
329,Moosecock,2006,
330,Common Wealth,2006,85
331,Mondmann,2006,
332,Racing Beats,2006,
333,Tocata y fuga,2006,
334,Convincing Benny,2006,
335,Miles from Home,2006,100
336,Always Ready,2006,
337,A Cut Above,2006,71
338,Totally Real TV,2006,
339,Ronny & Cindy,2006,
340,All That Remains,2006,
341,Well Sooted,2006,
342,Kopfsache,2006,
343,Lilli rennt,2006,
344,That Guy,2006,
345,The Pitch,2006,-
346,The Milky Way,2006,95
347,Purple Bins,2006,
348,MaxiDoodles: Behind the Makeup,2006,
349,Hold Please,2006,
350,High Maintenance,2006,98
351,Poison d'avril,2006,
352,First Flight,2006,58
353,Curt's Brain,2006,
354,The DiCaprio Code,2006,
355,Harmony in the Hills,2006,
356,Cold Feet,2006,-
357,"Bad Luck, Good Luck!",2006,
358,March,2006,
359,Never a Day Younger,2006,
360,Polterabend,2006,
361,Kaloyan & Sonya,2006,
362,Plastic,2006,14
363,Tomorrow's Yesterday,2006,
364,The Last Woman on Earth,2006,15
365,Prequel Apology Syndrome,2006,
366,The Take,2006,85
367,Nintendo: Oldschool Revolution,2006,
368,Longtime Listener,2006,
369,The Awesome Robots vs Transformo,2006,
370,Cutout,2006,
371,Fwiends.com,2006,
372,A Cold Day for Johnson,2006,
373,Bad Dream,2006,
374,Corduroy,2006,
375,Oh! Ma femme,2006,
376,Çelik çomak,2006,
377,Wanna Be,2006,
378,No Menus Please,2006,
379,Sexteens,2006,
380,Eternamente te veo,2006,
381,"Doug, Mitch, and the Ironclad Argument",2006,
382,The Intervention of Brad,2006,
383,Le comité de la claque,2006,
384,The Filchaks Take a Gamble,2006,
385,Available Men,2006,
386,The Bracelet,2006,
387,Wedlock,2006,36
388,Kite Circuit,2006,
389,Ole rennt,2006,
390,The McPassion,2006,
391,Guest Check,2006,
392,Gentle Lovers,2006,
393,Purse Snatcher,2006,
394,Christopher Brennan Saves the World,2006,
395,Summer,2006,78
396,Checkout,2006,
397,Chlüppli,2006,
398,Blink,2006,64
399,"If You See Something, Say Something",2006,
400,Full Count,2006,
401,Captain Valedor,2006,
402,An Teanga Runda,2006,
403,New Boobs,2006,
404,Self Improvement,2006,
405,Wrong Turns,2006,
406,Versuchung,2006,
407,The Break,2006,
408,Pleasure Marriage,2006,
409,Chris & Reed in: Strangers!,2006,
410,My Imaginary Friend Lars Stevens,2006,
411,Near Mrs.,2006,
412,The Burger Joint,2006,
413,Go Faux,2006,
414,El doctor,2006,
415,The Partner,2006,-
416,The Saddest Boy in the World,2006,
417,Mr. Tempest Is Here,2006,
418,Cerramos a las dos,2006,
419,Dunny,2006,
420,A&E (Accident & Eternity),2006,
421,Toast,2006,63
422,Auteur,2006,
423,Billy Schulz,2006,
424,Con lengua,2006,
425,Homecooked,2006,
426,Bitch,2006,67
427,"But Seriously, Folks",2006,-
428,Showering with Spielberg,2006,
429,El regalo,2006,
430,The Flyer,2006,
431,Memories of a Sick Mind,2006,
432,Holy Water,2006,7
433,Nevel Is the Devil,2006,
434,Mop That!,2006,
435,No I in Security,2006,
436,Unfinished,2006,
437,Serum 114,2006,
438,A Day at the Office,2006,
439,The Shabbos Bigfoot,2006,
440,Frisky Business,2006,
441,Campaign Manager,2006,
442,The Intern,2006,59
443,Tierra de gringos,2006,
444,Mr. Malikai Battles the Aeroplane,2006,
445,All I Want for Christmas,2006,-
446,The Director's Cut,2006,
447,Manstray,2006,
448,Le dîner,2006,
449,Mi tío Paco,2006,
450,The Making of: GRITS,2006,
451,Drama Queen,2006,
452,Le jour du festin,2006,
453,Pitch,2006,41
454,La leche y el agua,2006,
455,High Fire Danger!,2006,
456,Take Four,2006,
457,The Chip,2006,
458,A Fairy Tale,2006,
459,The Retreat,2006,74
460,Single Black Female,2006,9
461,Difuntos recientes,2006,
462,Magic Julius,2006,
463,Long John,2006,
464,The Great Dicktator,2006,
465,Night & Day Losers,2006,
466,Tanghi argentini,2006,69
467,WFCT: The Thinking Man's Show for the Idiot,2006,
468,Julia's Pit,2006,
469,Secret Agent,2006,87
470,Yelophant,2006,
471,Smash,2006,68
472,Santa Baby,2006,42
473,The Bag,2006,
474,Safety First,2006,
475,Walter King,2006,
476,Overthrow the Totems,2006,
477,The Path of Most Resistance,2006,
478,The Cow Thief,2006,
479,The Plight of a Cheerleader,2006,
480,Table for One,2006,
481,How Many Doctors Does It Take to Change a Lightbulb?,2006,
482,Chloe,2006,51
483,...But a Giant Leap for Mr. Larkin,2006,
484,Forked,2006,
485,Kwiz,2006,
486,Ponkutsu Park,2006,
487,Carded,2006,
488,Tornado,2006,
489,M.O.G.,2006,
490,Fred,2006,
491,"Global, Inc.",2006,
492,Truth Be Told,2006,15
493,Gettin' Some Jail Time,2006,
494,Hubris,2006,
495,Damn Shame,2006,
496,Dirty Dewey Decimal,2006,
497,Bored of Education,2006,-
498,Le Chase,2006,
499,Laid Off,2006,
500,The Reel Monkey,2006,
501,Initiation,2006,59
502,Meeting in Cars,2006,
503,The Concoction,2006,
504,Sylvia's Baklava,2006,
505,When the Music Stops,2006,
506,Day of the Cabbage,2006,
507,Divided by Zero,2006,
508,Une histoire de pieds,2006,
509,Barbara Broadcast,2006,
510,The Legend of Farmer Jenkins,2006,
511,Pigeon,2006,
512,Is It Just Me...,2006,
513,Euthanasia,2006,
514,Holidays with Heather,2006,
515,(Untitled),2006,
516,11:11,2006,-
517,Breakdown,2006,83
518,Spare Parts,2006,56
519,Rufus in Bouncin' Buddy,2006,
520,Pro-Choice,2006,
521,Barking Up the Wrong Tree,2006,
522,Auteur,2006,
523,The Fish,2006,
524,Daingerfield,2006,
525,Checking In,2006,-
526,Being Steven Spielberg,2006,
527,My Crazy Life,2006,
528,Trevor's in Heaven,2006,
529,Crossed Lines,2006,-
530,Face to Face,2006,80
531,Happy Valentine's Day,2006,
532,4 Dollars,2006,
533,A Brief Case,2006,
534,Magnetic Poles,2006,
535,Hustler WP,2006,
536,Beaumont Bixby: My Life in the Silent Pictures,2006,
537,Other Tongue,2006,
538,Super Powers,2006,
539,Wunderkind,2006,
540,Death Doesn't Live Here Anymore,2006,
541,La course nue,2006,
542,Vajaa keikka,2006,
543,The Albino Code,2006,
544,Carnivore Reflux,2006,
545,Merry Christmas... I Got You Herpes,2006,
546,Edit>Love,2006,
547,The Problem with Percival,2006,
548,Vampire Oclero,2006,
549,I'm a Big Brother,2006,
550,Bright Sunny South,2006,
551,Small Talk at the Bathhouse,2006,
552,Two Play,2006,
553,Making the Cut,2006,
554,The Method,2006,
555,Take It to the Fridge,2006,
556,Hy-phen,2006,
557,Windowbreaker,2006,
558,What's for Dinner?,2006,
