,titulo,anio,puntuacion_rotten
0,The Naked Monster,2005,22
1,Shooting Vegetarians,2005,67
2,Three,2005,17
3,Angels with Angles,2005,0
4,Bob the Butler,2005,43
5,Bad Girls from Valley High,2005,
6,Lucky 13,2005,28
7,Slipdream,2005,
8,Striptease Baby Dolls from Cleveland Meet the Unkillables,2005,
9,Fortunes,2005,
10,Wilson Chance,2005,
11,Silent Men,2005,
12,Vultures,2005,
13,Secret Agent 420,2005,
14,In Memory of My Father,2005,75
15,Cursed,2005,15
16,The Luau,2005,40
17,2001 Maniacs,2005,48
18,The Ringer,2005,40
19,Alchemy,2005,35
20,Lava Lounge,2005,
21,Wheelmen,2005,14
22,Heidi,2005,67
23,All Babes Want to Kill Me,2005,9
24,Love Thy Neighbor,2005,39
25,Funny Valentine,2005,
26,Better Days,2005,97
27,Les Boys IV,2005,70
28,Extreme Dating,2005,28
29,The Curse of the Were-Rabbit,2005,
30,Break a Leg,2005,67
31,Because of Winn-Dixie,2005,55
32,Sahara,2005,38
33,Thumbsucker,2005,71
34,Ze film,2005,
35,"Jesus, Mary and Joey",2005,38
36,Sabah,2005,
37,The Bike Squad,2005,
38,Dirty Love,2005,6
39,Lung do kei yuen,2005,
40,My Suicidal Sweetheart,2005,39
41,Man of the House,2005,9
42,The Perfect Catch,2005,43
43,Backseat,2005,8
44,Diamond Zero,2005,
45,Nowhere Man,2005,43
46,Sledge: The Untold Story,2005,27
47,De Magische Draaimolen,2005,
48,Daltry Calhoun,2005,7
49,Dear Wendy,2005,37
50,Krush,2005,
51,Room 36,2005,
52,Fugitives Run,2005,
53,Halfway Decent,2005,
54,Les gens honnêtes vivent en France,2005,
55,Waiting...,2005,
56,Die You Zombie Bastards!,2005,56
57,Madagascar,2005,55
58,Slaughterhouse of the Rising Sun,2005,27
59,The Brothers Grimm,2005,38
60,The Crow: Wicked Prayer,2005,0
61,The Illustrated Family Doctor,2005,47
62,The Family Stone,2005,52
63,Mr. & Mrs. Smith,2005,60
64,Robots,2005,64
65,Valiant,2005,32
66,Have You Seen Clem,2005,
67,Standing Still,2005,40
68,Halloween House Party,2005,
69,Happy Endings,2005,55
70,Son of the Mask,2005,6
71,Once Upon a Wedding,2005,33
72,The Gingerdead Man,2005,28
73,Bigger Than the Sky,2005,12
74,Dating Games People Play,2005,12
75,The Upside of Anger,2005,74
76,The Hand Job,2005,
77,Communal Commitment,2005,
78,Las mantenidas sin sueños,2005,
79,Lickin' the Quits: A Slice of American Culture,2005,-
80,Hooch & Daddy-O,2005,
81,Man with the Screaming Brain,2005,33
82,The Matador,2005,75
83,The Myth,2005,20
84,The Squid and the Whale,2005,92
85,Star Wait,2005,
86,Romance & Cigarettes,2005,53
87,Deuce Bigalow: European Gigolo,2005,9
88,Crab Orchard,2005,
89,Are We There Yet?,2005,11
90,Americano,2005,63
91,Charlie and the Chocolate Factory,2005,83
92,Elizabethtown,2005,28
93,Bal-Kan-Kan,2005,
94,La demolición,2005,
95,The Reality Trap,2005,
96,Fun with Dick and Jane,2005,29
97,Monster-in-Law,2005,18
98,Window Theory,2005,26
99,Strangers with Candy,2005,51
100,Bocce Balls,2005,
101,Chicken Little,2005,37
102,Dinotopia: Quest for the Ruby Sunstone,2005,36
103,The Extra,2005,43
104,Adam & Steve,2005,54
105,Sex Sells: The Making of 'Touché',2005,
106,Guess Who,2005,41
107,The Hitchhiker's Guide to the Galaxy,2005,60
108,The Wedding Date,2005,11
109,Kiss Kiss Bang Bang,2005,
110,Wait a Minute,2005,
111,The Wendell Baker Story,2005,40
112,Underclassman,2005,6
113,Khullam Khulla Pyaar Karen,2005,
114,The Honeymooners,2005,13
115,Pusca Bistra,2005,
116,Bewitched,2005,24
117,Searching for Bobby D,2005,14
118,Shadows in the Sun,2005,25
119,Lenny the Wonder Dog,2005,32
120,Guy in Row Five,2005,-
121,Rebound,2005,14
122,On the One,2005,
123,You and Your Stupid Mate,2005,
124,Racing Stripes,2005,35
125,Colour Me Kubrick: A True...ish Story,2005,
126,Self-Inflicted,2005,
127,The Dukes of Hazzard,2005,14
128,Pizza,2005,31
129,24 Hours on Craigslist,2005,50
130,Be Cool,2005,30
131,Ringers: Lord of the Fans,2005,54
132,Winter Passing,2005,40
133,Bailey's Billion$,2005,
134,Dead Fish,2005,38
135,The Works,2005,
136,Cloud Seven,2005,
137,Night of Henna,2005,0
138,The Perfect Man,2005,6
139,Flirt,2005,73
140,Pretty Persuasion,2005,33
141,Vet hard,2005,
142,Formosa,2005,
143,Trois couples en quête d'orages,2005,
144,Things to Do Before You're 30,2005,23
145,Evil Aliens,2005,45
146,Life of the Party,2005,39
147,Die Bluthochzeit,2005,
148,Vom Suchen und Finden der Liebe,2005,
149,Fastback,2005,
150,Kameleon 2,2005,
151,Sueño,2005,43
152,A Coat of Snow,2005,
153,Af banen,2005,
154,Boo,2005,38
155,Miss Congeniality 2: Armed & Fabulous,2005,
156,Drivers Wanted,2005,67
157,How the Garcia Girls Spent Their Summer,2005,79
158,The Long Weekend,2005,38
159,Mall Cop,2005,49
160,Point sublime,2005,
161,Kicking & Screaming,2005,41
162,Charlie's Party,2005,
163,Lonesome Jim,2005,60
164,The Weather Man,2005,60
165,My Big Fat Independent Movie,2005,23
166,The Godfather of Green Bay,2005,71
167,Vieni via con me,2005,
168,Le parfum de la dame en noir,2005,
169,Hitch,2005,69
170,Love for Rent,2005,77
171,Store planer!,2005,
172,In Her Shoes,2005,74
173,The L.A. Riot Spectacular,2005,38
174,King's Ransom,2005,2
175,My Big Phat Hip Hop Family,2005,25
176,Beauty Shop,2005,38
177,Prime,2005,50
178,Johnny Slade's Greatest Hits,2005,
179,Killing Cupid,2005,
180,The Girl from Monday,2005,41
181,A Lot Like Love,2005,41
182,Waqt: The Race Against Time,2005,71
183,Adam and Eve,2005,
184,When Do We Eat?,2005,42
185,Mozart and the Whale,2005,
186,Santa's Slay,2005,40
187,The Third Wish,2005,5
188,The Producers,2005,51
189,Le courage d'aimer,2005,
190,The Pacifier,2005,21
191,Maman Last Call,2005,
192,Wedding Crashers,2005,
193,Opium Royale,2005,
194,Club eutanasia,2005,
195,Nanny McPhee,2005,74
196,The Longest Yard,2005,31
197,Ice Princess,2005,52
198,Drop Dead Sexy,2005,23
199,L.A. Dicks,2005,43
200,Zemanovaload,2005,
201,"Travaux, on sait quand ça commence...",2005,
202,"Stress, Orgasms, and Salvation",2005,
203,Rumor Has It...,2005,
204,Miracolo a Palermo!,2005,
205,The Indie Pendant,2005,
206,Dead Meat,2005,37
207,Duane Hopwood,2005,55
208,Down and Derby,2005,22
209,Slapdash,2005,
210,Je préfère qu'on reste amis,2005,35
211,Herbie Fully Loaded,2005,
212,Out on a Limb,2005,20
213,The Man,2005,12
214,The Ice Harvest,2005,47
215,Take Out,2005,100
216,Som man bäddar...,2005,
217,Chanthupottu,2005,-
218,Brooklyn Lobster,2005,47
219,The Baxter,2005,32
220,Bab el web,2005,
221,C.R.A.Z.Y.,2005,100
222,Say Uncle,2005,16
223,"Tu vas rire, mais je te quitte",2005,
224,Hating Alison Ashley,2005,51
225,The Big White,2005,30
226,The Helix... Loaded,2005,
227,Avant qu'il ne soit trop tard,2005,
228,The Great New Wonderful,2005,73
229,Csak szex és más semmi,2005,
