puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
6.3,Andrzej Czarnecki,Mikhail Shelekhov,-,80,Drama,istota,2000
3.4,"['David Douglas', 'Tim Douglas']","['David Douglas', 'Christopher Salazar']",Earth is in a state of constant war and two colonies of humans have been sent to a far away world. The colonists create a new civilization but have inherited the worst traits of their forebears and war breaks out leaving the new cities in ruins. It falls to a bunch of teens to bring peace to the colony - but will they?,100,Drama,for the cause,2000
6.8,Michael New,-,"Florentino is a young horseman and singer, a free spirit living in the open world without restrictions, in the Venezuelan plains. He confronts the devil in a duel of improvised verses. As time passes, these unspoilt plains start to change. Through Florentino's voice and actions, the plains cannot be conquered. Its culture defies the devil in the eternal fight between ... Leer todo",-,Drama,florentino y el diablo,2000
3.7,Rakesh Roshan,"['Sachin Bhowmick', 'Ravi Kapoor', 'Sagar Sarhadi']","Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Leer todo",-,Drama,karobaar: the business of love,2000
6.2,Mazhar Khan,-,-,167,Drama,gang,2000
7.7,Samer Al-Asadi,-,-,91,Drama,consequence,2000
8.1,Kar-Wai Wong,Kar-Wai Wong,-,98,Drama,fa yeung nin wah,2000
6.3,George Bazala,"['George Bazala', 'Patrick Clarke']","A young Irishman enters the US illegally with his wayward friend Seamus. Landing in New York the pair start out with dreams of striking it rich but soon find themselves in dead-end jobs and drifting apart. As Seamus pursues various get-rich schemes, the more cautious Patrick finds himself devoting time to looking after Tom, an Irish author down on his luck, and courti... Leer todo",96,Drama,beyond the pale,2000
7.1,Al Pacino,Ira Lewis,"Harry and Jake, two unsuccessful writers, spend a cathartic evening arguing about money, aesthetics, their friendship, and Harry's new manuscript.",99,Drama,chinese coffee,2000
5.4,Bruno Nuytten,Bruno Nuytten,"Faustine,now an adult ,wants to know all about her father's death;she learns he was once in love with a fifteen-year-old girl ,Alice .",104,Drama,passionnément,2000
5.0,Adrian Fulle,"['Adrian Fulle', 'David J. Miller', 'Daniel Bingley']","A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?",86,Drama,love 101,2000
6.6,Dorian Ramírez,Dorian Ramírez,-,75,Drama,pushing the envelope,2000
6.3,Adam Davidson,"['Yule Caise', 'Jess Mowry']","Based on the award-winning best seller by Jess Mowry, ""Way Past Cool"" is a coming-of-age story told in reverse, for it is the story of a group of young black kids and their fight to reclaim their childhood.",96,Drama,way past cool,2000
6.7,David Mamet,David Mamet,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,105,Drama,state and main,2000
5.2,Bryan Johnson,Bryan Johnson,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,87,Drama,vulgar,2000
6.0,"['Shirley Mac', 'Laine']",David Ciminello,-,108,Drama,bruno,2000
4.9,Kikuo Kawasaki,Kikuo Kawasaki,"The entangled stories around the life of Elsie Taryn Townsendz, who becomes rich from being a country town's girl.",99,Drama,lured innocence,2000
