,0,1,2,3,4
0,Pelicula,Istota,2000,-,tt0102362
1,Pelicula,For the Cause,2000,5,tt0113092
2,Pelicula,Florentino y el diablo,2000,4,tt0113086
3,Pelicula,Karobaar: The Business of Love,2000,9,tt0116748
4,Pelicula,Gang,2000,4,tt0116391
5,Pelicula,Consequence,2000,-,tt0115937
6,Pelicula,Fa yeung nin wah,2000,3,tt0118694
7,Pelicula,Beyond the Pale,2000,9,tt0118710
8,Pelicula,Chinese Coffee,2000,9,tt0118852
9,Pelicula,Passionnément,2000,5,tt0119866
10,Pelicula,Love 101,2000,2,tt0119495
11,Pelicula,Pushing the Envelope,2000,4,tt0119966
12,Pelicula,Way Past Cool,2000,-,tt0120485
13,Pelicula,State and Main,2000,7,tt0120202
14,Pelicula,Vulgar,2000,9,tt0120467
15,Pelicula,Bruno,2000,4,tt0123003
16,Pelicula,Lured Innocence,2000,2,tt0122161
17,Pelicula,Shikari,2000,10,tt0120117
18,Pelicula,Capitães de Abril,2000,4,tt0120626
19,Pelicula,Sånger från andra våningen,2000,9,tt0120263
20,Pelicula,The Million Dollar Hotel,2000,5,tt0120753
21,Pelicula,Chicken Run,2000,9,tt0120630
22,Pelicula,The Highwayman,2000,4,tt0120698
23,Pelicula,Foiled,2000,-,tt0120673
24,Pelicula,Return to Me,2000,6,tt0122459
25,Pelicula,Waking the Dead,2000,3,tt0127349
26,Pelicula,Flamingo Dreams,2000,-,tt0129095
27,Pelicula,Dinosaur,2000,6,tt0130623
28,Pelicula,Duets,2000,9,tt0134630
29,Pelicula,Fallen Arches,2000,1,tt0133752
30,Pelicula,Wind River,2000,6,tt0135707
31,Pelicula,Cement,2000,1,tt0138353
32,Pelicula,Waterproof,2000,8,tt0138927
33,Pelicula,Mothman,2000,-,tt0137115
34,Pelicula,The Yards,2000,6,tt0138946
35,Pelicula,The Hiding Place,2000,6,tt0138818
36,Pelicula,No Quarto da Vanda,2000,3,tt0139500
37,Pelicula,Isn't She Great,2000,1,tt0141399
38,Pelicula,Knockout,2000,2,tt0143344
39,Pelicula,Committed,2000,4,tt0144142
40,Pelicula,American Psycho,2000,9,tt0144084
41,Pelicula,Thirteen Days,2000,4,tt0146309
42,Pelicula,High Fidelity,2000,8,tt0146882
43,Pelicula,The Legend of Bagger Vance,2000,5,tt0146984
44,Pelicula,Looking for an Echo,2000,11,tt0148421
45,Pelicula,All the Pretty Horses,2000,12,tt0149624
46,Pelicula,Where the Money Is,2000,4,tt0149367
47,Pelicula,Josh,2000,6,tt0151150
48,Pelicula,The Thief & the Stripper,2000,10,tt0153012
49,Pelicula,Time of Her Time,2000,9,tt0153100
50,Pelicula,Up at the Villa,2000,4,tt0153464
51,Pelicula,A Good Baby,2000,12,tt0155723
52,Pelicula,Ricky 6,2000,4,tt0156020
53,Pelicula,I'll Remember April,2000,4,tt0155754
54,Pelicula,Secrets of a Chambermaid,2000,4,tt0155150
55,Pelicula,Yup Yup Man,2000,1,tt0157202
56,Pelicula,The Next Best Thing,2000,6,tt0156841
57,Pelicula,Rave,2000,10,tt0156942
58,Pelicula,Daddy Tell Me a Story...,2000,-,tt0157500
59,Pelicula,My Dog Skip,2000,8,tt0156812
