,tipo,nombre,año estreno,mes estreno,id_pelicula
0,Pelicula,Pál Adrienn,2010,6,tt0146592
1,Pelicula,Oda az igazság,2010,2,tt0154039
2,Pelicula,A zöld sárkány gyermekei,2010,4,tt0162942
3,Pelicula,The Final Journey,2010,9,tt0230212
4,Pelicula,In My Sleep,2010,4,tt0326965
5,Pelicula,This Wretched Life,2010,7,tt0331312
6,Pelicula,Blind Sided,2010,-,tt0337882
7,Pelicula,Anderson's Cross,2010,5,tt0393049
8,Pelicula,Den milde smerte,2010,5,tt0396123
9,Pelicula,Capture the Flag,2010,-,tt0402887
10,Pelicula,Utomlennye solntsem 2,2010,4,tt0403645
11,Pelicula,Tekken,2010,3,tt0411951
12,Pelicula,Disconnect,2010,8,tt0419692
13,Pelicula,Milenge Milenge,2010,7,tt0443331
14,Pelicula,Les 7 jours du talion,2010,11,tt0445054
15,Pelicula,Vidas pequeñas,2010,3,tt0444531
16,Pelicula,Dream Street,2010,1,tt0446686
17,Pelicula,Mad World,2010,8,tt0451108
18,Pelicula,El hada buena - Una fábula peronista,2010,4,tt0454155
19,Pelicula,Memorias del desarrollo,2010,11,tt0457591
20,Pelicula,Drunkboat,2010,6,tt0460778
21,Pelicula,Federal,2010,10,tt0463311
22,Pelicula,Taken by Force,2010,,tt0465637
23,Pelicula,Sensual,2010,,tt0465760
24,Pelicula,Harlem Hostel,2010,2,tt0469094
25,Pelicula,Cielito lindo,2010,6,tt0473343
26,Pelicula,The Deafening Silence of a Very Bright Light,2010,-,tt0475983
27,Pelicula,The Greater Meaning of Water,2010,,tt0479051
28,Pelicula,Barry Munday,2010,3,tt0482461
29,Pelicula,Bandeiji,2010,1,tt0482459
30,Pelicula,A Woman Is a Woman,2010,,tt0483839
31,Pelicula,PrimeMates,2010,1,tt0490199
32,Pelicula,Ramona and Beezus,2010,7,tt0493949
33,Pelicula,Good Sharma,2010,,tt0494229
34,Pelicula,O Inimigo Sem Rosto,2010,8,tt0495037
35,Pelicula,Tranced,2010,,tt0499608
36,Pelicula,Love & Other Drugs,2010,1,tt0758752
37,Pelicula,King of the Avenue,2010,9,tt0770778
38,Pelicula,Night Catches Us,2010,12,tt0775543
39,Pelicula,L'illusionniste,2010,7,tt0775489
40,Pelicula,El cielo elegido,2010,9,tt0774519
41,Pelicula,The Wolfman,2010,2,tt0780653
42,Pelicula,The First Grader,2010,8,tt0790663
43,Pelicula,13,2010,6,tt0798817
44,Pelicula,Ironmen,2010,,tt0800092
45,Pelicula,Nemesis,2010,10,tt0800353
46,Pelicula,It's Kind of a Funny Story,2010,10,tt0804497
47,Pelicula,Ashes,2010,9,tt0815101
48,Pelicula,Flipped,2010,9,tt0817177
49,Pelicula,Soupernatural,2010,,tt0818172
50,Pelicula,Waking Madison,2010,,tt0831280
51,Pelicula,The Kids Are All Right,2010,12,tt0842926
52,Pelicula,The Town,2010,10,tt0840361
53,Pelicula,Killer by Nature,2010,,tt0844866
54,Pelicula,Risen,2010,5,tt0850709
55,Pelicula,Bloudím,2010,10,tt0852939
56,Pelicula,A Summer Song,2010,,tt0853002
57,Pelicula,Kolorádó Kid,2010,10,tt0856796
58,Pelicula,Wide Blue Yonder,2010,5,tt0858500
59,Pelicula,"Surprise, Surprise",2010,8,tt0871893
60,Pelicula,Please Give,2010,7,tt0878835
61,Pelicula,Eat Pray Love,2010,10,tt0879870
62,Pelicula,Repo,2010,,tt0887161
63,Pelicula,Kavod,2010,5,tt0887751
64,Pelicula,The Switch,2010,10,tt0889573
65,Pelicula,Letters to Juliet,2010,6,tt0892318
66,Pelicula,The Whistleblower,2010,11,tt0896872
67,Pelicula,Don't Fade Away,2010,,tt0899145
68,Pelicula,Acts of Violence,2010,5,tt0902247
69,Pelicula,Eager to Die,2010,7,tt0907731
70,Pelicula,Proie,2010,7,tt0907305
71,Pelicula,Unthinkable,2010,7,tt0914863
72,Pelicula,De gelukkige huisvrouw,2010,4,tt0920459
73,Pelicula,Truth About Kerry,2010,3,tt0923954
74,Pelicula,"Glenn, the Flying Robot",2010,7,tt0934446
75,Pelicula,The Waiter,2010,3,tt0934981
76,Pelicula,Rabbit Hole,2010,4,tt0935075
77,Pelicula,White Knuckles,2010,,tt0942906
78,Pelicula,Green Zone,2010,4,tt0947810
79,Pelicula,Black Swan,2010,2,tt0947798
80,Pelicula,The Killer Inside Me,2010,10,tt0954947
81,Pelicula,Robin Hood,2010,5,tt0955308
82,Pelicula,Heart of Now,2010,6,tt0960067
83,Pelicula,Dom Solntsa,2010,4,tt0962764
84,Pelicula,The Fighter,2010,3,tt0964517
85,Pelicula,The Conspirator,2010,8,tt0968264
86,Pelicula,The Chosen One,2010,9,tt0970926
87,Pelicula,La razón,2010,4,tt0970955
88,Pelicula,The Land of the Astronauts,2010,10,tt0974584
89,Pelicula,Sinatra Club,2010,9,tt0975738
90,Pelicula,Fair Game,2010,11,tt0977855
91,Pelicula,A Dance for Grace,2010,-,tt0984113
92,Pelicula,Multiple Sarcasms,2010,4,tt0984210
93,Pelicula,A Flat,2010,11,tt0988655
94,Pelicula,Dear John,2010,3,tt0989757
95,Pelicula,The Experiment,2010,8,tt0997152
96,Pelicula,Bibliothèque Pascal,2010,3,tt0997035
97,Pelicula,Rosso autunno,2010,-,tt10010654
98,Pelicula,Opal,2010,10,tt1008015
99,Pelicula,The Steamroom,2010,,tt1008046
100,Pelicula,Love Sick Diaries,2010,9,tt1010270
101,Pelicula,Prime of Your Life,2010,,tt1016226
102,Pelicula,The Runaways,2010,11,tt1017451
103,Pelicula,Woyzeck 2010,2010,6,tt10195742
104,Pelicula,Deal,2010,,tt1020011
105,Pelicula,Patagonia,2010,3,tt1020559
106,Pelicula,Centurion,2010,5,tt1020558
