,titulo,anio,puntuacion_rotten
0,OFUKU: Separation,2020,
1,Hear a No,2020,
2,Satisfaction,2020,40
3,The Last Queen on Earth,2020,
4,They Never Lie,2020,
5,For the Best,2020,
6,Salvage,2020,86
7,Anxietus,2020,
8,Drop,2020,
9,Nairobi,2020,
10,The Color of Midnight,2020,
11,Whenever You're Ready,2020,
12,Aur Kitna Time Lagega,2020,
13,Before the Rooster Crows,2020,
14,Portrait,2020,
15,"Post-You, Me",2020,
16,Sylvia,2020,37
17,Sins Unveiled,2020,
18,Ein Man Stande,2020,
19,The Aboves and the Belows,2020,
20,Lavender,2020,39
21,The Place of the Skull,2020,
22,Inner Self,2020,
23,O Mundo Aqui Dentro,2020,
24,La Lettre,2020,
25,Francois,2020,
26,32 Goldfish,2020,
27,Journey,2020,-
28,Twins,2020,42
29,Footsteps,2020,29
30,Días Negros,2020,
31,The Exchange,2020,65
32,Love Lonely,2020,
33,Man of the Harvest,2020,
34,Nur ein Augenblick,2020,
35,Boundaries,2020,49
36,Recover,2020,
37,Cuckoo Roller,2020,
38,Skeletons,2020,82
39,Dependence,2020,
40,Jericho,2020,54
41,The Burning of Mary,2020,
42,Road Runner,2020,
43,Love Sex Soprano,2020,
44,Bombs Bursting in Air,2020,
45,Toxic,2020,8
46,John Mortonson's Funeral,2020,
47,Analog Rainbow,2020,
48,The Peace of Wild Things,2020,
49,Adnan,2020,
50,We Came From the Sea,2020,
51,From Gringo to Grave,2020,
52,Dusters,2020,
53,One Last Time,2020,
54,On the mind,2020,
55,Beach Town,2020,
56,Une journée à la mer,2020,
57,Maravairi,2020,
58,Unlicensed,2020,
59,The Weight of Perfection,2020,
60,Old Hen,2020,
61,The Gesture and The Word,2020,
62,Limited,2020,
63,L'abbraccio,2020,
64,Red,2020,
65,Snowbirds,2020,
66,Óskin,2020,
67,Chen,2020,
68,Topanga,2020,
69,Deep into the sea,2020,
70,Cosmic Playtester,2020,
71,Fantasy,2020,
