,titulo,anio,puntuacion_rotten
0,El Tango del Viudo y Su Espejo Deformante,2020,
1,Love & Orgasms,2020,
2,Surviving in L.A.,2020,
3,Duel of Legends,2020,
4,Lost Girls and Love Hotels,2020,
5,Jak najdalej stad,2020,
6,Kala azar,2020,
7,The Rental,2020,73
8,Villa Caprice,2020,
9,Seeru,2020,
10,Passion simple,2020,
11,Sweet Face,2020,
12,Clean,2020,47
13,Love Aaj Kal,2020,20
14,Ringolevio,2020,
15,Asia,2020,91
16,Once a Year on Blackpool Sands,2020,-
17,El verano que vivimos,2020,25
18,El Suspiro del Silencio,2020,
19,A Escritora,2020,
20,Gonarezhou: The Movie,2020,
21,Luxor,2020,92
22,They Who Surround Us,2020,-
23,Cortex,2020,42
24,Youngest,2020,
25,Girlfriend's reunited,2020,
26,Lonesome Boy,2020,
27,Guilty,2020,50
28,Antebellum,2020,31
29,Depois de Ser Cinza,2020,
30,Made in Abyss: Fukaki Tamashî no Reimei,2020,
31,Legjobb tudomásom szerint,2020,
32,Classic Again,2020,
33,Wild Grass,2020,68
34,Breaking Surface,2020,100
35,L'oiseau de paradis,2020,
36,Range of Sniper,2020,
37,Adbhoot - ek dhandal saira vaira,2020,
38,La terre et le sang,2020,
39,Pink Skies Ahead,2020,
40,Lan Se Lie Che,2020,
41,Manchurian Tiger,2020,
42,Sudba,2020,
43,Guai wu xian sheng,2020,
44,Lian Qu 1980,2020,
45,L'autre,2020,
46,Sunray,2020,
47,You Mean Everything to Me,2020,
48,La dona il·legal,2020,
49,Blindfire,2020,67
50,Berliner,2020,
51,The Forgotten,2020,-
52,Apples,2020,93
53,Conversaciones,2020,
54,Kokon,2020,
55,Askedager,2020,
56,Schwesterlein,2020,
57,A Arte de Morrer Longe,2020,
58,Mother's Child,2020,-
59,Gondi,2020,
60,Miss,2020,
61,Fishing and Fishermen's Conversations,2020,
62,Bronx,2020,
63,Maryjki,2020,
64,Le sel des larmes,2020,
65,Sakura,2020,-
66,Zieja,2020,
67,Schmetterlinge,2020,
68,Na ostrie,2020,
69,Behind the Line: Escape to Dunkirk,2020,-
70,Cerro Torre,2020,
71,The Maid,2020,67
72,Green Summer,2020,
73,499,2020,85
74,Driftless,2020,
75,Rajeeva,2020,
76,The 11th Green,2020,75
77,Corazón ardiente,2020,
78,"Wanda, mein Wunder",2020,
79,Vnutrenniy ogon,2020,
80,One Meal,2020,
81,The Prom,2020,54
82,Konglish,2020,
83,Fair Haven,2020,80
84,The Marked,2020,
85,Kaze no denwa,2020,
86,The Heights a Perfect Reunion,2020,
87,Fille du vent,2020,
88,No Man's Truth,2020,-
89,The Lady from the Sea,2020,
90,Yaponskiy Bog,2020,
91,Dangerous Lies,2020,23
92,Cordero de Dios,2020,
93,Soorarai Pottru,2020,80
94,Alexander,2020,16
95,Adieu les cons,2020,
96,The Tree Movie,2020,
97,Mia's M.I.A,2020,
98,The Love Between Us,2020,
99,The Boys in the Band,2020,84
100,Pareeksha,2020,
101,Once Upon a Time in Indonesia,2020,
102,Chaco,2020,
103,La volta buona,2020,
104,Stealing Chaplin,2020,100
105,The Method,2020,
106,The Voice of Sin,2020,
107,Malmkrog,2020,61
108,Luca,2020,91
109,Longe do Paraíso,2020,
110,As I Am,2020,99
111,Haarucha,2020,
112,"Omoi, Omoware, Furi, Furare",2020,
113,Sparks,2020,83
114,Kom hier dat ik u kus,2020,
115,"Run Wolf, Run",2020,
116,My First Summer,2020,100
117,Mrs. Serial Killer,2020,15
118,Yeh Ballet,2020,88
119,Only Human,2020,73
120,Class of 83,2020,
121,Serious Men,2020,91
122,Matares,2020,
123,Little Orphans,2020,
124,"Zai jian, shao nian",2020,
125,Kaali Khuhi,2020,
