puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,7.0,Rolf Gibbs,-,"This short but lyrical piece of cinema can be described as a thriller, a horror film, a comedy, a religious epic, a tragedy, an action flick, or as a Motion Poem about 30,000 feet.",5,Accion,g.,tt0240524
,-,Andy Mackenzie,Andy Mackenzie,-,-,Accion,last mistake,tt0240671
60,6.7,James Cunningham,James Cunningham,"A mutant hero, a virtual bank heist. A digital action thriller. A three fingered virus is let loose on a computer system with the express purpose of erasing a student loan.",8,Accion,infection,tt0245967
,8.5,"['Doug Ten', 'Napel']","['Doug Ten', 'Napel']",This short clay-animated film follows the two titular characters on their mission to intercept a giant robot bent on destroying their town. It doesn't go according to plan.,9,Accion,kog-head and meatus,tt0251778
,6.4,La Monte Edwards,La Monte Edwards,"After Lee Fuller's sister dies from a drug overdose, he decides that is is time for vengeance. Lee begins to ""take out"" the dealers on route to the top dog, Donovan, and is placed on watch by two detectives. As things get out of hand we begin to learn more and more about this Vigilante.",-,Accion,vigilante,tt0253897
,8.4,Jamie Mosberg,-,-,41,Accion,the end,tt0258550
,7.1,"['Bruce Branit', 'Jeremy Hunt']","['Bruce Branit', 'Jeremy Hunt']","A section of a highway is blocked off so that a plane can make an emergency landing on it. However, there are two people still driving on the highway: a man in an SUV and an old lady in a Lincoln.",3,Accion,405,tt0259165
100,7.6,Guy Maddin,Guy Maddin,A scientist chooses a wealthy man over her two lovers but must heal the earth's core to save humanity.,6,Accion,the heart of the world,tt0260948
2,3.0,Andrew Lowes,Tina Walker,"An elderly couple are conned out of eight and a half thousand pounds by an antiques dealer. When he refuses to give them their money back they extract their revenge by kidnapping his dog, King and holding him to ransom.",20,Accion,king's ransom,tt0262544
,7.3,Luke Greenfield,"['Luke Greenfield', 'David Scotti']","You all know Bruno...Bruno is a born loser with the ladies. Scoffed and scorned, the only thing Bruno could pick up in a singles' bar is the check! Until now. Now Bruno sees the girl of his dreams and he'll fight all odds to win her - even her lesbian girlfriend. In a 10-minute brawl of hilarity, Bruno finds ""The Right Hook,"" a short film that asks the age-old questio... Leer todo",10,Accion,the right hook,tt0265647
,5.9,Felix van Groeningen,"['Felix van Groeningen', 'Seppe van Groeningen']",-,41,Accion,50cc,tt0267242
,6.2,Stuart T. Maschwitz,Stuart T. Maschwitz,"Scott is a painter, a very bad painter whose stuff is worse than what's on the walls at your local coffee-house. To make ends meet he's got a side job - he's a professional killer. Now that he's good at. When Scott finds himself competing for a job with San Francisco's most notorious hitman, the inimitable Nak, he realizes he must decide between a dangerous but lucrat... Leer todo",20,Accion,the last birthday card,tt0274625
,8.1,Philippe Dussol,"['Philippe Dussol', 'Mathias Pothier']",-,18,Accion,argent content,tt0275932
