puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,6.1,Michaël Souhaité,"['François Hitter', 'Marie-Pierre Huster', 'Michaël Souhaité']","Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other.",19,Comedia,prozac tango,tt0420097
,-,François Lallier,-,"-Awareness campaign on drugs while driving. Using a pigeon and a squirrel, she recalls that the police are able to recognize a drugged driver. The campaign is aimed primarily at drivers aged 16 to 24.",1,Comedia,publicité saaq - campagne publicitaire sur les drogues au volant (pigeon),tt10005306
,-,Pauli Janhunen Calderón,-,"Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.",24,Comedia,tracy smith: el tesoro del abismo secreto,tt10014650
,-,Zidny Nafian,Zidny Nafian,"On an elevated afternoon, two Boys talked about the cause of a motorbike that was not bought.",5,Comedia,rajawali,tt10016730
,-,Andrew Craig,Andrew Craig,-,12,Comedia,in the realms of good and evil,tt10022342
86,-,Andrew Craig,Andrew Craig,-,7,Comedia,jeremy,tt10022366
,-,Yunhao Zhang,Yunhao Zhang,-,2,Comedia,the hungry buddhists,tt10054954
,-,Kseniya Krasnova,-,-,7,Comedia,bytva za 'zhovten',tt10079912
56,-,Thibault Pinto,-,-,-,Comedia,the end,tt10090422
,-,Jimena Muhlia,Jimena Muhlia,"After her suit is broken, Maria must face her own shame to get on stage.",5,Comedia,after the birds,tt10140096
,-,Ryan Becken,Brian Turek,"In the glamorous world of historical portrait painting, Ross Roberts was the darling of the fine art jet set. But Ross Roberts was about to find out, that some portraits are best left unpainted.",-,Comedia,lincoln 666,tt10143486
,-,"['Cameron Mac', 'Leod']","['Cameron Mac', 'Leod']","This is the tale of Charlie Peck, a young depressed desk jockey who hates his job, hates his boss, and just got dumped by his girlfriend, for the third time. He needs a positive change in his life but doesn't know where to start. After a janitor at his office suggests it, Charlie takes a chance and attends an orgy, which seems scary at first but forever changes his li... Leer todo",8,Comedia,orgies happening tonight,tt10145332
,-,Jared Hogan,Justin Robinson,-,-,Comedia,team stretch,tt10145282
-,7.2,Yuriy Shilov,Yuriy Shilov,A young man lies down on the grass in the public garden. That becomes a reason to begin conversations by other people.,13,Comedia,weight,tt10165214
-,-,Gino Palummo,"['Gino Palummo', 'Nicoletta Senzacqua']",-,-,Comedia,46,tt10168604
,-,Hereward Selby,Hereward Selby,-,3,Comedia,twice times you,tt10168950
,-,Krish Haran,Krish Haran,-,-,Comedia,neighbour,tt10204660
,-,Denise Sganzerla,Denise Sganzerla,-,-,Comedia,os suspeitos - canal mosaico,tt10212820
-,-,Manolo Moreno,Manolo Moreno,-,-,Comedia,america's funniest home videos,tt10217806
,-,David Sidorov,"['David Sidorov', 'Rachel Wenitsky']",-,-,Comedia,the 2015 stock photo awards,tt10222880
,-,David Sidorov,Chelsea Davison,-,-,Comedia,horror movie date night,tt10228492
,-,Colton Walter,"['Josh Ernstrom', 'Colton Walter']","Down and out inventor, Gary Swinkle, must babysit his girlfriend's lifelike robot for the day.",7,Comedia,out of context,tt10228526
,-,Davey Snoek,"['Davey Snoek', 'Niels Snoek']",John's clients are very lonely people who all want to claim a bit of him for themselves. It's not easy to stomach that much desire.,17,Comedia,vrolijke sfeer,tt10233616
