puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
71,6.9,Colin Trevorrow,"['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow']",-,124,Accion,jurassic world,tt0369610
83,7.2,Peyton Reed,"['Edgar Wright', 'Joe Cornish', 'Adam Mc', 'Kay']",-,117,Accion,ant-man,tt0478970
,-,Billy Butler,Billy Butler,A post-apocalyptic anthology web-series following the story of two best friends on their daring survival journey in a wasteland littered with the undead.,58,Accion,left for dead- the infection (the series),tt10085492
,5.4,Ly Hai,-,"When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.",98,Accion,lat mat,tt10118134
67,-,Samit L. Baadkar,-,-,-,Accion,dushman,tt10168674
,-,Juanjo Martínez,Juanjo Martínez,A Team of former mercenaries now in charge of national security faces a band involved in organ traffic.,92,Accion,corazones en llamas 2,tt10217308
-,-,J.V. Noriega,"['Richard Reynante', 'Lester Chavez', 'Ferdinand Enriquez']",A young detective finds himself caught in a moral dilemma as he tries to solve a series of killings against children of corrupt government officials. He soon falls deeper into the case when the killer abducts his fiancée.,81,Accion,modus,tt10403902
77,-,Anish Saripalli,Anish Saripalli,-,49,Accion,sleeper cell,tt10624616
,-,Oscar Lopez,"['Luis Alvarez', 'Oscar Lopez']",-,90,Accion,sicario de dios,tt10887776
,4.8,Kwok-Man Keung,-,The Milan Thieves is a group of seven young people who have different talents and schemes. The story is based on a financial group with a proposed acquisition of the Pavia Street in Milan and their unexpected obstacles.,90,Accion,magic card,tt10907990
,-,"['Gul Zaib Shakeel', 'Abis Zaidi']","['Nuzaira Imam', 'Gul Zaib Shakeel']","Nazar ke Samnay is the story of Saleem, a young mechanic living in the neighborhood of Burns Road. He has had a massive crush on Hanna since forever - forever being when she moved to the neighborhood four years ago. Hanna is an orphan living with her aged spinster Khala and hands down, the prettiest girl on the block. Saleem enjoys admiring Hanna from afar. He feels l... Leer todo",78,Accion,nazar kay samnay,tt11117398
,6.2,Faisal Ishak,Alfie Palermo,"Directed by Faisal Ishak, the film is the sequel to the first ""Juvana"", it focuses more outside of school ground as Daim and the gang have graduated from Wira Bakti High School.",98,Accion,juvana 2,tt11202174
,2.5,A. Razak Mohaideen,-,"Hamid has live in poverty since young and is often ridiculed due to his poor condition. Nevertheless, his will to live grows stronger as he fights for his family's survival at Hutton Road, Penang. Hamid is then put under the care of a Tomoi master and his Uncle Don. He trains to become the best. His heroic virtues gain him respect among his friends and cause terror am... Leer todo",117,Accion,chowrasta,tt11202108
,-,-,-,Ver la información de la producción en IMDbPro,90,Accion,tottenham hotspur football club vs liverpool football club,tt11296358
,-,-,-,Ver la información de la producción en IMDbPro,90,Accion,tottenham hotspur football club vs liverpool football club,tt11296258
,-,-,-,Ver la información de la producción en IMDbPro,90,Accion,liverpool football club vs tottenham hotspur football club,tt11296440
,-,-,-,Ver la información de la producción en IMDbPro,90,Accion,liverpool football club vs tottenham hotspur football club,tt11296300
,5.0,Kamil Brade,Kamil Brade,-,75,Accion,super story,tt11369684
,3.7,Byeong-Ha No,Byeong-Ha No,-,85,Accion,misyeon: tobseutaleul humchyeola,tt11433556
,7.2,Raymond Handaya,"['Raymond Handaya', 'Away Martianto', 'Hilman Mutasi']","After rescuing a nursing home from bomb threats, Gito (Deddy Mahendra Desta) and Rojak (Judika Sihotang) became acquainted with Abdur (Abdur Arsyad). They met again when they were given the task of fostering prospective firefighters, under the leadership of Commander Dicky (Bucek Depp).",99,Accion,si jago merah 2: air & api,tt11646308
,8.0,Suraj Sunuwar,Suraj Sunuwar,Kalu Yadav is gangster who works under Criminal Businesses man Raja . Kalu bails out his friend Vicky from prison and they both decide to work together. Raja works with Indian gangster Malik Bhai in illegal smuggling of drugs . Raja is about to receive to consignment of drugs through Malik's Henchman Rafik but Rafik is raided by the police which is led by the new DSP.... Leer todo,-,Accion,sadanga,tt11671066
,-,Malik Imdad Hussain,Malik Imdad Hussain,-,-,Accion,gujjar pooray dina da,tt11848936
,-,Dan Constantinou,-,-,-,Accion,db10: built for bond,tt11958160
-,4.4,Shiva,Shiva,-,-,Accion,charlie,tt11960074
-,5.5,Annaiah,"['Rajendrakumar Arya', 'K. Lakshman']",A scientist finds a medicine for heart issues at a cheaper cost but he gets chased by the medical mafia and runs away.,137,Accion,octopus,tt12053122
,-,Curtis Everitt,"['Curtis Everitt', 'Jeremy Hammack']",Dameon Fox goes on a mission to infiltrate social media company MoreTalk and stop founder David Moore from wreaking havoc on the world.,71,Accion,razor sharp,tt12064898
52,-,Liza Rachenko,-,A young girl accidentally hears a conversation between two FBI agents and discovers that she might be the only one who holds the key to saving the United States from an atomic bomb.,-,Accion,the eavesdropper,tt12206996
,5.5,"['K.C. Amos', 'Dale Stelly']","['K.C. Amos', 'Alonzo Douglas']","Runaway Tracy is snatched from a dangerous L.A. neighborhood by sadistic thugs while searching for her homeless boyfriend. Her police detective mom races against time to rescue Tracy from the big money, high crime world of sex trafficking.",91,Accion,mercy for angels,tt1232828
33,3.5,Russell Friedenberg,Russell Friedenberg,"With one of their own missing, a group of friends travel to the remote Florida everglades where they discover that an ancient, malevolent curse is tracking them.",93,Accion,wind walkers,tt1236254
,-,-,-,Ver la información de la producción en IMDbPro,-,Accion,cd leganés vs albacete balompié,tt12656088
,-,-,-,Ver la información de la producción en IMDbPro,-,Accion,copa del rey third round replay cd leganés vs deportivo alavés,tt12701934
,-,-,-,Ver la información de la producción en IMDbPro,-,Accion,cd leganés vs rcd mallorca,tt12702012
,4.8,Ghouse Peer,Ghouse Peer,"JK, an unemployed man, falls in love with Nandini, a lawyer. Everything in his life changes after he is mistaken for a serial killer.",135,Accion,sharp shooter,tt12775338
