puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
-,7.0,-,-,"Revealing the entrepreneurial ingenuity, paranoia and bloodshed behind the cocaine trade, in the true story of smuggler, Zachary Swan, who ran rings around police and customs officials in the early 70s.",-,Drama,snowblind,tt0297400
,5.9,Guilherme Fontes,"['João Emanuel Carneiro', 'Guilherme Fontes', 'Matthew Robbins']","The story of Assis Chateaubriand, the first magnate of communication in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called The Brazilian Citizen Kane.",102,Drama,chatô: o rei do brasil,tt0337926
,6.6,Luis Aller,"['Luis Aller', 'María José Garcia', 'María José García']","Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo",94,Drama,transeúntes,tt0346045
84,6.8,Kyle Patrick Alvarez,"['Tim Talbott', 'Philip Zimbardo']",-,122,Drama,the stanford prison experiment,tt0420293
60,5.5,Ben Wheatley,"['Amy Jump', 'J.G. Ballard']",-,119,Drama,high-rise,tt0462335
63,7.2,Matt Brown,"['Robert Kanigel', 'Matt Brown']",-,108,Drama,the man who knew infinity,tt0787524
74,6.4,Don Cheadle,"['Steven Baigelman', 'Don Cheadle', 'Stephen J. Rivele']",-,100,Drama,miles ahead,tt0790770
66,7.1,Tom Hooper,"['Lucinda Coxon', 'David Ebershoff']",-,119,Drama,the danish girl,tt0810819
,5.6,Sukhwant Dhadda,"['Sukhwant Dhadda', 'Harinder', 'Vivek Kumar']","Chooriyan is the story of Simran (Gracy Singh), an orphan who has always dreamt of being a part of a family. Her dream finally comes true when Army Office Aman (Sudanshu Pandde) asks her to marry him and she lives happily as part of Aman's family. Aman and Simran cherish every moment before he returns back to his army duty. Before he leaves, Simran makes a vow to him ... Leer todo",-,Drama,chooriyan,tt0977643
,-,Razul Alam,-,-,-,Drama,dangebaaz,tt10007824
,6.4,Felipe Restrepo,Felipe Restrepo,"Lorenzo is a musician who moves to the city to start over. There, he meets Eugenia and falls in love. One day, she is kidnapped by a sinister man who is wants the money he is owed. Lorenzo will try to rescue her no matter how hostile the obstacles. A love story in a concrete context.",90,Drama,de hormigón armado,tt10047128
,-,Huu Muoi Nguyen,Minh Tuan Doan,-,94,Drama,trên dinh bình yên,tt10075438
,8.0,Dinh Thai Thuy,-,-,100,Drama,my nhân,tt10075508
,-,Dang Thai Huyen,"['Nguyen Thu Dung', 'Dang Thai Huyen']",-,110,Drama,nguoi tro vê,tt10081028
,-,Samudra Das Gupta,Samudra Das Gupta,"Social media creates havoc in the lives of 3 high school teenagers. Years later, one of them dies mysteriously at a birthday party.",93,Drama,aakhri pal,tt10092762
,5.5,Halil Özer,Halil Özer,"Orhan ve Ali are siblings who lost their parents in a car accident and living far from the district in a small cabin built at the skirts of a mountain. They are earning their lives by pursuing their late father's job. Their daily routine changes with arrival Bahar, who met Orhan previously but had to marry to the younger brother Ali.",102,Drama,firak,tt10092508
,7.6,Han Dong-ho,-,"Ji-woon has a bad impression of men because of her father, but her mother convinces her to pay tuition to an art student, Jung-woo. He is surprised by her coolness, but at the same time there are tensions between them.",106,Drama,bad class,tt10098112
-,-,Yu-Shan Huang,"['Hsiao-Yun Chiang', 'Shing-Ming Ho', 'Yu-Shan Huang']","Different styles of dining can also be portrayed as different types of life. Restaurant hostess, Liu Fen-Fang, prepares a feast for the new opening of her restaurant. Deep in her heart, however, she also experiences her most bitter moment. Her family is shattered when she hears news of her husband's affair. Fen-Fang considers marriage as her forever refuge. She never ... Leer todo",105,Drama,taste of life,tt10101904
,2.0,Arjin Uppal,"['S. Baldev Singh', 'Afiq Zulhelmi']","Syahana is a very religious girl who has a dream of becoming a Muslim model due to the influences of modeling videos on social media. Syahana then seeks for help from Fandi, a guy she met on the Internet who claims that he can help Syahana achieve her dreams. When her father and brother object to her decisions, she runs away to Kuala Lumpur to meet Fandi alone. Upon r... Leer todo",80,Drama,darah panas,tt10107482
28,6.4,Daniel Espinosa,"['Richard Price', 'Tom Rob Smith']",-,137,Drama,child 44,tt1014763
,-,Lin Jia,-,-,-,Drama,jie di liang,tt10167938
,-,Lei Su,-,-,-,Drama,a place where the dream begins,tt10167868
,-,Anandram,Anandram,"The film is based on the true story of a brave woman from Dhule in Maharashtra. The incident had taken place 30 years ago. Pashbandh presents the woman's fight against all the trouble she faced in her life, to rise up respectfully in society.",112,Drama,pashbandh,tt10168764
,-,Bambang Drias,Endik Koeswoyo,-,-,Drama,erau kota raja,tt10173962
36,6.1,David Gordon Green,"['Rachel Boynton', 'Peter Straughan']",-,107,Drama,our brand is crisis,tt1018765
,-,"['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin']","['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin']","A collected-works compilation featuring three short films, ""Geu-ge a-ni-go/Not That"", ""Hear My Song"", ""Seul-peun ssin/Sad Song"", by contemporary South Korean filmmakers and produced by fashion magazine W Korea on its 10th year anniversary.",-,Drama,"yeo-ja, nam-ja",tt10210636
,-,Hana Matsumoto,Hana Matsumoto,-,75,Drama,manatsu no yume,tt10240726
,-,Shailendra Sen,M. Dahek,-,146,Drama,tere ishq mein qurbaan,tt10256776
,-,Igor Parfenov,-,An epic drama about events on EuroMaidan and the WAR in Ukraine.,98,Drama,"of humans, horses and heinous...",tt10262510
,-,Óscar González,-,-,88,Drama,con mis propias manos,tt10288256
,-,Matt Enos,Matt Enos,An escalation of violence erupts between two small town criminals as a result of stolen money and a broken jaw.,73,Drama,trouble down east,tt10300622
,6.7,Chunze Dong,Chunze Dong,"Li Guofu and his son lean on each other for life support. Li is busy not only on looking for job and wife for the son, but also on leading a square dance team.",95,Drama,quan neng jiong ba,tt10299856
83,-,Ying-Ting Tseng,"['Ying-Ting Tseng', 'Che-Kai Yang', 'Chun-Han Shih']","Trying to save his high school love from an unhappy marriage, Weida ask voice actor Wu for help. But their feelings might get in the way of their mission and start a hole new problem.",81,Drama,double date,tt10307716
,-,Kumaar Aadarsh,Kumaar Aadarsh,SOS TALK is a movie from the franchise of Secrets of Sex directed by Kumaar Aadarsh under the banner of U V Talkies. This movie is talking about sexual problems. This is India's first movie having real stories with real people.,132,Drama,sos talk,tt10331574
,-,András Kécza,András Kécza,-,-,Drama,magánterület,tt10352214
,-,Kosuke Fukuyama,Yohei Hoshina,-,-,Drama,dab+,tt10356040
,-,Thomas Keumurian,-,-,52,Drama,the maze,tt10409744
,-,Juan Pablo Milán,-,Shows the working day of a prostitute.,-,Drama,el cuarto,tt10545212
80,-,Antonio Canitano,-,-,-,Drama,heartbeat,tt10556308
,-,Bhanu Kiran Challa,-,"Panchamuki is a scientific psychological thriller. It narrates 5 thrilling stories in the life of dr Vikas (Madala Ravi) and how each story is linked to each other. The link to all five thrilling stories is Dr. Vikas a psychiatrist and scientific professor in paranormal activity. Starring Aryan Rajesh Madala Ravi Suman, Krishnudu, Uttej and Chinna. Directed by Challa ... Leer todo",-,Drama,panchamukhi,tt10677102
-,5.4,Aparna Sen,-,"A married couple takes refuge in a dilapidated house during a stormy night. An old man, who stays in the house, plays an uncanny host, and draws out their secrets and shares his life theories with them.",83,Drama,saari raat,tt10722542
,-,Avdotya Aleksandrova,Avdotya Aleksandrova,-,-,Drama,gryaz,tt10787402
,-,"['Jonas Julian Köck', 'Paul Rose']",-,-,57,Drama,die wilderin,tt10794496
-,-,Satyen Verma,"['Vimal Bharvad', 'Rohit Raj']",-,137,Drama,pratishodh,tt10833146
81,7.3,Dexter Fletcher,"['Simon Kelton', 'Sean Macaulay']",-,106,Drama,eddie the eagle,tt1083452
,-,Seezan Ali,"['Mahdi Ahmed', 'Ahmed Zareer']",A police officer looking for a fresh start after the death of his pregnant wife is assigned to a remote island as their police in-charge but soon ended up in the middle of a political clash between two prominent figures of the community.,-,Drama,ahsham,tt10845528
,-,Subba Bishal,Bishal Subba,"It revolves around the story of four friends in their youth. Carefree, nonchalant, confident and a bit arrogant in their attitude, they represent a majority of each and everyone of us; past, present and future. The movie portrays how every youth perceives their life and how they want it to be amidst all the confusion, desperation, pressure and greed that eventually ov... Leer todo",135,Drama,youngster: nepali film,tt10847722
,7.5,Sonia Chamkhi,Sonia Chamkhi,"While Mehdi is torn between his secret gay affair and the perspective of getting married, his sister Hind struggles to face her present and to reveal the secrets of her past kept in the dark.",90,Drama,aziz rouhou,tt10848188
,-,Manab Mukherjee,-,-,-,Drama,hridoy haran,tt10852336
,6.6,Yuriy Popovich,Yuriy Popovich,"At the end of World War II, two boys meet in a dilapidated house - the German Peter, who lost his mother, and the Russian Pasha, who escaped from captivity. Having made friends, they together wait for the onset of peace.",90,Drama,pro petra i pavla,tt10856420
-,4.9,Jason P. Schumacher,"['Jason P. Schumacher', 'Wes Tank']","The Telephone Game is an indie drama/comedy about the chaos of trying to put a play together and about a relationship that develops amidst that chaos, between Marco the director, and Zelphia the lead actress.",93,Drama,the telephone game,tt1090693
,2.2,Arash Sanjabi,Arash Sanjabi,"Ayoob is in two relationships out of his marriage. When the two find out about each other, they decide to punish Ayoob.",69,Drama,bogzarid mitra bekhabad,tt10912640
,8.6,"['Valdir Baptista', 'Antonio Ciambra', 'Clery Cunha']","['Valdir Baptista', 'Antonio Ciambra', 'Clery Cunha']",-,84,Drama,memórias da boca,tt10957752
,-,-,-,Reparto principal,-,Drama,ablepsia,tt10970518
-,-,Morgan Hamilton-Lee,Morgan Hamilton-Lee,-,-,Drama,falling apart,tt10973970
,-,Sebastian Choe,"['Sebastian Choe', 'Jeff Mclean', 'Erica Rogers']",Follows the real-life couple Jeff and Erica. The two avoid a court date by playing music in basements and exploring violence in the rain forests and ice caves of Washington State.,67,Drama,the prince of love,tt11011658
,-,-,-,"When a corrupt police officer helps a fake godman exploit women in the city, a young and courageous lady sets out to expose him.",152,Drama,daroga chale sasural,tt11012326
,-,Baljeet Singh,-,-,165,Drama,saajan ki bahon me,tt11012468
-,-,Ajay Singh,-,-,139,Drama,dil aur deewar,tt11012334
60,-,Ajay Kumar Jha,-,-,167,Drama,hero no. 1,tt11012352
,-,Balkar Singh Bali,-,-,142,Drama,saiyan jigarbaaz,tt11012490
,1.5,"['Ravi H. Kashyap', 'Randeep Shantharam Mahadik']",-,Indian Bhojpuri film directed by Ravi H. Kashyap and Randeep Shantharam Mahadik.,155,Drama,laagi tohse lagan,tt11012390
